Date,buy McDonald's,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,27.16
2004-02-13,0,26.63
2004-02-20,0,27.16
2004-02-27,0,28.30
2004-03-05,0,29.85
2004-03-12,0,29.01
2004-03-19,0,28.10
2004-03-26,0,27.87
2004-04-02,0,28.94
2004-04-09,0,
2004-04-16,0,27.46
2004-04-23,0,27.34
2004-04-30,0,27.23
2004-05-07,0,26.71
2004-05-14,0,26.17
2004-05-21,0,25.45
2004-05-28,0,26.40
2004-06-04,0,26.86
2004-06-11,0,
2004-06-18,0,26.92
2004-06-25,0,26.99
2004-07-02,0,26.12
2004-07-09,0,26.51
2004-07-16,0,27.81
2004-07-23,0,27.08
2004-07-30,0,27.50
2004-08-06,0,26.34
2004-08-13,0,25.81
2004-08-20,0,27.07
2004-08-27,0,27.17
2004-09-03,0,27.76
2004-09-10,0,27.05
2004-09-17,0,27.67
2004-09-24,0,27.60
2004-10-01,0,28.14
2004-10-08,0,27.94
2004-10-15,0,28.99
2004-10-22,0,28.52
2004-10-29,0,29.15
2004-11-05,0,30.06
2004-11-12,0,30.50
2004-11-19,0,29.30
2004-11-26,0,30.57
2004-12-03,0,31.28
2004-12-10,0,31.65
2004-12-17,0,32.54
2004-12-24,0,
2004-12-31,0,32.06
2005-01-07,0,31.87
2005-01-14,0,31.31
2005-01-21,0,31.25
2005-01-28,0,32.00
2005-02-04,0,32.57
2005-02-11,0,32.25
2005-02-18,0,32.33
2005-02-25,0,32.98
2005-03-04,0,33.96
2005-03-11,0,32.59
2005-03-18,0,31.90
2005-03-25,0,
2005-04-01,0,31.00
2005-04-08,0,31.14
2005-04-15,0,30.30
2005-04-22,0,30.06
2005-04-29,0,29.31
2005-05-06,0,29.38
2005-05-13,0,29.65
2005-05-20,0,30.94
2005-05-27,0,31.26
2005-06-03,0,30.51
2005-06-10,0,29.53
2005-06-17,0,29.00
2005-06-24,0,28.28
2005-07-01,0,27.94
2005-07-08,0,28.65
2005-07-15,0,30.99
2005-07-22,0,30.94
2005-07-29,0,31.17
2005-08-05,0,31.30
2005-08-12,0,33.25
2005-08-19,0,33.38
2005-08-26,36,33.48
2005-09-02,0,31.90
2005-09-09,0,34.14
2005-09-16,0,34.24
2005-09-23,0,32.64
2005-09-30,0,33.49
2005-10-07,0,32.22
2005-10-14,0,32.32
2005-10-21,21,32.48
2005-10-28,9,32.29
2005-11-04,10,33.43
2005-11-11,10,33.80
2005-11-18,10,33.09
2005-11-25,10,33.46
2005-12-02,10,34.91
2005-12-09,0,34.84
2005-12-16,0,34.75
2005-12-23,0,34.55
2005-12-30,0,33.72
2006-01-06,0,34.06
2006-01-13,0,34.47
2006-01-20,9,35.86
2006-01-27,8,35.05
2006-02-03,8,35.97
2006-02-10,8,36.33
2006-02-17,0,36.06
2006-02-24,0,35.34
2006-03-03,0,34.85
2006-03-10,0,34.65
2006-03-17,0,35.10
2006-03-24,0,34.70
2006-03-31,0,34.36
2006-04-07,0,34.88
2006-04-14,0,
2006-04-21,0,34.60
2006-04-28,0,34.57
2006-05-05,0,35.21
2006-05-12,0,34.88
2006-05-19,0,34.15
2006-05-26,0,32.92
2006-06-02,0,33.51
2006-06-09,0,33.38
2006-06-16,0,33.14
2006-06-23,0,32.60
2006-06-30,0,33.60
2006-07-07,0,33.18
2006-07-14,0,33.04
2006-07-21,0,34.70
2006-07-28,0,35.29
2006-08-04,0,35.41
2006-08-11,0,34.69
2006-08-18,0,36.18
2006-08-25,0,35.23
2006-09-01,0,36.76
2006-09-08,0,37.50
2006-09-15,0,37.73
2006-09-22,0,38.21
2006-09-29,0,39.12
2006-10-06,6,40.11
2006-10-13,12,42.11
2006-10-20,10,41.47
2006-10-27,8,41.47
2006-11-03,8,41.24
2006-11-10,7,41.97
2006-11-17,6,41.82
2006-11-24,6,41.88
2006-12-01,6,42.08
2006-12-08,6,43.76
2006-12-15,6,43.41
2006-12-22,0,43.57
2006-12-29,0,44.33
2007-01-05,0,43.54
2007-01-12,0,44.22
2007-01-19,0,44.81
2007-01-26,0,42.93
2007-02-02,6,44.54
2007-02-09,5,44.56
2007-02-16,5,45.32
2007-02-23,5,46.01
2007-03-02,5,43.67
2007-03-09,0,44.15
2007-03-16,0,43.48
2007-03-23,0,45.05
2007-03-30,0,45.05
2007-04-06,0,
2007-04-13,6,47.64
2007-04-20,5,48.36
2007-04-27,5,48.95
2007-05-04,0,49.92
2007-05-11,0,50.65
2007-05-18,0,52.33
2007-05-25,0,50.90
2007-06-01,0,50.95
2007-06-08,6,51.41
2007-06-15,5,52.17
2007-06-22,5,50.42
2007-06-29,5,50.76
2007-07-06,4,51.43
2007-07-13,4,51.91
2007-07-20,5,52.09
2007-07-27,5,48.76
2007-08-03,6,48.52
2007-08-10,6,49.41
2007-08-17,6,47.57
2007-08-24,6,50.12
2007-08-31,7,49.25
2007-09-07,7,49.24
2007-09-14,7,55.45
2007-09-21,7,54.80
2007-09-28,7,54.47
2007-10-05,6,56.37
2007-10-12,8,57.02
2007-10-19,9,56.42
2007-10-26,5,58.47
2007-11-02,4,59.02
2007-11-09,5,58.31
2007-11-16,3,58.13
2007-11-23,5,57.72
2007-11-30,4,58.47
2007-12-07,6,60.16
2007-12-14,8,61.16
2007-12-21,4,60.03
2007-12-28,4,59.50
2008-01-04,5,57.05
2008-01-11,5,54.32
2008-01-18,4,52.40
2008-01-25,6,54.10
2008-02-01,7,54.22
2008-02-08,6,55.64
2008-02-15,5,55.30
2008-02-22,5,55.69
2008-02-29,6,54.11
2008-03-07,4,52.27
2008-03-14,5,54.78
2008-03-21,4,
2008-03-28,6,55.48
2008-04-04,4,55.72
2008-04-11,4,55.40
2008-04-18,5,58.30
2008-04-25,7,59.67
2008-05-02,7,60.95
2008-05-09,5,59.24
2008-05-16,6,60.53
2008-05-23,4,57.73
2008-05-30,4,59.32
2008-06-06,4,56.95
2008-06-13,4,59.95
2008-06-20,6,57.40
2008-06-27,4,56.50
2008-07-04,3,
2008-07-11,4,57.32
2008-07-18,5,60.44
2008-07-25,9,58.65
2008-08-01,4,59.77
2008-08-08,3,65.67
2008-08-15,7,63.63
2008-08-22,5,63.42
2008-08-29,6,62.00
2008-09-05,3,60.30
2008-09-12,5,64.06
2008-09-19,6,63.98
2008-09-26,4,63.20
2008-10-03,4,60.23
2008-10-10,8,53.35
2008-10-17,10,53.80
2008-10-24,7,53.06
2008-10-31,7,57.93
2008-11-07,6,55.47
2008-11-14,8,56.13
2008-11-21,11,55.15
2008-11-28,7,58.75
2008-12-05,8,62.72
2008-12-12,7,60.59
2008-12-19,7,60.32
2008-12-26,5,61.06
2009-01-02,8,63.75
2009-01-09,5,60.07
2009-01-16,6,59.67
2009-01-23,7,58.02
2009-01-30,8,58.02
2009-02-06,5,58.46
2009-02-13,6,56.81
2009-02-20,6,54.57
2009-02-27,5,52.25
2009-03-06,5,52.12
2009-03-13,6,52.38
2009-03-20,4,53.20
2009-03-27,6,55.01
2009-04-03,7,56.64
2009-04-10,9,
2009-04-17,8,56.09
2009-04-24,10,54.31
2009-05-01,4,52.40
2009-05-08,6,54.92
2009-05-15,5,53.46
2009-05-22,6,57.08
2009-05-29,6,58.99
2009-06-05,6,59.87
2009-06-12,9,58.36
2009-06-19,7,58.17
2009-06-26,8,57.00
2009-07-03,7,
2009-07-10,10,57.05
2009-07-17,6,57.84
2009-07-24,8,56.08
2009-07-31,7,55.06
2009-08-07,7,55.20
2009-08-14,7,55.27
2009-08-21,8,56.27
2009-08-28,9,56.07
2009-09-04,8,56.14
2009-09-11,5,54.39
2009-09-18,8,57.00
2009-09-25,7,56.95
2009-10-02,6,56.71
2009-10-09,9,56.70
2009-10-16,10,58.78
2009-10-23,11,59.43
2009-10-30,10,58.61
2009-11-06,7,61.72
2009-11-13,8,63.58
2009-11-20,9,63.97
2009-11-27,8,63.60
2009-12-04,7,61.59
2009-12-11,6,61.66
2009-12-18,7,62.17
2009-12-25,6,
2010-01-01,8,
2010-01-08,10,61.84
2010-01-15,6,62.28
2010-01-22,4,63.39
2010-01-29,7,62.43
2010-02-05,8,63.37
2010-02-12,8,63.59
2010-02-19,11,64.74
2010-02-26,7,63.85
2010-03-05,7,63.67
2010-03-12,8,65.53
2010-03-19,8,66.53
2010-03-26,8,67.26
2010-04-02,8,
2010-04-09,10,68.68
2010-04-16,12,69.03
2010-04-23,9,71.15
2010-04-30,7,70.59
2010-05-07,7,68.01
2010-05-14,7,69.59
2010-05-21,9,67.86
2010-05-28,6,66.87
2010-06-04,7,66.70
2010-06-11,10,69.54
2010-06-18,9,69.88
2010-06-25,7,67.42
2010-07-02,7,66.14
2010-07-09,8,69.22
2010-07-16,9,69.94
2010-07-23,11,69.90
2010-07-30,7,69.73
2010-08-06,8,71.74
2010-08-13,11,71.89
2010-08-20,10,73.08
2010-08-27,7,73.99
2010-09-03,7,75.09
2010-09-10,7,75.01
2010-09-17,9,74.32
2010-09-24,7,75.10
2010-10-01,6,74.92
2010-10-08,10,76.10
2010-10-15,8,77.48
2010-10-22,12,78.55
2010-10-29,11,77.77
2010-11-05,9,79.30
2010-11-12,11,78.85
2010-11-19,8,79.64
2010-11-26,8,78.54
2010-12-03,10,79.76
2010-12-10,6,77.56
2010-12-17,7,76.81
2010-12-24,10,
2010-12-31,10,76.76
2011-01-07,9,74.37
2011-01-14,8,74.06
2011-01-21,8,75.01
2011-01-28,9,73.28
2011-02-04,7,74.05
2011-02-11,9,76.14
2011-02-18,9,76.13
2011-02-25,9,74.44
2011-03-04,9,76.03
2011-03-11,11,76.73
2011-03-18,7,72.99
2011-03-25,10,75.25
2011-04-01,11,75.99
2011-04-08,11,76.04
2011-04-15,14,77.38
2011-04-22,16,
2011-04-29,12,78.31
2011-05-06,7,78.70
2011-05-13,10,80.74
2011-05-20,9,82.33
2011-05-27,8,81.62
2011-06-03,6,80.54
2011-06-10,8,80.36
2011-06-17,11,82.52
2011-06-24,11,81.84
2011-07-01,12,85.65
2011-07-08,12,85.60
2011-07-15,10,85.48
2011-07-22,10,88.56
2011-07-29,12,86.48
2011-08-05,11,85.08
2011-08-12,12,86.50
2011-08-19,12,87.23
2011-08-26,12,89.93
2011-09-02,10,89.09
2011-09-09,10,85.03
2011-09-16,9,88.29
2011-09-23,11,87.37
2011-09-30,12,87.82
2011-10-07,13,87.20
2011-10-14,11,89.94
2011-10-21,13,92.32
2011-10-28,8,93.29
2011-11-04,11,93.81
2011-11-11,10,94.76
2011-11-18,10,92.74
2011-11-25,12,92.10
2011-12-02,11,95.70
2011-12-09,9,98.03
2011-12-16,10,97.49
2011-12-23,9,100.15
2011-12-30,9,100.33
2012-01-06,16,100.60
2012-01-13,10,100.35
2012-01-20,8,101.74
2012-01-27,10,98.69
2012-02-03,9,100.01
2012-02-10,6,99.47
2012-02-17,8,99.99
2012-02-24,9,100.32
2012-03-02,8,99.50
2012-03-09,10,96.84
2012-03-16,9,97.66
2012-03-23,100,95.55
2012-03-30,15,98.10
2012-04-06,13,
2012-04-13,12,96.97
2012-04-20,16,95.94
2012-04-27,9,97.38
2012-05-04,11,95.87
2012-05-11,9,91.90
2012-05-18,9,89.85
2012-05-25,10,91.05
2012-06-01,8,86.71
2012-06-08,11,87.75
2012-06-15,10,90.50
2012-06-22,9,88.35
2012-06-29,9,88.53
2012-07-06,9,89.66
2012-07-13,13,92.29
2012-07-20,12,91.58
2012-07-27,13,89.19
2012-08-03,9,89.59
2012-08-10,11,88.20
2012-08-17,14,87.36
2012-08-24,9,88.92
2012-08-31,10,89.49
2012-09-07,7,91.02
2012-09-14,10,91.70
2012-09-21,8,93.71
2012-09-28,12,91.75
2012-10-05,12,91.00
2012-10-12,9,92.51
2012-10-19,12,88.72
2012-10-26,9,86.71
2012-11-02,9,86.86
2012-11-09,9,84.74
2012-11-16,11,84.12
2012-11-23,9,87.05
2012-11-30,8,87.04
2012-12-07,14,88.48
2012-12-14,11,88.88
2012-12-21,10,90.18
2012-12-28,10,87.58
2013-01-04,12,89.85
2013-01-11,10,91.73
2013-01-18,11,92.26
2013-01-25,11,93.72
2013-02-01,10,95.95
2013-02-08,8,94.87
2013-02-15,10,93.90
2013-02-22,13,95.25
2013-03-01,8,95.68
2013-03-08,9,98.71
2013-03-15,9,99.67
2013-03-22,8,99.27
2013-03-29,9,
2013-04-05,11,101.42
2013-04-12,10,103.59
2013-04-19,11,99.92
2013-04-26,9,100.89
2013-05-03,8,102.92
2013-05-10,10,100.20
2013-05-17,8,101.54
2013-05-24,10,100.29
2013-05-31,10,96.57
2013-06-07,10,98.28
2013-06-14,10,98.42
2013-06-21,44,97.23
2013-06-28,12,99.00
2013-07-05,11,99.86
2013-07-12,11,101.58
2013-07-19,14,100.27
2013-07-26,16,98.03
2013-08-02,15,99.20
2013-08-09,12,97.62
2013-08-16,12,95.03
2013-08-23,9,95.13
2013-08-30,8,94.36
2013-09-06,12,96.26
2013-09-13,11,97.35
2013-09-20,13,96.90
2013-09-27,9,97.12
2013-10-04,9,94.70
2013-10-11,10,94.74
2013-10-18,9,95.20
2013-10-25,8,94.78
2013-11-01,9,97.24
2013-11-08,10,97.01
2013-11-15,11,96.92
2013-11-22,10,98.27
2013-11-29,10,97.37
2013-12-06,12,96.80
2013-12-13,8,94.44
2013-12-20,11,96.51
2013-12-27,10,96.91
2014-01-03,10,96.54
2014-01-10,9,95.80
2014-01-17,9,94.93
2014-01-24,11,94.43
2014-01-31,9,94.17
2014-02-07,10,95.92
2014-02-14,8,95.78
2014-02-21,10,96.45
2014-02-28,9,95.15
2014-03-07,9,95.50
2014-03-14,9,97.58
2014-03-21,8,95.47
2014-03-28,11,97.24
2014-04-04,11,97.87
2014-04-11,10,99.29
2014-04-18,11,
2014-04-25,11,100.73
2014-05-02,13,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
