Date,buy Microsoft,Price
2004-01-09,59,
2004-01-16,61,
2004-01-23,55,
2004-01-30,45,
2004-02-06,47,27.08
2004-02-13,47,26.59
2004-02-20,56,26.57
2004-02-27,43,26.53
2004-03-05,49,26.35
2004-03-12,49,25.38
2004-03-19,40,24.63
2004-03-26,37,25.03
2004-04-02,44,25.85
2004-04-09,27,
2004-04-16,39,25.16
2004-04-23,33,27.54
2004-04-30,44,26.13
2004-05-07,48,25.78
2004-05-14,41,25.86
2004-05-21,32,25.89
2004-05-28,61,26.23
2004-06-04,56,25.95
2004-06-11,50,
2004-06-18,47,28.35
2004-06-25,53,28.57
2004-07-02,48,28.57
2004-07-09,54,27.86
2004-07-16,52,27.48
2004-07-23,39,28.03
2004-07-30,51,28.49
2004-08-06,46,27.14
2004-08-13,37,27.02
2004-08-20,55,27.20
2004-08-27,41,27.46
2004-09-03,61,27.11
2004-09-10,62,27.49
2004-09-17,65,27.51
2004-09-24,43,27.29
2004-10-01,46,28.25
2004-10-08,55,27.99
2004-10-15,50,27.99
2004-10-22,57,27.74
2004-10-29,45,27.97
2004-11-05,43,29.31
2004-11-12,50,29.97
2004-11-19,54,26.86
2004-11-26,45,26.60
2004-12-03,47,27.23
2004-12-10,40,27.08
2004-12-17,55,26.96
2004-12-24,50,
2004-12-31,61,26.72
2005-01-07,49,26.67
2005-01-14,45,26.12
2005-01-21,51,25.65
2005-01-28,45,26.18
2005-02-04,50,26.32
2005-02-11,53,25.97
2005-02-18,52,25.48
2005-02-25,46,25.25
2005-03-04,53,25.17
2005-03-11,52,25.09
2005-03-18,44,24.31
2005-03-25,44,
2005-04-01,53,24.12
2005-04-08,36,24.94
2005-04-15,41,24.46
2005-04-22,37,24.98
2005-04-29,31,25.30
2005-05-06,44,25.22
2005-05-13,41,25.30
2005-05-20,46,25.74
2005-05-27,40,26.07
2005-06-03,50,25.43
2005-06-10,36,25.43
2005-06-17,36,25.04
2005-06-24,26,25.04
2005-07-01,38,24.71
2005-07-08,36,25.09
2005-07-15,31,25.79
2005-07-22,54,25.68
2005-07-29,37,25.61
2005-08-05,40,27.76
2005-08-12,44,27.05
2005-08-19,45,26.72
2005-08-26,55,26.97
2005-09-02,44,27.02
