Date,buy Verizon,Price
2004-01-09,19,
2004-01-16,16,
2004-01-23,16,
2004-01-30,18,
2004-02-06,14,37.15
2004-02-13,14,37.65
2004-02-20,14,37.18
2004-02-27,0,38.33
2004-03-05,0,38.98
2004-03-12,0,37.91
2004-03-19,0,37.47
2004-03-26,0,36.02
2004-04-02,0,37.24
2004-04-09,16,
2004-04-16,0,36.75
2004-04-23,0,37.54
2004-04-30,0,37.74
2004-05-07,0,36.78
2004-05-14,0,36.36
2004-05-21,14,35.77
2004-05-28,17,34.58
2004-06-04,21,34.96
2004-06-11,19,
2004-06-18,19,36.17
2004-06-25,17,35.77
2004-07-02,17,36.07
2004-07-09,17,35.44
2004-07-16,16,34.60
2004-07-23,16,35.32
2004-07-30,16,38.54
2004-08-06,16,38.35
2004-08-13,20,39.07
2004-08-20,24,39.60
2004-08-27,20,38.96
2004-09-03,20,40.06
2004-09-10,18,40.34
2004-09-17,14,40.57
2004-09-24,12,40.31
2004-10-01,16,40.04
2004-10-08,20,40.73
2004-10-15,27,40.87
2004-10-22,17,38.97
2004-10-29,17,39.10
2004-11-05,17,41.01
2004-11-12,15,42.22
2004-11-19,15,41.10
2004-11-26,14,41.03
2004-12-03,21,42.02
2004-12-10,21,40.80
2004-12-17,22,40.90
2004-12-24,18,
2004-12-31,18,40.51
2005-01-07,20,39.41
2005-01-14,16,36.84
2005-01-21,13,36.50
2005-01-28,18,35.68
2005-02-04,12,36.85
2005-02-11,18,36.31
2005-02-18,21,35.31
2005-02-25,15,36.20
2005-03-04,13,36.42
2005-03-11,16,36.07
2005-03-18,10,35.15
2005-03-25,16,
2005-04-01,11,35.19
2005-04-08,13,35.07
2005-04-15,15,34.15
2005-04-22,9,34.06
2005-04-29,15,35.80
2005-05-06,19,34.56
2005-05-13,14,34.09
2005-05-20,14,35.20
2005-05-27,16,35.46
2005-06-03,14,35.17
2005-06-10,19,34.85
2005-06-17,14,35.03
2005-06-24,14,34.47
2005-07-01,12,34.57
2005-07-08,17,34.40
2005-07-15,15,34.69
2005-07-22,18,34.17
2005-07-29,16,34.23
2005-08-05,23,33.32
2005-08-12,19,33.05
2005-08-19,14,33.07
2005-08-26,22,32.60
2005-09-02,12,32.48
2005-09-09,16,32.73
2005-09-16,20,32.81
2005-09-23,20,32.16
2005-09-30,23,32.69
2005-10-07,17,30.59
2005-10-14,14,29.90
2005-10-21,21,29.52
2005-10-28,10,31.70
2005-11-04,16,30.90
2005-11-11,17,31.40
2005-11-18,13,31.70
2005-11-25,29,31.98
2005-12-02,23,31.87
2005-12-09,26,31.08
2005-12-16,32,30.49
