Date,sell AT&T,Price
2004-01-09,22,
2004-01-16,33,
2004-01-23,19,
2004-01-30,26,
2004-02-06,30,26.02
2004-02-13,18,25.05
2004-02-20,18,23.88
2004-02-27,22,24.01
2004-03-05,20,25.02
2004-03-12,20,24.36
2004-03-19,20,24.62
2004-03-26,24,23.92
2004-04-02,29,24.87
2004-04-09,24,
2004-04-16,29,24.17
2004-04-23,28,25.42
2004-04-30,18,24.90
2004-05-07,21,24.74
2004-05-14,36,24.50
2004-05-21,20,24.33
2004-05-28,16,23.70
2004-06-04,20,23.93
2004-06-11,19,
2004-06-18,29,24.60
2004-06-25,25,23.80
2004-07-02,24,24.11
2004-07-09,17,23.59
2004-07-16,25,23.10
2004-07-23,30,24.22
2004-07-30,29,25.34
2004-08-06,15,24.85
2004-08-13,35,25.06
2004-08-20,26,25.57
2004-08-27,26,25.84
2004-09-03,26,26.20
2004-09-10,30,26.57
2004-09-17,26,26.48
2004-09-24,30,26.05
2004-10-01,31,26.32
2004-10-08,21,26.83
2004-10-15,27,26.68
2004-10-22,19,25.24
2004-10-29,28,25.26
2004-11-05,18,26.25
2004-11-12,27,26.67
2004-11-19,26,25.89
2004-11-26,15,25.48
2004-12-03,25,25.81
2004-12-10,23,25.31
2004-12-17,29,25.70
2004-12-24,19,
2004-12-31,23,25.77
2005-01-07,27,25.08
2005-01-14,20,24.41
2005-01-21,14,24.58
2005-01-28,26,23.62
2005-02-04,23,24.60
2005-02-11,23,24.26
2005-02-18,28,24.18
2005-02-25,26,24.21
2005-03-04,37,24.49
2005-03-11,19,24.00
2005-03-18,32,23.35
2005-03-25,31,
2005-04-01,20,23.66
2005-04-08,29,23.75
2005-04-15,30,23.00
2005-04-22,27,23.20
2005-04-29,26,23.80
2005-05-06,33,23.62
2005-05-13,16,23.08
2005-05-20,22,23.63
2005-05-27,22,23.67
2005-06-03,29,23.34
2005-06-10,21,23.63
2005-06-17,33,24.02
2005-06-24,27,23.50
2005-07-01,29,23.93
2005-07-08,23,23.57
2005-07-15,26,24.12
2005-07-22,26,23.72
2005-07-29,27,24.45
2005-08-05,32,24.61
2005-08-12,33,24.46
2005-08-19,28,24.14
2005-08-26,23,23.71
2005-09-02,36,23.87
2005-09-09,18,24.05
2005-09-16,33,24.23
2005-09-23,28,23.77
2005-09-30,22,23.97
2005-10-07,33,22.75
2005-10-14,34,22.20
2005-10-21,21,23.00
2005-10-28,31,23.89
2005-11-04,22,23.66
2005-11-11,26,23.95
2005-11-18,26,24.38
2005-11-25,41,24.77
2005-12-02,26,25.07
2005-12-09,24,24.90
2005-12-16,27,24.96
2005-12-23,26,24.63
2005-12-30,32,24.49
2006-01-06,28,24.93
2006-01-13,25,24.99
2006-01-20,28,24.71
2006-01-27,27,25.89
2006-02-03,37,26.79
2006-02-10,26,27.48
2006-02-17,30,28.28
2006-02-24,34,27.57
2006-03-03,31,27.99
2006-03-10,26,27.23
2006-03-17,26,27.00
2006-03-24,23,27.37
2006-03-31,22,27.04
2006-04-07,26,26.16
2006-04-14,32,
2006-04-21,29,25.35
2006-04-28,19,26.21
2006-05-05,28,25.97
2006-05-12,25,25.62
2006-05-19,25,25.28
2006-05-26,26,26.23
2006-06-02,27,26.73
2006-06-09,32,26.62
2006-06-16,33,27.79
2006-06-23,28,27.37
2006-06-30,23,27.89
2006-07-07,25,27.74
2006-07-14,19,26.58
2006-07-21,32,27.34
2006-07-28,26,30.06
2006-08-04,26,30.97
2006-08-11,25,30.22
2006-08-18,21,30.51
2006-08-25,28,30.63
2006-09-01,22,31.61
2006-09-08,24,31.35
2006-09-15,28,31.86
2006-09-22,26,32.90
2006-09-29,30,32.56
2006-10-06,27,31.78
2006-10-13,24,33.60
2006-10-20,28,34.44
2006-10-27,24,34.22
2006-11-03,24,33.72
2006-11-10,34,33.05
2006-11-17,29,33.20
2006-11-24,27,32.67
2006-12-01,20,34.00
2006-12-08,27,34.97
2006-12-15,25,35.66
2006-12-22,25,34.98
2006-12-29,27,35.75
2007-01-05,22,33.96
2007-01-12,29,34.73
2007-01-19,19,35.07
2007-01-26,23,36.40
2007-02-02,20,38.12
2007-02-09,21,36.90
2007-02-16,24,37.48
2007-02-23,26,37.00
2007-03-02,26,36.44
2007-03-09,21,36.55
2007-03-16,30,36.98
2007-03-23,23,38.88
