Date,sell Disney,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,23.35
2004-02-13,0,26.92
2004-02-20,0,26.55
2004-02-27,0,26.53
2004-03-05,0,26.48
2004-03-12,0,26.10
2004-03-19,0,25.39
2004-03-26,0,25.10
2004-04-02,0,25.95
2004-04-09,0,
2004-04-16,0,24.90
2004-04-23,0,24.65
2004-04-30,0,23.03
2004-05-07,0,22.45
2004-05-14,0,23.24
2004-05-21,0,22.68
2004-05-28,0,23.47
2004-06-04,0,24.06
2004-06-11,0,
2004-06-18,0,25.02
2004-06-25,0,25.18
2004-07-02,0,25.27
2004-07-09,0,24.60
2004-07-16,0,23.45
2004-07-23,0,22.96
2004-07-30,0,23.09
2004-08-06,0,21.99
2004-08-13,0,20.89
2004-08-20,0,22.44
2004-08-27,0,22.66
2004-09-03,0,22.37
2004-09-10,0,23.16
2004-09-17,0,23.42
2004-09-24,0,23.46
2004-10-01,0,23.08
2004-10-08,0,24.85
2004-10-15,0,24.91
2004-10-22,0,24.62
2004-10-29,0,25.22
2004-11-05,0,26.43
2004-11-12,0,26.80
2004-11-19,0,26.66
2004-11-26,0,27.12
2004-12-03,0,27.37
2004-12-10,0,27.63
2004-12-17,0,27.37
2004-12-24,0,
2004-12-31,0,27.80
2005-01-07,0,27.17
2005-01-14,0,28.30
2005-01-21,0,28.15
2005-01-28,0,28.23
2005-02-04,0,29.31
2005-02-11,0,29.34
2005-02-18,0,29.06
2005-02-25,0,27.89
2005-03-04,0,28.88
2005-03-11,0,27.59
2005-03-18,0,28.09
2005-03-25,0,
2005-04-01,0,28.58
2005-04-08,0,28.40
2005-04-15,0,27.37
2005-04-22,0,27.30
2005-04-29,0,26.40
2005-05-06,0,26.89
2005-05-13,0,27.00
2005-05-20,0,27.83
2005-05-27,0,27.88
2005-06-03,0,27.32
2005-06-10,0,27.52
2005-06-17,0,26.70
2005-06-24,0,26.04
2005-07-01,0,25.09
2005-07-08,0,25.00
2005-07-15,0,26.38
2005-07-22,0,25.83
2005-07-29,0,25.64
2005-08-05,0,25.48
2005-08-12,0,25.76
2005-08-19,0,25.97
2005-08-26,0,25.33
2005-09-02,0,24.76
2005-09-09,0,25.04
2005-09-16,0,24.11
2005-09-23,0,23.22
2005-09-30,0,24.13
2005-10-07,0,24.10
2005-10-14,0,23.39
2005-10-21,0,22.98
2005-10-28,0,23.82
2005-11-04,0,24.81
2005-11-11,0,25.86
2005-11-18,0,25.20
2005-11-25,0,25.05
2005-12-02,0,24.88
2005-12-09,0,25.19
2005-12-16,0,24.70
2005-12-23,0,24.27
2005-12-30,0,23.97
2006-01-06,0,24.74
2006-01-13,0,25.70
2006-01-20,0,25.72
2006-01-27,0,25.08
2006-02-03,0,25.01
2006-02-10,0,26.68
2006-02-17,0,26.91
2006-02-24,0,27.98
2006-03-03,0,28.22
2006-03-10,0,28.16
2006-03-17,0,28.64
2006-03-24,0,27.45
2006-03-31,0,27.89
2006-04-07,0,27.53
2006-04-14,0,
2006-04-21,0,27.02
2006-04-28,0,27.96
2006-05-05,0,29.09
2006-05-12,0,29.90
2006-05-19,0,30.15
2006-05-26,0,30.51
2006-06-02,0,30.62
2006-06-09,0,29.33
2006-06-16,0,29.45
2006-06-23,0,29.12
2006-06-30,0,30.00
2006-07-07,0,29.83
2006-07-14,0,28.49
2006-07-21,0,28.47
2006-07-28,0,29.70
2006-08-04,0,29.90
2006-08-11,0,29.43
2006-08-18,0,29.91
2006-08-25,0,28.95
2006-09-01,0,29.89
2006-09-08,0,29.58
2006-09-15,0,30.31
2006-09-22,0,30.08
2006-09-29,0,30.91
2006-10-06,0,31.34
2006-10-13,0,31.11
2006-10-20,0,31.45
2006-10-27,0,31.73
2006-11-03,0,31.89
2006-11-10,0,32.40
2006-11-17,0,32.94
2006-11-24,0,32.91
2006-12-01,0,33.09
2006-12-08,0,34.39
2006-12-15,77,34.30
2006-12-22,0,34.16
2006-12-29,0,34.27
2007-01-05,0,34.19
2007-01-12,0,35.21
2007-01-19,0,35.50
2007-01-26,0,34.55
2007-02-02,0,35.18
2007-02-09,68,34.36
2007-02-16,69,34.89
2007-02-23,61,35.14
2007-03-02,61,33.95
2007-03-09,61,34.37
2007-03-16,67,33.61
2007-03-23,72,34.99
2007-03-30,77,34.43
2007-04-06,83,
2007-04-13,0,34.72
2007-04-20,0,35.28
2007-04-27,0,34.98
2007-05-04,0,35.85
2007-05-11,0,36.07
2007-05-18,0,36.02
2007-05-25,0,36.03
2007-06-01,0,35.24
2007-06-08,0,34.20
2007-06-15,0,34.40
2007-06-22,0,34.14
2007-06-29,54,34.14
2007-07-06,55,34.49
2007-07-13,55,34.37
2007-07-20,56,34.34
2007-07-27,0,33.74
2007-08-03,0,33.90
2007-08-10,0,33.16
2007-08-17,0,32.68
2007-08-24,0,33.87
2007-08-31,0,33.60
2007-09-07,0,33.59
2007-09-14,0,33.56
2007-09-21,0,34.60
2007-09-28,0,34.39
2007-10-05,0,35.47
2007-10-12,0,35.47
2007-10-19,0,33.81
2007-10-26,0,34.38
2007-11-02,0,33.92
2007-11-09,0,32.74
2007-11-16,40,32.53
2007-11-23,47,31.84
2007-11-30,53,33.15
2007-12-07,48,32.79
2007-12-14,53,33.01
2007-12-21,57,32.94
2007-12-28,61,32.42
2008-01-04,66,31.13
2008-01-11,54,30.32
2008-01-18,54,28.51
2008-01-25,45,28.68
2008-02-01,45,30.66
2008-02-08,46,32.12
2008-02-15,53,32.49
2008-02-22,40,32.57
2008-02-29,50,32.41
2008-03-07,59,30.76
2008-03-14,39,30.78
2008-03-21,41,
2008-03-28,42,31.00
2008-04-04,43,31.24
2008-04-11,47,30.18
2008-04-18,51,31.33
2008-04-25,55,32.36
2008-05-02,40,33.49
2008-05-09,47,34.30
2008-05-16,46,34.91
2008-05-23,38,33.23
2008-05-30,38,33.60
2008-06-06,41,33.01
2008-06-13,43,33.93
2008-06-20,45,31.94
2008-06-27,48,31.57
2008-07-04,50,
2008-07-11,51,29.20
2008-07-18,48,30.90
2008-07-25,52,31.10
2008-08-01,78,30.08
2008-08-08,56,32.03
2008-08-15,39,32.50
2008-08-22,39,32.20
2008-08-29,64,32.35
2008-09-05,57,31.36
2008-09-12,57,33.26
2008-09-19,49,34.39
2008-09-26,49,32.75
2008-10-03,49,29.54
2008-10-10,51,23.04
2008-10-17,38,24.75
2008-10-24,38,22.61
2008-10-31,38,25.91
2008-11-07,38,23.36
2008-11-14,59,21.08
2008-11-21,39,21.12
2008-11-28,49,22.52
2008-12-05,33,22.77
2008-12-12,33,22.61
2008-12-19,41,22.43
2008-12-26,48,22.18
2009-01-02,39,23.92
2009-01-09,60,22.31
2009-01-16,43,21.46
2009-01-23,76,20.61
2009-01-30,34,20.68
2009-02-06,51,19.45
2009-02-13,52,18.52
2009-02-20,54,17.53
2009-02-27,51,16.77
2009-03-06,47,15.83
2009-03-13,53,17.13
2009-03-20,54,17.45
2009-03-27,40,18.59
2009-04-03,35,20.00
2009-04-10,56,
2009-04-17,43,20.38
2009-04-24,43,20.26
2009-05-01,38,21.94
2009-05-08,49,25.46
2009-05-15,57,23.41
2009-05-22,37,23.70
2009-05-29,29,24.22
2009-06-05,28,24.95
2009-06-12,39,25.06
2009-06-19,30,23.53
2009-06-26,30,23.43
2009-07-03,34,
2009-07-10,37,22.41
2009-07-17,49,24.51
2009-07-24,43,26.58
2009-07-31,49,25.12
2009-08-07,53,26.69
2009-08-14,49,25.86
2009-08-21,51,26.79
2009-08-28,53,26.84
2009-09-04,59,25.90
2009-09-11,40,28.42
2009-09-18,34,28.44
2009-09-25,47,27.62
2009-10-02,44,27.21
2009-10-09,46,28.64
2009-10-16,38,29.40
2009-10-23,37,28.89
2009-10-30,40,27.37
2009-11-06,27,28.56
2009-11-13,51,30.44
2009-11-20,44,30.01
2009-11-27,35,30.35
2009-12-04,39,30.84
2009-12-11,49,31.70
2009-12-18,44,31.95
2009-12-25,48,
2010-01-01,63,
2010-01-08,33,31.88
2010-01-15,58,30.60
2010-01-22,50,29.98
2010-01-29,49,29.55
2010-02-05,56,29.54
2010-02-12,49,30.07
2010-02-19,39,31.23
2010-02-26,59,31.24
2010-03-05,49,33.22
2010-03-12,37,33.69
2010-03-19,44,33.64
2010-03-26,42,35.31
2010-04-02,52,
2010-04-09,39,36.22
2010-04-16,48,35.83
2010-04-23,40,36.79
2010-04-30,45,36.84
2010-05-07,50,33.41
2010-05-14,27,34.06
2010-05-21,43,32.87
2010-05-28,60,33.42
2010-06-04,42,33.69
2010-06-11,39,34.24
2010-06-18,30,35.15
2010-06-25,46,33.48
2010-07-02,32,31.38
2010-07-09,53,33.75
2010-07-16,32,33.03
2010-07-23,50,34.13
2010-07-30,60,33.69
2010-08-06,48,35.00
2010-08-13,41,33.68
2010-08-20,52,33.05
2010-08-27,48,32.78
2010-09-03,51,34.67
2010-09-10,35,34.15
2010-09-17,44,34.56
2010-09-24,33,33.58
2010-10-01,56,33.34
2010-10-08,50,34.51
2010-10-15,48,34.88
2010-10-22,38,34.97
2010-10-29,36,36.13
2010-11-05,58,37.20
2010-11-12,50,37.75
2010-11-19,50,37.01
2010-11-26,31,36.70
2010-12-03,45,37.59
2010-12-10,27,36.66
2010-12-17,58,37.05
2010-12-24,51,
2010-12-31,46,37.51
2011-01-07,51,39.45
2011-01-14,61,39.29
2011-01-21,65,39.74
2011-01-28,49,38.85
2011-02-04,31,40.71
2011-02-11,63,43.41
2011-02-18,39,43.56
2011-02-25,58,42.95
2011-03-04,61,43.55
2011-03-11,33,42.93
2011-03-18,52,41.23
2011-03-25,49,42.97
2011-04-01,50,42.85
2011-04-08,27,41.76
2011-04-15,44,41.52
2011-04-22,33,
2011-04-29,40,43.10
2011-05-06,50,43.06
2011-05-13,47,41.52
2011-05-20,40,41.50
2011-05-27,40,41.52
2011-06-03,49,39.38
2011-06-10,46,38.50
2011-06-17,33,38.04
2011-06-24,51,37.58
2011-07-01,50,39.72
2011-07-08,64,39.91
2011-07-15,39,39.27
2011-07-22,46,40.65
2011-07-29,36,38.62
2011-08-05,37,35.18
2011-08-12,49,33.09
2011-08-19,49,31.85
2011-08-26,52,32.40
2011-09-02,36,32.46
2011-09-09,33,31.04
2011-09-16,46,32.91
2011-09-23,54,29.83
2011-09-30,39,30.16
2011-10-07,62,31.70
2011-10-14,53,34.47
2011-10-21,62,35.16
2011-10-28,40,36.21
2011-11-04,41,34.76
2011-11-11,33,36.70
2011-11-18,43,35.63
2011-11-25,37,33.51
2011-12-02,58,36.61
2011-12-09,74,36.56
2011-12-16,45,35.32
2011-12-23,45,37.70
2011-12-30,50,37.50
2012-01-06,67,39.91
2012-01-13,51,38.40
2012-01-20,41,39.31
2012-01-27,48,39.25
2012-02-03,54,40.00
2012-02-10,45,41.45
2012-02-17,51,41.75
2012-02-24,65,41.31
2012-03-02,62,42.36
2012-03-09,52,42.24
2012-03-16,59,43.19
2012-03-23,49,43.65
2012-03-30,46,43.78
2012-04-06,53,
2012-04-13,52,41.85
2012-04-20,45,42.35
2012-04-27,63,43.35
2012-05-04,54,42.93
2012-05-11,58,45.56
2012-05-18,37,43.81
2012-05-25,52,44.50
2012-06-01,56,44.40
2012-06-08,64,46.24
2012-06-15,53,47.09
2012-06-22,41,47.47
2012-06-29,52,48.50
2012-07-06,34,48.04
2012-07-13,53,48.19
2012-07-20,62,48.59
2012-07-27,65,49.94
2012-08-03,55,49.77
2012-08-10,58,49.65
2012-08-17,55,50.46
2012-08-24,48,49.56
2012-08-31,50,49.47
2012-09-07,38,51.74
2012-09-14,53,52.35
2012-09-21,66,52.74
2012-09-28,38,52.28
2012-10-05,58,52.97
2012-10-12,65,50.59
2012-10-19,38,51.90
2012-10-26,63,50.08
2012-11-02,100,49.86
2012-11-09,55,47.06
2012-11-16,51,47.42
2012-11-23,61,49.26
2012-11-30,55,49.66
2012-12-07,62,49.24
2012-12-14,75,48.67
2012-12-21,62,50.00
2012-12-28,69,49.15
2013-01-04,64,52.19
2013-01-11,52,50.58
2013-01-18,58,52.34
2013-01-25,66,54.38
2013-02-01,70,54.59
2013-02-08,57,54.66
2013-02-15,68,55.61
2013-02-22,71,54.25
2013-03-01,60,55.33
2013-03-08,61,57.39
2013-03-15,68,57.58
2013-03-22,55,56.78
2013-03-29,62,
2013-04-05,50,57.70
2013-04-12,60,60.55
2013-04-19,54,61.56
2013-04-26,52,61.87
2013-05-03,48,64.80
2013-05-10,60,67.20
2013-05-17,47,66.58
2013-05-24,56,65.49
2013-05-31,61,63.08
2013-06-07,59,64.85
2013-06-14,50,63.80
2013-06-21,43,62.73
2013-06-28,55,63.15
2013-07-05,56,63.82
2013-07-12,57,66.98
2013-07-19,69,65.16
2013-07-26,64,64.98
2013-08-02,67,66.51
2013-08-09,60,64.73
2013-08-16,67,62.17
2013-08-23,75,61.73
2013-08-30,43,60.83
2013-09-06,59,61.39
2013-09-13,51,66.69
2013-09-20,60,65.01
2013-09-27,66,65.19
2013-10-04,59,65.30
2013-10-11,65,66.21
2013-10-18,73,67.15
2013-10-25,59,69.26
2013-11-01,45,69.01
2013-11-08,48,68.58
2013-11-15,63,70.00
2013-11-22,56,70.20
2013-11-29,74,70.54
2013-12-06,73,71.46
2013-12-13,65,69.62
2013-12-20,73,72.40
2013-12-27,61,74.35
2014-01-03,72,76.11
2014-01-10,72,75.39
2014-01-17,64,73.98
2014-01-24,71,72.72
2014-01-31,55,72.61
2014-02-07,54,75.67
2014-02-14,67,79.23
2014-02-21,80,80.13
2014-02-28,62,80.81
2014-03-07,77,82.21
2014-03-14,76,80.07
2014-03-21,72,80.35
2014-03-28,73,78.99
2014-04-04,70,80.43
2014-04-11,71,77.01
2014-04-18,74,
2014-04-25,61,78.23
2014-05-02,75,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
