Date,sell McDonald's,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,27.16
2004-02-13,0,26.63
2004-02-20,0,27.16
2004-02-27,0,28.30
2004-03-05,0,29.85
2004-03-12,0,29.01
2004-03-19,0,28.10
2004-03-26,0,27.87
2004-04-02,0,28.94
2004-04-09,0,
2004-04-16,0,27.46
2004-04-23,0,27.34
2004-04-30,0,27.23
2004-05-07,0,26.71
2004-05-14,0,26.17
2004-05-21,0,25.45
2004-05-28,0,26.40
2004-06-04,0,26.86
2004-06-11,0,
2004-06-18,0,26.92
2004-06-25,0,26.99
2004-07-02,0,26.12
2004-07-09,0,26.51
2004-07-16,0,27.81
2004-07-23,0,27.08
2004-07-30,0,27.50
2004-08-06,0,26.34
2004-08-13,0,25.81
2004-08-20,0,27.07
2004-08-27,0,27.17
2004-09-03,0,27.76
2004-09-10,0,27.05
2004-09-17,0,27.67
2004-09-24,0,27.60
2004-10-01,0,28.14
2004-10-08,0,27.94
2004-10-15,0,28.99
2004-10-22,0,28.52
2004-10-29,0,29.15
2004-11-05,0,30.06
2004-11-12,0,30.50
2004-11-19,0,29.30
2004-11-26,0,30.57
2004-12-03,0,31.28
2004-12-10,0,31.65
2004-12-17,0,32.54
2004-12-24,0,
2004-12-31,0,32.06
2005-01-07,0,31.87
2005-01-14,0,31.31
2005-01-21,0,31.25
2005-01-28,0,32.00
2005-02-04,0,32.57
2005-02-11,0,32.25
2005-02-18,0,32.33
2005-02-25,0,32.98
2005-03-04,0,33.96
2005-03-11,0,32.59
2005-03-18,0,31.90
2005-03-25,0,
2005-04-01,0,31.00
2005-04-08,0,31.14
2005-04-15,0,30.30
2005-04-22,0,30.06
2005-04-29,0,29.31
2005-05-06,0,29.38
2005-05-13,0,29.65
2005-05-20,0,30.94
2005-05-27,0,31.26
2005-06-03,0,30.51
2005-06-10,0,29.53
2005-06-17,0,29.00
2005-06-24,0,28.28
2005-07-01,0,27.94
2005-07-08,0,28.65
2005-07-15,0,30.99
2005-07-22,0,30.94
2005-07-29,0,31.17
2005-08-05,0,31.30
2005-08-12,0,33.25
2005-08-19,0,33.38
2005-08-26,0,33.48
2005-09-02,0,31.90
2005-09-09,0,34.14
2005-09-16,0,34.24
2005-09-23,0,32.64
2005-09-30,0,33.49
2005-10-07,0,32.22
2005-10-14,0,32.32
2005-10-21,0,32.48
2005-10-28,0,32.29
2005-11-04,0,33.43
2005-11-11,0,33.80
2005-11-18,0,33.09
2005-11-25,0,33.46
2005-12-02,0,34.91
2005-12-09,0,34.84
2005-12-16,0,34.75
2005-12-23,0,34.55
2005-12-30,0,33.72
2006-01-06,0,34.06
2006-01-13,0,34.47
2006-01-20,0,35.86
2006-01-27,0,35.05
2006-02-03,0,35.97
2006-02-10,0,36.33
2006-02-17,0,36.06
2006-02-24,0,35.34
2006-03-03,0,34.85
2006-03-10,0,34.65
2006-03-17,0,35.10
2006-03-24,0,34.70
2006-03-31,0,34.36
2006-04-07,0,34.88
2006-04-14,0,
2006-04-21,0,34.60
2006-04-28,0,34.57
2006-05-05,0,35.21
2006-05-12,0,34.88
2006-05-19,0,34.15
2006-05-26,0,32.92
2006-06-02,0,33.51
2006-06-09,0,33.38
2006-06-16,0,33.14
2006-06-23,0,32.60
2006-06-30,0,33.60
2006-07-07,0,33.18
2006-07-14,0,33.04
2006-07-21,0,34.70
2006-07-28,0,35.29
2006-08-04,0,35.41
2006-08-11,0,34.69
2006-08-18,0,36.18
2006-08-25,0,35.23
2006-09-01,0,36.76
2006-09-08,0,37.50
2006-09-15,0,37.73
2006-09-22,0,38.21
2006-09-29,0,39.12
2006-10-06,0,40.11
2006-10-13,0,42.11
2006-10-20,0,41.47
2006-10-27,0,41.47
2006-11-03,0,41.24
2006-11-10,0,41.97
2006-11-17,0,41.82
2006-11-24,0,41.88
2006-12-01,0,42.08
2006-12-08,0,43.76
2006-12-15,0,43.41
2006-12-22,0,43.57
2006-12-29,0,44.33
2007-01-05,0,43.54
2007-01-12,0,44.22
2007-01-19,0,44.81
2007-01-26,0,42.93
2007-02-02,0,44.54
2007-02-09,0,44.56
2007-02-16,0,45.32
2007-02-23,0,46.01
2007-03-02,0,43.67
2007-03-09,0,44.15
2007-03-16,0,43.48
2007-03-23,0,45.05
2007-03-30,0,45.05
2007-04-06,0,
2007-04-13,0,47.64
2007-04-20,0,48.36
2007-04-27,0,48.95
2007-05-04,0,49.92
2007-05-11,0,50.65
2007-05-18,0,52.33
2007-05-25,0,50.90
2007-06-01,0,50.95
2007-06-08,0,51.41
2007-06-15,0,52.17
2007-06-22,0,50.42
2007-06-29,0,50.76
2007-07-06,0,51.43
2007-07-13,0,51.91
2007-07-20,0,52.09
2007-07-27,0,48.76
2007-08-03,0,48.52
2007-08-10,0,49.41
2007-08-17,0,47.57
2007-08-24,0,50.12
2007-08-31,0,49.25
2007-09-07,0,49.24
2007-09-14,0,55.45
2007-09-21,0,54.80
2007-09-28,0,54.47
2007-10-05,0,56.37
2007-10-12,0,57.02
2007-10-19,0,56.42
2007-10-26,0,58.47
2007-11-02,0,59.02
2007-11-09,0,58.31
2007-11-16,0,58.13
2007-11-23,0,57.72
2007-11-30,0,58.47
2007-12-07,0,60.16
2007-12-14,0,61.16
2007-12-21,0,60.03
2007-12-28,0,59.50
2008-01-04,0,57.05
2008-01-11,0,54.32
2008-01-18,0,52.40
2008-01-25,0,54.10
2008-02-01,0,54.22
2008-02-08,0,55.64
2008-02-15,0,55.30
2008-02-22,0,55.69
2008-02-29,0,54.11
2008-03-07,0,52.27
2008-03-14,0,54.78
2008-03-21,0,
2008-03-28,0,55.48
2008-04-04,0,55.72
2008-04-11,0,55.40
2008-04-18,0,58.30
2008-04-25,0,59.67
2008-05-02,0,60.95
2008-05-09,0,59.24
2008-05-16,0,60.53
2008-05-23,0,57.73
2008-05-30,0,59.32
2008-06-06,0,56.95
2008-06-13,0,59.95
2008-06-20,0,57.40
2008-06-27,0,56.50
2008-07-04,0,
2008-07-11,0,57.32
2008-07-18,0,60.44
2008-07-25,0,58.65
2008-08-01,0,59.77
2008-08-08,0,65.67
2008-08-15,0,63.63
2008-08-22,0,63.42
2008-08-29,0,62.00
2008-09-05,0,60.30
2008-09-12,0,64.06
2008-09-19,0,63.98
2008-09-26,0,63.20
2008-10-03,0,60.23
2008-10-10,0,53.35
2008-10-17,0,53.80
2008-10-24,0,53.06
2008-10-31,0,57.93
2008-11-07,0,55.47
2008-11-14,0,56.13
2008-11-21,0,55.15
2008-11-28,0,58.75
2008-12-05,37,62.72
2008-12-12,0,60.59
2008-12-19,0,60.32
2008-12-26,0,61.06
2009-01-02,0,63.75
2009-01-09,0,60.07
2009-01-16,0,59.67
2009-01-23,0,58.02
2009-01-30,0,58.02
2009-02-06,0,58.46
2009-02-13,0,56.81
2009-02-20,0,54.57
2009-02-27,0,52.25
2009-03-06,0,52.12
2009-03-13,0,52.38
2009-03-20,0,53.20
2009-03-27,0,55.01
2009-04-03,0,56.64
2009-04-10,30,
2009-04-17,29,56.09
2009-04-24,0,54.31
2009-05-01,0,52.40
2009-05-08,0,54.92
2009-05-15,0,53.46
2009-05-22,0,57.08
2009-05-29,0,58.99
2009-06-05,0,59.87
2009-06-12,0,58.36
2009-06-19,0,58.17
2009-06-26,0,57.00
2009-07-03,0,
2009-07-10,0,57.05
2009-07-17,0,57.84
2009-07-24,0,56.08
2009-07-31,0,55.06
2009-08-07,0,55.20
2009-08-14,0,55.27
2009-08-21,0,56.27
2009-08-28,0,56.07
2009-09-04,0,56.14
2009-09-11,0,54.39
2009-09-18,0,57.00
2009-09-25,0,56.95
2009-10-02,25,56.71
2009-10-09,27,56.70
2009-10-16,24,58.78
2009-10-23,24,59.43
2009-10-30,26,58.61
2009-11-06,29,61.72
2009-11-13,32,63.58
2009-11-20,26,63.97
2009-11-27,26,63.60
2009-12-04,24,61.59
2009-12-11,24,61.66
2009-12-18,24,62.17
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,61.84
2010-01-15,0,62.28
2010-01-22,0,63.39
2010-01-29,0,62.43
2010-02-05,0,63.37
2010-02-12,30,63.59
2010-02-19,26,64.74
2010-02-26,21,63.85
2010-03-05,21,63.67
2010-03-12,21,65.53
2010-03-19,22,66.53
2010-03-26,24,67.26
2010-04-02,25,
2010-04-09,27,68.68
2010-04-16,25,69.03
2010-04-23,22,71.15
2010-04-30,22,70.59
2010-05-07,22,68.01
2010-05-14,24,69.59
2010-05-21,26,67.86
2010-05-28,24,66.87
2010-06-04,33,66.70
2010-06-11,22,69.54
2010-06-18,24,69.88
2010-06-25,24,67.42
2010-07-02,24,66.14
2010-07-09,26,69.22
2010-07-16,27,69.94
2010-07-23,29,69.90
2010-07-30,27,69.73
2010-08-06,27,71.74
2010-08-13,27,71.89
2010-08-20,27,73.08
2010-08-27,24,73.99
2010-09-03,23,75.09
2010-09-10,24,75.01
2010-09-17,25,74.32
2010-09-24,28,75.10
2010-10-01,24,74.92
2010-10-08,37,76.10
2010-10-15,22,77.48
2010-10-22,25,78.55
2010-10-29,31,77.77
2010-11-05,18,79.30
2010-11-12,20,78.85
2010-11-19,39,79.64
2010-11-26,21,78.54
2010-12-03,26,79.76
2010-12-10,28,77.56
2010-12-17,24,76.81
2010-12-24,31,
2010-12-31,28,76.76
2011-01-07,28,74.37
2011-01-14,30,74.06
2011-01-21,23,75.01
2011-01-28,23,73.28
2011-02-04,30,74.05
2011-02-11,32,76.14
2011-02-18,22,76.13
2011-02-25,19,74.44
2011-03-04,33,76.03
2011-03-11,24,76.73
2011-03-18,19,72.99
2011-03-25,32,75.25
2011-04-01,25,75.99
2011-04-08,35,76.04
2011-04-15,24,77.38
2011-04-22,40,
2011-04-29,35,78.31
2011-05-06,26,78.70
2011-05-13,29,80.74
2011-05-20,24,82.33
2011-05-27,37,81.62
2011-06-03,28,80.54
2011-06-10,28,80.36
2011-06-17,33,82.52
2011-06-24,25,81.84
2011-07-01,21,85.65
2011-07-08,26,85.60
2011-07-15,24,85.48
2011-07-22,27,88.56
2011-07-29,28,86.48
2011-08-05,30,85.08
2011-08-12,25,86.50
2011-08-19,20,87.23
2011-08-26,21,89.93
2011-09-02,27,89.09
2011-09-09,20,85.03
2011-09-16,25,88.29
2011-09-23,22,87.37
2011-09-30,29,87.82
2011-10-07,45,87.20
2011-10-14,46,89.94
2011-10-21,40,92.32
2011-10-28,36,93.29
2011-11-04,25,93.81
2011-11-11,43,94.76
2011-11-18,30,92.74
2011-11-25,19,92.10
2011-12-02,35,95.70
2011-12-09,28,98.03
2011-12-16,33,97.49
2011-12-23,26,100.15
2011-12-30,19,100.33
2012-01-06,26,100.60
2012-01-13,24,100.35
2012-01-20,20,101.74
2012-01-27,27,98.69
2012-02-03,41,100.01
2012-02-10,34,99.47
2012-02-17,36,99.99
2012-02-24,30,100.32
2012-03-02,20,99.50
2012-03-09,27,96.84
2012-03-16,36,97.66
2012-03-23,100,95.55
2012-03-30,24,98.10
2012-04-06,25,
2012-04-13,35,96.97
2012-04-20,40,95.94
2012-04-27,32,97.38
2012-05-04,36,95.87
2012-05-11,31,91.90
2012-05-18,25,89.85
2012-05-25,34,91.05
2012-06-01,26,86.71
2012-06-08,45,87.75
2012-06-15,23,90.50
2012-06-22,35,88.35
2012-06-29,44,88.53
2012-07-06,31,89.66
2012-07-13,22,92.29
2012-07-20,28,91.58
2012-07-27,50,89.19
2012-08-03,32,89.59
2012-08-10,30,88.20
2012-08-17,43,87.36
2012-08-24,38,88.92
2012-08-31,29,89.49
2012-09-07,28,91.02
2012-09-14,45,91.70
2012-09-21,31,93.71
2012-09-28,38,91.75
2012-10-05,38,91.00
2012-10-12,36,92.51
2012-10-19,37,88.72
2012-10-26,40,86.71
2012-11-02,32,86.86
2012-11-09,45,84.74
2012-11-16,36,84.12
2012-11-23,43,87.05
2012-11-30,32,87.04
2012-12-07,38,88.48
2012-12-14,30,88.88
2012-12-21,38,90.18
2012-12-28,37,87.58
2013-01-04,36,89.85
2013-01-11,47,91.73
2013-01-18,50,92.26
2013-01-25,40,93.72
2013-02-01,30,95.95
2013-02-08,35,94.87
2013-02-15,39,93.90
2013-02-22,25,95.25
2013-03-01,30,95.68
2013-03-08,43,98.71
2013-03-15,29,99.67
2013-03-22,38,99.27
2013-03-29,45,
2013-04-05,36,101.42
2013-04-12,46,103.59
2013-04-19,40,99.92
2013-04-26,42,100.89
2013-05-03,50,102.92
2013-05-10,35,100.20
2013-05-17,53,101.54
2013-05-24,43,100.29
2013-05-31,36,96.57
2013-06-07,38,98.28
2013-06-14,38,98.42
2013-06-21,43,97.23
2013-06-28,39,99.00
2013-07-05,44,99.86
2013-07-12,43,101.58
2013-07-19,54,100.27
2013-07-26,41,98.03
2013-08-02,68,99.20
2013-08-09,47,97.62
2013-08-16,34,95.03
2013-08-23,31,95.13
2013-08-30,36,94.36
2013-09-06,44,96.26
2013-09-13,56,97.35
2013-09-20,40,96.90
2013-09-27,35,97.12
2013-10-04,44,94.70
2013-10-11,34,94.74
2013-10-18,44,95.20
2013-10-25,40,94.78
2013-11-01,38,97.24
2013-11-08,38,97.01
2013-11-15,37,96.92
2013-11-22,42,98.27
2013-11-29,45,97.37
2013-12-06,34,96.80
2013-12-13,45,94.44
2013-12-20,44,96.51
2013-12-27,43,96.91
2014-01-03,37,96.54
2014-01-10,35,95.80
2014-01-17,26,94.93
2014-01-24,35,94.43
2014-01-31,42,94.17
2014-02-07,45,95.92
2014-02-14,40,95.78
2014-02-21,35,96.45
2014-02-28,42,95.15
2014-03-07,38,95.50
2014-03-14,51,97.58
2014-03-21,39,95.47
2014-03-28,29,97.24
2014-04-04,51,97.87
2014-04-11,40,99.29
2014-04-18,37,
2014-04-25,48,100.73
2014-05-02,40,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
