Date,sell Microsoft,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,27.08
2004-02-13,0,26.59
2004-02-20,0,26.57
2004-02-27,0,26.53
2004-03-05,0,26.35
2004-03-12,0,25.38
2004-03-19,0,24.63
2004-03-26,0,25.03
2004-04-02,0,25.85
2004-04-09,0,
2004-04-16,0,25.16
2004-04-23,0,27.54
2004-04-30,0,26.13
2004-05-07,0,25.78
2004-05-14,0,25.86
2004-05-21,0,25.89
2004-05-28,0,26.23
2004-06-04,0,25.95
2004-06-11,0,
2004-06-18,0,28.35
2004-06-25,0,28.57
2004-07-02,0,28.57
2004-07-09,0,27.86
2004-07-16,0,27.48
2004-07-23,0,28.03
2004-07-30,0,28.49
2004-08-06,0,27.14
2004-08-13,0,27.02
2004-08-20,0,27.20
2004-08-27,0,27.46
2004-09-03,0,27.11
2004-09-10,0,27.49
2004-09-17,0,27.51
2004-09-24,0,27.29
2004-10-01,0,28.25
2004-10-08,0,27.99
2004-10-15,0,27.99
2004-10-22,0,27.74
2004-10-29,0,27.97
2004-11-05,0,29.31
2004-11-12,0,29.97
2004-11-19,0,26.86
2004-11-26,0,26.60
2004-12-03,0,27.23
2004-12-10,0,27.08
2004-12-17,0,26.96
2004-12-24,0,
2004-12-31,0,26.72
2005-01-07,0,26.67
2005-01-14,0,26.12
2005-01-21,0,25.65
2005-01-28,0,26.18
2005-02-04,0,26.32
2005-02-11,0,25.97
2005-02-18,0,25.48
2005-02-25,0,25.25
2005-03-04,0,25.17
2005-03-11,0,25.09
2005-03-18,0,24.31
2005-03-25,0,
2005-04-01,0,24.12
2005-04-08,0,24.94
2005-04-15,0,24.46
2005-04-22,0,24.98
2005-04-29,0,25.30
2005-05-06,0,25.22
2005-05-13,0,25.30
2005-05-20,0,25.74
2005-05-27,0,26.07
2005-06-03,0,25.43
2005-06-10,0,25.43
2005-06-17,0,25.04
2005-06-24,0,25.04
2005-07-01,0,24.71
2005-07-08,0,25.09
2005-07-15,0,25.79
2005-07-22,0,25.68
2005-07-29,0,25.61
2005-08-05,0,27.76
2005-08-12,0,27.05
2005-08-19,0,26.72
2005-08-26,0,26.97
2005-09-02,0,27.02
2005-09-09,0,26.58
2005-09-16,0,26.07
2005-09-23,0,25.27
2005-09-30,0,25.73
2005-10-07,0,24.59
2005-10-14,0,24.67
2005-10-21,0,24.78
2005-10-28,0,25.53
2005-11-04,0,26.66
2005-11-11,0,27.28
2005-11-18,0,28.07
2005-11-25,0,27.76
2005-12-02,0,28.01
2005-12-09,0,27.71
2005-12-16,0,26.90
2005-12-23,0,26.64
2005-12-30,0,26.15
2006-01-06,0,26.91
2006-01-13,0,27.19
2006-01-20,0,26.41
2006-01-27,0,27.79
2006-02-03,0,27.54
2006-02-10,0,26.69
2006-02-17,0,26.70
2006-02-24,0,26.63
2006-03-03,0,26.93
2006-03-10,0,27.17
2006-03-17,0,27.50
2006-03-24,0,27.01
2006-03-31,0,27.21
2006-04-07,0,27.25
2006-04-14,0,
2006-04-21,0,27.15
2006-04-28,0,24.15
2006-05-05,0,23.80
2006-05-12,0,23.17
2006-05-19,0,22.56
2006-05-26,0,23.72
2006-06-02,0,22.76
2006-06-09,0,21.92
2006-06-16,0,22.10
2006-06-23,0,22.50
2006-06-30,0,23.30
2006-07-07,0,23.30
2006-07-14,0,22.29
2006-07-21,0,23.87
2006-07-28,0,24.25
2006-08-04,0,24.29
2006-08-11,0,24.43
2006-08-18,0,25.79
2006-08-25,0,25.85
2006-09-01,0,25.84
2006-09-08,0,25.60
2006-09-15,0,26.85
2006-09-22,0,26.66
2006-09-29,0,27.35
2006-10-06,0,27.87
2006-10-13,0,28.37
2006-10-20,0,28.43
2006-10-27,0,28.34
2006-11-03,0,28.73
2006-11-10,0,29.24
2006-11-17,52,29.40
2006-11-24,51,29.76
2006-12-01,51,29.12
2006-12-08,0,29.40
2006-12-15,0,30.19
2006-12-22,0,29.64
2006-12-29,0,29.86
2007-01-05,0,29.64
2007-01-12,0,31.21
2007-01-19,0,31.11
2007-01-26,0,30.60
2007-02-02,47,30.19
2007-02-09,49,28.98
2007-02-16,51,28.74
2007-02-23,52,28.90
2007-03-02,46,27.76
2007-03-09,46,27.29
2007-03-16,46,27.33
2007-03-23,0,28.02
2007-03-30,0,27.87
2007-04-06,0,
2007-04-13,0,28.61
2007-04-20,0,29.02
2007-04-27,0,30.12
2007-05-04,0,30.56
2007-05-11,0,30.89
2007-05-18,0,30.83
2007-05-25,0,30.48
2007-06-01,0,30.59
2007-06-08,0,30.05
2007-06-15,0,30.49
2007-06-22,0,29.49
2007-06-29,0,29.47
2007-07-06,0,29.97
2007-07-13,0,29.82
2007-07-20,0,31.16
2007-07-27,45,29.39
2007-08-03,42,28.96
2007-08-10,42,28.71
2007-08-17,42,28.25
2007-08-24,42,28.81
2007-08-31,42,28.73
2007-09-07,42,28.44
2007-09-14,36,29.04
2007-09-21,36,28.65
2007-09-28,57,29.46
2007-10-05,50,29.84
2007-10-12,47,30.17
2007-10-19,37,30.17
2007-10-26,37,35.03
2007-11-02,33,37.06
2007-11-09,33,33.73
2007-11-16,33,34.09
2007-11-23,35,34.11
2007-11-30,36,33.60
2007-12-07,43,34.53
2007-12-14,38,35.31
2007-12-21,38,36.06
2007-12-28,38,36.12
2008-01-04,38,34.38
2008-01-11,31,33.91
2008-01-18,31,33.01
2008-01-25,31,32.94
2008-02-01,40,30.45
2008-02-08,37,28.56
2008-02-15,37,28.42
2008-02-22,36,27.68
2008-02-29,35,27.20
2008-03-07,38,27.87
2008-03-14,41,27.96
2008-03-21,44,
2008-03-28,47,27.91
2008-04-04,50,29.16
2008-04-11,38,28.28
2008-04-18,38,30.00
2008-04-25,38,29.83
2008-05-02,38,29.24
2008-05-09,38,29.39
2008-05-16,40,29.99
2008-05-23,46,28.05
2008-05-30,29,28.32
2008-06-06,29,27.49
2008-06-13,29,29.07
2008-06-20,29,28.23
2008-06-27,45,27.63
2008-07-04,37,
2008-07-11,53,25.25
2008-07-18,39,25.86
2008-07-25,36,26.16
2008-08-01,50,25.44
2008-08-08,33,28.13
2008-08-15,33,27.81
2008-08-22,49,27.84
2008-08-29,30,27.29
2008-09-05,30,25.65
2008-09-12,48,27.62
2008-09-19,26,25.16
2008-09-26,31,27.40
2008-10-03,29,26.32
2008-10-10,33,21.50
2008-10-17,30,23.93
2008-10-24,25,21.96
2008-10-31,53,22.33
2008-11-07,32,21.50
2008-11-14,32,20.06
2008-11-21,32,19.68
2008-11-28,29,20.22
2008-12-05,31,19.87
2008-12-12,42,19.36
2008-12-19,34,19.12
2008-12-26,33,19.13
2009-01-02,34,20.33
2009-01-09,35,19.52
2009-01-16,23,19.71
2009-01-23,32,17.20
2009-01-30,44,17.10
2009-02-06,38,19.66
2009-02-13,40,19.09
2009-02-20,25,18.00
2009-02-27,36,16.15
2009-03-06,29,15.28
2009-03-13,22,16.65
2009-03-20,31,17.06
2009-03-27,41,18.13
2009-04-03,37,18.75
2009-04-10,35,
2009-04-17,29,19.20
2009-04-24,35,20.91
2009-05-01,40,20.24
2009-05-08,46,19.42
2009-05-15,53,20.22
2009-05-22,40,19.75
2009-05-29,29,20.89
2009-06-05,29,22.14
2009-06-12,35,23.33
2009-06-19,40,24.07
2009-06-26,48,23.35
2009-07-03,28,
2009-07-10,45,22.39
2009-07-17,39,24.29
2009-07-24,39,23.45
2009-07-31,39,23.52
2009-08-07,41,23.56
2009-08-14,76,23.69
2009-08-21,45,24.41
2009-08-28,29,24.68
2009-09-04,26,24.62
2009-09-11,28,24.86
2009-09-18,39,25.26
2009-09-25,47,25.55
2009-10-02,27,24.96
2009-10-09,33,25.55
2009-10-16,23,26.50
2009-10-23,52,28.02
2009-10-30,48,27.73
2009-11-06,40,28.52
2009-11-13,44,29.63
2009-11-20,40,29.62
2009-11-27,39,29.22
2009-12-04,36,29.98
2009-12-11,27,29.85
2009-12-18,29,30.36
2009-12-25,38,
2010-01-01,47,
2010-01-08,39,30.66
2010-01-15,31,30.86
2010-01-22,37,28.96
2010-01-29,23,28.18
2010-02-05,27,28.02
2010-02-12,25,27.93
2010-02-19,27,28.77
2010-02-26,33,28.67
2010-03-05,36,28.59
2010-03-12,33,29.27
2010-03-19,23,29.59
2010-03-26,30,29.66
2010-04-02,60,
2010-04-09,35,30.34
2010-04-16,33,30.67
2010-04-23,28,30.96
2010-04-30,34,30.54
2010-05-07,30,28.21
2010-05-14,41,28.93
2010-05-21,36,26.84
2010-05-28,17,25.80
2010-06-04,28,25.79
2010-06-11,31,25.66
2010-06-18,40,26.44
2010-06-25,22,24.53
2010-07-02,36,23.27
2010-07-09,25,24.27
2010-07-16,34,24.89
2010-07-23,41,25.81
2010-07-30,39,25.81
2010-08-06,26,25.55
2010-08-13,27,24.40
2010-08-20,37,24.23
2010-08-27,39,23.93
2010-09-03,32,24.29
2010-09-10,23,23.85
2010-09-17,28,25.22
2010-09-24,31,24.78
2010-10-01,23,24.38
2010-10-08,46,24.57
2010-10-15,27,25.54
2010-10-22,25,25.38
2010-10-29,38,26.67
2010-11-05,29,26.85
2010-11-12,54,26.27
2010-11-19,36,25.69
2010-11-26,22,25.25
2010-12-03,28,27.02
2010-12-10,33,27.34
2010-12-17,29,27.90
2010-12-24,24,
2010-12-31,30,27.91
2011-01-07,32,28.60
2011-01-14,39,28.30
2011-01-21,37,28.02
2011-01-28,33,27.75
2011-02-04,44,27.77
2011-02-11,34,27.25
2011-02-18,39,27.06
2011-02-25,30,26.55
2011-03-04,27,25.95
2011-03-11,42,25.68
2011-03-18,32,24.80
2011-03-25,27,25.62
2011-04-01,29,25.48
2011-04-08,28,26.07
2011-04-15,35,25.37
2011-04-22,37,
2011-04-29,36,25.92
2011-05-06,49,25.87
2011-05-13,45,25.03
2011-05-20,39,24.49
2011-05-27,29,24.76
2011-06-03,25,23.91
2011-06-10,19,23.71
2011-06-17,34,24.26
2011-06-24,31,24.30
2011-07-01,30,26.02
2011-07-08,30,26.92
2011-07-15,28,26.78
2011-07-22,26,27.53
2011-07-29,31,27.40
2011-08-05,30,25.68
2011-08-12,22,25.10
2011-08-19,43,24.05
2011-08-26,39,25.25
2011-09-02,24,25.80
2011-09-09,35,25.74
2011-09-16,19,27.12
2011-09-23,33,25.06
2011-09-30,27,24.89
2011-10-07,29,26.25
2011-10-14,28,27.27
2011-10-21,34,27.16
2011-10-28,39,26.98
2011-11-04,35,26.25
2011-11-11,28,26.91
2011-11-18,31,25.30
2011-11-25,23,24.30
2011-12-02,30,25.22
2011-12-09,22,25.70
2011-12-16,33,26.00
2011-12-23,27,26.03
2011-12-30,37,25.96
2012-01-06,25,28.11
2012-01-13,34,28.25
2012-01-20,31,29.71
2012-01-27,37,29.23
2012-02-03,32,30.24
2012-02-10,34,30.50
2012-02-17,26,31.25
2012-02-24,23,31.48
2012-03-02,31,32.08
2012-03-09,29,31.99
2012-03-16,38,32.60
2012-03-23,38,32.01
2012-03-30,31,32.26
2012-04-06,34,
2012-04-13,34,30.81
2012-04-20,38,32.42
2012-04-27,33,31.98
2012-05-04,35,30.98
2012-05-11,51,31.16
2012-05-18,28,29.27
2012-05-25,33,29.06
2012-06-01,36,28.45
2012-06-08,32,29.65
2012-06-15,30,30.02
2012-06-22,37,30.70
2012-06-29,35,30.59
2012-07-06,32,30.19
2012-07-13,38,29.39
2012-07-20,38,30.12
2012-07-27,30,29.76
2012-08-03,24,29.75
2012-08-10,43,30.42
2012-08-17,35,30.90
2012-08-24,42,30.56
2012-08-31,40,30.82
2012-09-07,39,30.95
2012-09-14,45,31.21
2012-09-21,32,31.19
2012-09-28,37,29.76
2012-10-05,32,29.85
2012-10-12,26,29.20
2012-10-19,47,28.64
2012-10-26,60,28.21
2012-11-02,50,29.50
2012-11-09,47,28.83
2012-11-16,35,26.52
2012-11-23,44,27.70
2012-11-30,35,26.62
2012-12-07,34,26.46
2012-12-14,46,26.81
2012-12-21,39,27.45
2012-12-28,38,26.55
2013-01-04,52,26.74
2013-01-11,40,26.83
2013-01-18,36,27.25
2013-01-25,42,27.88
2013-02-01,46,27.93
2013-02-08,46,27.55
2013-02-15,45,28.01
2013-02-22,40,27.76
2013-03-01,39,27.95
2013-03-08,45,28.00
2013-03-15,33,28.04
2013-03-22,33,28.25
2013-03-29,42,
2013-04-05,39,28.70
2013-04-12,36,28.79
2013-04-19,45,29.77
2013-04-26,37,31.79
2013-05-03,42,33.49
2013-05-10,30,32.69
2013-05-17,26,34.87
2013-05-24,31,34.27
2013-05-31,32,34.90
2013-06-07,43,35.67
2013-06-14,53,34.40
2013-06-21,37,33.27
2013-06-28,35,34.54
2013-07-05,34,34.21
2013-07-12,40,35.67
2013-07-19,38,31.40
2013-07-26,33,31.62
2013-08-02,38,31.89
2013-08-09,36,32.70
2013-08-16,38,31.80
2013-08-23,35,34.75
2013-08-30,45,33.40
2013-09-06,100,31.15
2013-09-13,49,33.03
2013-09-20,49,32.79
2013-09-27,51,33.27
2013-10-04,41,33.88
2013-10-11,37,34.13
2013-10-18,58,34.96
2013-10-25,44,35.73
2013-11-01,46,35.53
2013-11-08,51,37.78
2013-11-15,53,37.84
2013-11-22,64,37.57
2013-11-29,46,38.13
2013-12-06,44,38.36
2013-12-13,47,36.69
2013-12-20,35,36.80
2013-12-27,30,37.29
2014-01-03,43,36.91
2014-01-10,45,36.04
2014-01-17,32,36.38
2014-01-24,44,36.81
2014-01-31,46,37.84
2014-02-07,45,36.56
2014-02-14,41,37.62
2014-02-21,46,37.98
2014-02-28,38,38.31
2014-03-07,39,37.90
2014-03-14,35,37.70
2014-03-21,31,40.16
2014-03-28,46,40.30
2014-04-04,35,39.87
2014-04-11,33,39.21
2014-04-18,33,
2014-04-25,42,39.91
2014-05-02,37,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
