Date,sell Verizon,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,37.15
2004-02-13,0,37.65
2004-02-20,0,37.18
2004-02-27,0,38.33
2004-03-05,0,38.98
2004-03-12,0,37.91
2004-03-19,0,37.47
2004-03-26,0,36.02
2004-04-02,0,37.24
2004-04-09,0,
2004-04-16,0,36.75
2004-04-23,0,37.54
2004-04-30,0,37.74
2004-05-07,0,36.78
2004-05-14,0,36.36
2004-05-21,0,35.77
2004-05-28,0,34.58
2004-06-04,0,34.96
2004-06-11,0,
2004-06-18,0,36.17
2004-06-25,0,35.77
2004-07-02,0,36.07
2004-07-09,0,35.44
2004-07-16,0,34.60
2004-07-23,0,35.32
2004-07-30,0,38.54
2004-08-06,0,38.35
2004-08-13,0,39.07
2004-08-20,0,39.60
2004-08-27,0,38.96
2004-09-03,0,40.06
2004-09-10,0,40.34
2004-09-17,0,40.57
2004-09-24,0,40.31
2004-10-01,0,40.04
2004-10-08,0,40.73
2004-10-15,0,40.87
2004-10-22,0,38.97
2004-10-29,0,39.10
2004-11-05,0,41.01
2004-11-12,0,42.22
2004-11-19,0,41.10
2004-11-26,0,41.03
2004-12-03,0,42.02
2004-12-10,0,40.80
2004-12-17,0,40.90
2004-12-24,0,
2004-12-31,0,40.51
2005-01-07,0,39.41
2005-01-14,0,36.84
2005-01-21,0,36.50
2005-01-28,0,35.68
2005-02-04,0,36.85
2005-02-11,0,36.31
2005-02-18,0,35.31
2005-02-25,0,36.20
2005-03-04,0,36.42
2005-03-11,0,36.07
2005-03-18,0,35.15
2005-03-25,0,
2005-04-01,0,35.19
2005-04-08,0,35.07
2005-04-15,0,34.15
2005-04-22,0,34.06
2005-04-29,0,35.80
2005-05-06,0,34.56
2005-05-13,0,34.09
2005-05-20,0,35.20
2005-05-27,0,35.46
2005-06-03,0,35.17
2005-06-10,0,34.85
2005-06-17,0,35.03
2005-06-24,0,34.47
2005-07-01,0,34.57
2005-07-08,0,34.40
2005-07-15,0,34.69
2005-07-22,0,34.17
2005-07-29,0,34.23
2005-08-05,0,33.32
2005-08-12,0,33.05
2005-08-19,0,33.07
2005-08-26,0,32.60
2005-09-02,0,32.48
2005-09-09,0,32.73
2005-09-16,0,32.81
2005-09-23,0,32.16
2005-09-30,0,32.69
2005-10-07,0,30.59
2005-10-14,0,29.90
2005-10-21,0,29.52
2005-10-28,0,31.70
2005-11-04,0,30.90
2005-11-11,0,31.40
2005-11-18,0,31.70
2005-11-25,0,31.98
2005-12-02,0,31.87
2005-12-09,0,31.08
2005-12-16,0,30.49
2005-12-23,0,30.48
2005-12-30,0,30.12
2006-01-06,0,31.35
2006-01-13,0,32.18
2006-01-20,0,30.94
2006-01-27,0,32.14
2006-02-03,0,31.61
2006-02-10,0,33.18
2006-02-17,0,34.78
2006-02-24,0,33.81
2006-03-03,0,33.58
2006-03-10,0,34.19
2006-03-17,0,34.41
2006-03-24,0,34.97
2006-03-31,0,34.06
2006-04-07,0,33.79
2006-04-14,0,
2006-04-21,0,32.52
2006-04-28,0,33.03
2006-05-05,0,33.02
2006-05-12,0,31.79
2006-05-19,0,30.90
2006-05-26,0,31.49
2006-06-02,0,31.94
2006-06-09,0,31.50
2006-06-16,0,32.54
2006-06-23,0,32.83
2006-06-30,0,33.49
2006-07-07,0,32.71
2006-07-14,0,31.62
2006-07-21,0,31.87
2006-07-28,0,33.73
2006-08-04,0,33.77
2006-08-11,0,34.07
2006-08-18,0,34.42
2006-08-25,0,34.70
2006-09-01,0,35.57
2006-09-08,0,35.40
2006-09-15,0,35.81
2006-09-22,0,37.10
2006-09-29,0,37.13
2006-10-06,0,36.80
2006-10-13,0,37.05
2006-10-20,0,37.80
2006-10-27,0,38.84
2006-11-03,0,36.70
2006-11-10,0,35.59
2006-11-17,0,36.04
2006-11-24,0,34.75
2006-12-01,0,34.64
2006-12-08,0,35.31
2006-12-15,0,36.48
2006-12-22,0,36.55
2006-12-29,0,37.24
2007-01-05,0,37.38
2007-01-12,0,37.33
2007-01-19,0,37.25
2007-01-26,0,37.83
2007-02-02,0,38.17
2007-02-09,0,37.70
2007-02-16,0,38.50
2007-02-23,0,38.41
2007-03-02,0,36.48
2007-03-09,0,36.45
2007-03-16,0,36.32
2007-03-23,0,38.12
2007-03-30,0,37.92
2007-04-06,0,
2007-04-13,0,37.39
2007-04-20,0,37.91
2007-04-27,0,37.89
2007-05-04,0,40.66
2007-05-11,0,41.35
2007-05-18,0,42.59
2007-05-25,0,42.50
2007-06-01,0,43.01
2007-06-08,29,43.07
2007-06-15,26,42.99
2007-06-22,26,41.63
2007-06-29,26,41.17
2007-07-06,0,41.55
2007-07-13,0,41.76
2007-07-20,0,42.28
2007-07-27,0,42.00
2007-08-03,0,42.75
2007-08-10,0,41.33
2007-08-17,0,40.80
2007-08-24,0,42.64
2007-08-31,0,41.88
2007-09-07,0,41.34
2007-09-14,0,42.52
2007-09-21,0,44.38
2007-09-28,0,44.28
2007-10-05,0,45.22
2007-10-12,0,45.53
2007-10-19,0,44.27
2007-10-26,0,45.60
2007-11-02,0,44.38
2007-11-09,0,42.77
2007-11-16,33,43.69
2007-11-23,0,42.64
2007-11-30,0,43.21
2007-12-07,0,45.30
2007-12-14,0,44.37
2007-12-21,0,44.32
2007-12-28,0,44.62
2008-01-04,24,42.60
2008-01-11,26,42.50
2008-01-18,28,39.09
2008-01-25,29,37.76
2008-02-01,19,38.75
2008-02-08,19,36.42
2008-02-15,19,37.83
2008-02-22,19,36.20
2008-02-29,23,36.32
2008-03-07,23,35.08
2008-03-14,19,33.82
2008-03-21,19,
2008-03-28,19,35.85
2008-04-04,19,37.34
2008-04-11,19,35.59
2008-04-18,20,36.03
2008-04-25,20,37.04
2008-05-02,20,39.59
2008-05-09,21,37.91
2008-05-16,20,38.77
2008-05-23,22,37.08
2008-05-30,23,38.47
2008-06-06,25,38.23
2008-06-13,21,37.33
2008-06-20,21,35.38
2008-06-27,21,34.28
2008-07-04,24,
2008-07-11,27,34.92
2008-07-18,30,35.45
2008-07-25,27,34.45
2008-08-01,27,34.00
2008-08-08,27,34.59
2008-08-15,27,34.96
2008-08-22,19,35.29
2008-08-29,20,35.12
2008-09-05,19,34.08
2008-09-12,19,34.49
2008-09-19,19,33.30
2008-09-26,20,32.18
2008-10-03,20,31.24
2008-10-10,17,26.77
2008-10-17,17,27.19
2008-10-24,17,25.08
2008-10-31,17,29.67
2008-11-07,28,30.05
2008-11-14,22,30.00
2008-11-21,17,28.47
2008-11-28,16,32.65
2008-12-05,21,33.19
2008-12-12,22,32.80
2008-12-19,23,33.19
2008-12-26,21,33.19
2009-01-02,21,34.64
2009-01-09,17,32.16
2009-01-16,30,29.96
2009-01-23,26,30.44
2009-01-30,26,29.87
2009-02-06,30,31.72
2009-02-13,14,29.56
2009-02-20,16,28.81
2009-02-27,21,28.53
2009-03-06,23,27.28
2009-03-13,14,28.40
2009-03-20,23,29.61
2009-03-27,19,30.62
2009-04-03,24,32.79
2009-04-10,19,
2009-04-17,19,31.78
2009-04-24,22,31.00
2009-05-01,28,30.55
2009-05-08,33,29.85
2009-05-15,38,29.61
2009-05-22,22,28.81
2009-05-29,15,29.26
2009-06-05,27,29.25
2009-06-12,28,29.92
2009-06-19,32,29.66
2009-06-26,23,30.99
2009-07-03,23,
2009-07-10,17,28.62
2009-07-17,19,29.59
2009-07-24,28,31.50
2009-07-31,28,32.07
2009-08-07,25,31.08
2009-08-14,21,31.08
2009-08-21,27,31.37
2009-08-28,27,31.02
2009-09-04,24,30.60
2009-09-11,17,31.26
2009-09-18,25,29.59
2009-09-25,24,29.94
2009-10-02,21,29.89
2009-10-09,20,29.16
2009-10-16,21,28.90
2009-10-23,27,28.85
2009-10-30,24,29.59
2009-11-06,26,29.56
2009-11-13,31,30.13
2009-11-20,22,30.43
2009-11-27,26,31.63
2009-12-04,21,32.70
2009-12-11,33,33.73
2009-12-18,25,32.80
2009-12-25,25,
2010-01-01,37,
2010-01-08,20,31.75
2010-01-15,25,30.58
2010-01-22,26,30.34
2010-01-29,31,29.42
2010-02-05,31,28.74
2010-02-12,29,28.93
2010-02-19,23,29.02
2010-02-26,23,28.93
2010-03-05,25,29.23
2010-03-12,17,29.73
2010-03-19,19,30.41
2010-03-26,15,30.37
2010-04-02,30,
2010-04-09,25,30.08
2010-04-16,28,29.58
2010-04-23,27,29.05
2010-04-30,36,28.90
2010-05-07,17,28.19
2010-05-14,20,28.51
2010-05-21,25,27.96
2010-05-28,24,27.52
2010-06-04,17,27.21
2010-06-11,33,28.56
2010-06-18,28,29.13
2010-06-25,18,28.55
2010-07-02,62,26.81
2010-07-09,34,26.65
2010-07-16,36,26.69
2010-07-23,31,28.02
2010-07-30,29,29.06
2010-08-06,41,29.55
2010-08-13,29,30.03
2010-08-20,26,29.37
2010-08-27,20,29.84
2010-09-03,24,30.20
2010-09-10,28,30.82
2010-09-17,28,31.68
2010-09-24,29,32.64
2010-10-01,18,32.89
2010-10-08,28,32.83
2010-10-15,42,32.43
2010-10-22,30,32.09
2010-10-29,32,32.48
2010-11-05,25,33.43
2010-11-12,32,32.56
2010-11-19,21,32.59
2010-11-26,42,32.21
2010-12-03,41,32.90
2010-12-10,32,34.04
2010-12-17,35,34.64
2010-12-24,44,
2010-12-31,36,35.78
2011-01-07,54,35.93
2011-01-14,79,35.46
2011-01-21,56,34.95
2011-01-28,39,35.63
2011-02-04,93,36.31
2011-02-11,63,36.39
2011-02-18,52,36.62
2011-02-25,34,35.97
2011-03-04,50,36.08
2011-03-11,43,35.85
2011-03-18,37,35.84
2011-03-25,32,37.29
2011-04-01,33,38.47
2011-04-08,31,37.72
2011-04-15,38,37.85
2011-04-22,21,
2011-04-29,32,37.78
2011-05-06,34,37.28
2011-05-13,29,37.26
2011-05-20,27,37.15
2011-05-27,29,36.67
2011-06-03,27,35.63
2011-06-10,36,35.19
2011-06-17,30,35.51
2011-06-24,27,36.00
2011-07-01,38,37.80
2011-07-08,37,37.48
2011-07-15,28,36.82
2011-07-22,43,36.74
2011-07-29,38,35.29
2011-08-05,38,35.05
2011-08-12,37,34.30
2011-08-19,43,34.71
2011-08-26,29,35.76
2011-09-02,31,35.56
2011-09-09,32,35.24
2011-09-16,25,36.72
2011-09-23,12,35.88
2011-09-30,24,36.80
2011-10-07,61,36.16
2011-10-14,53,37.33
2011-10-21,51,37.42
2011-10-28,48,37.63
2011-11-04,28,37.17
2011-11-11,44,37.52
2011-11-18,33,36.46
2011-11-25,38,35.35
2011-12-02,40,37.85
2011-12-09,43,38.43
2011-12-16,41,38.78
2011-12-23,41,39.98
2011-12-30,47,40.12
2012-01-06,31,38.33
2012-01-13,32,38.92
2012-01-20,27,38.97
2012-01-27,24,37.21
2012-02-03,28,37.84
2012-02-10,30,37.69
2012-02-17,31,38.46
2012-02-24,33,38.14
2012-03-02,28,38.67
2012-03-09,33,39.10
2012-03-16,24,39.57
2012-03-23,36,39.42
2012-03-30,23,38.23
2012-04-06,29,
2012-04-13,28,37.26
2012-04-20,31,38.73
2012-04-27,25,40.23
2012-05-04,26,40.26
2012-05-11,27,41.16
2012-05-18,30,41.53
2012-05-25,35,41.45
2012-06-01,29,41.03
2012-06-08,37,42.44
2012-06-15,41,43.55
2012-06-22,37,43.95
2012-06-29,49,44.44
2012-07-06,32,44.42
2012-07-13,42,45.21
2012-07-20,47,44.49
2012-07-27,49,44.90
2012-08-03,46,44.46
2012-08-10,41,44.60
2012-08-17,48,44.06
2012-08-24,32,43.17
2012-08-31,34,42.94
2012-09-07,39,43.72
2012-09-14,100,44.53
2012-09-21,78,45.64
2012-09-28,65,45.57
2012-10-05,48,47.05
2012-10-12,51,44.62
2012-10-19,54,45.16
2012-10-26,48,44.73
2012-11-02,46,44.52
2012-11-09,45,42.64
2012-11-16,48,41.40
2012-11-23,52,43.76
2012-11-30,52,44.12
2012-12-07,43,44.41
2012-12-14,46,44.21
2012-12-21,44,43.57
2012-12-28,61,42.90
2013-01-04,51,44.30
2013-01-11,49,43.30
2013-01-18,39,42.54
2013-01-25,40,42.67
2013-02-01,38,44.56
2013-02-08,39,44.35
2013-02-15,38,44.40
2013-02-22,29,45.40
2013-03-01,30,46.72
2013-03-08,35,47.96
2013-03-15,45,48.02
2013-03-22,38,49.02
2013-03-29,40,
2013-04-05,38,49.56
2013-04-12,25,50.86
2013-04-19,43,52.25
2013-04-26,33,53.63
2013-05-03,36,52.68
2013-05-10,38,52.89
2013-05-17,30,53.35
2013-05-24,39,51.39
2013-05-31,42,48.48
2013-06-07,52,50.24
2013-06-14,46,51.07
2013-06-21,37,49.52
2013-06-28,37,50.34
2013-07-05,42,51.30
2013-07-12,47,50.41
2013-07-19,32,49.95
2013-07-26,50,51.02
2013-08-02,47,50.25
2013-08-09,50,49.32
2013-08-16,43,47.71
2013-08-23,46,47.61
2013-08-30,50,47.38
2013-09-06,44,46.34
2013-09-13,76,47.76
2013-09-20,76,47.78
2013-09-27,58,47.00
2013-10-04,43,47.10
2013-10-11,56,47.09
2013-10-18,56,50.01
2013-10-25,45,50.71
2013-11-01,49,50.49
2013-11-08,51,50.20
2013-11-15,44,50.31
2013-11-22,46,50.22
2013-11-29,53,49.62
2013-12-06,45,49.48
2013-12-13,48,47.84
2013-12-20,47,48.08
2013-12-27,54,49.17
2014-01-03,50,48.42
2014-01-10,49,47.75
2014-01-17,40,48.35
2014-01-24,39,47.63
2014-01-31,42,48.02
2014-02-07,34,46.81
2014-02-14,48,46.51
2014-02-21,41,47.27
2014-02-28,39,47.58
2014-03-07,35,47.15
2014-03-14,47,46.08
2014-03-21,32,46.91
2014-03-28,43,47.42
2014-04-04,45,48.04
2014-04-11,39,47.07
2014-04-18,43,
2014-04-25,42,45.94
2014-05-02,31,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
