Date,Intel Corporation,Price
2004-01-09,71,
2004-01-16,63,
2004-01-23,64,
2004-01-30,47,
2004-02-06,54,30.88
2004-02-13,61,30.14
2004-02-20,70,30.00
2004-02-27,87,29.20
2004-03-05,80,28.95
2004-03-12,80,27.69
2004-03-19,80,26.49
2004-03-26,52,27.38
2004-04-02,52,28.12
2004-04-09,52,
2004-04-16,64,26.45
2004-04-23,77,27.53
2004-04-30,65,25.73
2004-05-07,65,26.47
2004-05-14,54,27.04
2004-05-21,67,27.55
2004-05-28,72,28.55
2004-06-04,61,28.14
2004-06-11,59,
2004-06-18,54,27.64
2004-06-25,64,27.78
2004-07-02,51,26.33
2004-07-09,57,26.57
2004-07-16,58,22.73
2004-07-23,60,22.67
2004-07-30,52,24.38
2004-08-06,66,22.77
2004-08-13,68,21.56
2004-08-20,71,21.62
2004-08-27,100,22.02
2004-09-03,59,20.05
2004-09-10,47,20.57
2004-09-17,63,20.59
2004-09-24,76,20.13
2004-10-01,58,20.85
2004-10-08,59,20.55
2004-10-15,53,20.61
2004-10-22,74,21.30
2004-10-29,57,22.26
2004-11-05,42,23.36
2004-11-12,56,23.69
2004-11-19,71,24.16
2004-11-26,53,23.21
2004-12-03,63,23.91
2004-12-10,60,22.56
2004-12-17,44,22.77
2004-12-24,60,
2004-12-31,93,23.39
2005-01-07,59,22.80
2005-01-14,81,23.02
2005-01-21,81,22.42
2005-01-28,54,22.24
2005-02-04,45,23.00
2005-02-11,47,24.17
2005-02-18,60,24.02
2005-02-25,62,24.09
2005-03-04,62,24.68
2005-03-11,54,24.20
2005-03-18,83,23.41
2005-03-25,74,
2005-04-01,41,23.01
2005-04-08,51,23.29
2005-04-15,45,22.12
2005-04-22,68,23.24
2005-04-29,83,23.52
2005-05-06,43,24.49
2005-05-13,53,25.12
2005-05-20,46,26.35
2005-05-27,67,27.39
2005-06-03,39,27.33
2005-06-10,51,26.98
2005-06-17,71,27.12
2005-06-24,56,26.10
2005-07-01,42,26.21
2005-07-08,45,27.28
2005-07-15,59,28.30
2005-07-22,42,26.75
2005-07-29,55,27.14
2005-08-05,53,26.77
2005-08-12,60,26.31
2005-08-19,60,25.65
2005-08-26,62,25.41
2005-09-02,54,25.28
2005-09-09,50,25.25
2005-09-16,57,24.81
2005-09-23,63,24.38
2005-09-30,79,24.65
2005-10-07,40,23.82
2005-10-14,44,23.23
2005-10-21,70,23.15
2005-10-28,73,23.33
2005-11-04,82,23.99
2005-11-11,60,25.13
2005-11-18,70,25.30
2005-11-25,36,26.81
2005-12-02,70,27.43
2005-12-09,60,26.08
2005-12-16,32,26.38
