Date,ADS,Price
2004-01-09,28,
2004-01-16,28,
2004-01-23,28,
2004-01-30,31,
2004-02-06,55,30.17
2004-02-13,32,29.53
2004-02-20,30,29.25
2004-02-27,29,29.95
2004-03-05,30,30.20
2004-03-12,28,30.95
2004-03-19,27,32.07
2004-03-26,28,32.86
2004-04-02,27,33.70
2004-04-09,27,
2004-04-16,27,33.37
2004-04-23,28,37.43
2004-04-30,30,34.77
2004-05-07,30,35.58
2004-05-14,26,35.85
2004-05-21,26,35.92
2004-05-28,26,37.01
2004-06-04,26,39.38
2004-06-11,26,
2004-06-18,26,39.84
2004-06-25,26,41.15
2004-07-02,25,41.33
2004-07-09,27,40.23
2004-07-16,25,38.95
2004-07-23,25,37.55
2004-07-30,26,39.71
2004-08-06,25,36.11
2004-08-13,27,36.12
2004-08-20,27,36.92
2004-08-27,27,37.68
2004-09-03,27,38.94
2004-09-10,28,39.62
2004-09-17,26,40.00
2004-09-24,26,40.30
2004-10-01,27,41.44
2004-10-08,27,40.70
2004-10-15,27,43.25
2004-10-22,27,40.64
2004-10-29,29,42.28
2004-11-05,26,41.91
2004-11-12,26,43.00
2004-11-19,27,43.35
2004-11-26,28,42.93
2004-12-03,26,43.67
2004-12-10,25,44.37
2004-12-17,24,47.29
2004-12-24,22,
2004-12-31,21,47.48
2005-01-07,23,46.42
2005-01-14,25,44.04
2005-01-21,24,44.75
2005-01-28,25,43.52
2005-02-04,28,42.46
2005-02-11,52,41.51
2005-02-18,26,39.29
2005-02-25,26,39.45
2005-03-04,26,38.28
2005-03-11,26,38.96
2005-03-18,25,39.83
2005-03-25,24,
2005-04-01,23,41.18
2005-04-08,25,39.58
2005-04-15,25,37.38
2005-04-22,25,42.79
2005-04-29,25,40.40
2005-05-06,26,38.87
2005-05-13,26,35.95
2005-05-20,24,37.95
2005-05-27,24,37.71
2005-06-03,23,37.00
2005-06-10,23,36.90
2005-06-17,22,39.11
2005-06-24,23,39.95
2005-07-01,22,41.00
2005-07-08,21,41.85
2005-07-15,22,43.44
2005-07-22,22,43.55
2005-07-29,23,42.57
2005-08-05,23,41.44
2005-08-12,23,41.81
2005-08-19,23,41.22
2005-08-26,23,41.79
2005-09-02,22,40.65
2005-09-09,22,41.02
2005-09-16,23,40.86
2005-09-23,23,40.66
2005-09-30,24,39.15
2005-10-07,24,37.93
2005-10-14,23,37.62
2005-10-21,24,36.90
2005-10-28,24,34.73
2005-11-04,24,36.04
2005-11-11,24,36.90
2005-11-18,28,37.18
2005-11-25,33,38.76
2005-12-02,23,37.50
2005-12-09,23,36.70
2005-12-16,21,35.85
2005-12-23,20,36.47
2005-12-30,20,35.60
2006-01-06,20,38.81
2006-01-13,23,39.10
2006-01-20,26,40.63
2006-01-27,26,42.45
2006-02-03,28,43.73
2006-02-10,49,43.04
2006-02-17,27,43.56
2006-02-24,26,43.85
2006-03-03,26,43.62
2006-03-10,27,46.01
2006-03-17,25,46.32
2006-03-24,24,46.50
2006-03-31,24,46.77
2006-04-07,25,46.07
2006-04-14,24,
2006-04-21,26,56.07
2006-04-28,26,55.00
2006-05-05,27,54.18
2006-05-12,26,51.33
2006-05-19,24,52.69
2006-05-26,25,54.02
2006-06-02,23,55.17
2006-06-09,24,53.74
2006-06-16,25,55.22
2006-06-23,25,55.80
2006-06-30,23,58.82
2006-07-07,23,57.68
2006-07-14,24,53.98
2006-07-21,23,50.41
2006-07-28,24,51.39
2006-08-04,23,51.77
2006-08-11,23,47.57
2006-08-18,23,52.75
2006-08-25,25,48.55
2006-09-01,24,51.06
2006-09-08,25,51.50
2006-09-15,25,54.80
2006-09-22,25,54.65
2006-09-29,25,55.19
2006-10-06,25,57.33
2006-10-13,25,56.35
2006-10-20,25,60.46
2006-10-27,27,59.95
2006-11-03,26,59.20
2006-11-10,29,62.38
2006-11-17,34,64.83
2006-11-24,47,64.16
2006-12-01,24,64.95
2006-12-08,24,64.09
2006-12-15,23,63.88
2006-12-22,20,61.28
2006-12-29,22,62.47
2007-01-05,24,64.66
2007-01-12,23,65.42
2007-01-19,23,64.04
2007-01-26,24,66.95
2007-02-02,26,66.43
2007-02-09,50,63.56
2007-02-16,25,62.82
2007-02-23,25,62.95
2007-03-02,23,58.65
2007-03-09,25,57.56
2007-03-16,23,59.84
2007-03-23,23,63.39
2007-03-30,22,61.62
2007-04-06,22,
2007-04-13,22,65.54
2007-04-20,22,63.96
2007-04-27,22,64.27
2007-05-04,22,64.33
2007-05-11,21,62.88
2007-05-18,22,78.33
2007-05-25,21,77.75
2007-06-01,22,77.81
2007-06-08,22,77.74
2007-06-15,21,77.30
2007-06-22,21,77.56
2007-06-29,20,77.28
2007-07-06,21,78.16
2007-07-13,21,77.35
2007-07-20,22,77.69
2007-07-27,21,75.33
2007-08-03,21,77.25
2007-08-10,20,74.38
2007-08-17,21,72.90
2007-08-24,21,77.15
2007-08-31,21,78.45
2007-09-07,21,78.80
2007-09-14,22,78.64
2007-09-21,23,78.54
2007-09-28,22,77.44
2007-10-05,21,79.04
2007-10-12,21,79.65
2007-10-19,21,80.60
2007-10-26,21,80.41
2007-11-02,24,80.10
2007-11-09,26,77.26
2007-11-16,36,77.74
2007-11-23,59,77.46
2007-11-30,22,77.70
2007-12-07,20,78.25
2007-12-14,19,76.46
2007-12-21,18,74.70
2007-12-28,17,73.67
2008-01-04,18,72.00
2008-01-11,20,68.25
2008-01-18,19,61.93
2008-01-25,19,65.60
2008-02-01,21,53.90
2008-02-08,48,55.02
2008-02-15,22,55.40
2008-02-22,21,51.36
2008-02-29,21,50.63
2008-03-07,21,45.50
2008-03-14,20,46.63
2008-03-21,19,
2008-03-28,20,47.38
2008-04-04,20,48.48
2008-04-11,20,47.90
2008-04-18,20,52.84
2008-04-25,20,56.06
2008-05-02,21,58.83
2008-05-09,20,59.11
2008-05-16,20,59.94
2008-05-23,19,56.55
2008-05-30,19,60.04
2008-06-06,19,57.96
2008-06-13,19,60.78
2008-06-20,19,60.50
2008-06-27,19,55.98
2008-07-04,18,
2008-07-11,18,51.79
2008-07-18,18,59.60
2008-07-25,19,62.26
2008-08-01,18,64.68
2008-08-08,19,65.47
2008-08-15,18,65.14
2008-08-22,18,63.98
2008-08-29,19,64.24
2008-09-05,19,63.20
2008-09-12,20,64.64
2008-09-19,21,60.67
2008-09-26,19,62.24
2008-10-03,19,59.90
2008-10-10,20,44.40
2008-10-17,21,46.93
2008-10-24,21,45.29
2008-10-31,24,50.16
2008-11-07,27,50.94
2008-11-14,34,45.13
2008-11-21,53,38.40
2008-11-28,100,43.31
2008-12-05,23,44.94
2008-12-12,19,42.53
2008-12-19,18,47.28
2008-12-26,17,45.73
2009-01-02,16,47.60
2009-01-09,17,44.58
2009-01-16,18,42.34
2009-01-23,18,39.75
2009-01-30,21,41.59
2009-02-06,32,41.50
2009-02-13,19,35.97
2009-02-20,18,29.60
2009-02-27,19,29.60
2009-03-06,19,23.78
2009-03-13,19,30.78
2009-03-20,19,31.44
2009-03-27,19,36.34
2009-04-03,18,38.40
2009-04-10,19,
2009-04-17,19,44.22
2009-04-24,18,42.40
2009-05-01,19,41.56
2009-05-08,19,42.90
2009-05-15,19,38.82
2009-05-22,19,38.62
2009-05-29,18,40.50
2009-06-05,18,43.25
2009-06-12,17,48.28
2009-06-19,17,43.48
2009-06-26,16,40.30
2009-07-03,16,
2009-07-10,18,37.63
2009-07-17,18,46.30
2009-07-24,18,50.48
2009-07-31,18,51.00
2009-08-07,18,57.26
2009-08-14,18,59.51
2009-08-21,17,56.66
2009-08-28,18,56.96
2009-09-04,18,55.71
2009-09-11,17,58.83
2009-09-18,18,63.96
2009-09-25,18,59.07
2009-10-02,18,58.90
2009-10-09,18,60.94
2009-10-16,18,66.48
2009-10-23,19,60.28
2009-10-30,20,54.98
2009-11-06,23,59.13
2009-11-13,32,60.52
2009-11-20,50,59.10
2009-11-27,60,61.71
2009-12-04,19,61.16
2009-12-11,18,63.36
2009-12-18,16,64.66
2009-12-25,14,
2010-01-01,15,
2010-01-08,17,67.68
2010-01-15,17,65.64
2010-01-22,17,61.32
2010-01-29,18,59.46
2010-02-05,19,55.30
2010-02-12,31,53.86
2010-02-19,18,56.88
2010-02-26,18,55.44
2010-03-05,17,60.36
2010-03-12,18,62.75
2010-03-19,17,64.07
2010-03-26,17,64.12
2010-04-02,17,
2010-04-09,17,64.96
2010-04-16,17,66.87
2010-04-23,18,76.74
2010-04-30,17,75.06
2010-05-07,17,71.50
2010-05-14,17,69.93
2010-05-21,17,69.81
2010-05-28,16,70.66
