Date,ADT,Price
2004-01-09,93,
2004-01-16,76,
2004-01-23,82,
2004-01-30,84,
2004-02-06,79,
2004-02-13,88,
2004-02-20,89,
2004-02-27,94,
2004-03-05,99,
2004-03-12,79,
2004-03-19,87,
2004-03-26,97,
2004-04-02,93,
2004-04-09,84,
2004-04-16,80,
2004-04-23,81,
2004-04-30,79,
2004-05-07,90,
2004-05-14,86,
2004-05-21,78,
2004-05-28,87,
2004-06-04,92,
2004-06-11,93,
2004-06-18,82,
2004-06-25,86,
2004-07-02,99,
2004-07-09,92,
2004-07-16,85,
2004-07-23,93,
2004-07-30,88,
2004-08-06,90,
2004-08-13,91,
2004-08-20,99,
2004-08-27,97,
2004-09-03,84,
2004-09-10,92,
2004-09-17,87,
2004-09-24,85,
2004-10-01,85,
2004-10-08,90,
2004-10-15,78,
2004-10-22,83,
2004-10-29,87,
2004-11-05,83,
2004-11-12,84,
2004-11-19,98,
2004-11-26,85,
2004-12-03,91,
2004-12-10,90,
2004-12-17,80,
2004-12-24,69,
2004-12-31,71,
2005-01-07,95,
2005-01-14,88,
2005-01-21,91,
2005-01-28,95,
2005-02-04,91,
2005-02-11,83,
2005-02-18,79,
2005-02-25,86,
2005-03-04,94,
2005-03-11,81,
2005-03-18,95,
2005-03-25,87,
2005-04-01,88,
2005-04-08,71,
2005-04-15,78,
2005-04-22,82,
2005-04-29,85,
2005-05-06,85,
2005-05-13,82,
2005-05-20,77,
2005-05-27,87,
2005-06-03,82,
2005-06-10,96,
2005-06-17,89,
2005-06-24,100,
2005-07-01,91,
2005-07-08,82,
2005-07-15,89,
2005-07-22,96,
2005-07-29,80,
2005-08-05,90,
2005-08-12,92,
2005-08-19,94,
2005-08-26,94,
2005-09-02,87,
2005-09-09,87,
2005-09-16,80,
2005-09-23,96,
2005-09-30,90,
2005-10-07,89,
2005-10-14,85,
2005-10-21,87,
2005-10-28,94,
2005-11-04,91,
2005-11-11,91,
2005-11-18,92,
2005-11-25,78,
2005-12-02,86,
2005-12-09,74,
2005-12-16,83,
2005-12-23,83,
2005-12-30,80,
2006-01-06,80,
2006-01-13,87,
2006-01-20,85,
2006-01-27,83,
2006-02-03,89,
2006-02-10,88,
2006-02-17,82,
2006-02-24,89,
2006-03-03,76,
2006-03-10,84,
2006-03-17,77,
2006-03-24,72,
2006-03-31,82,
2006-04-07,79,
2006-04-14,76,
2006-04-21,77,
2006-04-28,83,
2006-05-05,76,
2006-05-12,84,
2006-05-19,80,
2006-05-26,75,
2006-06-02,87,
2006-06-09,78,
2006-06-16,81,
2006-06-23,95,
2006-06-30,90,
2006-07-07,78,
2006-07-14,86,
2006-07-21,80,
2006-07-28,81,
2006-08-04,78,
2006-08-11,83,
2006-08-18,89,
2006-08-25,85,
2006-09-01,81,
2006-09-08,81,
2006-09-15,82,
2006-09-22,81,
2006-09-29,82,
2006-10-06,74,
2006-10-13,83,
2006-10-20,80,
2006-10-27,74,
2006-11-03,82,
2006-11-10,77,
2006-11-17,92,
2006-11-24,81,
2006-12-01,82,
2006-12-08,75,
2006-12-15,71,
2006-12-22,73,
2006-12-29,58,
2007-01-05,77,
2007-01-12,78,
2007-01-19,82,
2007-01-26,82,
2007-02-02,77,
2007-02-09,78,
2007-02-16,79,
2007-02-23,79,
2007-03-02,77,
2007-03-09,87,
2007-03-16,82,
2007-03-23,76,
2007-03-30,74,
2007-04-06,70,
2007-04-13,83,
2007-04-20,80,
2007-04-27,72,
2007-05-04,83,
2007-05-11,81,
2007-05-18,79,
2007-05-25,71,
2007-06-01,78,
2007-06-08,74,
2007-06-15,78,
2007-06-22,76,
2007-06-29,76,
2007-07-06,78,
2007-07-13,81,
2007-07-20,85,
2007-07-27,86,
2007-08-03,84,
2007-08-10,87,
2007-08-17,85,
2007-08-24,81,
2007-08-31,75,
2007-09-07,72,
2007-09-14,73,
2007-09-21,80,
2007-09-28,76,
