Date,AEP,Price
2004-01-09,22,
2004-01-16,18,
2004-01-23,19,
2004-01-30,16,
2004-02-06,17,33.01
2004-02-13,16,33.45
2004-02-20,14,33.54
2004-02-27,22,34.50
2004-03-05,17,34.05
2004-03-12,19,33.62
2004-03-19,26,33.50
2004-03-26,22,32.75
2004-04-02,19,33.00
2004-04-09,20,
2004-04-16,21,30.99
2004-04-23,17,30.77
2004-04-30,15,30.44
2004-05-07,19,29.57
2004-05-14,16,29.88
2004-05-21,21,29.90
2004-05-28,23,31.77
2004-06-04,25,30.94
2004-06-11,23,
2004-06-18,21,31.89
2004-06-25,21,31.97
2004-07-02,17,31.70
2004-07-09,17,31.43
2004-07-16,21,31.93
2004-07-23,19,30.51
2004-07-30,23,31.11
2004-08-06,23,32.00
2004-08-13,18,31.86
2004-08-20,18,32.30
2004-08-27,19,32.33
2004-09-03,23,32.91
2004-09-10,21,32.94
2004-09-17,22,32.84
2004-09-24,19,32.37
2004-10-01,18,32.28
2004-10-08,15,32.38
2004-10-15,14,32.23
2004-10-22,23,32.09
2004-10-29,17,32.93
2004-11-05,21,34.36
2004-11-12,16,35.01
2004-11-19,18,34.00
2004-11-26,19,35.21
2004-12-03,19,34.05
2004-12-10,22,33.79
2004-12-17,14,34.80
2004-12-24,26,
2004-12-31,21,34.34
2005-01-07,22,33.37
2005-01-14,16,34.57
2005-01-21,17,33.73
2005-01-28,22,35.39
2005-02-04,18,35.65
2005-02-11,17,34.55
2005-02-18,18,33.73
2005-02-25,18,33.41
2005-03-04,22,34.25
2005-03-11,17,33.57
2005-03-18,16,33.57
2005-03-25,21,
2005-04-01,16,34.13
2005-04-08,18,34.53
2005-04-15,18,34.19
2005-04-22,17,34.97
2005-04-29,20,35.22
2005-05-06,16,35.22
2005-05-13,22,34.51
2005-05-20,19,35.55
2005-05-27,18,35.41
2005-06-03,18,35.80
2005-06-10,16,35.73
2005-06-17,20,35.77
2005-06-24,19,36.07
2005-07-01,18,36.86
2005-07-08,17,38.09
2005-07-15,20,38.69
2005-07-22,21,38.77
2005-07-29,20,38.70
2005-08-05,19,38.17
2005-08-12,16,37.52
2005-08-19,23,36.82
2005-08-26,18,36.84
2005-09-02,22,37.72
2005-09-09,18,38.30
2005-09-16,17,38.89
2005-09-23,20,38.98
2005-09-30,20,39.70
2005-10-07,19,38.43
2005-10-14,22,36.78
2005-10-21,21,36.26
2005-10-28,21,37.90
2005-11-04,19,37.03
2005-11-11,16,36.50
2005-11-18,21,36.51
2005-11-25,18,36.92
2005-12-02,19,36.78
2005-12-09,19,37.06
2005-12-16,16,37.42
2005-12-23,18,37.34
2005-12-30,12,37.09
2006-01-06,18,37.67
2006-01-13,20,37.18
2006-01-20,17,37.37
2006-01-27,20,37.35
2006-02-03,18,36.10
2006-02-10,18,36.03
2006-02-17,20,36.37
2006-02-24,24,36.42
2006-03-03,24,36.46
2006-03-10,20,35.31
2006-03-17,18,35.50
2006-03-24,22,34.75
2006-03-31,20,34.02
2006-04-07,18,33.71
2006-04-14,21,
2006-04-21,21,33.52
2006-04-28,20,33.46
2006-05-05,18,33.91
2006-05-12,18,32.58
2006-05-19,20,33.00
2006-05-26,18,33.80
2006-06-02,18,34.90
2006-06-09,22,34.90
2006-06-16,21,34.16
2006-06-23,22,33.90
2006-06-30,20,34.25
2006-07-07,19,34.69
2006-07-14,20,34.58
2006-07-21,25,35.31
2006-07-28,21,36.38
2006-08-04,24,37.01
2006-08-11,21,36.32
