Date,AIG,Price
2004-01-09,5,
2004-01-16,5,
2004-01-23,5,
2004-01-30,5,
2004-02-06,5,72.18
2004-02-13,5,74.72
2004-02-20,5,73.64
2004-02-27,5,74.00
2004-03-05,5,74.28
2004-03-12,4,71.61
2004-03-19,5,72.10
2004-03-26,4,70.19
2004-04-02,5,74.30
2004-04-09,5,
2004-04-16,5,75.20
2004-04-23,5,73.96
2004-04-30,5,71.65
2004-05-07,4,70.36
2004-05-14,5,70.80
2004-05-21,5,70.15
2004-05-28,5,73.30
2004-06-04,5,74.10
2004-06-11,5,
2004-06-18,6,72.17
2004-06-25,6,71.75
2004-07-02,5,71.60
2004-07-09,5,69.97
2004-07-16,5,69.01
2004-07-23,5,68.10
2004-07-30,6,70.65
2004-08-06,6,68.22
2004-08-13,6,66.48
2004-08-20,5,70.50
2004-08-27,5,70.92
2004-09-03,5,71.76
2004-09-10,5,71.91
2004-09-17,5,71.68
2004-09-24,5,69.13
2004-10-01,5,68.72
2004-10-08,8,66.90
2004-10-15,7,57.85
2004-10-22,6,54.70
2004-10-29,6,60.71
2004-11-05,5,61.05
2004-11-12,4,61.03
2004-11-19,5,61.80
2004-11-26,5,63.81
2004-12-03,5,65.53
2004-12-10,5,65.00
2004-12-17,5,65.00
2004-12-24,4,
2004-12-31,4,65.67
2005-01-07,5,67.58
2005-01-14,5,66.14
2005-01-21,5,66.12
2005-01-28,5,65.86
2005-02-04,4,67.52
2005-02-11,5,73.12
2005-02-18,6,68.93
2005-02-25,5,68.35
2005-03-04,5,65.10
2005-03-11,5,64.71
2005-03-18,8,59.76
2005-03-25,7,
2005-04-01,8,50.95
2005-04-08,7,51.91
2005-04-15,7,51.11
2005-04-22,6,50.35
2005-04-29,6,50.85
2005-05-06,6,54.14
2005-05-13,6,52.05
2005-05-20,6,53.76
2005-05-27,6,56.40
2005-06-03,6,55.09
2005-06-10,6,55.09
2005-06-17,6,55.55
2005-06-24,6,54.54
2005-07-01,6,58.61
2005-07-08,5,60.05
2005-07-15,6,61.21
2005-07-22,6,60.74
2005-07-29,6,60.20
2005-08-05,6,60.82
2005-08-12,6,62.30
2005-08-19,5,61.21
2005-08-26,5,59.27
2005-09-02,5,59.33
2005-09-09,5,61.23
2005-09-16,5,61.30
2005-09-23,5,60.06
2005-09-30,5,61.96
2005-10-07,7,61.87
2005-10-14,5,62.44
2005-10-21,5,62.92
2005-10-28,5,64.30
2005-11-04,5,65.99
2005-11-11,6,67.24
2005-11-18,5,67.17
2005-11-25,5,68.87
2005-12-02,5,67.29
2005-12-09,5,66.02
2005-12-16,5,65.15
2005-12-23,5,68.10
2005-12-30,4,68.23
2006-01-06,5,70.11
2006-01-13,5,70.05
2006-01-20,5,66.71
2006-01-27,6,66.65
2006-02-03,5,65.35
2006-02-10,6,67.90
2006-02-17,6,67.42
2006-02-24,5,66.97
2006-03-03,5,65.48
2006-03-10,5,67.65
