Date,AKAM,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,15.05
2004-02-13,0,15.35
2004-02-20,0,15.07
2004-02-27,0,15.08
2004-03-05,0,15.74
2004-03-12,0,15.26
2004-03-19,0,15.00
2004-03-26,0,13.41
2004-04-02,0,14.65
2004-04-09,0,
2004-04-16,0,14.01
2004-04-23,0,14.11
2004-04-30,0,11.84
2004-05-07,0,12.40
2004-05-14,0,12.71
2004-05-21,0,13.60
2004-05-28,0,14.86
2004-06-04,0,15.56
2004-06-11,0,
2004-06-18,0,15.32
2004-06-25,0,17.45
2004-07-02,0,17.28
2004-07-09,0,15.71
2004-07-16,0,14.64
2004-07-23,0,13.93
2004-07-30,0,14.93
2004-08-06,0,12.63
2004-08-13,0,12.52
2004-08-20,0,14.23
2004-08-27,0,14.13
2004-09-03,0,13.17
2004-09-10,0,14.21
2004-09-17,0,14.93
2004-09-24,0,14.19
2004-10-01,0,14.50
2004-10-08,0,15.13
2004-10-15,0,14.98
2004-10-22,0,15.00
2004-10-29,0,13.85
2004-11-05,0,13.49
2004-11-12,0,13.23
2004-11-19,0,12.80
2004-11-26,0,13.30
2004-12-03,0,13.11
2004-12-10,0,12.73
2004-12-17,0,12.01
2004-12-24,0,
2004-12-31,0,13.03
2005-01-07,40,12.15
2005-01-14,0,12.54
2005-01-21,0,12.20
2005-01-28,0,12.69
2005-02-04,0,12.08
2005-02-11,0,11.40
2005-02-18,0,12.21
2005-02-25,0,11.09
2005-03-04,0,11.40
2005-03-11,0,11.00
2005-03-18,0,12.09
2005-03-25,0,
2005-04-01,0,12.51
2005-04-08,0,12.41
2005-04-15,0,12.29
2005-04-22,39,12.50
2005-04-29,30,11.81
2005-05-06,30,11.49
2005-05-13,30,11.74
2005-05-20,30,12.30
2005-05-27,26,13.79
2005-06-03,26,13.74
2005-06-10,25,13.97
2005-06-17,25,14.18
2005-06-24,27,13.59
2005-07-01,28,13.16
2005-07-08,29,13.97
2005-07-15,32,14.54
2005-07-22,36,14.57
2005-07-29,26,15.27
2005-08-05,28,15.12
2005-08-12,30,14.49
2005-08-19,33,14.85
2005-08-26,31,13.74
2005-09-02,24,13.87
2005-09-09,30,13.65
2005-09-16,24,13.91
2005-09-23,24,13.94
2005-09-30,24,15.95
2005-10-07,24,16.05
2005-10-14,22,16.10
2005-10-21,25,17.25
2005-10-28,29,16.84
2005-11-04,42,16.69
2005-11-11,27,17.02
2005-11-18,27,16.99
2005-11-25,27,20.50
2005-12-02,55,20.88
2005-12-09,38,21.79
2005-12-16,28,20.54
2005-12-23,24,20.10
2005-12-30,28,19.93
2006-01-06,31,22.47
2006-01-13,45,22.80
2006-01-20,33,22.71
2006-01-27,29,22.39
2006-02-03,33,21.83
2006-02-10,42,25.54
2006-02-17,29,26.72
2006-02-24,39,27.08
2006-03-03,43,26.11
2006-03-10,32,25.53
2006-03-17,30,28.42
2006-03-24,41,28.59
2006-03-31,33,32.89
2006-04-07,45,30.89
2006-04-14,41,
2006-04-21,40,33.84
2006-04-28,58,33.69
2006-05-05,46,35.19
2006-05-12,62,34.39
2006-05-19,44,34.14
2006-05-26,46,31.67
2006-06-02,39,31.34
2006-06-09,38,30.00
2006-06-16,30,30.89
2006-06-23,27,34.52
2006-06-30,55,36.19
2006-07-07,34,35.25
2006-07-14,45,32.54
2006-07-21,52,29.50
2006-07-28,79,36.59
2006-08-04,57,39.42
2006-08-11,36,37.40
2006-08-18,53,39.98
2006-08-25,39,37.87
2006-09-01,31,40.63
2006-09-08,36,41.15
2006-09-15,59,47.18
2006-09-22,53,46.19
2006-09-29,68,49.99
2006-10-06,73,51.37
2006-10-13,48,50.70
2006-10-20,57,46.19
2006-10-27,80,46.45
2006-11-03,43,45.97
2006-11-10,38,50.07
2006-11-17,44,49.25
2006-11-24,32,50.45
2006-12-01,30,47.71
2006-12-08,57,53.78
2006-12-15,54,56.39
2006-12-22,53,53.41
2006-12-29,36,53.12
2007-01-05,51,53.19
2007-01-12,38,54.64
2007-01-19,41,54.10
2007-01-26,37,54.29
2007-02-02,37,55.55
2007-02-09,71,56.16
2007-02-16,31,55.99
2007-02-23,33,56.40
2007-03-02,59,47.78
2007-03-09,41,50.41
2007-03-16,31,51.08
2007-03-23,40,51.37
2007-03-30,45,49.92
2007-04-06,49,
2007-04-13,44,53.00
2007-04-20,55,52.90
2007-04-27,82,44.80
2007-05-04,47,46.08
2007-05-11,53,45.70
2007-05-18,58,44.47
2007-05-25,56,43.14
2007-06-01,51,43.62
2007-06-08,52,45.60
2007-06-15,54,48.85
2007-06-22,43,47.48
2007-06-29,36,48.64
2007-07-06,25,47.54
2007-07-13,51,50.30
2007-07-20,40,49.16
2007-07-27,78,36.71
2007-08-03,65,32.90
2007-08-10,35,34.18
2007-08-17,42,30.51
2007-08-24,46,32.86
2007-08-31,47,32.22
2007-09-07,36,30.26
2007-09-14,43,31.32
2007-09-21,38,30.16
2007-09-28,44,28.73
2007-10-05,39,31.29
2007-10-12,57,36.74
2007-10-19,37,33.08
2007-10-26,61,37.81
2007-11-02,52,38.62
2007-11-09,29,36.55
2007-11-16,36,36.15
2007-11-23,30,36.35
2007-11-30,34,38.06
2007-12-07,36,39.01
2007-12-14,34,35.37
2007-12-21,33,35.95
2007-12-28,17,35.35
2008-01-04,27,32.00
2008-01-11,38,27.52
2008-01-18,37,27.00
2008-01-25,23,29.51
2008-02-01,35,31.04
2008-02-08,33,32.34
2008-02-15,20,33.77
2008-02-22,24,32.79
2008-02-29,19,35.16
2008-03-07,27,34.19
2008-03-14,25,31.19
2008-03-21,26,
2008-03-28,28,29.58
2008-04-04,28,31.59
2008-04-11,25,30.39
2008-04-18,27,31.83
2008-04-25,24,34.88
2008-05-02,35,34.95
2008-05-09,26,37.25
2008-05-16,28,40.33
2008-05-23,34,36.43
2008-05-30,31,39.05
2008-06-06,33,37.38
2008-06-13,24,36.31
2008-06-20,20,35.80
2008-06-27,29,34.56
2008-07-04,20,
2008-07-11,20,31.18
2008-07-18,15,33.55
2008-07-25,22,32.08
2008-08-01,41,23.50
2008-08-08,35,22.82
2008-08-15,21,23.13
2008-08-22,29,23.67
2008-08-29,24,22.90
2008-09-05,20,19.41
2008-09-12,27,18.06
2008-09-19,27,17.67
2008-09-26,28,16.38
2008-10-03,20,14.85
2008-10-10,25,14.12
2008-10-17,25,14.71
2008-10-24,24,12.72
2008-10-31,24,14.38
2008-11-07,20,14.47
2008-11-14,19,12.76
2008-11-21,25,10.52
2008-11-28,14,12.27
2008-12-05,32,13.03
2008-12-12,28,14.54
2008-12-19,18,15.58
2008-12-26,26,14.73
2009-01-02,25,15.74
2009-01-09,18,15.13
2009-01-16,17,13.08
2009-01-23,15,13.40
2009-01-30,16,13.48
2009-02-06,24,17.41
2009-02-13,23,17.72
2009-02-20,16,17.71
2009-02-27,22,18.09
2009-03-06,26,16.36
2009-03-13,28,18.42
2009-03-20,21,18.13
2009-03-27,24,20.11
2009-04-03,30,20.06
2009-04-10,26,
2009-04-17,22,20.47
2009-04-24,17,19.48
2009-05-01,25,22.37
2009-05-08,19,21.31
2009-05-15,24,20.74
2009-05-22,22,20.83
2009-05-29,19,22.27
2009-06-05,22,22.18
2009-06-12,19,22.86
2009-06-19,11,20.53
2009-06-26,18,20.09
2009-07-03,17,
2009-07-10,16,18.49
2009-07-17,21,19.64
2009-07-24,26,21.13
2009-07-31,36,16.44
2009-08-07,38,19.46
2009-08-14,27,18.01
2009-08-21,15,18.42
2009-08-28,21,18.11
2009-09-04,19,17.47
2009-09-11,20,18.37
2009-09-18,20,18.77
2009-09-25,20,19.32
2009-10-02,16,18.82
2009-10-09,27,20.31
2009-10-16,26,21.80
2009-10-23,34,21.50
2009-10-30,24,22.00
2009-11-06,18,23.32
2009-11-13,17,24.43
2009-11-20,21,23.94
2009-11-27,15,23.92
2009-12-04,33,24.98
2009-12-11,25,24.83
2009-12-18,18,25.51
2009-12-25,16,
2010-01-01,16,
2010-01-08,23,26.48
2010-01-15,21,26.61
2010-01-22,21,25.82
2010-01-29,16,24.70
2010-02-05,22,25.32
2010-02-12,25,25.33
2010-02-19,16,25.89
2010-02-26,18,26.30
2010-03-05,21,29.20
2010-03-12,21,31.94
2010-03-19,24,31.39
2010-03-26,27,31.68
2010-04-02,23,
2010-04-09,19,33.21
2010-04-16,25,33.22
2010-04-23,24,34.22
2010-04-30,30,38.83
2010-05-07,27,35.71
2010-05-14,29,38.90
2010-05-21,24,38.93
2010-05-28,22,39.72
2010-06-04,24,41.90
2010-06-11,24,44.30
2010-06-18,24,45.72
2010-06-25,28,45.09
2010-07-02,19,39.57
2010-07-09,23,43.47
2010-07-16,21,42.69
2010-07-23,21,45.05
2010-07-30,36,38.36
2010-08-06,24,39.90
2010-08-13,29,44.22
2010-08-20,30,47.86
2010-08-27,28,47.26
2010-09-03,26,49.96
2010-09-10,31,49.50
2010-09-17,26,52.38
2010-09-24,29,50.88
2010-10-01,32,49.33
2010-10-08,30,45.93
2010-10-15,28,47.09
2010-10-22,22,47.61
2010-10-29,33,51.67
2010-11-05,25,53.28
2010-11-12,32,49.77
2010-11-19,32,49.53
2010-11-26,26,51.53
2010-12-03,33,52.96
2010-12-10,27,51.33
2010-12-17,24,50.87
2010-12-24,31,
2010-12-31,22,47.05
2011-01-07,21,48.69
2011-01-14,22,51.75
2011-01-21,19,48.93
2011-01-28,20,47.75
2011-02-04,19,47.88
2011-02-11,46,41.43
2011-02-18,26,41.57
2011-02-25,25,39.48
2011-03-04,23,37.37
2011-03-11,25,36.20
2011-03-18,18,36.19
2011-03-25,25,38.45
2011-04-01,26,37.60
2011-04-08,26,37.35
2011-04-15,19,38.09
2011-04-22,29,
2011-04-29,48,34.43
2011-05-06,27,34.62
2011-05-13,27,33.95
2011-05-20,26,34.20
2011-05-27,23,33.66
2011-06-03,22,32.83
2011-06-10,21,29.45
2011-06-17,20,29.49
2011-06-24,17,29.25
2011-07-01,25,31.49
2011-07-08,17,31.66
2011-07-15,16,29.85
2011-07-22,19,30.37
2011-07-29,41,24.22
2011-08-05,32,22.59
2011-08-12,23,22.55
2011-08-19,20,20.28
2011-08-26,19,20.64
2011-09-02,19,20.50
2011-09-09,17,20.77
2011-09-16,16,22.72
2011-09-23,18,20.80
2011-09-30,15,19.88
2011-10-07,18,23.02
2011-10-14,26,24.46
2011-10-21,17,23.85
2011-10-28,28,28.29
2011-11-04,22,29.82
2011-11-11,23,29.93
2011-11-18,15,27.97
2011-11-25,21,26.31
2011-12-02,22,29.00
2011-12-09,17,28.21
2011-12-16,23,26.65
2011-12-23,27,31.93
2011-12-30,17,32.28
2012-01-06,20,32.76
2012-01-13,19,32.22
2012-01-20,16,32.04
2012-01-27,20,32.01
2012-02-03,28,33.64
2012-02-10,27,38.43
2012-02-17,23,37.80
2012-02-24,15,37.21
2012-03-02,16,36.30
2012-03-09,17,36.84
2012-03-16,22,37.36
2012-03-23,20,36.62
2012-03-30,19,36.70
2012-04-06,18,
2012-04-13,35,36.76
2012-04-20,44,37.40
2012-04-27,53,33.18
2012-05-04,45,32.56
2012-05-11,42,31.17
2012-05-18,57,28.45
2012-05-25,38,29.31
2012-06-01,45,28.20
2012-06-08,43,30.12
2012-06-15,36,31.14
2012-06-22,35,30.81
2012-06-29,53,31.75
2012-07-06,44,31.28
2012-07-13,36,30.08
2012-07-20,39,29.91
2012-07-27,44,35.86
2012-08-03,43,35.48
2012-08-10,35,35.97
2012-08-17,39,37.55
2012-08-24,57,37.10
2012-08-31,36,37.51
2012-09-07,37,38.73
2012-09-14,31,39.03
2012-09-21,22,38.81
2012-09-28,18,38.26
2012-10-05,23,39.41
2012-10-12,21,37.58
2012-10-19,20,36.37
2012-10-26,27,38.39
2012-11-02,16,38.28
2012-11-09,21,36.40
2012-11-16,19,36.10
2012-11-23,17,35.97
2012-11-30,25,36.62
2012-12-07,29,38.82
2012-12-14,34,38.96
2012-12-21,29,41.76
2012-12-28,24,40.40
2013-01-04,21,40.43
2013-01-11,18,39.59
2013-01-18,19,39.96
2013-01-25,17,41.15
2013-02-01,20,41.81
2013-02-08,26,35.42
2013-02-15,22,38.49
2013-02-22,19,36.27
2013-03-01,21,36.65
2013-03-08,31,37.24
2013-03-15,30,34.69
2013-03-22,39,34.78
2013-03-29,39,
2013-04-05,45,34.18
2013-04-12,33,35.41
2013-04-19,40,33.55
2013-04-26,78,42.61
2013-05-03,100,45.27
2013-05-10,41,46.70
2013-05-17,37,47.49
2013-05-24,30,46.04
2013-05-31,29,46.12
2013-06-07,30,45.26
2013-06-14,28,42.56
2013-06-21,29,40.75
2013-06-28,28,42.55
2013-07-05,29,43.03
2013-07-12,32,44.92
2013-07-19,29,44.81
2013-07-26,35,47.23
2013-08-02,27,46.85
2013-08-09,24,46.52
2013-08-16,20,45.91
2013-08-23,21,47.10
2013-08-30,46,45.98
2013-09-06,47,47.58
2013-09-13,31,51.27
2013-09-20,24,52.71
2013-09-27,25,51.75
2013-10-04,23,52.32
2013-10-11,23,51.89
2013-10-18,23,52.15
2013-10-25,34,45.88
2013-11-01,23,45.07
2013-11-08,22,45.27
2013-11-15,20,45.76
2013-11-22,22,44.20
2013-11-29,19,44.72
2013-12-06,27,44.95
2013-12-13,25,45.72
2013-12-20,29,47.70
2013-12-27,23,46.88
2014-01-03,21,46.45
2014-01-10,23,48.20
2014-01-17,20,48.58
2014-01-24,22,48.34
2014-01-31,20,47.68
2014-02-07,28,56.64
2014-02-14,21,60.03
2014-02-21,28,61.73
2014-02-28,24,61.13
2014-03-07,23,61.00
2014-03-14,20,59.53
2014-03-21,19,60.72
2014-03-28,18,58.24
2014-04-04,17,54.35
2014-04-11,18,52.61
2014-04-18,19,
2014-04-25,19,52.03
2014-05-02,14,
