Date,ALL,Price
2004-01-09,77,
2004-01-16,80,
2004-01-23,79,
2004-01-30,75,
2004-02-06,80,46.51
2004-02-13,78,46.73
2004-02-20,80,46.55
2004-02-27,77,45.63
2004-03-05,75,44.45
2004-03-12,75,44.65
2004-03-19,75,44.76
2004-03-26,76,44.76
2004-04-02,76,46.11
2004-04-09,76,
2004-04-16,73,47.20
2004-04-23,75,46.50
2004-04-30,77,45.90
2004-05-07,76,44.78
2004-05-14,79,43.70
2004-05-21,72,43.67
2004-05-28,72,43.98
2004-06-04,73,43.77
2004-06-11,74,
2004-06-18,70,45.70
2004-06-25,72,45.90
2004-07-02,70,46.30
2004-07-09,72,46.60
2004-07-16,77,46.20
2004-07-23,71,46.02
2004-07-30,72,47.08
2004-08-06,71,46.22
2004-08-13,71,45.93
2004-08-20,71,47.52
2004-08-27,71,47.69
2004-09-03,68,47.02
2004-09-10,72,46.92
2004-09-17,70,48.84
2004-09-24,69,48.25
2004-10-01,68,48.47
2004-10-08,70,47.90
2004-10-15,72,47.39
2004-10-22,72,46.83
2004-10-29,72,48.09
2004-11-05,72,48.34
2004-11-12,73,50.74
2004-11-19,73,50.28
2004-11-26,72,51.00
2004-12-03,77,51.35
2004-12-10,77,50.76
2004-12-17,74,50.05
2004-12-24,77,
2004-12-31,73,51.72
2005-01-07,73,51.03
2005-01-14,75,51.49
2005-01-21,73,50.22
2005-01-28,72,49.67
2005-02-04,74,52.35
2005-02-11,79,52.93
2005-02-18,75,53.10
2005-02-25,78,53.70
2005-03-04,76,53.94
2005-03-11,76,54.41
2005-03-18,74,53.02
2005-03-25,74,
2005-04-01,75,53.40
2005-04-08,72,54.20
2005-04-15,72,53.31
2005-04-22,71,54.57
2005-04-29,73,56.16
2005-05-06,75,57.50
2005-05-13,72,56.32
2005-05-20,74,57.10
2005-05-27,73,58.28
2005-06-03,73,58.61
2005-06-10,73,59.19
2005-06-17,74,60.19
2005-06-24,75,59.81
2005-07-01,77,59.85
2005-07-08,73,60.17
2005-07-15,78,62.26
2005-07-22,75,61.07
2005-07-29,74,61.26
2005-08-05,75,59.08
2005-08-12,75,58.08
2005-08-19,73,58.48
2005-08-26,72,58.27
2005-09-02,72,55.53
2005-09-09,71,54.26
2005-09-16,71,55.13
2005-09-23,73,54.53
2005-09-30,73,55.29
2005-10-07,72,54.10
2005-10-14,75,54.14
2005-10-21,75,53.20
2005-10-28,76,52.69
2005-11-04,77,55.15
2005-11-11,77,56.87
2005-11-18,76,57.35
2005-11-25,73,57.48
2005-12-02,76,55.84
2005-12-09,79,55.28
2005-12-16,78,54.29
2005-12-23,78,54.76
2005-12-30,75,54.07
2006-01-06,73,54.84
2006-01-13,74,54.68
2006-01-20,76,52.21
2006-01-27,75,52.03
2006-02-03,76,52.01
2006-02-10,74,52.92
2006-02-17,75,54.30
2006-02-24,79,54.90
2006-03-03,74,54.54
2006-03-10,71,54.56
2006-03-17,71,54.82
2006-03-24,73,53.23
2006-03-31,72,52.11
2006-04-07,70,51.22
2006-04-14,69,
2006-04-21,73,55.65
2006-04-28,70,56.49
2006-05-05,74,56.87
2006-05-12,72,56.38
2006-05-19,71,56.39
2006-05-26,70,55.01
2006-06-02,70,55.11
2006-06-09,69,54.36
2006-06-16,69,53.51
2006-06-23,70,52.91
2006-06-30,69,54.73
2006-07-07,71,55.03
2006-07-14,74,54.73
2006-07-21,69,56.65
2006-07-28,72,57.02
2006-08-04,71,55.63
2006-08-11,68,55.66
2006-08-18,72,57.92
2006-08-25,72,57.00
2006-09-01,70,58.37
2006-09-08,68,59.06
2006-09-15,71,60.12
2006-09-22,68,60.67
2006-09-29,69,62.73
2006-10-06,69,63.15
2006-10-13,69,62.93
2006-10-20,72,61.23
2006-10-27,70,61.74
2006-11-03,72,61.48
2006-11-10,74,63.06
2006-11-17,74,64.48
2006-11-24,72,64.91
2006-12-01,75,63.29
2006-12-08,76,63.82
2006-12-15,77,65.21
2006-12-22,79,65.37
2006-12-29,78,65.11
2007-01-05,74,65.18
2007-01-12,72,64.60
2007-01-19,72,63.73
2007-01-26,73,63.47
2007-02-02,73,61.19
2007-02-09,71,61.08
2007-02-16,76,62.18
2007-02-23,78,61.28
2007-03-02,69,59.60
2007-03-09,70,60.10
2007-03-16,69,59.70
2007-03-23,70,60.78
2007-03-30,70,60.06
2007-04-06,71,
2007-04-13,71,61.33
2007-04-20,68,62.49
2007-04-27,69,62.63
2007-05-04,70,62.84
2007-05-11,70,63.45
2007-05-18,73,62.75
2007-05-25,71,61.40
2007-06-01,70,61.58
2007-06-08,71,60.85
2007-06-15,68,61.38
2007-06-22,67,61.18
2007-06-29,73,61.51
2007-07-06,71,61.79
2007-07-13,77,61.05
2007-07-20,74,57.37
2007-07-27,72,53.50
2007-08-03,71,51.61
2007-08-10,72,52.09
2007-08-17,72,56.41
2007-08-24,69,56.86
2007-08-31,68,54.75
2007-09-07,70,53.90
2007-09-14,71,54.76
2007-09-21,70,55.88
2007-09-28,71,57.19
2007-10-05,73,58.84
2007-10-12,74,58.81
2007-10-19,70,54.49
2007-10-26,68,52.43
2007-11-02,73,51.25
2007-11-09,69,53.13
2007-11-16,70,52.64
2007-11-23,79,50.09
2007-11-30,80,51.12
2007-12-07,82,52.46
2007-12-14,75,51.58
2007-12-21,75,51.89
2007-12-28,76,52.19
2008-01-04,79,51.08
2008-01-11,73,51.49
2008-01-18,73,48.46
2008-01-25,74,50.45
2008-02-01,74,49.42
2008-02-08,74,46.57
2008-02-15,75,46.18
2008-02-22,76,47.64
2008-02-29,73,47.73
2008-03-07,72,47.03
2008-03-14,71,45.74
2008-03-21,71,
2008-03-28,71,47.57
2008-04-04,72,48.98
2008-04-11,72,48.20
2008-04-18,71,50.17
2008-04-25,72,50.01
2008-05-02,75,51.89
2008-05-09,73,49.38
2008-05-16,73,50.07
2008-05-23,71,49.92
2008-05-30,72,50.94
2008-06-06,73,50.03
2008-06-13,72,49.89
2008-06-20,75,47.89
2008-06-27,76,46.52
2008-07-04,76,
2008-07-11,80,44.15
2008-07-18,83,45.09
2008-07-25,78,45.58
2008-08-01,76,45.96
2008-08-08,78,46.69
2008-08-15,79,46.19
2008-08-22,75,46.14
2008-08-29,78,45.13
2008-09-05,74,45.08
2008-09-12,74,45.23
2008-09-19,75,47.54
2008-09-26,73,46.33
2008-10-03,74,42.48
2008-10-10,73,26.96
2008-10-17,73,31.58
2008-10-24,72,25.53
2008-10-31,75,26.39
2008-11-07,73,26.89
2008-11-14,76,27.07
2008-11-21,77,21.52
2008-11-28,73,25.44
2008-12-05,77,27.03
2008-12-12,81,27.16
2008-12-19,79,31.86
2008-12-26,82,30.84
2009-01-02,84,33.26
2009-01-09,80,30.06
2009-01-16,79,28.77
2009-01-23,79,26.63
2009-01-30,82,21.67
2009-02-06,78,22.70
2009-02-13,78,21.23
2009-02-20,82,18.44
2009-02-27,79,16.83
2009-03-06,78,14.55
2009-03-13,77,16.82
2009-03-20,77,18.59
2009-03-27,77,20.40
2009-04-03,78,21.26
2009-04-10,81,
2009-04-17,78,23.42
2009-04-24,76,22.31
2009-05-01,78,23.10
2009-05-08,77,26.12
2009-05-15,77,24.30
2009-05-22,75,26.27
2009-05-29,75,25.73
2009-06-05,78,25.05
2009-06-12,78,24.85
2009-06-19,77,24.07
2009-06-26,77,24.16
2009-07-03,78,
2009-07-10,82,23.08
2009-07-17,86,24.24
2009-07-24,81,26.40
2009-07-31,81,26.91
2009-08-07,81,27.79
2009-08-14,82,28.55
2009-08-21,80,28.63
2009-08-28,76,29.26
2009-09-04,78,28.85
2009-09-11,78,28.92
2009-09-18,79,30.64
2009-09-25,80,29.13
2009-10-02,79,30.76
2009-10-09,78,31.92
2009-10-16,79,31.67
2009-10-23,80,31.50
2009-10-30,80,29.57
2009-11-06,83,28.93
2009-11-13,80,28.91
2009-11-20,82,29.12
2009-11-27,81,28.27
2009-12-04,83,28.60
2009-12-11,81,28.63
2009-12-18,83,28.82
2009-12-25,86,
2010-01-01,89,
2010-01-08,85,31.21
2010-01-15,84,30.91
2010-01-22,83,29.98
2010-01-29,84,29.93
2010-02-05,84,28.91
2010-02-12,86,29.53
2010-02-19,88,31.22
2010-02-26,82,31.25
2010-03-05,82,32.14
2010-03-12,82,31.47
2010-03-19,81,31.26
2010-03-26,82,32.20
2010-04-02,84,
2010-04-09,80,32.97
2010-04-16,81,33.85
2010-04-23,83,35.19
2010-04-30,83,32.67
2010-05-07,83,31.80
2010-05-14,82,31.87
2010-05-21,81,30.54
2010-05-28,82,30.63
2010-06-04,82,28.94
2010-06-11,84,29.98
2010-06-18,82,30.54
2010-06-25,83,30.83
2010-07-02,83,28.28
2010-07-09,89,29.44
2010-07-16,92,27.83
2010-07-23,86,28.28
2010-07-30,89,28.24
2010-08-06,89,28.98
2010-08-13,86,28.10
2010-08-20,86,27.75
2010-08-27,85,27.99
2010-09-03,80,29.42
2010-09-10,86,29.87
2010-09-17,82,30.99
2010-09-24,81,31.60
2010-10-01,79,31.57
2010-10-08,81,32.42
2010-10-15,80,32.43
2010-10-22,82,32.79
2010-10-29,82,30.49
2010-11-05,86,31.27
2010-11-12,85,30.18
2010-11-19,88,30.33
2010-11-26,86,29.33
2010-12-03,85,30.31
2010-12-10,88,30.94
2010-12-17,88,31.31
2010-12-24,91,
2010-12-31,90,31.88
2011-01-07,93,31.29
2011-01-14,88,30.71
