Date,ALTR,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,22.82
2004-02-13,0,22.33
2004-02-20,0,21.85
2004-02-27,0,22.12
2004-03-05,0,22.60
2004-03-12,0,21.08
2004-03-19,0,19.84
2004-03-26,0,20.24
2004-04-02,0,22.01
2004-04-09,0,
2004-04-16,0,20.26
2004-04-23,0,21.80
2004-04-30,0,19.99
2004-05-07,0,21.01
2004-05-14,0,20.66
2004-05-21,0,21.50
2004-05-28,0,22.89
2004-06-04,0,22.44
2004-06-11,0,
2004-06-18,0,20.56
2004-06-25,0,21.46
2004-07-02,0,20.76
2004-07-09,0,20.76
2004-07-16,0,18.78
2004-07-23,0,19.86
2004-07-30,0,20.82
2004-08-06,0,20.04
2004-08-13,0,19.54
2004-08-20,0,20.60
2004-08-27,0,19.30
2004-09-03,0,17.81
2004-09-10,0,19.42
2004-09-17,0,19.88
2004-09-24,0,19.30
2004-10-01,0,20.26
2004-10-08,0,19.65
2004-10-15,0,19.59
2004-10-22,0,21.77
2004-10-29,0,22.71
2004-11-05,0,22.85
2004-11-12,0,23.05
2004-11-19,0,23.40
2004-11-26,0,22.75
2004-12-03,0,23.25
2004-12-10,0,20.29
2004-12-17,0,19.90
2004-12-24,0,
2004-12-31,0,20.70
2005-01-07,0,18.67
2005-01-14,0,18.12
2005-01-21,0,18.07
2005-01-28,0,18.49
2005-02-04,0,19.40
2005-02-11,0,20.50
2005-02-18,0,20.10
2005-02-25,0,20.96
2005-03-04,0,20.44
2005-03-11,0,20.30
2005-03-18,0,19.30
2005-03-25,0,
2005-04-01,0,19.35
2005-04-08,0,20.11
2005-04-15,0,18.28
2005-04-22,0,19.01
2005-04-29,0,20.73
2005-05-06,0,20.88
2005-05-13,0,21.20
2005-05-20,0,22.31
2005-05-27,0,22.26
2005-06-03,0,22.19
2005-06-10,0,21.57
2005-06-17,0,20.81
2005-06-24,0,20.35
2005-07-01,0,19.79
2005-07-08,0,21.53
2005-07-15,0,21.94
2005-07-22,0,22.20
2005-07-29,0,21.87
2005-08-05,0,22.42
2005-08-12,0,21.95
2005-08-19,0,21.57
2005-08-26,0,21.35
2005-09-02,0,21.47
2005-09-09,0,19.81
2005-09-16,0,19.17
2005-09-23,0,18.67
2005-09-30,0,19.11
2005-10-07,0,18.34
2005-10-14,100,17.57
2005-10-21,93,17.36
2005-10-28,93,16.32
2005-11-04,93,16.98
2005-11-11,93,17.49
2005-11-18,93,18.38
2005-11-25,0,18.40
2005-12-02,0,19.10
2005-12-09,0,19.05
2005-12-16,0,19.11
2005-12-23,0,19.17
2005-12-30,0,18.53
2006-01-06,0,19.85
2006-01-13,0,19.01
2006-01-20,0,18.53
2006-01-27,0,19.30
2006-02-03,0,19.01
2006-02-10,0,19.78
2006-02-17,0,19.92
2006-02-24,0,19.73
2006-03-03,0,20.89
2006-03-10,0,19.84
2006-03-17,0,19.83
2006-03-24,0,20.73
2006-03-31,0,20.64
2006-04-07,0,20.71
2006-04-14,0,
2006-04-21,0,21.35
2006-04-28,84,21.84
2006-05-05,86,21.81
2006-05-12,87,19.63
2006-05-19,89,18.73
2006-05-26,91,19.18
2006-06-02,0,19.06
2006-06-09,0,17.82
2006-06-16,0,17.68
2006-06-23,0,17.24
2006-06-30,0,17.55
2006-07-07,0,16.92
2006-07-14,0,16.28
2006-07-21,0,15.76
2006-07-28,0,17.34
2006-08-04,0,17.51
2006-08-11,0,17.61
2006-08-18,0,19.39
2006-08-25,0,18.96
2006-09-01,0,19.84
2006-09-08,0,19.33
2006-09-15,0,19.55
2006-09-22,0,18.56
2006-09-29,0,18.38
2006-10-06,0,18.50
2006-10-13,0,19.15
2006-10-20,0,18.41
2006-10-27,0,17.94
2006-11-03,63,17.72
2006-11-10,66,19.19
2006-11-17,0,20.51
2006-11-24,0,20.53
2006-12-01,0,19.58
2006-12-08,0,19.56
2006-12-15,0,20.01
2006-12-22,76,19.45
2006-12-29,0,19.68
2007-01-05,0,19.96
2007-01-12,0,20.42
2007-01-19,0,19.83
2007-01-26,0,20.18
2007-02-02,0,20.38
2007-02-09,0,20.76
2007-02-16,0,21.10
2007-02-23,70,22.05
2007-03-02,66,20.26
2007-03-09,61,20.70
2007-03-16,61,20.82
2007-03-23,61,21.45
2007-03-30,61,19.99
2007-04-06,65,
2007-04-13,68,20.17
2007-04-20,71,21.11
2007-04-27,75,22.82
2007-05-04,65,23.49
2007-05-11,51,23.54
2007-05-18,51,22.85
2007-05-25,51,22.31
2007-06-01,51,22.73
2007-06-08,51,22.46
2007-06-15,51,22.96
2007-06-22,60,22.50
2007-06-29,70,22.13
2007-07-06,79,23.52
2007-07-13,89,24.37
2007-07-20,76,24.73
2007-07-27,97,23.11
2007-08-03,55,22.90
2007-08-10,56,25.04
2007-08-17,65,22.97
2007-08-24,66,23.60
2007-08-31,66,23.81
2007-09-07,66,23.69
2007-09-14,66,23.75
2007-09-21,66,25.14
2007-09-28,45,24.08
2007-10-05,44,24.86
2007-10-12,44,23.78
2007-10-19,39,23.11
2007-10-26,80,18.81
2007-11-02,64,19.37
2007-11-09,38,18.92
2007-11-16,58,18.90
2007-11-23,46,18.70
2007-11-30,59,18.78
2007-12-07,55,19.19
2007-12-14,55,19.20
2007-12-21,55,19.40
2007-12-28,54,19.31
2008-01-04,54,18.07
2008-01-11,54,17.14
2008-01-18,60,17.59
2008-01-25,59,18.02
2008-02-01,38,19.42
2008-02-08,47,17.47
2008-02-15,45,17.18
2008-02-22,45,17.15
2008-02-29,34,17.11
2008-03-07,40,17.49
2008-03-14,45,17.54
2008-03-21,50,
2008-03-28,34,18.09
2008-04-04,70,19.24
2008-04-11,43,18.63
2008-04-18,92,21.46
2008-04-25,40,21.85
2008-05-02,65,22.18
2008-05-09,67,22.50
2008-05-16,69,22.98
2008-05-23,49,22.34
2008-05-30,33,23.14
2008-06-06,51,23.08
2008-06-13,47,22.82
2008-06-20,70,22.23
2008-06-27,67,20.95
2008-07-04,49,
2008-07-11,47,19.19
2008-07-18,71,21.52
2008-07-25,48,21.53
2008-08-01,57,21.56
2008-08-08,77,23.49
2008-08-15,52,23.85
2008-08-22,66,22.89
2008-08-29,51,22.64
2008-09-05,56,20.72
2008-09-12,39,20.55
2008-09-19,39,21.81
2008-09-26,69,21.32
2008-10-03,36,18.84
2008-10-10,64,15.66
2008-10-17,52,17.54
2008-10-24,42,16.51
2008-10-31,63,17.35
2008-11-07,38,15.54
2008-11-14,42,15.02
2008-11-21,60,14.27
2008-11-28,48,14.71
2008-12-05,58,13.95
2008-12-12,40,15.35
2008-12-19,62,16.44
2008-12-26,34,15.67
2009-01-02,34,17.10
2009-01-09,40,15.80
2009-01-16,47,16.07
2009-01-23,60,15.84
2009-01-30,42,15.38
2009-02-06,49,16.80
2009-02-13,61,16.01
2009-02-20,33,14.57
2009-02-27,56,15.33
2009-03-06,43,15.77
2009-03-13,57,17.50
2009-03-20,45,17.24
2009-03-27,54,17.98
2009-04-03,35,17.95
2009-04-10,31,
2009-04-17,36,17.95
2009-04-24,59,16.29
2009-05-01,63,16.15
2009-05-08,50,15.51
2009-05-15,34,15.20
2009-05-22,41,15.68
2009-05-29,36,17.02
2009-06-05,41,16.66
2009-06-12,57,16.75
2009-06-19,36,16.30
2009-06-26,38,16.37
2009-07-03,39,
2009-07-10,32,16.03
2009-07-17,56,17.41
2009-07-24,61,19.11
2009-07-31,60,18.69
2009-08-07,62,18.72
2009-08-14,49,18.79
2009-08-21,39,19.48
2009-08-28,42,19.54
2009-09-04,55,19.60
2009-09-11,63,20.41
2009-09-18,56,20.48
2009-09-25,65,20.41
2009-10-02,46,19.97
2009-10-09,57,20.95
2009-10-16,91,21.56
2009-10-23,32,20.86
2009-10-30,57,19.79
2009-11-06,36,19.77
2009-11-13,43,20.94
2009-11-20,60,20.67
2009-11-27,54,20.91
2009-12-04,45,22.11
2009-12-11,54,22.43
2009-12-18,44,22.50
2009-12-25,39,
2010-01-01,29,
2010-01-08,35,22.77
2010-01-15,59,21.40
2010-01-22,43,21.22
2010-01-29,46,21.32
2010-02-05,40,21.68
2010-02-12,36,22.87
2010-02-19,43,23.83
2010-02-26,41,24.43
2010-03-05,46,24.96
2010-03-12,38,24.99
2010-03-19,34,24.66
2010-03-26,49,24.32
2010-04-02,32,
2010-04-09,42,24.91
2010-04-16,34,26.25
2010-04-23,64,26.53
2010-04-30,48,25.36
2010-05-07,50,23.47
2010-05-14,49,23.37
2010-05-21,44,23.27
2010-05-28,45,23.57
2010-06-04,53,23.66
2010-06-11,60,24.38
2010-06-18,61,25.96
2010-06-25,45,25.51
2010-07-02,33,24.87
2010-07-09,58,27.59
2010-07-16,77,27.53
2010-07-23,89,28.90
2010-07-30,61,27.72
2010-08-06,58,27.63
2010-08-13,35,24.94
2010-08-20,48,25.60
2010-08-27,44,25.54
2010-09-03,57,26.83
2010-09-10,59,26.21
2010-09-17,61,28.70
2010-09-24,72,29.11
2010-10-01,65,30.09
2010-10-08,59,29.34
2010-10-15,63,29.82
2010-10-22,60,29.46
2010-10-29,72,31.24
2010-11-05,75,33.25
2010-11-12,75,32.50
2010-11-19,44,33.43
2010-11-26,54,35.49
2010-12-03,60,37.71
2010-12-10,50,37.18
2010-12-17,50,36.61
2010-12-24,49,
2010-12-31,46,35.58
2011-01-07,44,36.20
2011-01-14,61,39.33
2011-01-21,47,37.13
2011-01-28,48,37.41
2011-02-04,46,41.01
2011-02-11,69,41.40
2011-02-18,45,41.71
2011-02-25,45,42.63
2011-03-04,53,44.41
2011-03-11,53,40.46
2011-03-18,59,39.80
2011-03-25,32,43.39
2011-04-01,40,42.67
2011-04-08,49,42.81
2011-04-15,49,43.17
2011-04-22,27,
2011-04-29,50,48.70
2011-05-06,38,48.15
2011-05-13,44,48.30
2011-05-20,40,47.77
2011-05-27,44,47.05
2011-06-03,36,45.56
2011-06-10,41,43.66
2011-06-17,52,42.78
2011-06-24,49,43.63
2011-07-01,41,47.53
2011-07-08,57,46.84
2011-07-15,79,42.67
2011-07-22,57,42.30
2011-07-29,54,40.88
2011-08-05,51,36.42
2011-08-12,67,36.54
2011-08-19,54,33.01
2011-08-26,44,36.30
2011-09-02,53,34.75
2011-09-09,63,34.61
2011-09-16,45,38.24
2011-09-23,60,35.58
2011-09-30,51,31.53
2011-10-07,40,33.36
2011-10-14,48,35.93
2011-10-21,64,37.05
2011-10-28,56,39.94
2011-11-04,47,39.05
2011-11-11,57,37.35
2011-11-18,50,35.21
2011-11-25,32,34.12
2011-12-02,47,37.15
2011-12-09,53,35.89
2011-12-16,57,34.09
2011-12-23,38,37.58
2011-12-30,55,37.10
2012-01-06,45,37.49
2012-01-13,49,37.31
2012-01-20,49,40.35
2012-01-27,59,40.23
2012-02-03,56,40.85
2012-02-10,30,40.10
2012-02-17,49,40.07
2012-02-24,33,38.88
2012-03-02,49,37.20
2012-03-09,55,38.00
2012-03-16,41,39.51
2012-03-23,38,38.79
2012-03-30,35,39.82
2012-04-06,32,
2012-04-13,36,37.48
2012-04-20,36,35.25
2012-04-27,40,35.56
2012-05-04,36,33.68
2012-05-11,40,33.73
2012-05-18,29,33.23
2012-05-25,39,34.42
2012-06-01,33,32.28
2012-06-08,42,33.49
2012-06-15,28,33.06
2012-06-22,35,33.44
2012-06-29,30,33.84
2012-07-06,32,32.74
2012-07-13,24,31.35
2012-07-20,61,31.23
2012-07-27,45,36.04
2012-08-03,40,35.79
2012-08-10,27,37.12
2012-08-17,29,36.35
2012-08-24,34,36.35
2012-08-31,36,37.33
2012-09-07,52,37.97
2012-09-14,44,38.15
2012-09-21,37,36.74
2012-09-28,45,34.00
2012-10-05,45,33.43
2012-10-12,31,32.33
2012-10-19,39,32.51
2012-10-26,53,30.40
2012-11-02,40,30.51
2012-11-09,39,30.64
2012-11-16,40,30.45
2012-11-23,29,31.86
2012-11-30,27,32.39
2012-12-07,39,31.58
2012-12-14,31,32.86
2012-12-21,30,34.50
2012-12-28,34,34.01
2013-01-04,30,35.14
2013-01-11,35,35.27
2013-01-18,40,35.64
2013-01-25,47,33.52
2013-02-01,39,34.49
2013-02-08,31,35.38
2013-02-15,36,35.74
2013-02-22,30,35.35
2013-03-01,31,35.51
2013-03-08,46,35.25
2013-03-15,34,35.16
2013-03-22,32,34.72
2013-03-29,30,
2013-04-05,36,33.15
2013-04-12,25,33.30
2013-04-19,35,31.07
2013-04-26,34,31.20
2013-05-03,51,32.73
2013-05-10,38,33.05
2013-05-17,30,34.11
2013-05-24,36,32.94
2013-05-31,39,33.22
2013-06-07,37,32.61
2013-06-14,32,32.29
2013-06-21,27,31.99
2013-06-28,20,32.99
2013-07-05,26,33.69
2013-07-12,29,35.05
2013-07-19,30,35.51
2013-07-26,44,34.99
2013-08-02,34,36.41
2013-08-09,43,36.01
2013-08-16,51,35.00
2013-08-23,40,34.66
2013-08-30,47,35.17
2013-09-06,31,37.57
2013-09-13,51,38.67
2013-09-20,28,37.60
2013-09-27,42,36.96
2013-10-04,32,36.87
2013-10-11,42,37.19
2013-10-18,38,37.48
2013-10-25,50,33.13
2013-11-01,34,33.17
2013-11-08,38,33.39
2013-11-15,36,32.72
2013-11-22,43,32.34
2013-11-29,39,32.25
2013-12-06,38,32.12
2013-12-13,27,30.83
2013-12-20,39,31.50
2013-12-27,31,32.39
2014-01-03,29,32.17
2014-01-10,32,31.47
2014-01-17,28,32.40
2014-01-24,33,32.12
2014-01-31,31,33.43
2014-02-07,36,33.69
2014-02-14,36,34.76
2014-02-21,35,35.70
2014-02-28,29,36.31
2014-03-07,38,36.53
2014-03-14,31,35.29
2014-03-21,41,36.35
2014-03-28,34,35.45
2014-04-04,37,34.91
2014-04-11,45,33.81
2014-04-18,38,
2014-04-25,40,33.09
2014-05-02,49,
