Date,ALXN,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,20.36
2004-02-13,0,22.01
2004-02-20,0,22.00
2004-02-27,0,22.87
2004-03-05,0,25.42
2004-03-12,0,24.42
2004-03-19,0,22.29
2004-03-26,0,22.06
2004-04-02,0,23.83
2004-04-09,0,
2004-04-16,0,23.74
2004-04-23,0,24.35
2004-04-30,0,22.52
2004-05-07,0,21.75
2004-05-14,0,20.89
2004-05-21,0,19.93
2004-05-28,0,20.05
2004-06-04,0,20.08
2004-06-11,0,
2004-06-18,0,18.30
2004-06-25,0,19.21
2004-07-02,0,18.09
2004-07-09,0,16.89
2004-07-16,0,15.68
2004-07-23,0,15.64
2004-07-30,0,15.92
2004-08-06,0,13.57
2004-08-13,0,15.08
2004-08-20,0,16.28
2004-08-27,0,16.62
2004-09-03,0,15.74
2004-09-10,0,16.98
2004-09-17,0,18.04
2004-09-24,0,17.93
2004-10-01,0,18.73
2004-10-08,0,17.74
2004-10-15,0,17.44
2004-10-22,0,16.98
2004-10-29,0,17.85
2004-11-05,0,19.99
2004-11-12,0,21.12
2004-11-19,0,19.95
2004-11-26,0,20.37
2004-12-03,0,22.00
2004-12-10,0,22.21
2004-12-17,0,24.90
2004-12-24,0,
2004-12-31,0,25.20
2005-01-07,0,23.73
2005-01-14,0,22.65
2005-01-21,0,23.34
2005-01-28,0,24.63
2005-02-04,0,26.90
2005-02-11,0,24.96
2005-02-18,0,24.13
2005-02-25,0,23.89
2005-03-04,0,21.10
2005-03-11,0,20.32
2005-03-18,0,21.14
2005-03-25,0,
2005-04-01,0,20.94
2005-04-08,0,20.52
2005-04-15,0,20.47
2005-04-22,0,21.41
2005-04-29,0,20.74
2005-05-06,0,21.85
2005-05-13,0,23.23
2005-05-20,0,23.05
2005-05-27,0,23.00
2005-06-03,0,23.18
2005-06-10,0,21.75
2005-06-17,0,22.74
2005-06-24,0,23.37
2005-07-01,0,23.60
2005-07-08,0,25.05
2005-07-15,0,25.73
2005-07-22,0,26.30
2005-07-29,0,26.04
2005-08-05,0,26.27
2005-08-12,0,27.00
2005-08-19,0,26.41
2005-08-26,0,27.75
2005-09-02,0,28.57
2005-09-09,0,29.99
2005-09-16,0,28.40
2005-09-23,0,27.60
2005-09-30,0,27.65
2005-10-07,0,26.44
2005-10-14,0,26.05
2005-10-21,0,26.35
2005-10-28,0,26.91
2005-11-04,0,27.77
2005-11-11,0,27.30
2005-11-18,0,28.26
2005-11-25,0,21.05
2005-12-02,0,20.01
2005-12-09,0,19.73
2005-12-16,0,20.14
2005-12-23,0,20.60
2005-12-30,0,20.25
2006-01-06,0,20.43
2006-01-13,0,20.95
2006-01-20,0,21.33
2006-01-27,0,28.01
2006-02-03,0,30.64
2006-02-10,0,34.19
2006-02-17,0,35.93
2006-02-24,0,38.22
2006-03-03,0,36.24
2006-03-10,0,38.40
2006-03-17,0,36.68
2006-03-24,0,34.92
2006-03-31,0,35.42
2006-04-07,0,34.00
2006-04-14,0,
2006-04-21,0,34.59
2006-04-28,0,33.99
2006-05-05,0,32.89
2006-05-12,0,32.56
2006-05-19,0,31.00
2006-05-26,0,32.84
2006-06-02,0,33.99
2006-06-09,0,32.50
2006-06-16,0,32.62
2006-06-23,0,35.14
2006-06-30,0,36.12
2006-07-07,0,35.72
2006-07-14,0,33.26
2006-07-21,0,32.93
2006-07-28,0,34.43
2006-08-04,0,34.24
2006-08-11,0,31.90
2006-08-18,0,34.54
2006-08-25,0,35.00
2006-09-01,0,37.55
2006-09-08,0,35.67
2006-09-15,0,33.47
2006-09-22,0,32.61
2006-09-29,0,33.98
2006-10-06,0,37.35
2006-10-13,0,37.66
2006-10-20,0,37.96
2006-10-27,0,37.58
2006-11-03,0,38.18
2006-11-10,0,43.10
2006-11-17,0,45.40
2006-11-24,0,44.00
2006-12-01,0,42.93
2006-12-08,0,44.61
2006-12-15,0,43.41
2006-12-22,0,41.34
2006-12-29,0,40.39
2007-01-05,0,40.46
2007-01-12,0,41.15
2007-01-19,0,42.87
2007-01-26,0,41.57
2007-02-02,0,41.94
2007-02-09,0,39.91
2007-02-16,0,39.04
2007-02-23,0,38.91
2007-03-02,0,35.93
2007-03-09,0,37.08
2007-03-16,0,40.15
2007-03-23,0,40.07
2007-03-30,0,43.24
2007-04-06,0,
2007-04-13,0,44.96
2007-04-20,0,43.80
2007-04-27,0,42.55
2007-05-04,0,45.89
2007-05-11,0,47.05
2007-05-18,0,47.25
2007-05-25,0,47.34
2007-06-01,0,49.21
2007-06-08,0,47.92
2007-06-15,0,48.53
2007-06-22,0,45.33
2007-06-29,0,45.06
2007-07-06,0,46.19
2007-07-13,0,50.05
2007-07-20,0,50.50
2007-07-27,0,58.62
2007-08-03,0,61.28
2007-08-10,0,61.96
2007-08-17,0,58.34
2007-08-24,0,58.87
2007-08-31,0,60.47
2007-09-07,0,65.05
2007-09-14,0,61.75
2007-09-21,0,63.39
2007-09-28,0,65.15
2007-10-05,0,68.98
2007-10-12,0,71.38
2007-10-19,0,68.41
2007-10-26,0,79.80
2007-11-02,0,76.32
2007-11-09,0,75.15
2007-11-16,0,73.80
2007-11-23,0,69.64
2007-11-30,0,72.72
2007-12-07,0,74.79
2007-12-14,0,74.38
2007-12-21,0,75.68
2007-12-28,0,76.52
2008-01-04,0,74.61
2008-01-11,0,66.75
2008-01-18,0,66.18
2008-01-25,0,64.21
2008-02-01,0,68.84
2008-02-08,0,66.55
2008-02-15,0,65.98
2008-02-22,0,60.75
2008-02-29,0,60.61
2008-03-07,0,56.06
2008-03-14,0,54.21
2008-03-21,0,
2008-03-28,0,58.32
2008-04-04,0,64.48
2008-04-11,0,65.27
2008-04-18,0,68.16
2008-04-25,0,69.11
2008-05-02,0,72.92
2008-05-09,0,72.03
2008-05-16,0,70.99
2008-05-23,0,66.78
2008-05-30,0,71.35
2008-06-06,0,70.23
2008-06-13,0,69.85
2008-06-20,0,68.79
2008-06-27,0,72.79
2008-07-04,0,
2008-07-11,0,75.90
2008-07-18,0,74.85
2008-07-25,0,80.99
2008-08-01,0,92.22
2008-08-08,0,92.43
2008-08-15,0,92.77
2008-08-22,0,87.79
2008-08-29,0,45.08
2008-09-05,0,41.80
2008-09-12,0,41.53
2008-09-19,0,41.12
2008-09-26,0,42.32
2008-10-03,0,39.02
2008-10-10,0,34.21
2008-10-17,0,41.03
2008-10-24,0,37.33
2008-10-31,0,40.75
2008-11-07,0,41.00
2008-11-14,0,38.24
2008-11-21,0,31.00
2008-11-28,0,33.66
2008-12-05,0,33.28
2008-12-12,0,32.91
2008-12-19,0,35.48
2008-12-26,0,34.60
2009-01-02,0,36.13
2009-01-09,0,34.15
2009-01-16,0,37.50
2009-01-23,0,36.37
2009-01-30,0,36.87
2009-02-06,0,38.43
2009-02-13,0,39.91
2009-02-20,0,37.98
2009-02-27,0,34.20
2009-03-06,0,32.28
2009-03-13,0,35.37
2009-03-20,0,37.10
2009-03-27,0,38.40
2009-04-03,0,37.76
2009-04-10,0,
2009-04-17,0,34.94
2009-04-24,0,34.19
2009-05-01,0,32.59
2009-05-08,0,34.26
2009-05-15,0,33.70
2009-05-22,0,34.66
2009-05-29,0,36.50
2009-06-05,0,37.22
2009-06-12,0,39.29
2009-06-19,0,38.51
2009-06-26,0,38.97
2009-07-03,0,
2009-07-10,0,37.50
2009-07-17,0,38.49
2009-07-24,0,43.20
2009-07-31,0,44.05
2009-08-07,0,44.48
2009-08-14,0,42.97
2009-08-21,0,44.90
2009-08-28,0,44.65
2009-09-04,0,45.95
2009-09-11,0,45.59
2009-09-18,0,45.89
2009-09-25,0,44.91
2009-10-02,0,44.06
2009-10-09,0,44.66
2009-10-16,0,46.02
2009-10-23,0,47.97
2009-10-30,0,44.41
2009-11-06,0,45.03
2009-11-13,0,43.90
2009-11-20,0,43.70
2009-11-27,0,44.62
2009-12-04,0,44.95
2009-12-11,0,46.77
2009-12-18,0,47.75
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,47.95
2010-01-15,0,47.41
2010-01-22,0,46.20
2010-01-29,0,46.37
2010-02-05,0,46.78
2010-02-12,0,46.67
2010-02-19,0,49.75
2010-02-26,0,49.52
2010-03-05,0,53.73
2010-03-12,0,52.84
2010-03-19,0,54.26
2010-03-26,0,54.93
2010-04-02,0,
2010-04-09,0,54.96
2010-04-16,0,54.87
2010-04-23,0,56.27
2010-04-30,0,54.88
2010-05-07,0,50.25
2010-05-14,0,52.12
2010-05-21,0,49.84
2010-05-28,0,50.03
2010-06-04,0,51.77
2010-06-11,0,51.95
2010-06-18,0,54.39
2010-06-25,0,53.56
2010-07-02,0,50.45
2010-07-09,0,52.16
2010-07-16,0,50.40
2010-07-23,0,52.80
2010-07-30,0,54.36
2010-08-06,0,56.72
2010-08-13,0,56.24
2010-08-20,0,55.65
2010-08-27,0,57.52
2010-09-03,0,58.18
2010-09-10,0,60.64
2010-09-17,0,60.07
2010-09-24,0,63.54
2010-10-01,0,64.19
2010-10-08,0,67.40
2010-10-15,0,67.77
2010-10-22,0,67.02
2010-10-29,0,68.30
2010-11-05,0,72.72
2010-11-12,0,72.49
2010-11-19,0,75.00
2010-11-26,0,76.85
2010-12-03,0,76.00
2010-12-10,0,76.24
2010-12-17,0,82.34
2010-12-24,0,
2010-12-31,0,80.55
2011-01-07,0,82.34
2011-01-14,0,82.37
2011-01-21,0,84.43
2011-01-28,0,82.34
2011-02-04,0,84.98
2011-02-11,0,90.05
2011-02-18,41,94.64
2011-02-25,0,94.92
2011-03-04,0,98.34
2011-03-11,0,98.22
2011-03-18,0,93.77
2011-03-25,0,94.82
2011-04-01,0,100.00
2011-04-08,37,102.38
2011-04-15,0,101.29
2011-04-22,0,
2011-04-29,0,96.87
2011-05-06,0,95.89
2011-05-13,0,99.53
2011-05-20,0,95.58
2011-05-27,0,46.18
2011-06-03,0,47.35
2011-06-10,0,45.52
2011-06-17,0,44.61
2011-06-24,0,44.82
2011-07-01,0,47.51
2011-07-08,0,50.30
2011-07-15,0,52.37
2011-07-22,0,58.98
2011-07-29,0,56.80
2011-08-05,0,50.70
2011-08-12,0,52.59
2011-08-19,0,50.46
2011-08-26,0,54.68
2011-09-02,0,56.89
2011-09-09,0,58.07
2011-09-16,0,62.07
2011-09-23,0,66.15
2011-09-30,0,64.06
2011-10-07,0,65.18
2011-10-14,39,66.80
2011-10-21,36,68.38
2011-10-28,39,67.93
2011-11-04,39,66.04
2011-11-11,39,64.25
2011-11-18,40,64.12
2011-11-25,40,63.87
2011-12-02,40,66.98
2011-12-09,41,65.06
2011-12-16,41,66.37
2011-12-23,41,69.08
2011-12-30,41,71.50
2012-01-06,41,74.45
2012-01-13,33,74.62
2012-01-20,35,73.58
2012-01-27,36,75.40
2012-02-03,38,78.88
2012-02-10,70,83.45
2012-02-17,30,81.00
2012-02-24,30,84.63
2012-03-02,30,85.26
2012-03-09,30,84.73
2012-03-16,43,89.01
2012-03-23,56,93.82
2012-03-30,53,92.86
2012-04-06,43,
2012-04-13,43,89.02
2012-04-20,53,91.76
2012-04-27,64,90.56
2012-05-04,62,87.28
2012-05-11,37,86.29
2012-05-18,32,84.26
2012-05-25,32,92.42
2012-06-01,34,87.60
2012-06-08,35,92.43
2012-06-15,37,93.31
2012-06-22,52,95.95
2012-06-29,40,99.30
2012-07-06,41,101.25
2012-07-13,40,97.35
2012-07-20,51,99.35
2012-07-27,61,108.97
2012-08-03,44,106.96
2012-08-10,32,103.42
2012-08-17,38,102.31
2012-08-24,37,106.74
2012-08-31,37,107.21
2012-09-07,37,110.61
2012-09-14,28,110.47
2012-09-21,39,114.21
2012-09-28,35,114.40
2012-10-05,51,118.15
2012-10-12,61,111.19
2012-10-19,49,107.62
2012-10-26,85,95.26
2012-11-02,53,89.09
2012-11-09,42,90.80
2012-11-16,48,90.91
2012-11-23,55,94.71
2012-11-30,28,96.02
2012-12-07,35,91.50
2012-12-14,33,93.40
2012-12-21,33,93.88
2012-12-28,33,92.36
2013-01-04,33,97.62
2013-01-11,36,100.39
2013-01-18,38,97.42
2013-01-25,41,94.68
2013-02-01,26,97.87
2013-02-08,36,93.66
2013-02-15,51,86.01
2013-02-22,28,87.44
2013-03-01,36,86.77
2013-03-08,44,91.06
2013-03-15,27,93.66
2013-03-22,27,93.48
2013-03-29,28,
2013-04-05,51,99.20
2013-04-12,48,100.10
2013-04-19,46,92.60
2013-04-26,46,99.34
2013-05-03,38,98.17
2013-05-10,38,104.14
2013-05-17,78,102.90
2013-05-24,32,99.17
2013-05-31,49,97.58
2013-06-07,28,94.38
2013-06-14,30,92.22
2013-06-21,32,88.49
2013-06-28,26,92.24
2013-07-05,48,96.45
2013-07-12,71,114.26
2013-07-19,100,112.17
2013-07-26,59,112.50
2013-08-02,66,117.28
2013-08-09,33,114.09
2013-08-16,31,105.00
2013-08-23,30,105.46
2013-08-30,39,107.76
2013-09-06,22,111.56
2013-09-13,22,114.14
2013-09-20,26,113.65
2013-09-27,29,116.42
2013-10-04,24,116.44
2013-10-11,31,108.81
2013-10-18,39,108.43
2013-10-25,47,125.17
2013-11-01,28,123.36
2013-11-08,32,117.43
2013-11-15,23,124.07
2013-11-22,23,122.79
2013-11-29,34,124.50
2013-12-06,25,125.45
2013-12-13,37,123.69
2013-12-20,26,130.64
2013-12-27,30,131.57
2014-01-03,34,131.72
2014-01-10,37,135.21
2014-01-17,41,139.71
2014-01-24,35,133.64
2014-01-31,73,158.73
2014-02-07,53,163.63
2014-02-14,68,180.55
2014-02-21,48,181.52
2014-02-28,54,176.80
2014-03-07,73,168.05
2014-03-14,61,175.28
2014-03-21,58,159.79
2014-03-28,77,149.42
2014-04-04,60,142.50
2014-04-11,63,139.61
2014-04-18,51,
2014-04-25,73,153.19
2014-05-02,0,
