Date,AMAT,Price
2004-01-09,58,
2004-01-16,55,
2004-01-23,62,
2004-01-30,54,
2004-02-06,51,22.38
2004-02-13,65,21.77
2004-02-20,60,21.75
2004-02-27,53,21.25
2004-03-05,65,21.42
2004-03-12,67,21.30
2004-03-19,73,20.34
2004-03-26,46,21.43
2004-04-02,70,22.55
2004-04-09,57,
2004-04-16,60,20.80
2004-04-23,73,19.98
2004-04-30,71,18.27
2004-05-07,58,18.67
2004-05-14,76,18.54
2004-05-21,53,18.38
2004-05-28,57,19.97
2004-06-04,53,18.76
2004-06-11,59,
2004-06-18,56,18.14
2004-06-25,78,19.27
2004-07-02,81,18.50
2004-07-09,60,18.66
2004-07-16,58,16.65
2004-07-23,61,16.36
2004-07-30,92,16.97
2004-08-06,50,16.33
2004-08-13,59,15.64
2004-08-20,64,16.02
2004-08-27,53,16.36
2004-09-03,74,15.70
2004-09-10,64,16.90
2004-09-17,77,16.90
2004-09-24,58,16.65
2004-10-01,62,17.30
2004-10-08,72,16.21
2004-10-15,74,15.70
2004-10-22,62,15.96
2004-10-29,52,16.10
2004-11-05,59,16.28
2004-11-12,43,16.17
2004-11-19,72,16.99
2004-11-26,61,16.99
2004-12-03,66,17.89
2004-12-10,48,17.03
2004-12-17,56,16.84
2004-12-24,49,
2004-12-31,50,17.10
2005-01-07,57,16.15
2005-01-14,72,16.53
2005-01-21,76,15.59
2005-01-28,64,16.04
2005-02-04,68,16.79
2005-02-11,72,17.14
2005-02-18,79,17.40
2005-02-25,58,17.92
2005-03-04,55,16.88
2005-03-11,44,16.40
2005-03-18,64,15.99
2005-03-25,53,
2005-04-01,55,16.01
2005-04-08,65,16.07
2005-04-15,70,14.50
2005-04-22,74,14.96
2005-04-29,62,14.87
2005-05-06,69,15.63
2005-05-13,68,16.16
2005-05-20,69,15.85
2005-05-27,79,16.65
2005-06-03,70,16.87
2005-06-10,68,17.15
2005-06-17,74,16.90
2005-06-24,69,16.45
2005-07-01,63,16.14
2005-07-08,67,16.66
2005-07-15,72,17.35
2005-07-22,66,18.30
2005-07-29,73,18.48
2005-08-05,52,17.85
2005-08-12,51,17.42
2005-08-19,54,18.17
2005-08-26,63,17.96
2005-09-02,67,17.70
2005-09-09,79,17.97
2005-09-16,82,17.92
2005-09-23,67,16.94
2005-09-30,72,16.96
2005-10-07,74,16.88
2005-10-14,69,17.33
2005-10-21,69,16.93
2005-10-28,54,16.36
2005-11-04,65,16.85
2005-11-11,81,17.96
2005-11-18,77,17.24
2005-11-25,56,18.30
2005-12-02,73,18.83
2005-12-09,55,18.80
2005-12-16,71,18.93
2005-12-23,64,18.40
2005-12-30,56,17.94
2006-01-06,56,19.37
2006-01-13,97,20.15
2006-01-20,58,19.07
2006-01-27,59,19.75
2006-02-03,68,18.68
2006-02-10,64,19.96
2006-02-17,66,19.72
2006-02-24,54,18.80
2006-03-03,69,18.62
2006-03-10,57,17.79
2006-03-17,55,17.49
2006-03-24,66,17.94
2006-03-31,70,17.51
2006-04-07,75,18.04
2006-04-14,56,
2006-04-21,56,18.06
2006-04-28,70,17.95
2006-05-05,58,19.05
2006-05-12,64,18.09
2006-05-19,77,17.00
2006-05-26,59,16.91
2006-06-02,70,17.04
2006-06-09,57,16.47
2006-06-16,81,16.30
2006-06-23,74,16.13
2006-06-30,73,16.28
2006-07-07,66,16.08
2006-07-14,65,15.42
2006-07-21,71,14.76
2006-07-28,54,15.59
2006-08-04,67,15.50
2006-08-11,68,15.17
2006-08-18,61,15.77
2006-08-25,55,16.13
2006-09-01,68,16.84
2006-09-08,62,16.53
2006-09-15,74,17.20
2006-09-22,69,16.84
2006-09-29,70,17.73
2006-10-06,82,18.30
2006-10-13,62,19.02
2006-10-20,70,17.25
2006-10-27,88,17.26
2006-11-03,64,17.08
2006-11-10,68,17.62
2006-11-17,86,18.12
2006-11-24,65,18.52
2006-12-01,88,17.73
2006-12-08,56,18.47
2006-12-15,63,18.13
2006-12-22,73,18.16
2006-12-29,62,18.45
2007-01-05,54,18.67
2007-01-12,69,19.50
2007-01-19,63,18.21
2007-01-26,63,17.78
2007-02-02,70,18.12
2007-02-09,71,17.97
2007-02-16,66,19.02
2007-02-23,73,19.19
2007-03-02,76,17.98
2007-03-09,61,18.33
2007-03-16,67,18.49
2007-03-23,76,18.79
2007-03-30,67,18.32
2007-04-06,64,
2007-04-13,75,19.08
2007-04-20,75,19.48
2007-04-27,75,19.30
2007-05-04,69,19.75
2007-05-11,76,19.77
2007-05-18,81,18.85
2007-05-25,71,19.23
2007-06-01,88,19.34
2007-06-08,91,18.79
2007-06-15,86,19.85
2007-06-22,76,20.25
2007-06-29,74,19.87
2007-07-06,85,19.99
2007-07-13,77,20.48
2007-07-20,86,21.46
2007-07-27,76,21.56
2007-08-03,78,22.21
2007-08-10,78,21.85
2007-08-17,70,20.80
2007-08-24,73,20.86
2007-08-31,78,21.36
2007-09-07,79,20.79
2007-09-14,83,20.33
2007-09-21,78,21.30
2007-09-28,77,20.70
2007-10-05,81,21.13
2007-10-12,82,21.04
2007-10-19,83,20.10
2007-10-26,78,18.86
2007-11-02,75,18.87
2007-11-09,93,18.71
2007-11-16,95,18.55
2007-11-23,98,18.33
2007-11-30,83,18.83
2007-12-07,92,18.29
2007-12-14,77,17.77
2007-12-21,84,17.94
2007-12-28,70,17.87
2008-01-04,79,16.77
2008-01-11,85,16.40
2008-01-18,86,18.02
2008-01-25,85,17.42
2008-02-01,79,18.88
2008-02-08,82,17.93
2008-02-15,91,19.04
2008-02-22,76,19.68
2008-02-29,79,19.17
2008-03-07,91,20.09
2008-03-14,87,20.58
2008-03-21,82,
2008-03-28,79,19.52
2008-04-04,89,20.89
2008-04-11,74,19.11
2008-04-18,76,19.13
2008-04-25,83,19.10
2008-05-02,74,19.70
2008-05-09,89,19.29
2008-05-16,82,19.57
2008-05-23,83,18.92
2008-05-30,81,19.81
2008-06-06,86,18.89
2008-06-13,80,20.09
2008-06-20,86,20.10
2008-06-27,90,19.29
2008-07-04,76,
2008-07-11,76,17.91
2008-07-18,78,18.28
2008-07-25,79,17.01
2008-08-01,73,17.53
2008-08-08,68,18.79
2008-08-15,76,19.30
2008-08-22,91,18.49
2008-08-29,94,17.92
2008-09-05,82,17.16
2008-09-12,84,16.23
2008-09-19,89,15.90
2008-09-26,95,15.95
2008-10-03,79,14.19
2008-10-10,83,12.70
2008-10-17,89,11.99
2008-10-24,83,11.40
2008-10-31,85,12.91
2008-11-07,81,11.30
2008-11-14,83,10.23
2008-11-21,85,8.35
2008-11-28,82,9.58
2008-12-05,82,10.00
2008-12-12,90,10.45
2008-12-19,77,10.13
2008-12-26,72,9.69
2009-01-02,75,10.67
2009-01-09,81,10.37
2009-01-16,77,10.18
2009-01-23,79,9.71
2009-01-30,78,9.37
2009-02-06,75,10.45
