Date,AMP,Price
2004-01-09,100,
2004-01-16,87,
2004-01-23,99,
2004-01-30,94,
2004-02-06,90,
2004-02-13,94,
2004-02-20,92,
2004-02-27,96,
2004-03-05,96,
2004-03-12,97,
2004-03-19,91,
2004-03-26,89,
2004-04-02,87,
2004-04-09,93,
2004-04-16,90,
2004-04-23,91,
2004-04-30,91,
2004-05-07,86,
2004-05-14,86,
2004-05-21,86,
2004-05-28,88,
2004-06-04,85,
2004-06-11,88,
2004-06-18,84,
2004-06-25,89,
2004-07-02,90,
2004-07-09,88,
2004-07-16,87,
2004-07-23,95,
2004-07-30,91,
2004-08-06,89,
2004-08-13,85,
2004-08-20,86,
2004-08-27,88,
2004-09-03,87,
2004-09-10,89,
2004-09-17,87,
2004-09-24,84,
2004-10-01,79,
2004-10-08,85,
2004-10-15,79,
2004-10-22,83,
2004-10-29,83,
2004-11-05,86,
2004-11-12,85,
2004-11-19,82,
2004-11-26,80,
2004-12-03,88,
2004-12-10,88,
2004-12-17,83,
2004-12-24,90,
2004-12-31,85,
2005-01-07,86,
2005-01-14,88,
2005-01-21,81,
2005-01-28,84,
2005-02-04,86,
2005-02-11,87,
2005-02-18,87,
2005-02-25,83,
2005-03-04,82,
2005-03-11,86,
2005-03-18,86,
2005-03-25,88,
2005-04-01,84,
2005-04-08,83,
2005-04-15,81,
2005-04-22,82,
2005-04-29,78,
2005-05-06,82,
2005-05-13,79,
2005-05-20,79,
2005-05-27,81,
2005-06-03,79,
2005-06-10,80,
2005-06-17,77,
2005-06-24,80,
2005-07-01,82,
2005-07-08,80,
2005-07-15,80,
2005-07-22,79,
2005-07-29,84,
2005-08-05,86,
2005-08-12,84,
2005-08-19,80,
2005-08-26,79,
2005-09-02,74,
2005-09-09,72,
2005-09-16,77,36.60
2005-09-23,77,37.68
2005-09-30,78,35.80
2005-10-07,80,33.60
2005-10-14,76,32.39
2005-10-21,77,34.00
2005-10-28,77,37.10
2005-11-04,76,37.17
2005-11-11,75,38.91
2005-11-18,71,39.92
2005-11-25,75,43.45
2005-12-02,78,43.23
2005-12-09,79,43.76
2005-12-16,77,42.26
2005-12-23,78,41.93
2005-12-30,81,41.00
2006-01-06,77,43.60
2006-01-13,76,43.88
2006-01-20,74,42.20
2006-01-27,75,42.40
2006-02-03,75,42.60
2006-02-10,80,43.57
2006-02-17,74,44.02
2006-02-24,75,46.26
2006-03-03,75,44.00
2006-03-10,72,43.30
2006-03-17,72,45.90
2006-03-24,73,44.25
2006-03-31,72,45.06
2006-04-07,72,44.20
2006-04-14,72,
2006-04-21,72,47.12
2006-04-28,72,49.04
2006-05-05,71,48.55
2006-05-12,72,47.50
2006-05-19,71,44.85
2006-05-26,70,44.48
2006-06-02,70,46.48
2006-06-09,68,44.58
2006-06-16,68,42.00
2006-06-23,69,41.94
2006-06-30,68,44.67
2006-07-07,66,42.67
2006-07-14,67,41.29
2006-07-21,72,41.46
2006-07-28,71,44.54
2006-08-04,70,44.91
2006-08-11,68,44.43
2006-08-18,68,45.07
