Date,APD,Price
2004-01-09,48,
2004-01-16,39,
2004-01-23,66,
2004-01-30,54,
2004-02-06,59,49.76
2004-02-13,44,50.31
2004-02-20,65,49.63
2004-02-27,45,48.24
2004-03-05,65,49.85
2004-03-12,36,47.96
2004-03-19,36,47.69
2004-03-26,45,49.35
2004-04-02,46,51.55
2004-04-09,44,
2004-04-16,79,52.69
2004-04-23,65,52.87
2004-04-30,49,49.81
2004-05-07,59,48.75
2004-05-14,63,48.85
2004-05-21,63,48.61
2004-05-28,66,49.97
2004-06-04,49,48.58
2004-06-11,65,
2004-06-18,54,50.20
2004-06-25,46,52.00
2004-07-02,51,51.02
2004-07-09,50,51.24
2004-07-16,54,51.08
2004-07-23,47,49.67
2004-07-30,41,51.75
2004-08-06,53,50.07
2004-08-13,52,49.55
2004-08-20,72,52.56
2004-08-27,62,52.31
2004-09-03,59,54.91
2004-09-10,45,53.37
2004-09-17,44,53.73
2004-09-24,49,52.61
2004-10-01,59,54.54
2004-10-08,52,54.11
2004-10-15,45,53.81
2004-10-22,50,52.93
2004-10-29,47,53.18
2004-11-05,39,53.48
2004-11-12,46,55.44
2004-11-19,32,55.91
2004-11-26,46,56.79
2004-12-03,47,58.16
2004-12-10,53,57.41
2004-12-17,53,57.20
2004-12-24,34,
2004-12-31,36,57.97
2005-01-07,40,57.65
2005-01-14,57,57.69
2005-01-21,45,56.77
2005-01-28,57,58.17
2005-02-04,47,59.00
2005-02-11,52,60.70
2005-02-18,53,60.89
2005-02-25,65,63.20
2005-03-04,52,65.14
2005-03-11,58,63.69
2005-03-18,64,63.28
2005-03-25,52,
2005-04-01,38,63.23
2005-04-08,48,62.64
2005-04-15,50,56.60
2005-04-22,53,57.82
2005-04-29,62,58.73
2005-05-06,48,60.06
2005-05-13,59,57.83
2005-05-20,53,60.10
2005-05-27,57,60.37
2005-06-03,59,61.44
2005-06-10,62,61.20
2005-06-17,40,62.09
2005-06-24,53,59.52
2005-07-01,48,59.24
2005-07-08,59,58.83
2005-07-15,45,59.80
2005-07-22,54,59.48
2005-07-29,48,59.76
2005-08-05,38,60.30
2005-08-12,49,60.76
2005-08-19,49,59.61
2005-08-26,39,56.95
2005-09-02,35,55.55
2005-09-09,44,55.48
2005-09-16,48,56.35
2005-09-23,56,55.83
2005-09-30,47,55.14
2005-10-07,49,54.89
2005-10-14,54,54.15
2005-10-21,49,54.27
2005-10-28,59,57.38
2005-11-04,60,57.20
2005-11-11,64,57.64
2005-11-18,52,60.00
2005-11-25,49,60.11
2005-12-02,58,61.39
2005-12-09,56,60.67
2005-12-16,55,59.32
2005-12-23,37,60.32
2005-12-30,40,59.19
2006-01-06,43,59.78
2006-01-13,57,58.78
2006-01-20,55,59.55
2006-01-27,51,62.12
2006-02-03,40,60.82
2006-02-10,57,62.35
2006-02-17,52,63.97
2006-02-24,43,64.50
2006-03-03,46,63.87
2006-03-10,55,64.02
2006-03-17,55,65.74
2006-03-24,50,66.57
2006-03-31,46,67.19
2006-04-07,49,67.06
2006-04-14,37,
2006-04-21,48,69.23
2006-04-28,53,68.52
2006-05-05,43,68.57
2006-05-12,60,65.91
2006-05-19,61,64.34
2006-05-26,52,65.36
2006-06-02,55,66.40
2006-06-09,62,61.78
2006-06-16,50,62.51
2006-06-23,46,63.39
2006-06-30,38,63.92
2006-07-07,54,62.95
2006-07-14,60,61.95
2006-07-21,52,61.41
2006-07-28,41,63.73
2006-08-04,37,64.92
2006-08-11,47,63.82
2006-08-18,43,66.17
2006-08-25,47,65.14
2006-09-01,53,67.42
2006-09-08,46,66.42
2006-09-15,66,66.78
2006-09-22,70,65.37
2006-09-29,59,66.37
2006-10-06,71,67.02
2006-10-13,49,68.56
2006-10-20,56,68.79
2006-10-27,47,68.67
2006-11-03,50,69.38
2006-11-10,57,69.27
2006-11-17,53,69.98
2006-11-24,50,71.35
2006-12-01,45,69.30
2006-12-08,51,71.38
2006-12-15,58,72.45
2006-12-22,60,70.43
2006-12-29,34,70.28
2007-01-05,51,69.35
2007-01-12,57,71.35
2007-01-19,69,71.26
2007-01-26,55,73.30
2007-02-02,68,74.97
2007-02-09,59,75.01
2007-02-16,51,76.67
2007-02-23,44,77.67
2007-03-02,44,72.91
2007-03-09,49,74.79
2007-03-16,54,73.10
2007-03-23,52,75.57
2007-03-30,51,73.96
2007-04-06,41,
2007-04-13,46,73.69
2007-04-20,57,75.04
2007-04-27,53,78.06
2007-05-04,49,77.06
2007-05-11,64,77.42
2007-05-18,52,78.56
2007-05-25,54,78.34
2007-06-01,44,78.69
2007-06-08,54,79.41
2007-06-15,51,81.70
2007-06-22,49,82.25
2007-06-29,54,80.37
2007-07-06,53,81.05
2007-07-13,56,86.85
2007-07-20,56,88.50
2007-07-27,46,86.07
2007-08-03,48,85.37
2007-08-10,51,88.56
2007-08-17,40,85.00
2007-08-24,46,89.04
2007-08-31,55,90.01
2007-09-07,52,88.83
2007-09-14,55,88.27
2007-09-21,55,93.76
2007-09-28,58,97.76
2007-10-05,63,96.80
2007-10-12,48,97.25
2007-10-19,53,95.82
2007-10-26,56,98.23
2007-11-02,47,96.78
2007-11-09,53,97.26
2007-11-16,50,94.83
2007-11-23,55,93.43
2007-11-30,50,99.04
2007-12-07,50,101.77
2007-12-14,47,101.39
2007-12-21,48,100.82
2007-12-28,36,101.34
2008-01-04,41,96.42
2008-01-11,51,90.38
2008-01-18,51,85.15
2008-01-25,54,89.41
2008-02-01,52,92.34
2008-02-08,54,89.18
2008-02-15,46,91.75
2008-02-22,49,93.44
2008-02-29,43,91.33
2008-03-07,46,87.68
2008-03-14,46,89.14
2008-03-21,45,
2008-03-28,50,90.98
2008-04-04,46,97.40
2008-04-11,53,94.59
2008-04-18,52,101.73
2008-04-25,53,101.34
2008-05-02,48,98.26
2008-05-09,57,97.93
2008-05-16,51,102.32
2008-05-23,53,98.48
2008-05-30,47,101.92
2008-06-06,46,103.06
2008-06-13,48,102.73
2008-06-20,52,102.66
2008-06-27,46,98.62
2008-07-04,47,
2008-07-11,48,96.61
2008-07-18,51,97.22
2008-07-25,45,95.39
2008-08-01,48,92.96
2008-08-08,40,89.92
2008-08-15,43,90.55
2008-08-22,39,92.89
2008-08-29,46,91.85
2008-09-05,51,87.21
2008-09-12,48,87.00
2008-09-19,51,83.45
2008-09-26,47,71.43
2008-10-03,48,63.37
2008-10-10,45,55.00
2008-10-17,53,58.41
2008-10-24,45,50.53
2008-10-31,48,58.13
2008-11-07,52,57.60
2008-11-14,47,52.78
2008-11-21,54,44.44
2008-11-28,43,47.76
2008-12-05,48,47.61
2008-12-12,50,48.59
2008-12-19,46,46.63
2008-12-26,33,46.61
2009-01-02,36,53.06
2009-01-09,42,56.62
2009-01-16,47,57.02
2009-01-23,54,52.87
2009-01-30,42,50.30
2009-02-06,47,55.40
2009-02-13,49,54.03
2009-02-20,49,51.24
2009-02-27,47,46.25
2009-03-06,55,46.41
2009-03-13,50,52.73
2009-03-20,52,55.20
2009-03-27,48,58.77
2009-04-03,52,60.53
2009-04-10,41,
2009-04-17,45,60.65
2009-04-24,53,62.60
2009-05-01,50,65.75
2009-05-08,45,62.47
2009-05-15,50,61.59
2009-05-22,45,62.38
2009-05-29,45,64.78
2009-06-05,50,68.23
2009-06-12,53,67.99
2009-06-19,47,64.94
2009-06-26,47,65.19
2009-07-03,49,
2009-07-10,47,63.31
2009-07-17,45,67.76
2009-07-24,47,73.35
2009-07-31,40,74.60
2009-08-07,50,74.63
2009-08-14,39,74.31
2009-08-21,41,76.64
2009-08-28,39,75.76
2009-09-04,45,75.14
2009-09-11,43,73.84
2009-09-18,49,80.20
2009-09-25,47,76.70
2009-10-02,46,75.53
2009-10-09,46,80.24
2009-10-16,44,82.98
2009-10-23,50,81.14
2009-10-30,50,77.13
2009-11-06,45,80.15
2009-11-13,43,83.38
2009-11-20,47,82.34
2009-11-27,39,82.11
2009-12-04,43,82.09
2009-12-11,40,81.75
2009-12-18,42,81.31
2009-12-25,34,
2010-01-01,32,
2010-01-08,42,81.84
2010-01-15,47,82.77
2010-01-22,48,78.07
2010-01-29,50,75.96
2010-02-05,44,68.64
2010-02-12,47,68.53
2010-02-19,43,69.64
2010-02-26,48,68.58
2010-03-05,50,73.50
2010-03-12,46,74.56
2010-03-19,46,74.44
2010-03-26,48,74.32
2010-04-02,42,
2010-04-09,45,75.36
2010-04-16,46,76.03
2010-04-23,47,79.22
2010-04-30,61,76.78
2010-05-07,53,70.98
2010-05-14,52,69.57
2010-05-21,49,66.94
2010-05-28,55,69.06
2010-06-04,52,66.55
2010-06-11,59,69.43
2010-06-18,51,71.54
2010-06-25,57,68.58
2010-07-02,54,64.97
2010-07-09,54,69.74
2010-07-16,52,69.32
2010-07-23,45,72.09
2010-07-30,42,72.58
2010-08-06,48,76.22
2010-08-13,43,75.68
2010-08-20,44,75.01
2010-08-27,48,74.42
2010-09-03,50,78.04
2010-09-10,50,77.95
2010-09-17,54,82.20
2010-09-24,51,84.20
2010-10-01,51,83.02
