Date,APH,Price
2004-01-09,40,
2004-01-16,52,
2004-01-23,50,
2004-01-30,49,
2004-02-06,54,66.04
2004-02-13,44,65.62
2004-02-20,60,62.70
2004-02-27,64,61.85
2004-03-05,55,62.77
2004-03-12,58,60.25
2004-03-19,62,58.88
2004-03-26,43,58.45
2004-04-02,43,30.99
2004-04-09,53,
2004-04-16,48,30.15
2004-04-23,48,34.00
2004-04-30,49,31.61
2004-05-07,48,32.16
2004-05-14,62,32.23
2004-05-21,41,31.24
2004-05-28,56,32.60
2004-06-04,52,31.84
2004-06-11,61,
2004-06-18,66,31.28
2004-06-25,53,32.50
2004-07-02,37,32.27
2004-07-09,70,30.41
2004-07-16,66,28.12
2004-07-23,61,29.39
2004-07-30,59,31.43
2004-08-06,49,29.90
2004-08-13,57,28.28
2004-08-20,50,30.06
2004-08-27,41,30.40
2004-09-03,45,30.14
2004-09-10,55,30.16
2004-09-17,78,32.03
2004-09-24,56,31.75
2004-10-01,43,34.83
2004-10-08,36,34.11
2004-10-15,60,32.86
2004-10-22,45,34.24
2004-10-29,27,34.33
2004-11-05,41,35.03
2004-11-12,37,35.89
2004-11-19,37,36.25
2004-11-26,45,36.42
2004-12-03,29,36.05
2004-12-10,39,35.14
2004-12-17,42,35.80
2004-12-24,28,
2004-12-31,24,36.74
2005-01-07,56,34.00
2005-01-14,37,34.65
2005-01-21,49,37.60
2005-01-28,51,38.63
2005-02-04,51,40.42
2005-02-11,59,41.41
2005-02-18,64,40.76
2005-02-25,43,40.43
2005-03-04,51,39.91
2005-03-11,57,40.11
2005-03-18,56,39.75
2005-03-25,61,
2005-04-01,36,37.19
2005-04-08,33,37.31
2005-04-15,46,36.05
2005-04-22,50,39.81
2005-04-29,50,39.44
2005-05-06,40,39.43
2005-05-13,61,39.36
2005-05-20,58,41.28
2005-05-27,63,42.00
2005-06-03,46,42.91
2005-06-10,50,42.55
2005-06-17,55,42.33
2005-06-24,59,40.81
2005-07-01,55,40.78
2005-07-08,45,44.40
2005-07-15,59,43.90
2005-07-22,50,45.33
2005-07-29,58,44.54
2005-08-05,56,43.66
2005-08-12,33,44.06
2005-08-19,59,43.18
2005-08-26,70,42.25
2005-09-02,48,42.26
2005-09-09,49,42.14
2005-09-16,56,40.56
2005-09-23,53,38.34
2005-09-30,40,40.34
2005-10-07,57,38.80
2005-10-14,61,40.90
2005-10-21,37,40.02
2005-10-28,51,39.37
2005-11-04,42,39.78
2005-11-11,31,39.50
2005-11-18,47,40.07
2005-11-25,50,41.89
2005-12-02,47,42.93
2005-12-09,32,43.26
2005-12-16,45,44.55
2005-12-23,36,44.80
2005-12-30,33,44.26
2006-01-06,56,46.45
2006-01-13,41,46.13
2006-01-20,45,49.29
2006-01-27,45,50.11
2006-02-03,59,50.02
2006-02-10,68,49.04
2006-02-17,51,49.90
2006-02-24,46,50.60
2006-03-03,57,50.34
2006-03-10,44,50.25
2006-03-17,52,50.71
2006-03-24,56,50.23
2006-03-31,59,52.18
2006-04-07,58,52.00
2006-04-14,46,
2006-04-21,42,58.85
2006-04-28,39,57.80
2006-05-05,53,61.26
2006-05-12,48,56.08
2006-05-19,51,54.42
2006-05-26,62,54.92
2006-06-02,50,57.31
2006-06-09,52,52.90
2006-06-16,48,53.54
2006-06-23,55,53.83
2006-06-30,63,55.96
2006-07-07,71,54.01
2006-07-14,42,50.88
2006-07-21,53,53.45
2006-07-28,58,56.43
2006-08-04,60,56.91
2006-08-11,56,56.40
2006-08-18,53,59.39
2006-08-25,56,57.82
2006-09-01,53,57.29
2006-09-08,53,57.64
2006-09-15,58,60.75
2006-09-22,60,61.05
2006-09-29,45,61.93
2006-10-06,44,64.04
2006-10-13,51,66.00
2006-10-20,52,67.50
2006-10-27,44,68.83
2006-11-03,46,66.25
2006-11-10,46,67.93
2006-11-17,41,67.76
2006-11-24,48,68.66
2006-12-01,40,68.05
2006-12-08,47,68.20
2006-12-15,35,64.34
2006-12-22,37,62.46
2006-12-29,33,62.08
2007-01-05,55,64.63
2007-01-12,57,63.49
2007-01-19,57,64.18
2007-01-26,57,66.81
2007-02-02,56,67.74
2007-02-09,62,67.52
2007-02-16,52,66.98
2007-02-23,56,67.83
2007-03-02,59,63.22
2007-03-09,55,64.73
2007-03-16,55,64.10
2007-03-23,58,66.23
2007-03-30,52,64.57
2007-04-06,53,
2007-04-13,57,33.80
2007-04-20,47,36.17
2007-04-27,48,35.50
2007-05-04,53,36.34
2007-05-11,57,35.31
2007-05-18,57,35.05
2007-05-25,58,34.74
2007-06-01,62,36.32
2007-06-08,50,35.74
2007-06-15,52,36.66
2007-06-22,50,35.76
2007-06-29,52,35.65
2007-07-06,58,35.62
2007-07-13,58,37.30
2007-07-20,56,37.53
2007-07-27,62,34.64
2007-08-03,58,34.81
2007-08-10,64,35.39
2007-08-17,57,34.20
2007-08-24,57,35.75
2007-08-31,48,36.11
2007-09-07,60,37.57
2007-09-14,58,37.31
2007-09-21,50,38.04
2007-09-28,54,39.76
2007-10-05,46,40.54
2007-10-12,48,39.84
2007-10-19,44,42.74
2007-10-26,46,44.87
2007-11-02,53,43.41
2007-11-09,42,41.00
2007-11-16,42,41.62
2007-11-23,49,41.20
2007-11-30,47,43.35
2007-12-07,46,46.16
2007-12-14,38,45.59
2007-12-21,46,46.50
2007-12-28,23,47.16
2008-01-04,45,42.92
2008-01-11,53,39.12
2008-01-18,51,38.75
2008-01-25,57,39.26
2008-02-01,53,39.80
2008-02-08,65,37.48
2008-02-15,57,38.35
2008-02-22,47,37.40
2008-02-29,45,36.97
2008-03-07,47,35.93
2008-03-14,50,35.12
2008-03-21,50,
2008-03-28,51,36.66
2008-04-04,73,41.13
2008-04-11,62,41.09
2008-04-18,49,44.94
2008-04-25,46,46.30
2008-05-02,48,47.68
2008-05-09,53,46.30
2008-05-16,58,47.40
2008-05-23,58,45.78
2008-05-30,58,46.63
2008-06-06,54,47.38
2008-06-13,57,48.75
2008-06-20,62,47.87
2008-06-27,54,45.28
2008-07-04,51,
2008-07-11,59,45.21
2008-07-18,55,51.34
2008-07-25,49,48.29
2008-08-01,49,46.94
2008-08-08,59,50.54
2008-08-15,59,51.95
2008-08-22,47,49.50
2008-08-29,68,47.52
2008-09-05,57,44.51
2008-09-12,59,45.17
2008-09-19,54,44.90
2008-09-26,50,42.72
2008-10-03,51,35.15
2008-10-10,51,28.57
2008-10-17,56,26.55
2008-10-24,56,24.30
2008-10-31,51,28.65
2008-11-07,47,26.22
2008-11-14,51,22.25
2008-11-21,43,19.74
2008-11-28,49,23.22
2008-12-05,49,20.93
2008-12-12,48,21.48
2008-12-19,42,23.58
2008-12-26,49,23.31
2009-01-02,40,25.48
2009-01-09,51,26.05
2009-01-16,65,25.53
2009-01-23,60,25.24
2009-01-30,71,26.15
2009-02-06,71,29.71
2009-02-13,74,27.86
2009-02-20,79,25.81
2009-02-27,69,25.42
2009-03-06,77,23.71
2009-03-13,86,26.87
2009-03-20,84,27.93
2009-03-27,74,29.57
2009-04-03,75,31.26
2009-04-10,86,
2009-04-17,82,30.50
2009-04-24,86,33.33
2009-05-01,86,34.12
2009-05-08,97,32.45
2009-05-15,93,31.80
2009-05-22,82,32.09
2009-05-29,93,33.39
2009-06-05,91,33.41
2009-06-12,91,33.96
2009-06-19,94,31.65
2009-06-26,89,31.90
2009-07-03,86,
2009-07-10,88,31.44
2009-07-17,92,32.99
2009-07-24,94,34.69
2009-07-31,96,33.35
2009-08-07,97,33.33
2009-08-14,95,33.44
2009-08-21,95,33.35
2009-08-28,93,35.32
2009-09-04,89,35.40
2009-09-11,100,38.42
2009-09-18,89,39.37
2009-09-25,91,37.27
2009-10-02,80,35.47
2009-10-09,84,38.11
2009-10-16,82,40.81
2009-10-23,76,41.28
2009-10-30,78,40.12
2009-11-06,75,41.93
2009-11-13,71,42.27
2009-11-20,75,42.04
2009-11-27,81,41.35
2009-12-04,78,44.49
2009-12-11,61,43.74
2009-12-18,71,43.18
2009-12-25,63,
2010-01-01,74,
2010-01-08,76,45.18
2010-01-15,78,43.84
2010-01-22,78,40.54
2010-01-29,78,39.84
2010-02-05,76,38.86
2010-02-12,81,39.88
2010-02-19,82,42.79
2010-02-26,63,41.65
2010-03-05,76,43.91
2010-03-12,80,44.15
2010-03-19,80,43.49
2010-03-26,77,41.46
2010-04-02,85,
2010-04-09,89,43.30
