Date,AVB,Price
2004-01-09,11,
2004-01-16,12,
2004-01-23,17,
2004-01-30,16,
2004-02-06,13,50.60
2004-02-13,13,50.26
2004-02-20,10,50.45
2004-02-27,13,50.38
2004-03-05,14,53.50
2004-03-12,14,52.58
2004-03-19,15,54.46
2004-03-26,11,53.10
2004-04-02,8,53.99
2004-04-09,13,
2004-04-16,11,51.10
2004-04-23,9,50.25
2004-04-30,16,49.63
2004-05-07,10,50.01
2004-05-14,15,51.16
2004-05-21,8,52.45
2004-05-28,12,54.45
2004-06-04,11,54.04
2004-06-11,7,
2004-06-18,8,55.90
2004-06-25,6,57.50
2004-07-02,11,57.25
2004-07-09,6,57.53
2004-07-16,8,57.90
2004-07-23,8,56.88
2004-07-30,11,58.20
2004-08-06,10,58.70
2004-08-13,7,58.88
2004-08-20,13,61.10
2004-08-27,9,59.99
2004-09-03,13,61.06
2004-09-10,15,60.75
2004-09-17,10,60.70
2004-09-24,5,59.25
2004-10-01,11,61.40
2004-10-08,11,62.71
2004-10-15,7,64.10
2004-10-22,11,65.51
2004-10-29,14,65.47
2004-11-05,9,67.15
2004-11-12,10,70.46
2004-11-19,8,69.15
2004-11-26,12,71.05
2004-12-03,10,74.06
2004-12-10,9,73.43
2004-12-17,11,73.83
2004-12-24,10,
2004-12-31,12,75.30
2005-01-07,12,71.05
2005-01-14,6,68.85
2005-01-21,9,69.63
2005-01-28,8,66.80
2005-02-04,10,69.32
2005-02-11,12,69.95
2005-02-18,7,71.12
2005-02-25,9,69.12
2005-03-04,8,70.51
2005-03-11,10,67.76
2005-03-18,12,67.60
2005-03-25,11,
2005-04-01,8,66.68
2005-04-08,9,67.25
2005-04-15,5,68.39
2005-04-22,9,70.05
2005-04-29,8,72.00
2005-05-06,6,72.74
2005-05-13,9,73.78
2005-05-20,7,76.57
2005-05-27,5,74.84
2005-06-03,10,75.90
2005-06-10,7,79.12
2005-06-17,8,81.52
2005-06-24,13,79.52
2005-07-01,10,80.86
2005-07-08,9,83.60
2005-07-15,7,83.35
2005-07-22,11,86.03
2005-07-29,9,87.56
2005-08-05,13,82.15
2005-08-12,10,80.83
2005-08-19,7,80.77
2005-08-26,9,81.60
2005-09-02,10,83.90
2005-09-09,10,85.40
2005-09-16,11,85.11
2005-09-23,10,83.96
2005-09-30,7,85.70
2005-10-07,7,83.35
2005-10-14,10,82.00
2005-10-21,10,82.38
2005-10-28,9,85.64
2005-11-04,10,86.04
2005-11-11,10,89.44
2005-11-18,11,90.84
2005-11-25,10,92.19
2005-12-02,10,92.43
2005-12-09,8,92.07
2005-12-16,9,91.63
2005-12-23,9,90.93
2005-12-30,7,89.25
2006-01-06,11,95.57
2006-01-13,10,95.19
2006-01-20,9,95.00
2006-01-27,8,100.30
2006-02-03,7,97.96
2006-02-10,11,99.39
2006-02-17,7,102.82
2006-02-24,9,103.70
2006-03-03,9,101.99
2006-03-10,8,104.80
2006-03-17,11,110.25
2006-03-24,8,107.45
2006-03-31,9,109.10
2006-04-07,7,106.02
2006-04-14,8,
2006-04-21,7,108.37
2006-04-28,8,107.70
2006-05-05,6,107.60
2006-05-12,5,104.23
2006-05-19,8,102.50
2006-05-26,5,106.33
2006-06-02,10,108.79
2006-06-09,9,109.14
2006-06-16,7,107.73
2006-06-23,9,105.75
2006-06-30,8,110.62
2006-07-07,10,112.71
2006-07-14,6,111.48
2006-07-21,8,111.03
2006-07-28,5,117.05
2006-08-04,10,118.46
2006-08-11,6,112.28
2006-08-18,7,115.55
2006-08-25,7,119.20
2006-09-01,11,120.00
2006-09-08,8,122.39
2006-09-15,8,122.65
2006-09-22,9,121.40
2006-09-29,9,120.40
2006-10-06,4,121.98
2006-10-13,7,126.70
2006-10-20,7,127.45
2006-10-27,8,129.49
2006-11-03,8,123.06
2006-11-10,6,124.00
2006-11-17,8,124.54
2006-11-24,10,133.28
2006-12-01,9,131.89
2006-12-08,7,130.43
2006-12-15,7,129.65
2006-12-22,5,126.17
2006-12-29,7,130.05
2007-01-05,6,130.21
2007-01-12,8,136.57
2007-01-19,7,143.49
2007-01-26,7,146.79
2007-02-02,8,145.59
2007-02-09,8,145.99
2007-02-16,8,145.04
2007-02-23,8,141.18
2007-03-02,8,131.29
2007-03-09,7,131.08
2007-03-16,8,128.36
2007-03-23,8,134.98
2007-03-30,6,130.00
2007-04-06,4,
2007-04-13,7,128.74
2007-04-20,8,130.35
2007-04-27,8,125.95
2007-05-04,7,119.03
2007-05-11,8,123.84
2007-05-18,5,116.29
2007-05-25,10,118.90
2007-06-01,9,129.41
2007-06-08,7,124.50
2007-06-15,8,129.50
2007-06-22,8,121.02
2007-06-29,8,118.88
2007-07-06,7,124.34
2007-07-13,9,122.73
2007-07-20,8,116.80
2007-07-27,10,107.01
2007-08-03,7,109.77
2007-08-10,6,115.85
2007-08-17,6,113.64
2007-08-24,7,114.26
2007-08-31,7,114.38
2007-09-07,9,111.13
2007-09-14,6,115.91
2007-09-21,9,116.00
2007-09-28,7,118.06
2007-10-05,8,123.95
2007-10-12,9,120.29
2007-10-19,6,109.11
2007-10-26,7,117.85
2007-11-02,8,112.17
2007-11-09,7,106.38
2007-11-16,7,101.89
2007-11-23,8,99.33
2007-11-30,8,99.44
2007-12-07,10,103.20
2007-12-14,7,93.50
2007-12-21,7,95.78
2007-12-28,5,92.82
2008-01-04,6,84.02
2008-01-11,7,87.86
2008-01-18,8,83.18
2008-01-25,8,91.90
2008-02-01,7,99.20
2008-02-08,8,90.54
2008-02-15,7,92.10
2008-02-22,8,95.74
2008-02-29,7,92.43
2008-03-07,9,92.25
2008-03-14,8,94.31
2008-03-21,7,
2008-03-28,7,95.10
2008-04-04,8,104.01
2008-04-11,9,96.33
2008-04-18,8,101.11
2008-04-25,8,104.88
2008-05-02,7,105.37
2008-05-09,7,99.41
2008-05-16,7,104.19
2008-05-23,7,98.49
2008-05-30,7,101.20
2008-06-06,8,99.15
2008-06-13,8,98.46
2008-06-20,8,92.69
2008-06-27,8,88.21
2008-07-04,8,
2008-07-11,6,87.24
2008-07-18,6,93.32
2008-07-25,8,96.03
2008-08-01,5,99.27
2008-08-08,8,104.53
2008-08-15,5,101.71
2008-08-22,8,101.13
2008-08-29,8,100.00
2008-09-05,8,100.02
2008-09-12,7,100.16
2008-09-19,7,103.90
2008-09-26,6,99.26
2008-10-03,8,86.14
2008-10-10,8,81.31
2008-10-17,8,73.16
2008-10-24,9,64.19
2008-10-31,7,71.02
2008-11-07,8,64.35
2008-11-14,9,55.46
2008-11-21,6,47.80
2008-11-28,7,60.67
2008-12-05,7,66.63
2008-12-12,7,63.04
2008-12-19,8,64.50
2008-12-26,6,57.04
2009-01-02,6,59.66
2009-01-09,6,54.55
2009-01-16,8,55.23
2009-01-23,7,54.38
2009-01-30,8,51.81
2009-02-06,8,50.55
2009-02-13,6,44.26
2009-02-20,8,44.03
2009-02-27,7,42.42
2009-03-06,7,42.14
2009-03-13,6,48.99
2009-03-20,8,44.62
2009-03-27,7,47.54
2009-04-03,9,53.55
2009-04-10,8,
2009-04-17,7,60.21
2009-04-24,7,61.41
2009-05-01,5,54.06
2009-05-08,6,58.39
2009-05-15,8,53.83
2009-05-22,6,54.64
2009-05-29,7,61.48
2009-06-05,7,63.76
2009-06-12,6,61.20
2009-06-19,8,57.71
2009-06-26,8,55.39
2009-07-03,7,
2009-07-10,8,51.34
2009-07-17,7,53.97
2009-07-24,7,56.53
2009-07-31,6,58.20
2009-08-07,6,70.66
2009-08-14,7,65.12
2009-08-21,7,65.16
2009-08-28,6,65.13
2009-09-04,7,64.04
2009-09-11,7,68.30
