Date,Air Products & Chemicals Inc,Price
2004-01-09,55,
2004-01-16,69,
2004-01-23,75,
2004-01-30,63,
2004-02-06,68,49.76
2004-02-13,89,50.31
2004-02-20,56,49.63
2004-02-27,73,48.24
2004-03-05,65,49.85
2004-03-12,54,47.96
2004-03-19,73,47.69
2004-03-26,60,49.35
2004-04-02,89,51.55
2004-04-09,73,
2004-04-16,100,52.69
2004-04-23,66,52.87
2004-04-30,55,49.81
2004-05-07,65,48.75
2004-05-14,78,48.85
2004-05-21,70,48.61
2004-05-28,59,49.97
2004-06-04,63,48.58
2004-06-11,75,
2004-06-18,59,50.20
2004-06-25,44,52.00
2004-07-02,72,51.02
2004-07-09,60,51.24
2004-07-16,60,51.08
2004-07-23,85,49.67
2004-07-30,92,51.75
2004-08-06,70,50.07
2004-08-13,74,49.55
2004-08-20,61,52.56
2004-08-27,77,52.31
2004-09-03,64,54.91
2004-09-10,70,53.37
2004-09-17,69,53.73
2004-09-24,62,52.61
2004-10-01,67,54.54
2004-10-08,73,54.11
2004-10-15,61,53.81
2004-10-22,71,52.93
2004-10-29,71,53.18
2004-11-05,65,53.48
2004-11-12,45,55.44
2004-11-19,56,55.91
2004-11-26,45,56.79
2004-12-03,62,58.16
2004-12-10,56,57.41
2004-12-17,66,57.20
2004-12-24,52,
2004-12-31,53,57.97
2005-01-07,56,57.65
2005-01-14,51,57.69
2005-01-21,54,56.77
2005-01-28,63,58.17
2005-02-04,56,59.00
2005-02-11,53,60.70
2005-02-18,70,60.89
2005-02-25,54,63.20
2005-03-04,65,65.14
2005-03-11,59,63.69
2005-03-18,77,63.28
2005-03-25,61,
2005-04-01,60,63.23
2005-04-08,54,62.64
2005-04-15,64,56.60
2005-04-22,67,57.82
2005-04-29,58,58.73
2005-05-06,49,60.06
2005-05-13,60,57.83
2005-05-20,54,60.10
2005-05-27,52,60.37
2005-06-03,46,61.44
2005-06-10,62,61.20
2005-06-17,63,62.09
2005-06-24,65,59.52
2005-07-01,59,59.24
2005-07-08,46,58.83
2005-07-15,64,59.80
2005-07-22,64,59.48
2005-07-29,63,59.76
2005-08-05,61,60.30
2005-08-12,71,60.76
2005-08-19,56,59.61
2005-08-26,61,56.95
2005-09-02,56,55.55
2005-09-09,63,55.48
2005-09-16,61,56.35
2005-09-23,57,55.83
2005-09-30,58,55.14
2005-10-07,54,54.89
2005-10-14,59,54.15
2005-10-21,58,54.27
2005-10-28,49,57.38
2005-11-04,58,57.20
2005-11-11,46,57.64
2005-11-18,47,60.00
2005-11-25,52,60.11
2005-12-02,52,61.39
2005-12-09,57,60.67
2005-12-16,53,59.32
2005-12-23,43,60.32
2005-12-30,35,59.19
2006-01-06,43,59.78
2006-01-13,41,58.78
2006-01-20,54,59.55
2006-01-27,61,62.12
2006-02-03,53,60.82
2006-02-10,52,62.35
2006-02-17,44,63.97
2006-02-24,48,64.50
2006-03-03,52,63.87
2006-03-10,46,64.02
2006-03-17,50,65.74
2006-03-24,47,66.57
2006-03-31,53,67.19
2006-04-07,50,67.06
2006-04-14,50,
2006-04-21,55,69.23
2006-04-28,48,68.52
2006-05-05,43,68.57
2006-05-12,44,65.91
2006-05-19,55,64.34
2006-05-26,42,65.36
2006-06-02,52,66.40
2006-06-09,54,61.78
2006-06-16,48,62.51
2006-06-23,44,63.39
2006-06-30,54,63.92
2006-07-07,53,62.95
2006-07-14,56,61.95
2006-07-21,57,61.41
2006-07-28,61,63.73
2006-08-04,52,64.92
2006-08-11,46,63.82
2006-08-18,53,66.17
2006-08-25,55,65.14
2006-09-01,50,67.42
2006-09-08,39,66.42
2006-09-15,47,66.78
2006-09-22,41,65.37
2006-09-29,53,66.37
2006-10-06,44,67.02
2006-10-13,46,68.56
2006-10-20,58,68.79
2006-10-27,51,68.67
2006-11-03,43,69.38
2006-11-10,53,69.27
2006-11-17,51,69.98
2006-11-24,37,71.35
2006-12-01,48,69.30
2006-12-08,53,71.38
2006-12-15,47,72.45
2006-12-22,42,70.43
2006-12-29,34,70.28
2007-01-05,41,69.35
2007-01-12,39,71.35
2007-01-19,41,71.26
2007-01-26,48,73.30
2007-02-02,45,74.97
2007-02-09,45,75.01
2007-02-16,44,76.67
2007-02-23,42,77.67
2007-03-02,43,72.91
2007-03-09,40,74.79
2007-03-16,47,73.10
2007-03-23,45,75.57
2007-03-30,47,73.96
