Date,American Express Co,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,53.06
2004-02-13,0,53.65
2004-02-20,0,53.16
2004-02-27,0,53.42
2004-03-05,0,52.77
2004-03-12,0,52.12
2004-03-19,0,51.08
2004-03-26,0,50.03
2004-04-02,0,52.43
2004-04-09,0,
2004-04-16,0,50.58
2004-04-23,0,50.27
2004-04-30,0,48.95
2004-05-07,0,48.49
2004-05-14,0,48.86
2004-05-21,0,49.63
2004-05-28,0,50.70
2004-06-04,0,50.98
2004-06-11,0,
2004-06-18,0,51.96
2004-06-25,0,51.35
2004-07-02,0,51.24
2004-07-09,0,50.01
2004-07-16,0,48.73
2004-07-23,0,48.11
2004-07-30,0,50.25
2004-08-06,0,49.34
2004-08-13,0,49.35
2004-08-20,0,50.00
2004-08-27,0,50.00
2004-09-03,0,50.26
2004-09-10,0,51.33
2004-09-17,0,51.40
2004-09-24,0,51.21
2004-10-01,0,51.65
2004-10-08,0,52.25
2004-10-15,0,52.50
2004-10-22,0,51.73
2004-10-29,0,53.07
2004-11-05,0,55.12
2004-11-12,0,55.63
2004-11-19,0,55.70
2004-11-26,0,56.11
2004-12-03,0,56.25
2004-12-10,0,55.18
2004-12-17,0,55.91
2004-12-24,0,
2004-12-31,0,56.37
2005-01-07,0,53.76
2005-01-14,0,52.72
2005-01-21,0,51.93
2005-01-28,0,52.80
2005-02-04,0,55.82
2005-02-11,0,55.19
2005-02-18,0,54.13
2005-02-25,0,54.58
2005-03-04,0,54.95
2005-03-11,0,53.54
2005-03-18,0,52.40
2005-03-25,0,
2005-04-01,0,50.90
2005-04-08,0,51.54
2005-04-15,0,50.72
2005-04-22,0,49.81
2005-04-29,0,52.70
2005-05-06,0,53.00
2005-05-13,0,51.75
2005-05-20,0,53.06
2005-05-27,0,53.25
2005-06-03,0,54.18
2005-06-10,0,54.71
2005-06-17,0,54.83
2005-06-24,0,53.61
2005-07-01,0,53.54
2005-07-08,0,53.93
2005-07-15,0,53.76
2005-07-22,0,54.57
2005-07-29,0,55.00
2005-08-05,0,55.81
2005-08-12,0,56.67
2005-08-19,0,56.10
2005-08-26,0,55.01
2005-09-02,0,55.36
2005-09-09,0,58.19
2005-09-16,0,59.46
2005-09-23,0,56.90
2005-09-30,0,57.44
2005-10-07,0,49.82
2005-10-14,0,47.95
2005-10-21,0,47.15
2005-10-28,0,49.54
2005-11-04,0,49.40
2005-11-11,0,50.45
2005-11-18,0,49.91
2005-11-25,0,52.62
2005-12-02,0,51.61
2005-12-09,0,51.15
2005-12-16,0,51.93
2005-12-23,0,52.31
2005-12-30,0,51.46
2006-01-06,0,52.68
2006-01-13,0,53.44
2006-01-20,0,51.40
2006-01-27,0,53.30
2006-02-03,0,52.33
2006-02-10,0,53.00
2006-02-17,0,54.45
2006-02-24,0,54.87
2006-03-03,0,53.75
2006-03-10,0,54.23
2006-03-17,0,54.65
2006-03-24,0,53.18
2006-03-31,0,52.55
2006-04-07,0,51.70
2006-04-14,0,
2006-04-21,0,52.25
2006-04-28,0,53.81
2006-05-05,0,53.75
2006-05-12,0,52.89
2006-05-19,0,52.23
2006-05-26,0,54.41
2006-06-02,0,54.72
2006-06-09,0,53.46
2006-06-16,0,52.92
2006-06-23,0,52.59
2006-06-30,0,53.22
2006-07-07,0,51.98
2006-07-14,0,51.27
2006-07-21,0,50.62
2006-07-28,0,52.19
2006-08-04,0,52.21
2006-08-11,0,51.80
2006-08-18,0,53.26
2006-08-25,0,52.92
2006-09-01,0,52.55
2006-09-08,0,52.62
2006-09-15,0,53.75
2006-09-22,0,54.11
2006-09-29,0,56.08
2006-10-06,0,56.59
2006-10-13,0,58.02
2006-10-20,0,58.04
2006-10-27,0,57.27
2006-11-03,0,57.06
2006-11-10,0,58.86
2006-11-17,0,59.84
2006-11-24,0,59.90
2006-12-01,0,58.55
2006-12-08,0,59.83
2006-12-15,0,61.64
2006-12-22,0,60.85
2006-12-29,0,60.67
2007-01-05,0,59.13
2007-01-12,0,59.01
2007-01-19,0,58.09
2007-01-26,0,57.85
2007-02-02,77,58.16
2007-02-09,0,57.53
2007-02-16,0,59.02
2007-02-23,0,58.02
2007-03-02,0,55.44
2007-03-09,0,56.90
2007-03-16,0,55.55
2007-03-23,0,57.43
2007-03-30,0,56.40
2007-04-06,0,
2007-04-13,0,57.36
2007-04-20,0,61.00
2007-04-27,0,62.14
2007-05-04,0,63.39
2007-05-11,0,62.97
2007-05-18,0,63.96
2007-05-25,0,63.63
2007-06-01,74,65.07
2007-06-08,0,63.04
2007-06-15,0,63.77
2007-06-22,0,61.79
2007-06-29,0,61.18
2007-07-06,0,61.51
2007-07-13,0,62.83
2007-07-20,0,64.51
2007-07-27,100,58.55
2007-08-03,0,57.49
2007-08-10,0,60.78
2007-08-17,0,58.89
2007-08-24,0,60.89
2007-08-31,0,58.62
2007-09-07,0,57.75
2007-09-14,0,58.94
2007-09-21,0,59.28
2007-09-28,0,59.37
2007-10-05,0,61.10
2007-10-12,0,63.23
2007-10-19,68,57.11
2007-10-26,61,60.67
2007-11-02,60,58.42
2007-11-09,60,56.49
2007-11-16,60,58.67
2007-11-23,58,55.63
2007-11-30,58,58.98
2007-12-07,58,56.96
2007-12-14,61,52.29
2007-12-21,63,51.95
2007-12-28,56,50.84
2008-01-04,56,49.14
2008-01-11,56,44.00
2008-01-18,56,43.61
2008-01-25,51,45.44
2008-02-01,50,49.60
2008-02-08,56,44.98
2008-02-15,62,45.11
2008-02-22,68,45.06
2008-02-29,73,42.30
2008-03-07,68,41.53
2008-03-14,68,41.01
2008-03-21,49,
2008-03-28,49,43.15
2008-04-04,49,46.11
2008-04-11,50,43.39
2008-04-18,52,45.53
2008-04-25,53,47.77
2008-05-02,55,50.40
2008-05-09,59,48.96
2008-05-16,52,48.68
2008-05-23,57,45.45
2008-05-30,62,46.35
2008-06-06,53,44.65
2008-06-13,53,44.66
2008-06-20,56,41.18
2008-06-27,59,38.04
2008-07-04,63,
2008-07-11,66,39.21
2008-07-18,69,42.19
2008-07-25,50,36.62
2008-08-01,48,37.19
2008-08-08,59,37.81
2008-08-15,60,39.07
2008-08-22,57,38.79
2008-08-29,51,39.68
2008-09-05,45,39.40
2008-09-12,52,38.95
2008-09-19,43,40.40
2008-09-26,43,39.50
2008-10-03,60,30.87
2008-10-10,51,23.15
2008-10-17,42,23.33
2008-10-24,74,24.05
2008-10-31,51,27.50
2008-11-07,64,25.31
2008-11-14,48,19.99
2008-11-21,55,18.69
2008-11-28,61,23.31
2008-12-05,68,21.78
2008-12-12,49,20.34
2008-12-19,50,19.43
2008-12-26,50,17.91
2009-01-02,50,19.33
2009-01-09,51,19.23
2009-01-16,38,17.01
2009-01-23,40,16.00
2009-01-30,42,16.73
2009-02-06,54,17.93
2009-02-13,66,15.74
2009-02-20,41,12.97
2009-02-27,41,12.06
2009-03-06,40,10.26
2009-03-13,40,13.09
2009-03-20,47,12.26
2009-03-27,39,14.45
2009-04-03,51,15.33
2009-04-10,45,
2009-04-17,45,21.81
2009-04-24,43,25.30
2009-05-01,36,24.29
2009-05-08,43,28.40
2009-05-15,49,24.23
2009-05-22,42,23.40
2009-05-29,49,24.85
2009-06-05,35,24.95
2009-06-12,41,25.16
2009-06-19,41,24.64
2009-06-26,43,23.76
2009-07-03,45,
2009-07-10,35,23.22
2009-07-17,46,28.03
2009-07-24,39,29.51
2009-07-31,65,28.33
2009-08-07,65,32.69
2009-08-14,46,31.72
2009-08-21,36,32.85
2009-08-28,36,34.24
2009-09-04,36,32.84
2009-09-11,36,34.17
2009-09-18,36,34.77
2009-09-25,32,33.07
2009-10-02,44,32.49
2009-10-09,45,34.94
2009-10-16,46,34.95
2009-10-23,46,34.58
2009-10-30,40,34.84
2009-11-06,30,37.21
2009-11-13,36,40.35
2009-11-20,66,40.93
2009-11-27,53,40.84
2009-12-04,48,39.30
2009-12-11,48,40.73
2009-12-18,37,40.51
2009-12-25,39,
2010-01-01,49,
2010-01-08,59,41.95
2010-01-15,51,42.39
2010-01-22,48,38.59
2010-01-29,39,37.66
2010-02-05,39,37.85
2010-02-12,33,38.42
2010-02-19,45,39.06
2010-02-26,60,38.19
2010-03-05,47,40.20
2010-03-12,27,40.76
2010-03-19,49,40.33
2010-03-26,49,41.12
2010-04-02,49,
2010-04-09,37,43.88
2010-04-16,52,45.10
2010-04-23,27,48.05
2010-04-30,44,46.12
2010-05-07,34,40.60
2010-05-14,31,40.64
2010-05-21,34,39.82
2010-05-28,28,39.87
2010-06-04,34,38.41
2010-06-11,34,40.13
2010-06-18,34,42.03
2010-06-25,43,42.67
2010-07-02,41,39.42
2010-07-09,41,42.58
2010-07-16,29,41.38
2010-07-23,35,44.79
2010-07-30,45,44.64
2010-08-06,57,43.50
2010-08-13,40,41.73
2010-08-20,35,40.76
2010-08-27,33,40.91
2010-09-03,47,41.80
2010-09-10,48,40.19
2010-09-17,42,41.37
2010-09-24,24,43.13
2010-10-01,52,41.78
2010-10-08,45,37.99
2010-10-15,38,39.09
2010-10-22,28,39.03
2010-10-29,31,41.46
2010-11-05,35,44.07
2010-11-12,53,42.70
2010-11-19,50,42.75
2010-11-26,41,42.27
2010-12-03,31,44.88
2010-12-10,48,46.26
2010-12-17,41,44.01
2010-12-24,38,
2010-12-31,59,42.92
2011-01-07,59,44.36
2011-01-14,38,46.25
2011-01-21,34,46.00
2011-01-28,55,43.86
2011-02-04,40,43.82
2011-02-11,31,46.75
2011-02-18,29,45.53
2011-02-25,37,43.53
2011-03-04,30,43.72
2011-03-11,39,44.28
2011-03-18,27,44.17
2011-03-25,45,45.59
2011-04-01,33,45.36
2011-04-08,27,46.28
2011-04-15,39,46.25
2011-04-22,30,
2011-04-29,28,49.08
2011-05-06,35,50.20
2011-05-13,43,49.49
2011-05-20,39,51.19
2011-05-27,41,51.13
2011-06-03,40,49.28
2011-06-10,28,47.74
2011-06-17,31,48.50
2011-06-24,37,48.34
2011-07-01,37,52.34
2011-07-08,33,53.07
2011-07-15,35,51.81
2011-07-22,43,52.24
2011-07-29,39,50.04
2011-08-05,31,47.21
2011-08-12,34,44.89
2011-08-19,36,44.47
2011-08-26,37,48.48
2011-09-02,25,48.51
2011-09-09,32,47.28
2011-09-16,30,50.12
2011-09-23,35,46.45
2011-09-30,33,44.90
2011-10-07,38,43.43
2011-10-14,23,46.10
2011-10-21,37,48.46
2011-10-28,20,52.10
2011-11-04,27,51.18
2011-11-11,43,50.37
2011-11-18,37,46.88
2011-11-25,43,45.00
2011-12-02,51,48.23
2011-12-09,31,48.80
2011-12-16,37,46.88
2011-12-23,42,47.95
2011-12-30,45,47.17
2012-01-06,44,48.27
2012-01-13,41,49.76
2012-01-20,34,50.04
2012-01-27,24,49.85
2012-02-03,55,52.25
2012-02-10,40,51.81
2012-02-17,36,52.86
2012-02-24,45,53.33
2012-03-02,21,52.99
2012-03-09,21,53.20
2012-03-16,34,56.55
2012-03-23,34,57.25
2012-03-30,49,57.86
2012-04-06,23,
2012-04-13,37,57.28
2012-04-20,33,57.45
2012-04-27,40,60.17
2012-05-04,28,60.10
2012-05-11,32,59.64
2012-05-18,16,55.40
2012-05-25,37,55.81
2012-06-01,34,53.43
2012-06-08,43,55.86
2012-06-15,44,56.28
2012-06-22,24,56.79
2012-06-29,26,58.21
2012-07-06,32,58.63
2012-07-13,54,57.93
2012-07-20,46,55.81
2012-07-27,39,58.53
2012-08-03,41,57.61
2012-08-10,39,55.85
2012-08-17,41,57.59
2012-08-24,39,57.49
2012-08-31,39,58.30
2012-09-07,33,57.73
2012-09-14,35,59.27
2012-09-21,26,57.86
2012-09-28,38,56.86
2012-10-05,36,58.56
2012-10-12,38,57.89
2012-10-19,30,56.86
2012-10-26,23,55.75
2012-11-02,27,56.71
2012-11-09,36,55.83
2012-11-16,50,54.30
2012-11-23,33,56.51
2012-11-30,33,55.90
2012-12-07,37,56.61
2012-12-14,36,56.65
2012-12-21,40,57.65
2012-12-28,38,56.67
2013-01-04,26,59.61
2013-01-11,53,61.24
2013-01-18,30,59.78
2013-01-25,29,59.50
2013-02-01,26,59.91
2013-02-08,34,61.80
2013-02-15,44,61.69
2013-02-22,44,62.57
2013-03-01,28,62.37
2013-03-08,36,64.70
2013-03-15,36,66.09
2013-03-22,38,66.22
2013-03-29,38,
2013-04-05,32,65.30
2013-04-12,41,65.68
2013-04-19,20,67.24
2013-04-26,24,67.75
2013-05-03,27,70.23
2013-05-10,26,70.08
2013-05-17,29,73.32
2013-05-24,25,75.27
2013-05-31,36,75.71
2013-06-07,33,78.04
2013-06-14,49,72.97
2013-06-21,35,73.31
2013-06-28,48,74.76
2013-07-05,40,76.31
2013-07-12,41,78.33
2013-07-19,37,74.06
2013-07-26,26,75.34
2013-08-02,25,75.69
2013-08-09,26,75.50
2013-08-16,29,75.17
2013-08-23,26,73.65
2013-08-30,31,71.91
2013-09-06,32,73.35
2013-09-13,31,75.30
2013-09-20,18,77.32
2013-09-27,17,75.89
2013-10-04,36,74.31
2013-10-11,29,75.40
2013-10-18,27,80.52
2013-10-25,38,82.61
2013-11-01,34,82.16
2013-11-08,25,81.78
2013-11-15,30,82.80
2013-11-22,35,83.85
2013-11-29,23,85.80
2013-12-06,29,85.93
2013-12-13,43,83.68
2013-12-20,35,87.57
2013-12-27,37,89.19
2014-01-03,24,89.74
2014-01-10,31,88.55
2014-01-17,31,90.97
2014-01-24,39,86.95
2014-01-31,28,85.02
2014-02-07,38,87.00
2014-02-14,24,89.00
2014-02-21,37,88.75
2014-02-28,31,91.28
2014-03-07,29,93.86
2014-03-14,30,90.17
2014-03-21,29,91.52
2014-03-28,22,90.46
2014-04-04,27,89.17
2014-04-11,33,84.54
2014-04-18,36,
2014-04-25,32,87.03
2014-05-02,0,
