Date,Ametek,Price
2004-01-09,55,
2004-01-16,83,
2004-01-23,67,
2004-01-30,46,
2004-02-06,74,50.39
2004-02-13,72,49.99
2004-02-20,54,49.70
2004-02-27,51,49.65
2004-03-05,47,24.99
2004-03-12,94,24.15
2004-03-19,41,23.57
2004-03-26,53,24.39
2004-04-02,65,26.59
2004-04-09,67,
2004-04-16,66,26.80
2004-04-23,86,27.62
2004-04-30,66,26.50
2004-05-07,74,25.91
2004-05-14,54,25.93
2004-05-21,54,26.38
2004-05-28,72,27.01
2004-06-04,48,27.15
2004-06-11,70,
2004-06-18,62,29.45
2004-06-25,58,30.18
2004-07-02,63,30.18
2004-07-09,76,30.74
2004-07-16,100,30.39
2004-07-23,66,30.91
2004-07-30,81,30.84
2004-08-06,89,28.94
2004-08-13,81,28.70
2004-08-20,57,29.14
2004-08-27,57,29.02
2004-09-03,76,28.72
2004-09-10,90,30.00
2004-09-17,50,30.70
2004-09-24,78,29.60
2004-10-01,49,30.45
2004-10-08,63,30.46
2004-10-15,78,30.40
2004-10-22,52,33.01
2004-10-29,58,32.92
2004-11-05,50,33.51
2004-11-12,60,33.95
2004-11-19,36,34.05
2004-11-26,41,33.52
2004-12-03,43,32.91
2004-12-10,67,34.72
2004-12-17,64,35.54
2004-12-24,54,
2004-12-31,43,35.67
2005-01-07,72,34.35
2005-01-14,61,35.00
2005-01-21,76,34.27
2005-01-28,54,37.19
2005-02-04,55,39.57
2005-02-11,66,38.40
2005-02-18,73,37.66
2005-02-25,43,38.03
2005-03-04,57,39.99
2005-03-11,56,40.42
2005-03-18,56,41.14
2005-03-25,61,
2005-04-01,38,39.97
2005-04-08,52,40.02
2005-04-15,67,38.05
2005-04-22,64,38.46
2005-04-29,57,37.87
2005-05-06,57,38.36
2005-05-13,58,36.75
2005-05-20,83,38.56
2005-05-27,65,38.84
2005-06-03,54,38.22
2005-06-10,53,38.85
2005-06-17,60,41.05
2005-06-24,69,40.15
2005-07-01,59,42.33
