Date,Automatic Data Processing,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,43.13
2004-02-13,0,43.84
2004-02-20,0,43.07
2004-02-27,0,42.45
2004-03-05,0,43.19
2004-03-12,0,42.07
2004-03-19,0,41.30
2004-03-26,0,41.18
2004-04-02,0,44.25
2004-04-09,0,
2004-04-16,0,45.62
2004-04-23,0,45.33
2004-04-30,77,43.81
2004-05-07,0,46.03
2004-05-14,0,45.48
2004-05-21,0,44.28
2004-05-28,0,44.43
2004-06-04,0,44.42
2004-06-11,0,
2004-06-18,0,43.54
2004-06-25,0,42.44
2004-07-02,100,39.90
2004-07-09,0,40.51
2004-07-16,0,40.01
2004-07-23,0,39.62
2004-07-30,0,41.98
2004-08-06,0,39.27
2004-08-13,0,39.20
2004-08-20,0,39.95
2004-08-27,0,39.86
2004-09-03,0,41.14
2004-09-10,0,41.45
2004-09-17,0,42.63
2004-09-24,0,41.52
2004-10-01,0,42.06
2004-10-08,0,41.66
2004-10-15,0,40.85
2004-10-22,0,40.04
2004-10-29,0,43.39
2004-11-05,0,44.62
2004-11-12,0,45.37
2004-11-19,0,44.99
2004-11-26,0,45.29
2004-12-03,0,45.99
2004-12-10,0,44.79
2004-12-17,0,43.94
2004-12-24,0,
2004-12-31,0,44.35
2005-01-07,0,42.60
2005-01-14,0,42.40
2005-01-21,0,42.83
2005-01-28,0,43.20
2005-02-04,0,44.15
2005-02-11,0,42.94
2005-02-18,0,41.96
2005-02-25,0,43.00
2005-03-04,0,42.86
2005-03-11,0,43.51
2005-03-18,0,44.78
2005-03-25,0,
2005-04-01,0,44.83
2005-04-08,0,45.23
2005-04-15,0,43.46
2005-04-22,0,44.34
2005-04-29,0,43.44
2005-05-06,0,44.02
2005-05-13,0,43.99
2005-05-20,0,44.70
2005-05-27,0,44.52
2005-06-03,0,43.65
2005-06-10,0,42.92
2005-06-17,0,42.77
2005-06-24,0,40.69
2005-07-01,0,42.28
2005-07-08,0,41.97
2005-07-15,0,42.84
2005-07-22,0,43.94
2005-07-29,0,44.41
2005-08-05,0,43.99
2005-08-12,0,44.52
2005-08-19,0,43.99
2005-08-26,0,43.39
2005-09-02,0,42.47
2005-09-09,0,42.68
2005-09-16,0,41.70
2005-09-23,0,42.07
2005-09-30,0,43.04
2005-10-07,0,43.15
2005-10-14,0,43.11
2005-10-21,0,42.69
2005-10-28,0,46.84
2005-11-04,0,46.57
2005-11-11,0,47.43
2005-11-18,0,47.70
2005-11-25,0,47.03
2005-12-02,0,47.31
2005-12-09,0,46.66
2005-12-16,0,46.60
2005-12-23,0,46.50
2005-12-30,0,45.90
2006-01-06,0,46.49
2006-01-13,0,45.75
2006-01-20,0,45.31
2006-01-27,0,44.77
2006-02-03,35,44.00
2006-02-10,0,45.70
2006-02-17,0,44.84
2006-02-24,0,44.89
2006-03-03,0,46.28
2006-03-10,0,47.69
2006-03-17,0,47.16
2006-03-24,35,46.75
2006-03-31,32,45.68
2006-04-07,32,46.46
2006-04-14,0,
2006-04-21,0,45.71
2006-04-28,0,44.08
2006-05-05,0,44.48
2006-05-12,0,44.00
2006-05-19,0,45.41
2006-05-26,0,45.98
2006-06-02,0,45.75
2006-06-09,0,44.59
2006-06-16,0,44.90
2006-06-23,0,44.29
2006-06-30,0,45.35
2006-07-07,33,44.01
2006-07-14,0,43.03
2006-07-21,0,42.71
2006-07-28,0,43.91
2006-08-04,0,46.11
2006-08-11,0,46.11
2006-08-18,0,47.28
2006-08-25,0,46.60
2006-09-01,0,48.00
2006-09-08,0,47.42
2006-09-15,0,47.37
2006-09-22,0,46.83
2006-09-29,0,47.34
2006-10-06,0,47.47
2006-10-13,0,46.49
2006-10-20,0,47.42
2006-10-27,0,47.66
2006-11-03,0,47.99
2006-11-10,0,48.66
2006-11-17,0,49.65
2006-11-24,0,49.38
2006-12-01,0,47.87
2006-12-08,0,47.94
2006-12-15,0,49.64
2006-12-22,0,49.01
2006-12-29,0,49.25
2007-01-05,0,48.76
2007-01-12,0,48.70
2007-01-19,0,47.91
2007-01-26,25,47.13
2007-02-02,0,49.00
2007-02-09,0,48.81
2007-02-16,0,50.96
2007-02-23,0,51.18
2007-03-02,0,48.68
2007-03-09,0,48.77
2007-03-16,0,48.13
2007-03-23,0,50.76
2007-03-30,0,48.40
2007-04-06,29,
2007-04-13,25,44.72
2007-04-20,25,44.76
2007-04-27,21,45.17
2007-05-04,21,46.50
2007-05-11,21,48.12
2007-05-18,21,48.63
2007-05-25,21,49.23
2007-06-01,21,49.79
2007-06-08,21,48.41
2007-06-15,0,49.16
2007-06-22,0,48.40
2007-06-29,0,48.47
2007-07-06,0,48.93
2007-07-13,0,48.98
2007-07-20,22,47.95
2007-07-27,22,45.45
2007-08-03,22,47.56
2007-08-10,23,48.42
2007-08-17,23,47.04
2007-08-24,26,46.65
2007-08-31,27,45.74
2007-09-07,28,44.73
2007-09-14,20,44.47
2007-09-21,20,46.35
2007-09-28,20,45.93
2007-10-05,20,47.97
2007-10-12,20,48.25
2007-10-19,16,47.52
2007-10-26,16,46.57
2007-11-02,17,48.67
2007-11-09,14,46.73
2007-11-16,14,47.16
2007-11-23,17,45.73
2007-11-30,21,45.06
2007-12-07,17,45.55
2007-12-14,23,44.94
2007-12-21,23,44.97
2007-12-28,23,44.71
2008-01-04,23,41.00
2008-01-11,23,41.08
2008-01-18,22,39.55
2008-01-25,19,38.75
2008-02-01,19,39.97
2008-02-08,19,37.90
2008-02-15,23,39.74
2008-02-22,14,40.71
2008-02-29,14,39.95
2008-03-07,15,39.21
2008-03-14,17,39.37
2008-03-21,18,
2008-03-28,19,41.79
2008-04-04,16,43.89
2008-04-11,16,41.98
2008-04-18,16,43.82
2008-04-25,16,44.08
2008-05-02,16,43.09
2008-05-09,17,43.10
2008-05-16,14,43.87
2008-05-23,14,41.81
2008-05-30,14,43.05
2008-06-06,17,42.39
2008-06-13,15,43.14
2008-06-20,18,42.60
2008-06-27,21,41.64
2008-07-04,16,
2008-07-11,16,41.47
2008-07-18,16,42.60
2008-07-25,16,41.09
2008-08-01,16,42.95
2008-08-08,16,45.01
2008-08-15,16,45.71
2008-08-22,16,45.13
2008-08-29,14,44.38
2008-09-05,14,44.16
2008-09-12,14,45.27
2008-09-19,14,44.62
2008-09-26,15,43.73
2008-10-03,15,41.28
2008-10-10,15,33.51
2008-10-17,15,33.77
2008-10-24,15,32.63
2008-10-31,14,34.95
2008-11-07,13,35.43
2008-11-14,14,35.12
2008-11-21,19,35.25
2008-11-28,13,41.06
2008-12-05,12,37.59
2008-12-12,25,38.27
2008-12-19,19,37.60
2008-12-26,19,38.14
2009-01-02,19,40.41
2009-01-09,19,38.61
2009-01-16,12,39.42
2009-01-23,16,37.09
2009-01-30,15,36.33
2009-02-06,25,39.57
2009-02-13,16,37.17
2009-02-20,16,35.87
2009-02-27,16,34.15
2009-03-06,13,33.28
2009-03-13,19,35.36
2009-03-20,23,36.30
2009-03-27,17,35.50
2009-04-03,13,36.67
2009-04-10,12,
2009-04-17,12,36.11
2009-04-24,11,35.35
2009-05-01,11,35.52
2009-05-08,15,36.84
2009-05-15,12,35.79
2009-05-22,12,35.97
2009-05-29,11,38.01
2009-06-05,11,38.55
2009-06-12,11,37.29
2009-06-19,12,35.68
2009-06-26,15,34.69
2009-07-03,11,
2009-07-10,14,33.73
2009-07-17,19,35.31
2009-07-24,20,36.93
2009-07-31,18,37.25
2009-08-07,18,38.37
2009-08-14,16,38.48
2009-08-21,16,39.07
2009-08-28,15,38.56
2009-09-04,11,38.57
2009-09-11,11,38.40
2009-09-18,9,39.39
2009-09-25,9,38.91
2009-10-02,9,38.79
2009-10-09,12,40.17
2009-10-16,15,40.62
2009-10-23,12,40.37
2009-10-30,13,39.80
2009-11-06,13,42.32
2009-11-13,9,43.51
2009-11-20,11,43.45
2009-11-27,13,43.53
2009-12-04,10,43.69
2009-12-11,10,43.04
2009-12-18,9,42.36
2009-12-25,9,
2010-01-01,9,
2010-01-08,9,42.42
2010-01-15,11,42.27
2010-01-22,12,41.17
2010-01-29,13,40.79
2010-02-05,15,40.28
2010-02-12,15,40.59
2010-02-19,8,41.56
2010-02-26,8,41.61
2010-03-05,13,43.18
2010-03-12,15,43.81
2010-03-19,9,44.60
2010-03-26,13,44.24
2010-04-02,14,
2010-04-09,10,44.26
2010-04-16,10,44.29
2010-04-23,12,45.48
2010-04-30,11,43.37
2010-05-07,10,41.56
2010-05-14,14,41.80
2010-05-21,10,40.62
2010-05-28,10,40.88
2010-06-04,10,40.46
2010-06-11,11,41.83
2010-06-18,11,42.28
2010-06-25,12,40.86
2010-07-02,11,39.43
2010-07-09,10,40.72
2010-07-16,9,40.63
2010-07-23,15,41.89
2010-07-30,15,41.27
2010-08-06,14,41.57
2010-08-13,11,39.79
2010-08-20,13,39.40
2010-08-27,14,39.36
2010-09-03,14,40.08
2010-09-10,11,40.10
2010-09-17,11,41.33
2010-09-24,9,42.64
2010-10-01,10,41.82
2010-10-08,14,42.10
2010-10-15,14,42.94
2010-10-22,12,43.80
2010-10-29,11,44.49
2010-11-05,16,45.84
2010-11-12,16,45.42
2010-11-19,11,45.39
2010-11-26,8,45.48
2010-12-03,15,46.73
2010-12-10,6,46.53
2010-12-17,7,46.86
2010-12-24,8,
2010-12-31,9,46.28
2011-01-07,12,48.11
2011-01-14,9,48.75
2011-01-21,10,49.04
2011-01-28,13,47.89
2011-02-04,8,49.34
2011-02-11,10,49.73
2011-02-18,12,49.94
2011-02-25,8,49.61
2011-03-04,11,50.33
2011-03-11,12,50.41
2011-03-18,8,49.31
2011-03-25,10,50.37
2011-04-01,14,51.68
2011-04-08,14,52.45
2011-04-15,12,52.12
2011-04-22,7,
2011-04-29,7,54.36
2011-05-06,11,53.59
2011-05-13,9,54.01
2011-05-20,9,54.17
2011-05-27,10,54.13
2011-06-03,6,53.28
2011-06-10,17,51.94
2011-06-17,12,51.67
2011-06-24,14,51.22
2011-07-01,9,53.89
2011-07-08,13,54.50
2011-07-15,9,53.11
2011-07-22,8,53.23
2011-07-29,12,51.49
2011-08-05,16,48.40
2011-08-12,18,47.27
2011-08-19,10,46.32
2011-08-26,11,48.68
2011-09-02,8,48.51
2011-09-09,10,47.62
2011-09-16,9,50.76
2011-09-23,9,46.96
2011-09-30,9,47.15
2011-10-07,11,48.86
2011-10-14,13,51.72
2011-10-21,11,52.25
2011-10-28,7,52.60
2011-11-04,10,51.63
2011-11-11,8,52.16
2011-11-18,9,49.89
2011-11-25,8,47.93
2011-12-02,10,51.30
2011-12-09,10,52.48
2011-12-16,8,51.73
2011-12-23,11,54.33
2011-12-30,7,54.01
2012-01-06,7,54.88
2012-01-13,11,54.95
2012-01-20,9,56.79
2012-01-27,8,55.34
2012-02-03,11,55.51
2012-02-10,13,54.01
2012-02-17,11,54.25
2012-02-24,7,53.82
2012-03-02,14,54.44
2012-03-09,10,54.95
2012-03-16,9,55.10
2012-03-23,9,54.99
2012-03-30,7,55.19
2012-04-06,8,
2012-04-13,7,54.49
2012-04-20,12,55.02
2012-04-27,10,55.82
2012-05-04,9,53.56
2012-05-11,6,53.70
2012-05-18,7,51.99
2012-05-25,6,52.68
2012-06-01,6,50.92
2012-06-08,9,53.68
2012-06-15,9,55.04
2012-06-22,9,54.70
2012-06-29,12,55.66
2012-07-06,9,55.43
2012-07-13,7,55.84
2012-07-20,7,56.10
2012-07-27,9,57.60
2012-08-03,11,56.93
2012-08-10,9,57.61
2012-08-17,8,58.51
2012-08-24,9,58.42
2012-08-31,8,58.08
2012-09-07,6,59.25
2012-09-14,5,58.45
2012-09-21,8,58.64
2012-09-28,8,58.66
2012-10-05,8,59.53
2012-10-12,10,58.32
2012-10-19,8,58.42
2012-10-26,8,58.19
2012-11-02,6,57.37
2012-11-09,5,55.30
2012-11-16,6,54.74
2012-11-23,7,56.12
2012-11-30,8,56.74
2012-12-07,9,57.31
2012-12-14,8,57.40
2012-12-21,6,57.58
2012-12-28,6,56.33
2013-01-04,6,59.14
2013-01-11,10,59.42
2013-01-18,10,59.72
2013-01-25,8,59.89
2013-02-01,8,60.65
2013-02-08,7,60.93
2013-02-15,7,61.22
2013-02-22,7,61.01
2013-03-01,10,61.65
2013-03-08,11,63.35
2013-03-15,8,64.48
2013-03-22,8,64.08
2013-03-29,10,
2013-04-05,8,63.77
2013-04-12,7,65.91
2013-04-19,7,65.23
2013-04-26,11,66.59
2013-05-03,7,69.23
2013-05-10,5,70.03
2013-05-17,9,71.99
2013-05-24,8,69.85
2013-05-31,4,68.72
2013-06-07,11,68.91
2013-06-14,9,68.01
2013-06-21,5,68.68
2013-06-28,8,68.86
2013-07-05,4,70.75
2013-07-12,4,73.41
2013-07-19,10,72.88
2013-07-26,9,72.48
2013-08-02,5,71.58
2013-08-09,9,72.46
2013-08-16,8,71.89
2013-08-23,8,72.28
2013-08-30,9,71.16
2013-09-06,8,73.13
2013-09-13,5,74.09
2013-09-20,5,74.43
2013-09-27,7,72.56
2013-10-04,8,71.52
2013-10-11,8,72.51
2013-10-18,4,74.19
2013-10-25,7,75.51
2013-11-01,8,75.31
2013-11-08,8,76.01
2013-11-15,9,77.33
2013-11-22,10,80.01
2013-11-29,8,80.02
2013-12-06,8,79.66
2013-12-13,11,77.02
2013-12-20,6,79.97
2013-12-27,7,80.72
2014-01-03,7,80.73
2014-01-10,8,80.35
2014-01-17,10,79.97
2014-01-24,8,76.97
2014-01-31,11,76.60
2014-02-07,9,74.89
2014-02-14,6,76.27
2014-02-21,6,76.20
2014-02-28,10,77.78
2014-03-07,7,78.56
2014-03-14,6,77.55
2014-03-21,8,77.75
2014-03-28,9,76.95
2014-04-04,10,75.82
2014-04-11,13,73.73
2014-04-18,8,
2014-04-25,8,75.66
2014-05-02,0,
