Date,BAX,Price
2004-01-09,83,
2004-01-16,62,
2004-01-23,60,
2004-01-30,78,
2004-02-06,53,29.77
2004-02-13,62,30.69
2004-02-20,76,29.42
2004-02-27,63,29.12
2004-03-05,65,29.98
2004-03-12,45,29.52
2004-03-19,64,30.15
2004-03-26,74,30.60
2004-04-02,63,31.19
2004-04-09,57,
2004-04-16,77,31.55
2004-04-23,65,33.30
2004-04-30,54,31.65
2004-05-07,60,32.21
2004-05-14,60,32.15
2004-05-21,61,31.60
2004-05-28,51,31.44
2004-06-04,65,32.08
2004-06-11,64,
2004-06-18,70,32.82
2004-06-25,64,34.33
2004-07-02,64,33.65
2004-07-09,67,33.68
2004-07-16,59,32.54
2004-07-23,63,30.13
2004-07-30,64,30.07
2004-08-06,62,29.93
2004-08-13,57,31.06
2004-08-20,54,31.95
2004-08-27,62,30.61
2004-09-03,58,31.39
2004-09-10,59,31.58
2004-09-17,100,32.22
2004-09-24,55,32.10
2004-10-01,62,32.40
2004-10-08,72,31.14
2004-10-15,56,31.21
2004-10-22,64,30.01
2004-10-29,59,30.76
2004-11-05,54,31.58
2004-11-12,56,32.00
2004-11-19,51,31.75
2004-11-26,52,32.30
2004-12-03,60,32.02
2004-12-10,57,31.99
2004-12-17,63,33.50
2004-12-24,54,
2004-12-31,55,34.54
2005-01-07,49,35.48
2005-01-14,58,34.35
2005-01-21,49,34.97
2005-01-28,67,33.72
2005-02-04,62,35.10
2005-02-11,64,34.40
2005-02-18,58,35.42
2005-02-25,50,36.24
2005-03-04,68,35.26
2005-03-11,51,35.05
2005-03-18,57,33.89
2005-03-25,63,
2005-04-01,54,33.75
2005-04-08,67,34.45
2005-04-15,50,34.52
2005-04-22,51,36.63
2005-04-29,70,37.10
2005-05-06,58,37.49
2005-05-13,54,37.36
2005-05-20,67,37.07
2005-05-27,58,36.94
2005-06-03,62,36.89
2005-06-10,55,36.52
2005-06-17,65,37.04
2005-06-24,57,37.00
2005-07-01,62,37.08
2005-07-08,66,38.10
2005-07-15,58,38.27
2005-07-22,59,38.91
2005-07-29,69,39.27
2005-08-05,56,39.35
2005-08-12,59,40.29
2005-08-19,58,39.60
2005-08-26,69,38.88
2005-09-02,54,39.46
2005-09-09,56,40.26
2005-09-16,57,40.75
2005-09-23,62,39.95
2005-09-30,54,39.87
2005-10-07,52,38.76
2005-10-14,63,37.39
2005-10-21,65,38.11
2005-10-28,55,38.96
2005-11-04,56,37.49
2005-11-11,80,38.65
2005-11-18,93,38.55
2005-11-25,58,39.08
2005-12-02,59,39.59
2005-12-09,56,38.76
2005-12-16,49,38.51
2005-12-23,59,37.96
2005-12-30,50,37.65
2006-01-06,57,38.78
2006-01-13,53,38.18
2006-01-20,52,38.66
2006-01-27,57,37.65
2006-02-03,57,36.02
2006-02-10,56,37.08
2006-02-17,51,38.33
2006-02-24,52,38.51
2006-03-03,51,38.50
2006-03-10,51,38.29
2006-03-17,48,38.66
2006-03-24,46,38.76
2006-03-31,49,38.81
2006-04-07,47,37.10
2006-04-14,46,
2006-04-21,50,38.56
2006-04-28,58,37.70
2006-05-05,49,38.19
2006-05-12,52,38.03
2006-05-19,54,36.57
2006-05-26,50,38.33
2006-06-02,50,38.11
2006-06-09,50,37.85
2006-06-16,56,38.00
2006-06-23,57,37.25
2006-06-30,59,36.76
2006-07-07,54,36.43
2006-07-14,49,37.83
2006-07-21,63,41.47
2006-07-28,55,41.70
2006-08-04,61,41.44
2006-08-11,56,42.87
2006-08-18,55,43.22
2006-08-25,56,43.23
2006-09-01,57,44.96
2006-09-08,54,43.81
2006-09-15,53,45.56
2006-09-22,45,45.44
2006-09-29,51,45.46
2006-10-06,53,45.84
2006-10-13,40,45.96
2006-10-20,53,46.00
2006-10-27,54,46.34
2006-11-03,47,45.73
2006-11-10,57,45.15
2006-11-17,62,46.12
2006-11-24,49,44.40
2006-12-01,49,44.83
2006-12-08,48,45.18
2006-12-15,47,46.55
2006-12-22,57,46.22
2006-12-29,43,46.39
2007-01-05,49,46.79
2007-01-12,39,47.55
2007-01-19,39,48.87
2007-01-26,51,48.75
2007-02-02,46,49.75
2007-02-09,51,49.75
2007-02-16,48,50.46
2007-02-23,48,49.81
2007-03-02,48,48.82
2007-03-09,52,49.98
2007-03-16,53,51.36
2007-03-23,54,52.55
2007-03-30,49,52.67
2007-04-06,45,
2007-04-13,54,53.99
2007-04-20,48,55.91
2007-04-27,50,57.19
2007-05-04,42,57.43
2007-05-11,49,56.75
2007-05-18,46,57.27
2007-05-25,46,56.97
2007-06-01,45,57.15
2007-06-08,48,56.50
2007-06-15,49,57.88
2007-06-22,58,55.68
2007-06-29,52,56.34
2007-07-06,46,58.04
2007-07-13,45,58.55
2007-07-20,54,55.46
2007-07-27,48,52.03
2007-08-03,44,53.50
2007-08-10,48,51.99
2007-08-17,46,50.89
2007-08-24,45,52.65
2007-08-31,47,54.76
2007-09-07,32,52.69
2007-09-14,43,54.67
2007-09-21,39,56.77
2007-09-28,45,56.28
2007-10-05,43,56.30
2007-10-12,45,57.39
2007-10-19,40,58.00
2007-10-26,43,59.95
2007-11-02,46,59.24
2007-11-09,46,57.85
2007-11-16,46,58.26
2007-11-23,39,57.89
2007-11-30,45,59.87
2007-12-07,49,60.25
2007-12-14,52,58.09
2007-12-21,46,59.51
2007-12-28,42,58.67
2008-01-04,40,57.69
2008-01-11,45,63.71
2008-01-18,45,63.16
2008-01-25,41,61.00
2008-02-01,41,61.51
2008-02-08,44,60.65
2008-02-15,43,59.34
2008-02-22,42,59.61
2008-02-29,38,59.02
2008-03-07,40,57.78
2008-03-14,47,56.27
2008-03-21,49,
2008-03-28,46,57.50
2008-04-04,44,59.89
2008-04-11,43,60.57
2008-04-18,49,61.28
2008-04-25,46,61.99
2008-05-02,47,62.80
2008-05-09,39,61.25
2008-05-16,48,61.27
2008-05-23,43,60.29
2008-05-30,44,61.10
2008-06-06,43,60.94
2008-06-13,42,61.87
2008-06-20,46,62.64
2008-06-27,41,62.91
2008-07-04,42,
2008-07-11,45,65.24
2008-07-18,44,68.94
2008-07-25,44,67.97
2008-08-01,43,68.40
2008-08-08,43,71.15
2008-08-15,43,69.97
2008-08-22,39,70.49
2008-08-29,40,67.76
2008-09-05,41,67.09
2008-09-12,42,68.34
2008-09-19,40,66.02
2008-09-26,44,66.75
2008-10-03,41,67.12
2008-10-10,45,56.10
2008-10-17,42,59.62
2008-10-24,42,58.20
2008-10-31,40,60.49
2008-11-07,37,59.35
2008-11-14,39,60.00
2008-11-21,42,51.21
2008-11-28,39,52.90
2008-12-05,40,53.45
2008-12-12,41,50.16
2008-12-19,43,53.80
2008-12-26,37,52.94
2009-01-02,36,55.08
