Date,BB&T Corporation,Price
2004-01-09,27,
2004-01-16,26,
2004-01-23,29,
2004-01-30,30,
2004-02-06,26,37.12
2004-02-13,28,37.37
2004-02-20,26,36.98
2004-02-27,30,37.15
2004-03-05,29,37.61
2004-03-12,30,36.81
2004-03-19,29,35.32
2004-03-26,28,34.89
2004-04-02,29,35.21
2004-04-09,31,
2004-04-16,27,34.14
2004-04-23,28,34.72
2004-04-30,27,34.49
2004-05-07,27,34.00
2004-05-14,27,34.57
2004-05-21,30,35.13
2004-05-28,30,37.68
2004-06-04,33,37.14
2004-06-11,31,
2004-06-18,33,37.14
2004-06-25,30,36.87
2004-07-02,32,37.00
2004-07-09,32,36.68
2004-07-16,31,37.44
2004-07-23,31,38.37
2004-07-30,31,38.73
2004-08-06,32,37.47
2004-08-13,29,38.57
2004-08-20,28,39.43
2004-08-27,27,39.63
2004-09-03,28,39.86
2004-09-10,29,40.21
2004-09-17,27,40.25
2004-09-24,27,39.18
2004-10-01,27,40.18
2004-10-08,27,40.21
2004-10-15,27,39.53
2004-10-22,26,39.51
2004-10-29,27,41.11
2004-11-05,25,42.52
2004-11-12,25,43.00
2004-11-19,24,42.26
2004-11-26,27,42.66
2004-12-03,25,42.54
2004-12-10,26,41.97
2004-12-17,27,41.83
2004-12-24,28,
2004-12-31,27,42.05
2005-01-07,25,41.52
2005-01-14,27,39.73
2005-01-21,26,38.85
2005-01-28,26,38.97
2005-02-04,27,40.06
2005-02-11,26,40.24
2005-02-18,26,39.35
2005-02-25,25,39.42
2005-03-04,28,40.02
2005-03-11,27,39.45
2005-03-18,26,38.76
2005-03-25,27,
2005-04-01,28,38.73
2005-04-08,25,38.97
2005-04-15,26,37.08
2005-04-22,25,38.18
2005-04-29,26,39.21
2005-05-06,28,39.73
2005-05-13,28,39.13
2005-05-20,27,40.52
2005-05-27,28,40.17
2005-06-03,31,39.79
2005-06-10,31,39.66
2005-06-17,30,40.39
2005-06-24,30,39.90
2005-07-01,31,40.15
2005-07-08,31,40.72
2005-07-15,28,42.60
2005-07-22,29,42.54
2005-07-29,30,41.82
2005-08-05,33,41.05
2005-08-12,31,41.18
2005-08-19,29,41.00
2005-08-26,29,39.84
2005-09-02,27,40.51
2005-09-09,27,40.58
2005-09-16,28,41.01
2005-09-23,27,39.61
2005-09-30,26,39.05
2005-10-07,29,38.59
2005-10-14,28,39.33
2005-10-21,27,40.80
2005-10-28,25,42.41
2005-11-04,27,42.70
2005-11-11,27,43.49
2005-11-18,25,43.20
2005-11-25,27,43.68
2005-12-02,26,42.75
2005-12-09,27,42.41
2005-12-16,26,43.38
2005-12-23,28,42.90
2005-12-30,29,41.91
2006-01-06,28,42.53
2006-01-13,31,41.87
2006-01-20,29,39.63
2006-01-27,29,40.04
2006-02-03,29,38.63
2006-02-10,29,39.29
2006-02-17,30,39.73
2006-02-24,29,39.94
2006-03-03,28,39.10
2006-03-10,28,39.49
2006-03-17,28,40.57
2006-03-24,28,39.70
2006-03-31,27,39.20
2006-04-07,28,39.61
2006-04-14,28,
2006-04-21,27,41.93
2006-04-28,29,42.94
2006-05-05,28,43.15
2006-05-12,28,42.22
2006-05-19,31,42.02
2006-05-26,35,42.07
2006-06-02,35,42.31
2006-06-09,34,42.76
2006-06-16,32,42.18
2006-06-23,33,41.06
2006-06-30,34,41.59
2006-07-07,36,41.10
2006-07-14,33,40.36
2006-07-21,33,41.97
2006-07-28,32,42.46
2006-08-04,36,42.67
2006-08-11,36,42.40
2006-08-18,37,43.01
2006-08-25,33,42.72
2006-09-01,33,42.91
2006-09-08,32,42.66
2006-09-15,31,43.51
2006-09-22,32,43.89
2006-09-29,35,43.78
2006-10-06,35,43.84
2006-10-13,31,44.03
2006-10-20,31,43.26
2006-10-27,32,43.03
2006-11-03,33,42.79
2006-11-10,32,43.06
2006-11-17,32,43.77
2006-11-24,35,43.17
2006-12-01,34,43.18
2006-12-08,29,43.87
2006-12-15,28,44.16
2006-12-22,30,43.98
2006-12-29,28,43.93
2007-01-05,35,43.08
2007-01-12,31,42.62
2007-01-19,34,42.77
2007-01-26,32,42.19
2007-02-02,31,42.51
2007-02-09,30,42.81
2007-02-16,29,43.84
2007-02-23,29,43.76
2007-03-02,29,41.59
2007-03-09,31,41.51
2007-03-16,31,40.55
2007-03-23,30,41.98
2007-03-30,30,41.02
2007-04-06,32,
2007-04-13,30,39.91
2007-04-20,31,42.01
2007-04-27,32,42.08
2007-05-04,31,42.45
2007-05-11,31,42.36
2007-05-18,33,42.86
2007-05-25,33,42.09
2007-06-01,36,42.38
2007-06-08,41,41.54
2007-06-15,37,41.74
2007-06-22,38,41.15
2007-06-29,40,40.68
2007-07-06,41,41.17
2007-07-13,39,41.17
2007-07-20,37,39.20
2007-07-27,39,37.61
2007-08-03,43,37.01
2007-08-10,41,39.31
2007-08-17,41,40.85
2007-08-24,35,40.88
2007-08-31,43,39.73
2007-09-07,43,38.94
2007-09-14,46,40.69
2007-09-21,44,41.57
2007-09-28,43,40.39
2007-10-05,42,42.13
2007-10-12,44,40.46
2007-10-19,43,36.01
2007-10-26,40,37.25
2007-11-02,44,34.42
2007-11-09,40,34.19
2007-11-16,38,33.71
2007-11-23,47,34.00
2007-11-30,47,36.08
2007-12-07,43,36.01
2007-12-14,36,32.67
2007-12-21,36,31.94
2007-12-28,37,31.08
2008-01-04,36,27.36
2008-01-11,38,28.16
2008-01-18,42,29.42
2008-01-25,42,34.01
2008-02-01,42,36.80
2008-02-08,38,33.40
2008-02-15,40,33.25
2008-02-22,41,33.99
2008-02-29,41,31.13
2008-03-07,43,30.09
2008-03-14,43,31.33
2008-03-21,44,
2008-03-28,45,32.46
2008-04-04,43,34.04
2008-04-11,43,31.93
2008-04-18,42,34.53
2008-04-25,42,35.28
2008-05-02,44,36.49
2008-05-09,44,34.06
2008-05-16,42,34.28
2008-05-23,40,32.73
2008-05-30,42,31.47
2008-06-06,45,28.06
2008-06-13,45,26.50
2008-06-20,48,24.70
2008-06-27,44,23.72
2008-07-04,49,
2008-07-11,49,22.12
2008-07-18,45,26.42
2008-07-25,47,26.94
2008-08-01,47,29.04
2008-08-08,44,30.37
2008-08-15,46,30.09
2008-08-22,43,28.74
2008-08-29,54,30.00
2008-09-05,59,31.82
2008-09-12,50,34.05
2008-09-19,51,41.14
2008-09-26,50,40.45
2008-10-03,49,36.17
2008-10-10,52,30.46
2008-10-17,48,33.53
2008-10-24,51,32.25
2008-10-31,48,35.85
2008-11-07,51,31.99
2008-11-14,49,28.05
2008-11-21,49,24.71
2008-11-28,48,29.97
2008-12-05,43,29.17
2008-12-12,41,27.05
2008-12-19,40,27.40
2008-12-26,43,26.03
2009-01-02,44,26.73
2009-01-09,44,23.04
2009-01-16,43,20.83
2009-01-23,44,20.04
2009-01-30,44,19.79
2009-02-06,47,19.01
2009-02-13,44,15.33
2009-02-20,44,14.91
2009-02-27,43,16.13
2009-03-06,46,13.73
2009-03-13,47,17.28
2009-03-20,47,17.35
2009-03-27,44,17.77
2009-04-03,45,18.16
2009-04-10,45,
2009-04-17,45,23.42
2009-04-24,42,23.42
2009-05-01,43,22.79
2009-05-08,47,26.33
2009-05-15,46,21.63
2009-05-22,44,20.31
2009-05-29,45,22.42
2009-06-05,49,21.41
2009-06-12,46,23.14
2009-06-19,47,22.62
2009-06-26,46,22.67
2009-07-03,50,
2009-07-10,50,20.63
2009-07-17,52,20.94
2009-07-24,53,21.02
2009-07-31,55,22.88
2009-08-07,56,25.82
2009-08-14,55,28.23
2009-08-21,55,28.03
2009-08-28,63,28.39
2009-09-04,62,26.51
2009-09-11,63,26.77
2009-09-18,57,29.25
2009-09-25,56,27.17
2009-10-02,56,26.71
2009-10-09,55,27.30
2009-10-16,55,28.25
2009-10-23,58,26.07
2009-10-30,56,23.91
2009-11-06,54,24.47
2009-11-13,54,24.45
2009-11-20,54,24.60
2009-11-27,55,24.26
2009-12-04,52,26.61
2009-12-11,50,25.88
2009-12-18,51,25.53
2009-12-25,53,
2010-01-01,52,
2010-01-08,58,27.34
2010-01-15,56,27.76
2010-01-22,55,28.15
2010-01-29,54,27.87
2010-02-05,56,27.51
2010-02-12,57,26.92
2010-02-19,52,27.31
2010-02-26,55,28.53
2010-03-05,58,28.53
2010-03-12,56,30.70
2010-03-19,55,31.85
2010-03-26,58,32.25
2010-04-02,59,
2010-04-09,59,33.85
