Date,BBBY,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,42.08
2004-02-13,0,41.37
2004-02-20,0,40.62
2004-02-27,0,40.93
2004-03-05,0,41.54
2004-03-12,0,39.82
2004-03-19,0,38.26
2004-03-26,0,39.39
2004-04-02,0,39.61
2004-04-09,0,
2004-04-16,0,38.53
2004-04-23,0,38.32
2004-04-30,0,37.11
2004-05-07,0,35.68
2004-05-14,0,36.30
2004-05-21,0,36.34
2004-05-28,0,37.26
2004-06-04,0,36.28
2004-06-11,0,
2004-06-18,0,36.45
2004-06-25,0,39.75
2004-07-02,0,38.35
2004-07-09,0,36.68
2004-07-16,0,35.15
2004-07-23,0,34.89
2004-07-30,0,35.39
2004-08-06,0,33.89
2004-08-13,0,34.56
2004-08-20,0,35.84
2004-08-27,0,37.47
2004-09-03,0,38.00
2004-09-10,0,37.64
2004-09-17,0,39.25
2004-09-24,0,37.47
2004-10-01,0,38.51
2004-10-08,0,38.83
2004-10-15,0,38.59
2004-10-22,0,39.04
2004-10-29,0,40.79
2004-11-05,0,41.40
2004-11-12,0,43.49
2004-11-19,0,42.39
2004-11-26,0,41.31
2004-12-03,0,39.89
2004-12-10,0,39.99
2004-12-17,0,39.04
2004-12-24,0,
2004-12-31,0,39.83
2005-01-07,0,39.80
2005-01-14,0,41.17
2005-01-21,0,40.15
2005-01-28,0,39.64
2005-02-04,0,40.46
2005-02-11,0,39.45
2005-02-18,0,37.89
2005-02-25,0,37.40
2005-03-04,0,38.23
2005-03-11,0,37.53
2005-03-18,0,36.19
2005-03-25,0,
2005-04-01,0,36.40
2005-04-08,0,39.83
2005-04-15,0,37.96
2005-04-22,0,37.07
2005-04-29,0,37.21
2005-05-06,0,36.83
2005-05-13,0,37.38
2005-05-20,0,39.53
2005-05-27,0,40.42
2005-06-03,0,41.14
2005-06-10,0,41.22
2005-06-17,0,43.42
2005-06-24,0,41.24
2005-07-01,0,41.41
2005-07-08,0,43.50
2005-07-15,0,45.00
2005-07-22,0,46.00
2005-07-29,0,45.90
2005-08-05,0,43.87
2005-08-12,0,44.33
2005-08-19,0,42.06
2005-08-26,0,41.27
2005-09-02,0,39.82
2005-09-09,0,40.55
2005-09-16,0,40.05
2005-09-23,0,40.10
2005-09-30,0,40.18
2005-10-07,0,38.62
2005-10-14,0,37.80
2005-10-21,0,38.97
2005-10-28,0,39.52
2005-11-04,0,41.94
2005-11-11,0,41.75
2005-11-18,32,42.31
2005-11-25,0,43.18
2005-12-02,0,43.23
2005-12-09,0,41.99
2005-12-16,0,41.97
2005-12-23,0,36.54
2005-12-30,0,36.15
2006-01-06,0,35.73
2006-01-13,0,37.29
2006-01-20,0,35.97
2006-01-27,34,37.56
2006-02-03,31,36.65
2006-02-10,31,35.82
2006-02-17,31,35.55
2006-02-24,31,35.72
2006-03-03,0,36.01
2006-03-10,0,36.78
2006-03-17,0,36.81
2006-03-24,0,38.59
2006-03-31,0,38.40
2006-04-07,29,40.37
2006-04-14,0,
2006-04-21,0,38.03
2006-04-28,0,38.35
2006-05-05,0,38.33
2006-05-12,0,37.26
2006-05-19,0,36.10
2006-05-26,0,35.22
2006-06-02,0,36.19
2006-06-09,0,35.31
2006-06-16,0,36.47
2006-06-23,34,34.23
2006-06-30,0,33.17
2006-07-07,0,32.35
2006-07-14,0,31.74
2006-07-21,0,32.62
2006-07-28,0,33.78
2006-08-04,0,34.82
2006-08-11,24,34.74
2006-08-18,0,35.64
2006-08-25,0,33.01
2006-09-01,0,34.25
2006-09-08,0,34.11
2006-09-15,0,37.31
2006-09-22,29,38.40
2006-09-29,0,38.26
2006-10-06,0,39.53
2006-10-13,0,38.35
2006-10-20,0,38.90
2006-10-27,0,39.70
2006-11-03,0,38.56
2006-11-10,21,39.99
2006-11-17,0,40.53
2006-11-24,0,39.25
2006-12-01,0,38.95
2006-12-08,0,39.91
2006-12-15,0,40.68
2006-12-22,22,38.04
2006-12-29,26,38.10
2007-01-05,27,38.87
2007-01-12,28,41.59
2007-01-19,17,41.93
2007-01-26,17,40.70
2007-02-02,19,41.82
2007-02-09,21,41.86
2007-02-16,20,42.60
2007-02-23,17,42.57
2007-03-02,0,39.55
2007-03-09,0,40.09
2007-03-16,0,39.08
2007-03-23,0,41.20
2007-03-30,0,40.17
2007-04-06,0,
2007-04-13,23,40.73
2007-04-20,19,41.65
2007-04-27,19,41.33
2007-05-04,0,40.54
2007-05-11,0,41.15
2007-05-18,0,40.57
2007-05-25,0,40.66
2007-06-01,0,40.50
2007-06-08,19,37.62
2007-06-15,19,37.96
2007-06-22,19,37.14
2007-06-29,19,35.99
2007-07-06,17,36.72
2007-07-13,17,36.26
2007-07-20,17,36.83
2007-07-27,17,34.69
2007-08-03,17,34.23
2007-08-10,17,35.36
2007-08-17,17,34.25
2007-08-24,16,35.26
2007-08-31,16,34.64
2007-09-07,13,32.77
2007-09-14,13,33.43
2007-09-21,15,33.43
2007-09-28,19,34.12
2007-10-05,13,36.06
2007-10-12,13,35.06
2007-10-19,13,33.16
2007-10-26,13,33.52
2007-11-02,13,32.58
2007-11-09,13,30.64
2007-11-16,12,31.41
2007-11-23,13,30.62
2007-11-30,14,31.45
2007-12-07,15,32.34
2007-12-14,16,29.51
2007-12-21,17,29.15
2007-12-28,28,29.11
2008-01-04,39,26.19
2008-01-11,18,26.14
2008-01-18,17,27.05
2008-01-25,12,29.36
2008-02-01,12,32.38
2008-02-08,12,29.88
2008-02-15,13,29.25
2008-02-22,14,28.95
2008-02-29,14,28.34
2008-03-07,14,27.06
2008-03-14,14,28.86
2008-03-21,14,
2008-03-28,17,29.11
2008-04-04,20,31.60
2008-04-11,23,30.23
2008-04-18,16,32.39
2008-04-25,11,33.43
2008-05-02,11,33.10
2008-05-09,13,32.19
2008-05-16,10,33.78
2008-05-23,10,30.85
2008-05-30,10,31.86
2008-06-06,10,30.47
2008-06-13,10,30.03
2008-06-20,10,28.81
2008-06-27,11,29.06
2008-07-04,12,
2008-07-11,13,27.25
2008-07-18,14,29.26
2008-07-25,15,28.01
2008-08-01,14,27.57
2008-08-08,12,29.42
2008-08-15,12,29.97
2008-08-22,10,30.36
2008-08-29,10,30.66
2008-09-05,9,31.12
2008-09-12,9,32.06
2008-09-19,9,32.76
2008-09-26,12,32.24
2008-10-03,9,29.34
2008-10-10,9,26.19
2008-10-17,10,25.14
2008-10-24,11,23.41
2008-10-31,13,25.77
2008-11-07,14,22.98
2008-11-14,15,20.60
2008-11-21,11,17.54
2008-11-28,11,20.29
2008-12-05,12,24.59
2008-12-12,11,24.56
2008-12-19,9,26.01
2008-12-26,13,24.99
2009-01-02,15,26.49
2009-01-09,17,25.93
2009-01-16,10,25.94
2009-01-23,12,25.53
2009-01-30,10,23.23
2009-02-06,10,24.00
2009-02-13,10,22.01
2009-02-20,11,21.11
2009-02-27,12,21.30
2009-03-06,8,19.52
2009-03-13,8,22.93
2009-03-20,8,23.18
2009-03-27,10,25.00
2009-04-03,12,27.62
2009-04-10,32,
2009-04-17,11,31.37
2009-04-24,11,30.36
2009-05-01,10,29.30
2009-05-08,10,28.50
2009-05-15,11,27.83
2009-05-22,11,27.11
2009-05-29,11,28.11
2009-06-05,15,29.20
2009-06-12,10,28.36
2009-06-19,10,28.53
2009-06-26,13,31.03
2009-07-03,8,
2009-07-10,8,29.81
2009-07-17,8,32.65
2009-07-24,8,34.75
2009-07-31,8,34.75
2009-08-07,10,36.94
2009-08-14,0,34.88
2009-08-21,0,35.81
2009-08-28,0,37.14
2009-09-04,0,36.67
2009-09-11,0,36.71
2009-09-18,9,39.28
2009-09-25,15,36.80
2009-10-02,41,36.65
2009-10-09,100,37.39
2009-10-16,67,36.34
2009-10-23,61,36.17
2009-10-30,41,35.21
2009-11-06,8,37.14
2009-11-13,7,37.10
2009-11-20,7,37.24
2009-11-27,8,36.99
2009-12-04,6,39.15
2009-12-11,9,38.19
2009-12-18,9,37.49
2009-12-25,8,
2010-01-01,12,
2010-01-08,15,42.03
2010-01-15,7,40.67
2010-01-22,7,39.07
2010-01-29,10,38.70
2010-02-05,9,38.50
2010-02-12,7,39.78
2010-02-19,6,41.41
2010-02-26,6,41.61
2010-03-05,7,41.65
2010-03-12,8,42.28
2010-03-19,8,43.89
2010-03-26,9,44.00
2010-04-02,12,
2010-04-09,14,45.51
2010-04-16,8,45.33
2010-04-23,8,47.84
2010-04-30,8,45.96
2010-05-07,8,42.91
2010-05-14,7,44.46
2010-05-21,7,44.27
2010-05-28,7,44.87
2010-06-04,7,43.19
2010-06-11,7,44.44
2010-06-18,11,42.49
2010-06-25,15,39.34
2010-07-02,9,36.19
2010-07-09,6,37.45
2010-07-16,6,36.04
2010-07-23,6,38.72
2010-07-30,6,37.88
2010-08-06,7,38.83
2010-08-13,7,37.08
2010-08-20,6,38.34
2010-08-27,7,37.00
2010-09-03,6,39.02
2010-09-10,7,40.35
2010-09-17,8,41.10
2010-09-24,7,43.72
2010-10-01,6,43.40
2010-10-08,8,42.87
2010-10-15,9,43.64
2010-10-22,8,44.02
2010-10-29,8,43.90
2010-11-05,8,45.13
2010-11-12,8,44.11
2010-11-19,6,43.09
2010-11-26,8,44.00
2010-12-03,7,45.95
2010-12-10,7,46.76
2010-12-17,7,47.72
2010-12-24,13,
2010-12-31,7,49.15
2011-01-07,8,48.63
2011-01-14,6,49.51
2011-01-21,6,48.11
2011-01-28,6,48.60
2011-02-04,4,48.34
2011-02-11,5,50.04
2011-02-18,5,50.82
2011-02-25,8,47.85
2011-03-04,7,48.34
2011-03-11,7,45.82
2011-03-18,5,45.58
2011-03-25,6,47.28
2011-04-01,8,48.71
2011-04-08,19,53.82
2011-04-15,7,55.84
2011-04-22,10,
2011-04-29,10,56.13
2011-05-06,9,55.68
2011-05-13,9,55.65
2011-05-20,8,53.83
2011-05-27,6,53.46
2011-06-03,9,51.61
2011-06-10,5,52.91
2011-06-17,6,51.99
2011-06-24,11,56.59
2011-07-01,8,59.39
2011-07-08,8,60.14
2011-07-15,9,58.66
2011-07-22,5,59.70
2011-07-29,6,58.49
2011-08-05,10,52.90
2011-08-12,7,54.43
2011-08-19,5,50.64
2011-08-26,6,54.90
2011-09-02,5,56.44
2011-09-09,6,56.29
2011-09-16,6,59.94
2011-09-23,14,57.22
2011-09-30,8,57.31
2011-10-07,5,57.13
2011-10-14,5,61.17
2011-10-21,6,61.81
2011-10-28,5,61.15
2011-11-04,5,62.03
2011-11-11,7,61.92
2011-11-18,6,59.99
2011-11-25,7,57.90
2011-12-02,8,60.81
2011-12-09,4,63.22
2011-12-16,5,61.22
2011-12-23,13,57.46
2011-12-30,7,57.97
2012-01-06,8,59.94
2012-01-13,6,59.02
2012-01-20,7,61.72
2012-01-27,7,62.54
2012-02-03,7,63.15
2012-02-10,7,58.98
2012-02-17,11,59.47
2012-02-24,6,60.35
2012-03-02,9,60.84
2012-03-09,9,62.66
2012-03-16,6,66.03
2012-03-23,7,66.11
2012-03-30,6,65.77
2012-04-06,17,
2012-04-13,10,69.41
2012-04-20,6,68.56
2012-04-27,5,71.18
2012-05-04,10,68.05
2012-05-11,9,71.55
2012-05-18,5,68.84
2012-05-25,9,72.40
2012-06-01,9,70.78
2012-06-08,7,70.81
2012-06-15,6,72.67
2012-06-22,27,61.20
2012-06-29,12,61.80
2012-07-06,9,61.85
2012-07-13,9,60.94
2012-07-20,9,61.38
2012-07-27,10,63.62
2012-08-03,7,62.44
2012-08-10,6,62.78
2012-08-17,9,66.56
2012-08-24,8,66.40
2012-08-31,11,67.17
2012-09-07,9,69.17
2012-09-14,9,71.60
2012-09-21,22,61.57
2012-09-28,12,63.00
2012-10-05,10,61.60
2012-10-12,8,61.45
2012-10-19,9,60.24
2012-10-26,8,57.45
2012-11-02,6,57.10
2012-11-09,7,57.08
2012-11-16,9,56.40
2012-11-23,9,60.16
2012-11-30,10,58.72
2012-12-07,6,58.21
2012-12-14,8,58.22
2012-12-21,21,55.72
2012-12-28,9,54.91
2013-01-04,8,56.90
2013-01-11,7,56.27
2013-01-18,7,55.40
2013-01-25,8,59.78
2013-02-01,11,59.22
2013-02-08,10,59.44
2013-02-15,13,57.69
2013-02-22,8,57.60
2013-03-01,7,56.93
2013-03-08,11,59.37
2013-03-15,9,60.93
2013-03-22,8,64.59
2013-03-29,9,
2013-04-05,8,63.76
2013-04-12,20,66.76
2013-04-19,9,66.77
2013-04-26,11,67.09
2013-05-03,7,68.57
2013-05-10,12,69.83
2013-05-17,9,69.11
2013-05-24,7,68.72
2013-05-31,6,68.25
2013-06-07,8,69.36
2013-06-14,7,71.07
2013-06-21,9,69.99
2013-06-28,13,70.95
2013-07-05,11,72.76
2013-07-12,10,76.74
2013-07-19,8,76.18
2013-07-26,5,75.30
2013-08-02,8,77.51
2013-08-09,7,76.03
2013-08-16,9,73.45
2013-08-23,8,74.41
2013-08-30,7,73.74
2013-09-06,7,71.84
2013-09-13,6,73.63
2013-09-20,7,75.47
2013-09-27,18,77.23
2013-10-04,7,77.97
2013-10-11,5,77.33
2013-10-18,5,76.35
2013-10-25,6,76.75
2013-11-01,6,76.91
2013-11-08,6,75.76
2013-11-15,6,78.16
2013-11-22,7,77.46
2013-11-29,6,78.03
2013-12-06,8,78.13
2013-12-13,7,76.52
2013-12-20,7,77.41
2013-12-27,6,79.32
2014-01-03,9,80.48
2014-01-10,23,69.94
2014-01-17,14,66.05
2014-01-24,13,64.59
2014-01-31,11,63.85
2014-02-07,8,64.11
2014-02-14,8,65.96
2014-02-21,9,64.99
2014-02-28,10,67.82
2014-03-07,8,69.16
2014-03-14,8,68.30
2014-03-21,6,67.55
2014-03-28,8,68.43
2014-04-04,5,69.22
2014-04-11,17,63.72
2014-04-18,6,
2014-04-25,6,62.48
2014-05-02,0,
