Date,BBY,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,52.55
2004-02-13,21,53.65
2004-02-20,23,52.53
2004-02-27,24,53.25
2004-03-05,19,53.00
2004-03-12,19,49.30
2004-03-19,19,47.23
2004-03-26,19,48.19
2004-04-02,19,53.92
2004-04-09,21,
2004-04-16,23,53.00
2004-04-23,25,55.50
2004-04-30,23,54.25
2004-05-07,23,52.10
2004-05-14,22,51.20
2004-05-21,26,51.19
2004-05-28,19,52.76
2004-06-04,29,52.30
2004-06-11,22,
2004-06-18,22,51.52
2004-06-25,26,52.42
2004-07-02,23,49.25
2004-07-09,23,48.83
2004-07-16,23,47.57
2004-07-23,23,47.11
2004-07-30,23,48.16
2004-08-06,24,44.88
2004-08-13,24,44.61
2004-08-20,24,48.73
2004-08-27,25,48.43
2004-09-03,19,49.06
2004-09-10,25,50.45
2004-09-17,26,53.38
2004-09-24,24,53.66
2004-10-01,27,54.74
2004-10-08,20,54.26
2004-10-15,23,56.69
2004-10-22,25,56.90
2004-10-29,20,59.22
2004-11-05,20,61.39
2004-11-12,27,59.73
2004-11-19,17,60.35
2004-11-26,28,58.92
2004-12-03,26,56.84
2004-12-10,25,56.82
2004-12-17,21,56.55
2004-12-24,30,
2004-12-31,19,59.42
2005-01-07,19,55.16
2005-01-14,19,57.42
2005-01-21,26,55.80
2005-01-28,32,53.90
2005-02-04,28,55.90
2005-02-11,27,54.35
2005-02-18,24,53.84
2005-02-25,32,51.69
2005-03-04,17,53.20
2005-03-11,25,52.25
2005-03-18,29,51.44
2005-03-25,23,
2005-04-01,24,50.60
2005-04-08,24,50.43
2005-04-15,31,48.70
2005-04-22,34,48.68
2005-04-29,23,50.34
2005-05-06,29,51.53
2005-05-13,19,50.10
2005-05-20,24,54.36
2005-05-27,29,54.85
2005-06-03,42,56.84
2005-06-10,27,58.95
2005-06-17,62,68.34
2005-06-24,41,67.87
2005-07-01,36,68.78
2005-07-08,38,72.77
2005-07-15,48,75.89
2005-07-22,26,74.91
2005-07-29,36,76.60
2005-08-05,40,50.40
2005-08-12,43,49.61
2005-08-19,36,47.65
2005-08-26,27,46.01
2005-09-02,27,46.12
2005-09-09,39,48.79
2005-09-16,49,44.17
2005-09-23,42,42.92
2005-09-30,29,43.53
2005-10-07,33,42.59
2005-10-14,31,43.29
2005-10-21,33,44.00
2005-10-28,30,42.64
2005-11-04,41,48.58
2005-11-11,29,47.04
2005-11-18,45,45.91
2005-11-25,38,50.63
2005-12-02,54,48.85
2005-12-09,40,50.16
2005-12-16,70,44.96
2005-12-23,51,44.30
2005-12-30,43,43.48
2006-01-06,51,47.05
2006-01-13,56,47.86
2006-01-20,39,48.81
2006-01-27,40,49.99
2006-02-03,40,48.59
2006-02-10,44,52.55
2006-02-17,45,54.32
2006-02-24,45,54.04
2006-03-03,33,53.38
2006-03-10,38,53.40
2006-03-17,53,57.00
2006-03-24,40,54.38
2006-03-31,52,55.93
2006-04-07,56,58.12
2006-04-14,39,
2006-04-21,53,57.55
2006-04-28,39,56.66
2006-05-05,38,58.32
2006-05-12,42,52.60
2006-05-19,57,53.95
2006-05-26,36,51.86
2006-06-02,29,52.60
2006-06-09,38,50.39
2006-06-16,52,52.45
2006-06-23,46,52.67
2006-06-30,44,54.84
2006-07-07,47,52.28
2006-07-14,39,45.51
2006-07-21,42,43.97
2006-07-28,47,45.53
2006-08-04,49,48.35
2006-08-11,41,46.25
2006-08-18,44,49.02
2006-08-25,48,45.57
2006-09-01,40,47.33
2006-09-08,40,46.31
2006-09-15,68,53.83
2006-09-22,51,54.33
2006-09-29,43,53.56
2006-10-06,41,55.46
2006-10-13,36,57.67
2006-10-20,51,55.18
2006-10-27,46,54.14
2006-11-03,50,52.43
2006-11-10,46,52.31
2006-11-17,41,55.00
2006-11-24,47,55.08
2006-12-01,63,53.70
2006-12-08,54,53.13
2006-12-15,66,50.39
2006-12-22,58,49.93
2006-12-29,54,49.19
2007-01-05,53,50.00
2007-01-12,48,49.66
2007-01-19,39,49.40
2007-01-26,47,49.52
2007-02-02,46,51.19
2007-02-09,34,51.00
2007-02-16,40,50.00
2007-02-23,48,49.30
2007-03-02,50,46.35
2007-03-09,61,48.34
2007-03-16,39,47.85
2007-03-23,42,50.02
2007-03-30,39,48.72
2007-04-06,56,
2007-04-13,51,46.52
2007-04-20,48,48.73
2007-04-27,48,47.42
2007-05-04,53,46.21
2007-05-11,36,46.90
2007-05-18,46,47.87
2007-05-25,39,46.64
2007-06-01,47,49.08
2007-06-08,43,48.15
2007-06-15,42,47.77
2007-06-22,61,44.79
2007-06-29,49,46.67
2007-07-06,46,48.30
2007-07-13,47,47.35
2007-07-20,40,46.38
2007-07-27,48,44.21
2007-08-03,46,43.62
2007-08-10,40,45.09
2007-08-17,45,43.67
2007-08-24,46,44.04
2007-08-31,46,43.95
2007-09-07,41,42.85
2007-09-14,53,44.08
2007-09-21,56,46.76
2007-09-28,46,46.02
2007-10-05,49,49.15
2007-10-12,50,49.71
2007-10-19,36,46.96
2007-10-26,36,48.29
2007-11-02,46,47.24
2007-11-09,48,45.02
2007-11-16,43,46.84
2007-11-23,43,48.02
2007-11-30,48,51.05
2007-12-07,49,52.71
2007-12-14,45,50.34
2007-12-21,60,52.48
2007-12-28,47,52.29
2008-01-04,47,47.61
2008-01-11,51,44.20
2008-01-18,45,44.25
2008-01-25,48,45.28
2008-02-01,44,48.47
2008-02-08,36,46.70
2008-02-15,44,44.62
2008-02-22,42,44.22
2008-02-29,41,43.01
2008-03-07,36,39.87
2008-03-14,46,40.01
2008-03-21,38,
2008-03-28,51,40.56
2008-04-04,55,42.89
2008-04-11,46,41.18
2008-04-18,46,43.83
2008-04-25,49,45.09
2008-05-02,49,44.92
2008-05-09,40,41.93
2008-05-16,43,45.02
2008-05-23,45,43.30
2008-05-30,40,46.69
2008-06-06,43,44.38
2008-06-13,46,45.70
2008-06-20,44,42.07
2008-06-27,40,40.05
2008-07-04,46,
2008-07-11,40,37.61
2008-07-18,47,39.00
2008-07-25,41,38.29
2008-08-01,46,39.75
2008-08-08,46,42.78
2008-08-15,56,46.84
2008-08-22,45,45.14
2008-08-29,38,44.77
2008-09-05,43,44.92
2008-09-12,41,44.49
2008-09-19,56,41.49
2008-09-26,50,39.12
2008-10-03,49,33.68
2008-10-10,55,25.75
2008-10-17,53,24.75
2008-10-24,42,22.51
2008-10-31,52,26.88
2008-11-07,43,25.59
2008-11-14,52,22.06
2008-11-21,51,17.63
2008-11-28,46,20.71
2008-12-05,45,23.05
2008-12-12,51,24.42
2008-12-19,48,28.10
2008-12-26,42,26.70
2009-01-02,49,29.02
2009-01-09,51,28.08
2009-01-16,54,29.34
2009-01-23,49,27.65
2009-01-30,41,28.02
2009-02-06,36,29.84
2009-02-13,47,30.35
2009-02-20,42,27.90
2009-02-27,46,28.82
2009-03-06,44,24.71
2009-03-13,43,29.69
2009-03-20,41,32.30
2009-03-27,49,38.04
2009-04-03,48,40.26
2009-04-10,52,
2009-04-17,50,39.51
2009-04-24,45,39.27
2009-05-01,42,37.20
2009-05-08,48,37.93
2009-05-15,45,35.41
2009-05-22,45,35.18
2009-05-29,38,35.10
2009-06-05,37,37.44
2009-06-12,38,38.55
2009-06-19,42,34.38
2009-06-26,39,33.58
2009-07-03,36,
2009-07-10,41,32.77
2009-07-17,36,36.18
2009-07-24,35,36.55
2009-07-31,44,37.37
2009-08-07,43,39.75
2009-08-14,37,36.44
2009-08-21,48,37.49
2009-08-28,40,37.54
2009-09-04,37,39.41
2009-09-11,36,39.76
2009-09-18,43,37.90
2009-09-25,39,37.30
2009-10-02,37,36.41
2009-10-09,37,38.44
2009-10-16,47,40.73
2009-10-23,41,39.17
2009-10-30,35,38.18
2009-11-06,40,40.24
2009-11-13,43,41.88
2009-11-20,41,43.30
2009-11-27,36,42.83
2009-12-04,39,43.79
2009-12-11,44,44.34
2009-12-18,56,39.50
2009-12-25,41,
2010-01-01,38,
2010-01-08,39,39.91
2010-01-15,36,38.93
2010-01-22,35,37.15
2010-01-29,37,36.65
2010-02-05,35,35.82
2010-02-12,31,35.76
2010-02-19,32,36.34
2010-02-26,34,36.50
2010-03-05,38,38.64
2010-03-12,38,40.12
2010-03-19,38,40.99
2010-03-26,45,43.16
2010-04-02,39,
2010-04-09,39,44.89
2010-04-16,41,45.39
2010-04-23,45,48.58
2010-04-30,45,45.52
2010-05-07,39,41.03
2010-05-14,38,43.07
2010-05-21,40,41.80
2010-05-28,42,42.25
2010-06-04,38,38.88
2010-06-11,37,41.20
2010-06-18,42,37.83
2010-06-25,36,35.16
2010-07-02,41,33.86
2010-07-09,40,34.37
2010-07-16,42,34.33
2010-07-23,39,35.79
2010-07-30,40,34.66
2010-08-06,40,34.91
2010-08-13,42,33.14
2010-08-20,43,32.50
2010-08-27,39,31.86
2010-09-03,38,34.37
2010-09-10,40,33.88
2010-09-17,47,37.15
2010-09-24,39,39.60
2010-10-01,43,40.76
2010-10-08,46,41.09
2010-10-15,50,42.15
2010-10-22,39,42.74
2010-10-29,44,42.98
2010-11-05,39,44.75
2010-11-12,44,43.59
2010-11-19,45,43.54
2010-11-26,39,44.75
2010-12-03,45,42.83
2010-12-10,48,41.80
2010-12-17,65,34.27
2010-12-24,44,
2010-12-31,44,34.29
2011-01-07,46,35.37
2011-01-14,41,35.62
2011-01-21,43,35.11
2011-01-28,38,34.11
2011-02-04,40,35.24
2011-02-11,45,33.60
2011-02-18,50,33.04
2011-02-25,41,32.37
2011-03-04,43,32.69
2011-03-11,40,31.52
2011-03-18,37,31.53
2011-03-25,49,29.22
2011-04-01,43,28.64
2011-04-08,45,29.70
2011-04-15,47,28.85
2011-04-22,44,
2011-04-29,44,31.22
2011-05-06,44,31.00
2011-05-13,49,32.31
2011-05-20,46,31.33
2011-05-27,38,31.59
2011-06-03,45,30.63
2011-06-10,41,28.43
2011-06-17,50,31.01
2011-06-24,47,32.48
2011-07-01,48,32.00
2011-07-08,41,31.82
2011-07-15,43,29.61
2011-07-22,43,29.56
2011-07-29,44,27.60
2011-08-05,46,25.52
2011-08-12,49,23.68
2011-08-19,45,24.06
2011-08-26,40,24.79
2011-09-02,42,24.10
2011-09-09,38,24.50
2011-09-16,49,25.43
2011-09-23,48,24.18
2011-09-30,44,23.30
2011-10-07,43,24.77
2011-10-14,45,25.66
2011-10-21,47,26.08
2011-10-28,44,26.50
2011-11-04,45,27.31
2011-11-11,53,28.09
2011-11-18,50,27.06
2011-11-25,44,25.63
2011-12-02,48,27.60
2011-12-09,43,28.11
2011-12-16,55,23.19
2011-12-23,50,23.28
2011-12-30,53,23.37
2012-01-06,50,24.22
2012-01-13,51,24.29
2012-01-20,52,25.00
2012-01-27,46,25.44
2012-02-03,48,23.86
2012-02-10,49,25.08
2012-02-17,47,25.71
2012-02-24,46,24.99
2012-03-02,46,24.31
2012-03-09,44,24.77
2012-03-16,45,25.52
2012-03-23,46,27.51
2012-03-30,55,23.68
2012-04-06,50,
2012-04-13,63,22.04
2012-04-20,55,21.47
2012-04-27,53,22.33
2012-05-04,53,20.82
2012-05-11,50,19.28
2012-05-18,56,18.02
2012-05-25,58,19.17
2012-06-01,53,18.30
2012-06-08,50,19.98
2012-06-15,52,20.03
2012-06-22,51,19.19
2012-06-29,48,20.96
2012-07-06,52,21.59
2012-07-13,49,19.00
2012-07-20,50,18.23
2012-07-27,53,17.76
2012-08-03,43,17.64
2012-08-10,61,19.21
2012-08-17,53,20.27
2012-08-24,68,17.31
2012-08-31,58,17.74
2012-09-07,47,18.23
2012-09-14,54,18.58
2012-09-21,51,17.81
2012-09-28,54,17.20
2012-10-05,51,18.03
2012-10-12,46,17.66
2012-10-19,48,17.25
2012-10-26,50,14.96
2012-11-02,53,14.69
2012-11-09,53,15.30
2012-11-16,53,13.75
2012-11-23,63,11.70
2012-11-30,62,13.11
2012-12-07,57,11.99
2012-12-14,70,12.05
2012-12-21,59,11.67
2012-12-28,54,11.29
2013-01-04,60,12.11
2013-01-11,60,14.21
2013-01-18,57,14.88
2013-01-25,56,15.78
2013-02-01,60,16.11
2013-02-08,62,15.29
2013-02-15,64,16.87
2013-02-22,58,17.02
2013-03-01,63,17.16
2013-03-08,60,20.17
2013-03-15,56,21.45
2013-03-22,59,22.78
2013-03-29,58,
2013-04-05,62,25.45
2013-04-12,60,24.09
2013-04-19,53,23.25
2013-04-26,58,23.50
2013-05-03,63,26.52
2013-05-10,56,25.37
2013-05-17,59,26.90
2013-05-24,64,26.03
2013-05-31,60,27.55
2013-06-07,54,27.36
2013-06-14,60,26.87
2013-06-21,59,26.77
2013-06-28,60,27.33
2013-07-05,59,29.73
2013-07-12,52,29.73
2013-07-19,58,28.97
2013-07-26,65,29.65
2013-08-02,54,31.30
2013-08-09,55,30.63
2013-08-16,54,30.37
2013-08-23,70,35.08
2013-08-30,54,36.00
2013-09-06,54,37.02
2013-09-13,51,38.28
2013-09-20,61,38.30
2013-09-27,57,37.98
2013-10-04,50,38.15
2013-10-11,61,39.26
2013-10-18,58,42.97
2013-10-25,54,42.77
2013-11-01,54,42.93
2013-11-08,59,42.41
2013-11-15,56,43.69
2013-11-22,70,39.37
2013-11-29,58,40.55
2013-12-06,62,41.05
2013-12-13,56,40.51
2013-12-20,64,39.66
2013-12-27,53,40.17
2014-01-03,55,40.68
2014-01-10,62,37.81
2014-01-17,100,24.43
2014-01-24,77,25.02
2014-01-31,64,23.54
2014-02-07,66,24.55
2014-02-14,64,24.78
2014-02-21,57,24.64
2014-02-28,71,26.63
2014-03-07,65,25.80
2014-03-14,57,25.70
2014-03-21,55,26.96
2014-03-28,63,26.07
2014-04-04,54,27.70
2014-04-11,59,25.51
2014-04-18,60,
2014-04-25,58,24.38
2014-05-02,59,
