Date,BDX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,47.62
2004-02-13,0,48.80
2004-02-20,0,48.29
2004-02-27,0,48.65
2004-03-05,0,48.82
2004-03-12,0,47.40
2004-03-19,0,47.82
2004-03-26,0,47.75
2004-04-02,0,49.84
2004-04-09,0,
2004-04-16,0,49.65
2004-04-23,0,52.81
2004-04-30,0,50.55
2004-05-07,0,50.68
2004-05-14,0,48.41
2004-05-21,0,48.76
2004-05-28,0,50.32
2004-06-04,0,50.38
2004-06-11,0,
2004-06-18,0,52.94
2004-06-25,0,50.61
2004-07-02,0,49.49
2004-07-09,0,48.14
2004-07-16,0,47.93
2004-07-23,0,46.50
2004-07-30,0,47.23
2004-08-06,0,46.62
2004-08-13,0,47.68
2004-08-20,0,48.40
2004-08-27,0,47.34
2004-09-03,0,49.47
2004-09-10,0,50.21
2004-09-17,0,50.90
2004-09-24,0,51.57
2004-10-01,0,52.85
2004-10-08,0,50.80
2004-10-15,0,50.32
2004-10-22,0,50.41
2004-10-29,0,52.50
2004-11-05,0,52.32
2004-11-12,0,54.44
2004-11-19,0,53.86
2004-11-26,0,54.09
2004-12-03,0,56.17
2004-12-10,0,56.30
2004-12-17,0,57.83
2004-12-24,0,
2004-12-31,0,56.80
2005-01-07,0,54.86
2005-01-14,0,54.16
2005-01-21,0,54.08
2005-01-28,0,56.40
2005-02-04,0,59.28
2005-02-11,0,58.96
2005-02-18,0,58.70
2005-02-25,0,59.96
2005-03-04,0,59.40
2005-03-11,0,58.89
2005-03-18,0,59.15
2005-03-25,0,
2005-04-01,49,57.56
2005-04-08,0,58.44
2005-04-15,0,57.08
2005-04-22,0,57.15
2005-04-29,0,58.52
2005-05-06,0,59.50
2005-05-13,0,58.64
2005-05-20,0,58.72
2005-05-27,0,57.40
2005-06-03,0,56.40
2005-06-10,0,55.67
2005-06-17,0,53.73
2005-06-24,0,51.27
2005-07-01,0,52.58
2005-07-08,0,52.33
2005-07-15,0,52.53
2005-07-22,0,54.91
2005-07-29,0,55.37
2005-08-05,0,54.06
2005-08-12,0,54.31
2005-08-19,0,53.54
2005-08-26,0,52.44
2005-09-02,43,53.65
2005-09-09,0,54.00
2005-09-16,0,53.83
2005-09-23,0,52.75
2005-09-30,0,52.43
2005-10-07,0,51.83
2005-10-14,0,51.42
2005-10-21,0,50.82
2005-10-28,32,50.53
2005-11-04,38,57.50
2005-11-11,31,58.48
2005-11-18,31,59.29
2005-11-25,31,59.10
2005-12-02,0,58.68
2005-12-09,0,58.13
2005-12-16,0,59.42
2005-12-23,0,60.72
2005-12-30,0,60.08
2006-01-06,41,62.05
2006-01-13,41,61.43
2006-01-20,41,58.97
2006-01-27,41,64.20
2006-02-03,27,63.27
2006-02-10,30,64.33
2006-02-17,33,65.36
2006-02-24,36,65.45
2006-03-03,39,64.43
2006-03-10,43,62.88
2006-03-17,32,64.00
2006-03-24,32,63.13
2006-03-31,30,61.58
2006-04-07,30,63.56
2006-04-14,32,
2006-04-21,34,64.78
2006-04-28,31,63.04
2006-05-05,31,62.63
2006-05-12,25,61.41
2006-05-19,30,60.09
2006-05-26,35,61.20
2006-06-02,41,60.87
2006-06-09,40,59.52
2006-06-16,28,61.06
2006-06-23,38,60.05
2006-06-30,35,61.13
2006-07-07,36,60.07
2006-07-14,51,58.86
2006-07-21,45,61.62
2006-07-28,45,65.41
2006-08-04,40,66.00
2006-08-11,34,66.32
2006-08-18,47,68.51
2006-08-25,42,68.95
2006-09-01,32,70.20
2006-09-08,36,68.60
2006-09-15,31,69.08
2006-09-22,26,68.91
2006-09-29,30,70.67
2006-10-06,26,71.82
2006-10-13,47,73.58
2006-10-20,29,72.19
2006-10-27,33,70.69
2006-11-03,33,70.52
2006-11-10,32,71.18
2006-11-17,33,71.24
2006-11-24,20,71.02
2006-12-01,36,71.70
2006-12-08,42,72.88
2006-12-15,37,71.98
2006-12-22,42,70.89
2006-12-29,37,70.15
2007-01-05,36,70.00
2007-01-12,43,71.97
2007-01-19,34,73.99
2007-01-26,30,74.48
2007-02-02,38,77.13
2007-02-09,50,77.50
2007-02-16,26,77.93
2007-02-23,39,77.58
2007-03-02,28,74.87
2007-03-09,32,75.00
2007-03-16,44,74.40
2007-03-23,38,75.37
2007-03-30,40,76.89
2007-04-06,35,
2007-04-13,39,78.28
2007-04-20,30,79.05
2007-04-27,31,78.66
2007-05-04,53,79.78
2007-05-11,55,78.28
2007-05-18,55,77.79
2007-05-25,41,77.13
2007-06-01,35,76.02
2007-06-08,35,75.38
2007-06-15,36,76.24
2007-06-22,50,75.19
2007-06-29,48,74.50
2007-07-06,45,75.16
2007-07-13,57,76.09
2007-07-20,51,74.24
2007-07-27,47,76.73
2007-08-03,53,76.20
2007-08-10,35,77.74
2007-08-17,38,76.89
2007-08-24,65,77.49
2007-08-31,49,76.94
2007-09-07,53,76.77
2007-09-14,47,78.80
2007-09-21,63,81.86
2007-09-28,61,82.05
2007-10-05,49,83.31
2007-10-12,53,83.70
2007-10-19,54,81.74
2007-10-26,50,84.33
2007-11-02,49,82.78
2007-11-09,62,81.45
2007-11-16,58,83.48
2007-11-23,64,83.52
2007-11-30,79,82.73
2007-12-07,81,82.68
2007-12-14,58,82.46
2007-12-21,70,84.32
2007-12-28,76,84.95
2008-01-04,96,87.76
2008-01-11,100,91.21
2008-01-18,84,87.62
2008-01-25,78,86.60
2008-02-01,60,87.17
2008-02-08,68,89.95
2008-02-15,62,90.36
2008-02-22,63,89.91
2008-02-29,71,90.42
2008-03-07,76,86.10
2008-03-14,75,85.38
2008-03-21,72,
2008-03-28,94,87.23
2008-04-04,89,86.07
2008-04-11,71,85.05
2008-04-18,68,84.32
2008-04-25,53,88.20
2008-05-02,49,88.27
2008-05-09,73,86.99
2008-05-16,65,84.65
2008-05-23,58,83.58
2008-05-30,72,84.45
2008-06-06,84,82.53
2008-06-13,64,82.56
2008-06-20,54,79.04
2008-06-27,65,79.80
2008-07-04,96,
2008-07-11,91,81.17
2008-07-18,99,84.63
2008-07-25,82,85.01
2008-08-01,69,83.86
2008-08-08,66,87.41
2008-08-15,64,87.55
2008-08-22,56,88.49
2008-08-29,62,87.38
2008-09-05,55,85.04
2008-09-12,65,81.96
2008-09-19,60,82.50
2008-09-26,74,82.36
2008-10-03,60,80.24
2008-10-10,57,67.50
2008-10-17,67,71.34
2008-10-24,73,66.94
2008-10-31,60,69.40
2008-11-07,55,70.73
2008-11-14,59,67.69
2008-11-21,65,61.13
2008-11-28,62,63.53
2008-12-05,54,65.25
2008-12-12,56,63.99
2008-12-19,50,66.74
2008-12-26,47,66.41
2009-01-02,59,69.86
2009-01-09,65,71.28
2009-01-16,54,72.52
2009-01-23,61,71.43
2009-01-30,53,72.67
2009-02-06,62,74.09
2009-02-13,62,70.64
2009-02-20,60,69.61
2009-02-27,60,61.89
2009-03-06,45,64.15
2009-03-13,60,65.18
2009-03-20,53,64.57
2009-03-27,52,68.20
2009-04-03,64,65.97
2009-04-10,53,
2009-04-17,56,68.28
2009-04-24,50,62.47
2009-05-01,64,61.18
2009-05-08,49,62.82
2009-05-15,58,65.16
2009-05-22,71,65.90
2009-05-29,48,67.68
2009-06-05,56,67.32
2009-06-12,48,68.35
2009-06-19,55,69.15
2009-06-26,68,70.94
2009-07-03,44,
2009-07-10,61,67.73
2009-07-17,58,69.49
2009-07-24,39,71.74
2009-07-31,55,65.15
2009-08-07,55,64.42
2009-08-14,57,66.39
2009-08-21,59,68.85
2009-08-28,58,70.51
2009-09-04,52,70.30
2009-09-11,54,71.34
2009-09-18,56,70.26
2009-09-25,59,68.50
2009-10-02,58,67.30
2009-10-09,51,68.75
2009-10-16,49,69.26
2009-10-23,60,67.50
2009-10-30,48,68.36
2009-11-06,62,70.54
2009-11-13,50,72.72
2009-11-20,60,73.70
2009-11-27,68,74.72
2009-12-04,59,78.05
2009-12-11,69,77.45
2009-12-18,57,74.86
2009-12-25,54,
2010-01-01,63,
2010-01-08,67,77.91
2010-01-15,49,76.29
2010-01-22,60,75.08
2010-01-29,59,75.37
2010-02-05,52,74.89
2010-02-12,62,75.84
2010-02-19,56,77.54
2010-02-26,55,77.87
2010-03-05,47,78.60
2010-03-12,60,78.37
2010-03-19,55,79.10
2010-03-26,48,78.51
2010-04-02,59,
2010-04-09,63,78.91
2010-04-16,56,77.74
2010-04-23,44,77.55
2010-04-30,54,76.37
2010-05-07,56,73.66
2010-05-14,50,73.26
2010-05-21,54,71.49
2010-05-28,63,71.30
2010-06-04,47,70.08
2010-06-11,60,69.69
2010-06-18,58,71.32
2010-06-25,55,69.05
2010-07-02,59,67.97
2010-07-09,59,69.46
2010-07-16,51,67.75
2010-07-23,49,66.89
2010-07-30,47,68.80
2010-08-06,44,71.68
2010-08-13,51,70.96
2010-08-20,53,70.82
2010-08-27,49,69.72
2010-09-03,60,70.62
2010-09-10,54,71.27
2010-09-17,52,73.48
2010-09-24,52,74.28
2010-10-01,58,74.30
2010-10-08,58,74.75
2010-10-15,70,76.13
2010-10-22,58,76.40
2010-10-29,50,75.52
2010-11-05,51,77.54
2010-11-12,50,77.27
2010-11-19,50,77.84
2010-11-26,54,78.16
2010-12-03,61,81.53
2010-12-10,60,82.03
2010-12-17,59,85.21
2010-12-24,44,
2010-12-31,53,84.52
2011-01-07,65,83.23
2011-01-14,60,82.70
2011-01-21,62,83.20
2011-01-28,53,82.56
2011-02-04,55,84.50
2011-02-11,66,81.29
2011-02-18,60,81.28
2011-02-25,39,80.17
2011-03-04,44,80.21
2011-03-11,50,78.87
2011-03-18,56,76.90
2011-03-25,51,78.65
2011-04-01,46,80.57
2011-04-08,48,80.76
2011-04-15,38,83.45
2011-04-22,38,
2011-04-29,44,85.94
2011-05-06,44,86.42
2011-05-13,45,88.11
2011-05-20,45,88.90
2011-05-27,45,87.04
2011-06-03,41,85.76
2011-06-10,61,84.92
2011-06-17,50,85.13
2011-06-24,40,84.84
2011-07-01,46,89.30
2011-07-08,53,89.30
2011-07-15,42,87.09
2011-07-22,43,87.16
2011-07-29,40,83.61
2011-08-05,44,79.23
2011-08-12,47,80.28
2011-08-19,44,76.92
2011-08-26,41,79.73
2011-09-02,61,78.49
2011-09-09,55,76.02
2011-09-16,46,77.25
2011-09-23,54,73.74
2011-09-30,56,73.32
2011-10-07,49,72.86
2011-10-14,47,74.29
2011-10-21,50,76.43
2011-10-28,45,79.64
2011-11-04,49,72.68
2011-11-11,49,74.12
2011-11-18,48,73.15
2011-11-25,50,71.11
2011-12-02,57,73.64
2011-12-09,60,72.92
2011-12-16,49,70.65
2011-12-23,46,74.44
2011-12-30,46,74.72
2012-01-06,51,73.03
2012-01-13,49,74.91
2012-01-20,54,78.15
2012-01-27,49,79.09
2012-02-03,56,79.91
2012-02-10,64,76.42
2012-02-17,53,77.40
2012-02-24,50,77.28
2012-03-02,37,76.67
2012-03-09,50,76.82
2012-03-16,46,78.11
2012-03-23,44,76.40
2012-03-30,49,77.65
2012-04-06,39,
2012-04-13,47,74.79
2012-04-20,42,76.43
2012-04-27,39,77.97
2012-05-04,40,76.69
2012-05-11,32,76.76
2012-05-18,33,74.19
2012-05-25,41,74.42
2012-06-01,41,72.20
2012-06-08,46,73.26
2012-06-15,38,73.59
2012-06-22,34,73.99
2012-06-29,36,74.75
2012-07-06,45,75.14
2012-07-13,40,74.42
2012-07-20,38,74.79
2012-07-27,31,75.94
2012-08-03,29,74.35
2012-08-10,28,75.89
2012-08-17,38,76.55
2012-08-24,32,75.93
2012-08-31,34,75.98
2012-09-07,38,77.88
2012-09-14,50,79.16
2012-09-21,47,79.32
2012-09-28,38,78.56
2012-10-05,44,79.45
2012-10-12,45,76.62
2012-10-19,51,75.65
2012-10-26,41,75.34
2012-11-02,42,75.67
2012-11-09,44,75.23
2012-11-16,47,75.59
2012-11-23,48,77.73
2012-11-30,41,76.67
2012-12-07,43,77.63
2012-12-14,40,77.72
2012-12-21,47,78.86
2012-12-28,35,77.34
2013-01-04,42,80.35
2013-01-11,49,81.76
2013-01-18,42,83.94
2013-01-25,44,84.59
2013-02-01,48,85.15
2013-02-08,38,88.25
2013-02-15,56,88.49
2013-02-22,47,87.91
2013-03-01,43,88.75
2013-03-08,44,88.84
2013-03-15,42,92.30
2013-03-22,41,92.72
2013-03-29,43,
2013-04-05,40,96.11
2013-04-12,34,96.36
2013-04-19,39,94.56
2013-04-26,39,94.62
2013-05-03,35,97.43
2013-05-10,33,99.61
2013-05-17,38,101.78
2013-05-24,38,100.83
2013-05-31,37,98.62
2013-06-07,36,98.69
2013-06-14,36,98.64
2013-06-21,36,96.03
2013-06-28,35,98.83
2013-07-05,36,98.67
2013-07-12,36,102.01
2013-07-19,36,103.64
2013-07-26,29,103.25
2013-08-02,28,101.51
2013-08-09,27,99.94
2013-08-16,23,97.35
2013-08-23,35,99.02
2013-08-30,35,97.38
2013-09-06,36,99.38
2013-09-13,40,99.99
2013-09-20,42,102.06
2013-09-27,37,99.89
2013-10-04,39,100.42
2013-10-11,46,102.81
2013-10-18,41,104.81
2013-10-25,32,105.55
2013-11-01,29,105.17
2013-11-08,41,107.71
2013-11-15,37,109.12
2013-11-22,40,109.11
2013-11-29,43,108.59
2013-12-06,43,108.35
2013-12-13,44,105.45
2013-12-20,35,108.88
2013-12-27,30,110.35
2014-01-03,34,109.37
2014-01-10,38,112.54
2014-01-17,41,111.31
2014-01-24,38,107.75
2014-01-31,35,108.12
2014-02-07,43,110.12
2014-02-14,31,114.40
2014-02-21,35,114.98
2014-02-28,34,115.22
2014-03-07,33,115.57
2014-03-14,36,115.35
2014-03-21,36,114.57
2014-03-28,33,115.54
2014-04-04,36,116.34
2014-04-11,32,111.18
2014-04-18,39,
2014-04-25,34,112.56
2014-05-02,35,
