Date,BIIB,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,43.50
2004-02-13,0,43.53
2004-02-20,0,56.87
2004-02-27,0,55.45
2004-03-05,0,59.21
2004-03-12,0,54.70
2004-03-19,0,52.88
2004-03-26,0,53.18
2004-04-02,0,57.97
2004-04-09,0,
2004-04-16,0,59.46
2004-04-23,0,60.68
2004-04-30,0,59.00
2004-05-07,0,56.84
2004-05-14,0,58.50
2004-05-21,0,61.40
2004-05-28,0,62.15
2004-06-04,0,61.45
2004-06-11,0,
2004-06-18,0,58.04
2004-06-25,0,62.37
2004-07-02,0,62.01
2004-07-09,0,61.51
2004-07-16,0,57.34
2004-07-23,0,55.39
2004-07-30,0,60.00
2004-08-06,0,55.97
2004-08-13,0,57.45
2004-08-20,0,59.77
2004-08-27,0,60.46
2004-09-03,0,60.47
2004-09-10,0,62.09
2004-09-17,0,61.72
2004-09-24,0,59.67
2004-10-01,0,62.87
2004-10-08,0,58.95
2004-10-15,0,58.02
2004-10-22,0,56.78
2004-10-29,0,58.16
2004-11-05,0,60.86
2004-11-12,0,59.04
2004-11-19,0,55.34
2004-11-26,0,58.43
2004-12-03,0,61.56
2004-12-10,0,65.53
2004-12-17,0,64.80
2004-12-24,0,
2004-12-31,0,66.61
2005-01-07,0,66.09
2005-01-14,0,66.58
2005-01-21,0,64.83
2005-01-28,0,62.20
2005-02-04,0,66.95
2005-02-11,0,66.70
2005-02-18,0,66.97
2005-02-25,0,67.28
2005-03-04,100,37.53
2005-03-11,35,38.03
2005-03-18,35,38.26
2005-03-25,0,
2005-04-01,0,34.74
2005-04-08,0,36.08
2005-04-15,0,35.79
2005-04-22,0,35.38
2005-04-29,0,36.24
2005-05-06,0,38.45
2005-05-13,0,38.90
2005-05-20,29,39.06
2005-05-27,28,39.64
2005-06-03,28,36.40
2005-06-10,28,35.01
2005-06-17,0,35.94
2005-06-24,0,34.08
2005-07-01,0,34.08
2005-07-08,0,35.43
2005-07-15,0,37.82
2005-07-22,0,38.46
2005-07-29,0,39.29
2005-08-05,0,38.12
2005-08-12,0,41.58
2005-08-19,0,40.24
2005-08-26,0,41.05
2005-09-02,0,42.42
2005-09-09,0,41.86
2005-09-16,0,41.24
2005-09-23,0,38.56
2005-09-30,0,39.48
2005-10-07,0,37.71
2005-10-14,0,38.02
2005-10-21,24,39.09
2005-10-28,0,38.49
2005-11-04,0,41.98
2005-11-11,0,44.91
2005-11-18,0,45.33
2005-11-25,0,44.49
2005-12-02,0,43.45
2005-12-09,0,44.67
2005-12-16,0,45.31
2005-12-23,27,45.52
2005-12-30,0,45.28
2006-01-06,0,47.18
2006-01-13,0,46.21
2006-01-20,0,44.93
2006-01-27,0,45.23
2006-02-03,0,44.92
2006-02-10,0,44.27
2006-02-17,0,47.06
2006-02-24,20,49.58
2006-03-03,27,45.50
2006-03-10,59,47.78
2006-03-17,19,49.19
2006-03-24,19,46.46
2006-03-31,20,47.10
2006-04-07,21,44.37
2006-04-14,20,
2006-04-21,19,44.28
2006-04-28,19,44.85
2006-05-05,19,46.92
2006-05-12,20,45.96
2006-05-19,21,45.69
2006-05-26,22,47.00
2006-06-02,22,47.71
2006-06-09,22,46.00
2006-06-16,17,46.27
2006-06-23,17,44.99
2006-06-30,17,46.32
2006-07-07,17,45.66
2006-07-14,17,43.24
2006-07-21,17,40.73
2006-07-28,17,41.84
2006-08-04,0,42.39
2006-08-11,0,41.45
2006-08-18,0,42.91
2006-08-25,0,44.28
2006-09-01,0,44.25
2006-09-08,0,43.98
2006-09-15,0,43.90
2006-09-22,0,44.23
2006-09-29,0,44.68
2006-10-06,0,45.66
2006-10-13,0,45.84
2006-10-20,0,45.01
2006-10-27,0,44.02
2006-11-03,20,47.52
2006-11-10,0,47.50
2006-11-17,0,50.79
2006-11-24,0,51.51
2006-12-01,0,52.16
2006-12-08,0,50.67
2006-12-15,22,51.36
2006-12-22,12,49.03
2006-12-29,12,49.19
2007-01-05,12,49.76
2007-01-12,12,50.97
2007-01-19,12,51.84
2007-01-26,15,47.52
2007-02-02,13,49.30
2007-02-09,15,49.50
2007-02-16,17,48.25
2007-02-23,13,46.90
2007-03-02,14,43.66
2007-03-09,16,43.30
2007-03-16,16,43.55
2007-03-23,14,45.90
2007-03-30,14,44.38
2007-04-06,11,
2007-04-13,11,45.57
2007-04-20,11,46.64
2007-04-27,11,47.99
2007-05-04,13,46.91
2007-05-11,14,46.64
2007-05-18,14,46.38
2007-05-25,15,49.47
2007-06-01,16,52.29
2007-06-08,15,51.53
2007-06-15,13,51.33
2007-06-22,11,51.58
2007-06-29,18,53.50
2007-07-06,15,54.50
2007-07-13,15,55.92
2007-07-20,16,54.94
2007-07-27,18,57.01
2007-08-03,19,56.65
2007-08-10,12,57.85
2007-08-17,12,60.20
2007-08-24,12,62.89
2007-08-31,18,63.82
2007-09-07,13,65.78
2007-09-14,11,65.42
2007-09-21,11,67.39
2007-09-28,12,66.33
2007-10-05,17,67.63
2007-10-12,22,69.43
2007-10-19,53,80.22
2007-10-26,17,76.72
2007-11-02,17,73.98
2007-11-09,19,72.29
2007-11-16,24,70.04
2007-11-23,16,69.51
2007-11-30,15,74.12
2007-12-07,14,74.94
2007-12-14,43,58.79
2007-12-21,19,57.67
2007-12-28,20,57.84
2008-01-04,22,55.22
2008-01-11,22,59.02
2008-01-18,21,59.91
2008-01-25,16,58.92
2008-02-01,19,61.76
2008-02-08,21,61.50
2008-02-15,20,62.20
2008-02-22,11,60.34
2008-02-29,14,58.36
2008-03-07,11,56.20
2008-03-14,13,60.33
2008-03-21,13,
2008-03-28,15,60.73
2008-04-04,9,64.01
2008-04-11,15,64.22
2008-04-18,18,65.00
2008-04-25,10,65.12
2008-05-02,11,62.31
2008-05-09,10,62.07
2008-05-16,10,63.50
2008-05-23,9,61.02
2008-05-30,9,62.75
2008-06-06,10,62.42
2008-06-13,10,59.90
2008-06-20,11,58.01
2008-06-27,11,57.04
2008-07-04,12,
2008-07-11,8,62.20
2008-07-18,8,64.65
2008-07-25,20,69.50
2008-08-01,30,50.01
2008-08-08,19,49.90
2008-08-15,15,54.65
2008-08-22,13,52.38
2008-08-29,11,50.93
2008-09-05,12,48.59
2008-09-12,7,48.70
2008-09-19,13,49.98
2008-09-26,16,49.77
2008-10-03,13,50.50
2008-10-10,17,42.78
2008-10-17,15,45.45
2008-10-24,16,41.42
2008-10-31,11,42.55
2008-11-07,13,46.35
2008-11-14,12,43.52
2008-11-21,11,39.64
2008-11-28,6,42.31
2008-12-05,10,44.25
2008-12-12,14,47.00
2008-12-19,13,46.75
2008-12-26,9,47.31
2009-01-02,9,48.49
2009-01-09,9,48.25
2009-01-16,16,51.05
2009-01-23,12,47.42
2009-01-30,11,48.65
2009-02-06,18,52.48
2009-02-13,11,52.42
2009-02-20,9,50.78
2009-02-27,11,46.04
2009-03-06,9,44.23
2009-03-13,9,48.50
2009-03-20,8,49.97
2009-03-27,10,52.28
2009-04-03,9,50.32
2009-04-10,18,
2009-04-17,17,50.09
2009-04-24,14,46.08
2009-05-01,10,46.26
2009-05-08,9,48.60
2009-05-15,11,49.07
2009-05-22,6,50.39
2009-05-29,10,51.79
2009-06-05,10,52.12
2009-06-12,6,51.38
2009-06-19,14,51.67
2009-06-26,10,50.07
2009-07-03,10,
2009-07-10,9,44.75
2009-07-17,10,46.07
2009-07-24,12,48.98
2009-07-31,7,47.55
2009-08-07,7,47.28
2009-08-14,7,48.78
2009-08-21,7,49.97
2009-08-28,7,49.93
2009-09-04,7,51.01
2009-09-11,7,50.84
2009-09-18,9,50.00
2009-09-25,7,50.11
2009-10-02,7,48.89
2009-10-09,10,49.01
2009-10-16,5,49.20
2009-10-23,9,43.81
2009-10-30,8,42.13
2009-11-06,7,45.76
2009-11-13,7,46.72
2009-11-20,7,46.38
2009-11-27,6,46.92
2009-12-04,10,48.18
2009-12-11,7,48.65
2009-12-18,8,50.07
2009-12-25,11,
2010-01-01,9,
2010-01-08,10,54.08
2010-01-15,8,54.18
2010-01-22,6,53.06
2010-01-29,10,53.74
2010-02-05,8,53.53
2010-02-12,9,55.21
2010-02-19,6,56.61
2010-02-26,9,55.01
2010-03-05,8,57.21
2010-03-12,9,58.76
2010-03-19,12,59.63
2010-03-26,7,58.15
2010-04-02,7,
2010-04-09,7,56.52
2010-04-16,7,53.64
2010-04-23,11,52.59
2010-04-30,9,53.29
2010-05-07,7,50.39
2010-05-14,7,50.13
2010-05-21,6,48.98
2010-05-28,6,47.43
2010-06-04,5,47.84
2010-06-11,5,46.22
2010-06-18,7,49.86
2010-06-25,7,49.57
2010-07-02,9,49.42
2010-07-09,12,51.71
2010-07-16,7,51.86
2010-07-23,10,53.47
2010-07-30,13,55.88
2010-08-06,7,57.66
2010-08-13,10,55.94
2010-08-20,8,55.38
2010-08-27,6,54.60
2010-09-03,6,56.24
2010-09-10,5,57.68
2010-09-17,7,57.92
2010-09-24,7,56.42
2010-10-01,5,56.53
2010-10-08,4,57.59
2010-10-15,4,57.66
2010-10-22,6,58.75
2010-10-29,8,62.71
2010-11-05,11,62.78
2010-11-12,6,64.50
2010-11-19,5,64.91
2010-11-26,7,65.33
2010-12-03,7,67.00
2010-12-10,6,66.30
2010-12-17,5,68.14
2010-12-24,5,
2010-12-31,5,67.05
2011-01-07,5,67.38
2011-01-14,5,66.57
2011-01-21,4,66.77
2011-01-28,7,65.08
2011-02-04,4,65.93
2011-02-11,4,65.83
2011-02-18,6,67.64
2011-02-25,7,67.78
2011-03-04,10,71.15
2011-03-11,8,71.00
2011-03-18,9,69.53
2011-03-25,5,71.20
2011-04-01,9,72.96
2011-04-08,7,73.29
2011-04-15,9,82.96
2011-04-22,18,
2011-04-29,15,97.65
2011-05-06,6,96.12
2011-05-13,12,96.61
2011-05-20,11,97.11
2011-05-27,10,93.21
2011-06-03,7,94.40
2011-06-10,12,91.21
2011-06-17,6,94.75
2011-06-24,6,103.42
2011-07-01,13,108.50
2011-07-08,6,107.39
2011-07-15,7,104.00
2011-07-22,5,105.56
2011-07-29,10,101.87
2011-08-05,9,93.18
2011-08-12,11,90.98
2011-08-19,8,90.05
2011-08-26,4,92.29
2011-09-02,5,91.58
2011-09-09,6,90.24
2011-09-16,5,100.89
2011-09-23,9,93.90
2011-09-30,5,93.15
2011-10-07,11,100.01
2011-10-14,8,103.08
2011-10-21,8,108.84
2011-10-28,15,118.72
2011-11-04,6,113.49
2011-11-11,7,113.38
2011-11-18,5,107.65
2011-11-25,6,109.20
2011-12-02,6,113.24
2011-12-09,7,112.95
2011-12-16,5,110.29
2011-12-23,6,110.79
2011-12-30,8,110.05
2012-01-06,8,115.50
2012-01-13,8,116.03
2012-01-20,6,118.14
2012-01-27,8,118.56
2012-02-03,11,121.88
2012-02-10,8,118.14
2012-02-17,8,116.45
2012-02-24,4,116.39
2012-03-02,10,118.89
2012-03-09,7,120.61
2012-03-16,6,120.04
2012-03-23,6,120.96
2012-03-30,6,126.00
2012-04-06,5,
2012-04-13,9,125.34
2012-04-20,8,127.23
2012-04-27,5,133.16
2012-05-04,9,130.97
2012-05-11,8,136.71
2012-05-18,7,131.58
2012-05-25,6,131.56
2012-06-01,7,126.73
2012-06-08,6,133.52
2012-06-15,8,140.01
2012-06-22,9,141.74
2012-06-29,8,144.38
2012-07-06,6,142.46
2012-07-13,6,144.61
2012-07-20,7,142.21
2012-07-27,8,149.47
2012-08-03,6,145.06
2012-08-10,10,145.51
2012-08-17,7,145.09
2012-08-24,5,147.03
2012-08-31,7,146.59
2012-09-07,5,152.50
2012-09-14,8,154.24
2012-09-21,9,154.57
2012-09-28,9,149.21
2012-10-05,10,152.53
2012-10-12,10,147.20
2012-10-19,9,145.65
2012-10-26,9,142.93
2012-11-02,8,138.41
2012-11-09,7,138.05
2012-11-16,5,141.24
2012-11-23,6,149.87
2012-11-30,7,149.09
2012-12-07,8,151.29
2012-12-14,7,151.25
2012-12-21,7,149.91
2012-12-28,4,146.05
2013-01-04,9,145.93
2013-01-11,7,143.79
2013-01-18,4,144.28
2013-01-25,7,146.20
2013-02-01,7,157.30
2013-02-08,9,164.44
2013-02-15,7,168.74
2013-02-22,7,164.40
2013-03-01,8,168.70
2013-03-08,7,172.38
2013-03-15,6,176.78
2013-03-22,10,178.00
2013-03-29,20,
2013-04-05,17,193.31
2013-04-12,14,207.01
2013-04-19,14,203.27
2013-04-26,17,213.59
2013-05-03,15,218.85
2013-05-10,15,213.22
2013-05-17,16,226.85
2013-05-24,15,235.24
2013-05-31,13,237.49
2013-06-07,13,225.02
2013-06-14,16,211.99
2013-06-21,11,199.07
2013-06-28,13,215.20
2013-07-05,10,221.65
2013-07-12,8,226.34
2013-07-19,8,230.27
2013-07-26,16,223.23
2013-08-02,11,227.76
2013-08-09,11,212.35
2013-08-16,12,206.89
2013-08-23,9,211.38
2013-08-30,10,213.02
2013-09-06,11,225.18
2013-09-13,12,234.71
2013-09-20,12,248.13
2013-09-27,8,244.82
2013-10-04,12,240.30
2013-10-11,12,234.80
2013-10-18,11,244.90
2013-10-25,11,252.26
2013-11-01,11,243.10
2013-11-08,9,236.69
2013-11-15,10,245.09
2013-11-22,20,285.62
2013-11-29,17,290.97
2013-12-06,15,290.90
2013-12-13,9,275.32
2013-12-20,12,283.34
2013-12-27,7,277.17
2014-01-03,11,277.40
2014-01-10,17,299.31
2014-01-17,20,297.48
2014-01-24,19,303.60
2014-01-31,19,312.64
2014-02-07,20,315.54
2014-02-14,17,328.29
2014-02-21,19,347.11
2014-02-28,20,340.68
2014-03-07,17,328.75
2014-03-14,18,332.49
2014-03-21,25,318.53
2014-03-28,25,294.12
2014-04-04,24,288.27
2014-04-11,22,274.00
2014-04-18,21,
2014-04-25,24,285.81
2014-05-02,17,
