Date,BK,Price
2004-01-09,74,
2004-01-16,77,
2004-01-23,74,
2004-01-30,76,
2004-02-06,74,31.35
2004-02-13,61,32.59
2004-02-20,63,32.08
2004-02-27,65,33.00
2004-03-05,72,33.42
2004-03-12,83,32.08
2004-03-19,75,32.70
2004-03-26,82,31.58
2004-04-02,66,32.24
2004-04-09,70,
2004-04-16,63,31.13
2004-04-23,72,30.30
2004-04-30,70,29.14
2004-05-07,71,29.42
2004-05-14,68,29.25
2004-05-21,70,29.33
2004-05-28,66,30.07
2004-06-04,69,30.01
2004-06-11,67,
2004-06-18,61,28.96
2004-06-25,57,29.42
2004-07-02,66,29.30
2004-07-09,71,28.45
2004-07-16,47,28.79
2004-07-23,64,28.10
2004-07-30,67,28.73
2004-08-06,66,28.05
2004-08-13,75,27.55
2004-08-20,69,29.56
2004-08-27,59,29.64
2004-09-03,73,29.88
2004-09-10,69,29.98
2004-09-17,75,29.99
2004-09-24,67,30.02
2004-10-01,71,29.65
2004-10-08,70,30.63
2004-10-15,68,30.95
2004-10-22,76,31.04
2004-10-29,87,32.46
2004-11-05,63,33.92
2004-11-12,77,33.39
2004-11-19,75,32.38
2004-11-26,66,32.93
2004-12-03,78,33.10
2004-12-10,85,32.97
2004-12-17,90,33.17
2004-12-24,94,
2004-12-31,77,33.42
2005-01-07,80,33.31
2005-01-14,78,32.50
2005-01-21,87,30.85
2005-01-28,76,29.51
2005-02-04,76,30.08
2005-02-11,81,30.53
2005-02-18,86,30.03
2005-02-25,72,30.39
2005-03-04,80,31.21
2005-03-11,79,30.20
2005-03-18,77,30.39
2005-03-25,78,
2005-04-01,69,28.89
2005-04-08,77,29.27
2005-04-15,76,28.10
2005-04-22,77,27.27
2005-04-29,73,27.94
2005-05-06,74,28.00
2005-05-13,72,27.85
2005-05-20,73,29.03
2005-05-27,68,29.00
2005-06-03,81,28.84
2005-06-10,74,29.01
2005-06-17,80,29.48
2005-06-24,71,29.06
2005-07-01,72,29.00
2005-07-08,66,28.80
2005-07-15,72,29.66
2005-07-22,69,31.13
2005-07-29,67,30.78
2005-08-05,70,30.38
2005-08-12,72,30.36
2005-08-19,73,31.00
2005-08-26,82,30.48
2005-09-02,71,30.96
2005-09-09,80,30.66
2005-09-16,74,30.52
2005-09-23,80,29.72
2005-09-30,73,29.41
2005-10-07,68,29.05
2005-10-14,82,29.77
2005-10-21,79,30.05
2005-10-28,78,30.94
2005-11-04,73,31.25
2005-11-11,71,32.62
2005-11-18,77,32.39
2005-11-25,77,32.90
2005-12-02,81,32.87
2005-12-09,85,32.26
2005-12-16,81,32.01
2005-12-23,83,32.47
2005-12-30,78,31.85
2006-01-06,80,33.26
2006-01-13,86,33.33
2006-01-20,77,31.47
2006-01-27,77,31.59
2006-02-03,74,32.25
2006-02-10,74,32.94
2006-02-17,68,34.59
2006-02-24,72,34.40
2006-03-03,73,34.38
2006-03-10,73,34.30
2006-03-17,86,35.52
2006-03-24,74,35.00
2006-03-31,72,36.04
2006-04-07,77,36.83
2006-04-14,74,
2006-04-21,92,34.22
2006-04-28,87,35.15
2006-05-05,84,35.20
2006-05-12,66,34.08
2006-05-19,71,33.13
2006-05-26,77,33.20
2006-06-02,69,33.43
2006-06-09,66,32.40
2006-06-16,66,31.80
2006-06-23,67,31.90
2006-06-30,72,32.20
2006-07-07,61,32.16
2006-07-14,66,31.46
2006-07-21,75,33.33
2006-07-28,63,33.85
2006-08-04,72,33.78
2006-08-11,79,33.66
2006-08-18,79,34.23
2006-08-25,82,33.42
2006-09-01,78,33.93
2006-09-08,78,33.86
2006-09-15,75,35.11
2006-09-22,78,34.81
2006-09-29,81,35.26
2006-10-06,75,35.46
2006-10-13,65,35.38
2006-10-20,74,33.58
2006-10-27,71,34.36
2006-11-03,80,33.93
2006-11-10,72,34.90
2006-11-17,72,35.86
2006-11-24,74,35.80
2006-12-01,78,35.48
2006-12-08,77,39.15
2006-12-15,86,39.55
2006-12-22,87,39.35
2006-12-29,78,39.37
2007-01-05,79,39.42
2007-01-12,81,40.33
2007-01-19,79,41.02
2007-01-26,73,40.33
2007-02-02,72,40.77
2007-02-09,76,41.55
2007-02-16,76,43.17
2007-02-23,74,42.51
2007-03-02,71,39.81
2007-03-09,79,39.22
2007-03-16,78,39.02
2007-03-23,75,40.81
2007-03-30,79,40.55
2007-04-06,77,
2007-04-13,76,40.71
2007-04-20,78,41.50
2007-04-27,77,40.81
2007-05-04,81,41.27
2007-05-11,78,41.14
2007-05-18,81,40.30
2007-05-25,82,39.72
2007-06-01,81,40.45
2007-06-08,80,39.62
2007-06-15,74,42.14
2007-06-22,81,40.58
2007-06-29,82,41.44
2007-07-06,76,45.20
2007-07-13,71,46.14
2007-07-20,76,44.66
2007-07-27,82,42.36
2007-08-03,83,40.65
2007-08-10,87,42.33
2007-08-17,88,43.44
2007-08-24,80,42.12
2007-08-31,81,40.43
2007-09-07,78,39.72
2007-09-14,76,42.55
2007-09-21,86,43.92
2007-09-28,81,44.14
2007-10-05,79,44.79
2007-10-12,80,45.66
2007-10-19,80,45.59
2007-10-26,78,48.30
2007-11-02,79,47.20
2007-11-09,83,44.84
2007-11-16,77,46.79
2007-11-23,84,45.41
2007-11-30,89,47.96
2007-12-07,90,48.96
2007-12-14,80,48.11
2007-12-21,80,49.18
2007-12-28,70,48.50
2008-01-04,79,48.15
2008-01-11,86,46.50
2008-01-18,82,43.75
2008-01-25,82,43.88
2008-02-01,82,47.74
2008-02-08,80,46.18
2008-02-15,84,46.26
2008-02-22,78,46.10
2008-02-29,81,43.87
2008-03-07,79,43.60
2008-03-14,86,43.00
2008-03-21,83,
2008-03-28,83,41.29
2008-04-04,84,40.68
2008-04-11,91,42.67
2008-04-18,88,42.37
2008-04-25,89,44.37
2008-05-02,85,45.31
2008-05-09,87,43.08
2008-05-16,85,45.55
2008-05-23,85,43.56
2008-05-30,86,44.53
2008-06-06,84,41.15
2008-06-13,83,41.67
2008-06-20,81,40.53
2008-06-27,77,38.63
2008-07-04,83,
2008-07-11,79,35.66
2008-07-18,83,35.96
2008-07-25,82,35.06
2008-08-01,85,35.51
2008-08-08,86,37.45
2008-08-15,99,37.13
2008-08-22,88,34.39
2008-08-29,95,34.61
2008-09-05,87,36.34
2008-09-12,91,39.95
2008-09-19,96,35.70
2008-09-26,91,36.38
2008-10-03,91,29.78
2008-10-10,87,26.50
2008-10-17,86,29.81
2008-10-24,90,27.81
2008-10-31,84,32.99
2008-11-07,82,30.10
2008-11-14,85,30.24
2008-11-21,88,25.84
2008-11-28,83,30.21
2008-12-05,86,30.12
2008-12-12,90,26.01
2008-12-19,86,26.28
2008-12-26,81,26.27
2009-01-02,81,28.52
2009-01-09,95,25.59
2009-01-16,97,22.96
2009-01-23,86,23.88
2009-01-30,89,25.74
2009-02-06,93,28.41
2009-02-13,92,25.26
2009-02-20,94,22.83
2009-02-27,94,22.17
2009-03-06,94,18.25
2009-03-13,97,23.67
2009-03-20,91,23.80
2009-03-27,93,28.03
2009-04-03,88,29.00
2009-04-10,95,
2009-04-17,92,30.22
2009-04-24,96,26.88
2009-05-01,89,25.90
2009-05-08,97,32.15
2009-05-15,90,27.68
2009-05-22,90,26.91
2009-05-29,87,27.78
2009-06-05,90,28.22
2009-06-12,91,29.02
2009-06-19,90,29.60
2009-06-26,95,29.36
2009-07-03,96,
2009-07-10,90,27.26
2009-07-17,85,29.39
2009-07-24,85,26.74
2009-07-31,89,27.34
2009-08-07,92,30.31
2009-08-14,94,28.57
2009-08-21,100,29.12
2009-08-28,97,28.93
2009-09-04,94,28.09
2009-09-11,90,28.67
2009-09-18,95,30.30
2009-09-25,93,29.07
2009-10-02,90,27.60
2009-10-09,91,28.68
2009-10-16,85,27.24
2009-10-23,87,29.67
2009-10-30,85,26.66
2009-11-06,87,26.90
2009-11-13,84,27.45
2009-11-20,86,26.19
2009-11-27,85,26.30
2009-12-04,86,26.93
2009-12-11,92,26.94
2009-12-18,90,26.77
2009-12-25,80,
2010-01-01,85,
2010-01-08,92,29.53
2010-01-15,93,29.03
2010-01-22,83,29.27
2010-01-29,86,29.09
2010-02-05,92,27.14
2010-02-12,84,27.05
2010-02-19,83,28.66
2010-02-26,83,28.52
2010-03-05,87,29.70
2010-03-12,91,29.72
2010-03-19,89,30.64
2010-03-26,90,30.90
2010-04-02,91,
2010-04-09,93,31.95
2010-04-16,89,31.57
2010-04-23,92,31.95
2010-04-30,90,31.13
2010-05-07,88,30.06
2010-05-14,89,29.70
2010-05-21,86,27.82
2010-05-28,83,27.20
2010-06-04,92,26.00
2010-06-11,82,26.19
2010-06-18,84,26.58
2010-06-25,86,25.88
2010-07-02,86,24.58
2010-07-09,81,26.23
2010-07-16,83,25.73
2010-07-23,80,25.82
2010-07-30,89,25.07
2010-08-06,91,25.73
2010-08-13,88,24.80
2010-08-20,98,24.65
2010-08-27,92,24.65
2010-09-03,93,26.07
2010-09-10,91,25.50
2010-09-17,96,25.43
2010-09-24,97,26.13
2010-10-01,92,26.34
2010-10-08,91,26.54
2010-10-15,92,25.84
2010-10-22,90,25.27
2010-10-29,89,25.06
2010-11-05,89,28.17
2010-11-12,93,27.49
2010-11-19,90,27.76
2010-11-26,88,27.14
2010-12-03,87,28.00
2010-12-10,88,28.95
2010-12-17,84,29.39
2010-12-24,79,
2010-12-31,78,30.20
2011-01-07,92,30.76
2011-01-14,93,32.37
2011-01-21,88,31.95
2011-01-28,85,30.88
2011-02-04,85,31.00
2011-02-11,87,32.15
2011-02-18,86,31.69
2011-02-25,86,30.63
2011-03-04,88,30.06
2011-03-11,90,28.96
2011-03-18,86,28.88
2011-03-25,95,29.45
2011-04-01,92,30.27
2011-04-08,93,30.22
2011-04-15,94,29.72
2011-04-22,90,
2011-04-29,89,28.96
2011-05-06,88,28.59
2011-05-13,88,28.07
2011-05-20,90,28.19
2011-05-27,92,27.72
2011-06-03,86,26.90
2011-06-10,85,26.27
2011-06-17,86,26.20
2011-06-24,92,24.64
2011-07-01,87,26.06
2011-07-08,80,25.80
2011-07-15,82,25.10
2011-07-22,85,25.76
2011-07-29,90,25.11
2011-08-05,86,22.79
2011-08-12,91,19.99
2011-08-19,93,18.95
2011-08-26,92,20.21
2011-09-02,87,19.95
2011-09-09,84,19.92
2011-09-16,89,21.14
2011-09-23,89,18.52
2011-09-30,93,18.59
2011-10-07,88,17.83
2011-10-14,88,18.97
2011-10-21,89,20.70
2011-10-28,85,22.41
2011-11-04,83,20.99
2011-11-11,81,21.51
2011-11-18,84,18.92
2011-11-25,85,17.70
2011-12-02,85,19.29
2011-12-09,86,19.60
2011-12-16,88,19.12
2011-12-23,79,20.08
2011-12-30,75,19.91
2012-01-06,90,20.45
2012-01-13,91,21.45
2012-01-20,86,21.28
2012-01-27,85,20.23
2012-02-03,90,21.94
2012-02-10,88,21.42
2012-02-17,87,22.01
2012-02-24,87,21.67
2012-03-02,86,22.30
2012-03-09,87,22.42
2012-03-16,88,24.14
2012-03-23,91,23.95
2012-03-30,88,24.13
2012-04-06,91,
2012-04-13,87,23.11
2012-04-20,91,22.85
2012-04-27,89,23.84
2012-05-04,89,23.07
2012-05-11,86,22.09
2012-05-18,86,20.24
2012-05-25,86,20.64
2012-06-01,87,19.65
2012-06-08,84,20.50
2012-06-15,88,21.09
2012-06-22,90,21.20
2012-06-29,88,21.95
2012-07-06,84,21.79
2012-07-13,81,21.77
2012-07-20,81,20.77
2012-07-27,83,21.39
2012-08-03,84,21.75
2012-08-10,85,22.25
2012-08-17,89,22.73
2012-08-24,95,22.43
2012-08-31,92,22.54
2012-09-07,87,22.92
2012-09-14,89,23.62
2012-09-21,89,23.30
2012-09-28,93,22.62
2012-10-05,87,23.42
2012-10-12,83,22.84
2012-10-19,80,24.68
2012-10-26,86,24.37
2012-11-02,83,24.53
2012-11-09,88,24.11
2012-11-16,83,23.64
2012-11-23,81,24.43
2012-11-30,81,23.94
2012-12-07,84,24.22
2012-12-14,82,24.72
2012-12-21,81,25.80
2012-12-28,71,25.42
2013-01-04,82,27.29
2013-01-11,91,26.78
2013-01-18,87,26.53
2013-01-25,87,27.08
2013-02-01,86,27.35
2013-02-08,81,27.90
2013-02-15,85,27.99
2013-02-22,88,27.63
2013-03-01,87,27.20
2013-03-08,87,28.52
2013-03-15,87,28.85
2013-03-22,86,28.27
2013-03-29,87,
2013-04-05,88,27.36
2013-04-12,90,28.45
2013-04-19,86,26.99
2013-04-26,83,27.89
2013-05-03,85,28.38
2013-05-10,87,28.29
2013-05-17,83,30.44
2013-05-24,84,29.51
2013-05-31,82,30.06
2013-06-07,82,29.85
2013-06-14,84,29.13
2013-06-21,85,28.45
2013-06-28,86,28.05
2013-07-05,83,29.26
2013-07-12,82,30.06
2013-07-19,84,31.77
2013-07-26,85,31.76
2013-08-02,86,31.80
2013-08-09,83,30.97
2013-08-16,88,30.57
2013-08-23,89,30.85
2013-08-30,89,29.74
2013-09-06,90,30.46
2013-09-13,88,31.11
2013-09-20,86,30.85
2013-09-27,89,30.24
2013-10-04,87,30.50
2013-10-11,86,30.77
2013-10-18,85,31.48
2013-10-25,83,31.83
2013-11-01,86,32.36
2013-11-08,86,33.15
2013-11-15,86,33.42
2013-11-22,88,33.63
2013-11-29,87,33.70
2013-12-06,87,33.62
2013-12-13,84,32.91
2013-12-20,86,33.88
2013-12-27,79,34.50
2014-01-03,82,34.96
2014-01-10,91,34.23
2014-01-17,94,32.70
2014-01-24,86,32.34
2014-01-31,87,31.96
2014-02-07,84,31.79
2014-02-14,87,31.79
2014-02-21,91,31.35
2014-02-28,90,32.00
2014-03-07,90,33.51
2014-03-14,91,33.13
2014-03-21,89,35.25
2014-03-28,90,35.10
2014-04-04,87,34.60
2014-04-11,91,33.12
2014-04-18,86,
2014-04-25,89,33.60
2014-05-02,92,
