Date,BMS,Price
2004-01-09,88,
2004-01-16,88,
2004-01-23,87,
2004-01-30,90,
2004-02-06,91,49.39
2004-02-13,87,49.69
2004-02-20,92,51.01
2004-02-27,92,51.08
2004-03-05,80,25.90
2004-03-12,81,25.31
2004-03-19,91,25.13
2004-03-26,74,25.35
2004-04-02,88,26.35
2004-04-09,83,
2004-04-16,88,26.20
2004-04-23,86,27.97
2004-04-30,86,27.01
2004-05-07,73,26.74
2004-05-14,89,26.27
2004-05-21,79,26.69
2004-05-28,91,27.55
2004-06-04,85,27.56
2004-06-11,80,
2004-06-18,100,27.78
2004-06-25,98,27.66
2004-07-02,99,27.62
2004-07-09,85,27.68
2004-07-16,95,28.08
2004-07-23,86,26.41
2004-07-30,74,26.48
2004-08-06,90,25.11
2004-08-13,90,25.37
2004-08-20,79,26.62
2004-08-27,88,26.59
2004-09-03,73,26.80
2004-09-10,77,26.68
2004-09-17,78,25.85
2004-09-24,75,25.69
2004-10-01,83,26.52
2004-10-08,70,26.81
2004-10-15,72,25.68
2004-10-22,70,25.33
2004-10-29,68,26.47
2004-11-05,74,27.37
2004-11-12,71,28.00
2004-11-19,71,27.26
2004-11-26,73,27.57
2004-12-03,68,28.36
2004-12-10,72,27.88
2004-12-17,68,28.33
2004-12-24,68,
2004-12-31,69,29.09
2005-01-07,66,28.91
2005-01-14,61,29.45
2005-01-21,67,28.80
2005-01-28,63,28.99
2005-02-04,67,29.50
2005-02-11,70,29.45
2005-02-18,67,29.69
2005-02-25,67,30.01
2005-03-04,69,31.11
2005-03-11,73,31.01
2005-03-18,69,31.07
2005-03-25,67,
2005-04-01,59,30.74
2005-04-08,67,30.96
2005-04-15,61,27.25
2005-04-22,62,27.18
2005-04-29,58,27.56
2005-05-06,65,27.80
2005-05-13,71,26.24
2005-05-20,62,27.75
2005-05-27,63,27.36
2005-06-03,68,27.14
2005-06-10,71,27.39
2005-06-17,69,27.91
2005-06-24,63,26.55
2005-07-01,62,26.73
2005-07-08,64,27.53
2005-07-15,68,27.12
2005-07-22,67,28.17
2005-07-29,58,27.00
2005-08-05,57,26.86
2005-08-12,63,26.71
2005-08-19,62,25.89
2005-08-26,63,25.78
2005-09-02,58,25.96
2005-09-09,64,25.95
2005-09-16,59,25.35
2005-09-23,62,24.57
2005-09-30,58,24.70
2005-10-07,55,23.90
2005-10-14,58,23.79
2005-10-21,57,23.59
2005-10-28,60,25.89
2005-11-04,60,26.25
2005-11-11,56,26.39
2005-11-18,51,26.87
2005-11-25,65,27.16
2005-12-02,57,28.16
2005-12-09,59,27.07
2005-12-16,53,26.96
2005-12-23,50,27.85
2005-12-30,46,27.87
2006-01-06,50,29.00
2006-01-13,53,28.92
2006-01-20,50,28.49
2006-01-27,59,30.58
2006-02-03,51,30.25
2006-02-10,62,30.41
2006-02-17,49,30.44
2006-02-24,54,30.13
2006-03-03,60,29.77
2006-03-10,50,30.59
2006-03-17,52,32.92
2006-03-24,51,32.11
2006-03-31,52,31.58
2006-04-07,56,31.81
2006-04-14,48,
2006-04-21,56,31.60
2006-04-28,51,31.46
2006-05-05,47,32.15
2006-05-12,52,30.86
2006-05-19,54,29.66
2006-05-26,48,30.36
2006-06-02,53,30.92
2006-06-09,59,29.80
2006-06-16,51,29.70
2006-06-23,64,29.78
2006-06-30,53,30.62
2006-07-07,57,29.86
2006-07-14,55,28.79
2006-07-21,56,28.88
2006-07-28,56,30.80
2006-08-04,53,30.43
2006-08-11,50,30.64
2006-08-18,57,31.65
2006-08-25,54,31.65
2006-09-01,57,32.51
2006-09-08,56,32.39
2006-09-15,55,32.37
2006-09-22,58,31.65
2006-09-29,54,32.86
2006-10-06,51,33.62
2006-10-13,55,33.72
2006-10-20,52,33.92
2006-10-27,50,33.60
2006-11-03,51,33.26
2006-11-10,53,33.82
2006-11-17,56,34.33
2006-11-24,47,34.00
2006-12-01,50,34.08
2006-12-08,51,34.59
2006-12-15,54,34.30
2006-12-22,51,33.95
2006-12-29,40,33.98
2007-01-05,49,33.96
2007-01-12,49,36.15
2007-01-19,53,36.23
2007-01-26,50,33.20
2007-02-02,70,34.34
2007-02-09,55,34.24
2007-02-16,58,34.40
2007-02-23,53,34.34
2007-03-02,52,32.89
2007-03-09,55,32.90
2007-03-16,53,32.79
2007-03-23,51,33.51
2007-03-30,51,33.39
2007-04-06,50,
2007-04-13,49,34.00
2007-04-20,53,34.50
2007-04-27,52,33.92
2007-05-04,50,33.56
2007-05-11,51,33.49
2007-05-18,58,33.63
2007-05-25,52,33.15
2007-06-01,54,33.78
2007-06-08,55,32.70
2007-06-15,59,33.31
2007-06-22,58,32.80
2007-06-29,56,33.18
2007-07-06,55,34.35
2007-07-13,56,34.01
2007-07-20,50,32.56
2007-07-27,50,30.75
2007-08-03,49,28.83
2007-08-10,50,30.29
2007-08-17,48,29.53
2007-08-24,52,29.95
2007-08-31,49,29.87
2007-09-07,44,29.24
2007-09-14,47,29.29
2007-09-21,48,29.86
2007-09-28,51,29.11
2007-10-05,50,29.09
2007-10-12,46,28.36
2007-10-19,46,28.04
2007-10-26,50,27.79
2007-11-02,54,28.21
2007-11-09,55,28.25
2007-11-16,51,27.53
2007-11-23,49,26.84
2007-11-30,54,27.13
2007-12-07,52,27.62
2007-12-14,49,26.75
2007-12-21,50,26.48
2007-12-28,39,27.36
2008-01-04,43,25.56
2008-01-11,47,24.73
2008-01-18,52,24.01
2008-01-25,50,25.20
2008-02-01,49,27.69
2008-02-08,53,26.54
2008-02-15,52,26.22
2008-02-22,50,26.08
2008-02-29,47,24.82
2008-03-07,51,23.74
2008-03-14,45,23.99
2008-03-21,51,
2008-03-28,46,25.09
2008-04-04,45,26.87
2008-04-11,48,25.68
2008-04-18,46,27.79
2008-04-25,45,26.80
2008-05-02,48,26.33
2008-05-09,46,26.82
2008-05-16,48,27.55
2008-05-23,50,25.90
2008-05-30,51,26.60
2008-06-06,48,25.48
2008-06-13,56,25.75
2008-06-20,48,23.70
2008-06-27,49,22.70
2008-07-04,51,
2008-07-11,50,23.00
2008-07-18,52,24.79
2008-07-25,49,25.73
2008-08-01,45,28.06
2008-08-08,48,29.04
2008-08-15,45,28.48
2008-08-22,47,27.58
2008-08-29,52,27.92
2008-09-05,47,27.83
2008-09-12,45,28.53
2008-09-19,47,28.51
2008-09-26,50,27.32
2008-10-03,50,24.84
2008-10-10,48,23.42
