Date,BXP,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,51.50
2004-02-13,78,51.31
2004-02-20,0,51.38
2004-02-27,0,51.23
2004-03-05,0,52.25
2004-03-12,0,52.55
2004-03-19,0,54.15
2004-03-26,0,54.28
2004-04-02,0,54.80
2004-04-09,0,
2004-04-16,0,48.42
2004-04-23,0,46.60
2004-04-30,77,47.00
2004-05-07,60,44.60
2004-05-14,70,44.65
2004-05-21,81,46.17
2004-05-28,54,49.36
2004-06-04,54,49.12
2004-06-11,54,
2004-06-18,54,49.59
2004-06-25,55,50.40
2004-07-02,55,51.33
2004-07-09,66,51.05
2004-07-16,78,52.20
2004-07-23,78,51.58
2004-07-30,78,52.90
2004-08-06,78,53.75
2004-08-13,59,52.85
2004-08-20,59,55.05
2004-08-27,56,54.71
2004-09-03,56,55.68
2004-09-10,56,54.65
2004-09-17,52,55.20
2004-09-24,52,54.75
2004-10-01,52,56.25
2004-10-08,52,56.96
2004-10-15,53,58.35
2004-10-22,54,59.00
2004-10-29,54,59.72
2004-11-05,54,58.10
2004-11-12,55,61.35
2004-11-19,57,59.40
2004-11-26,59,60.06
2004-12-03,55,62.75
2004-12-10,51,62.94
2004-12-17,66,63.30
2004-12-24,82,
2004-12-31,72,64.67
2005-01-07,72,61.09
2005-01-14,88,59.88
2005-01-21,59,60.46
2005-01-28,46,57.99
2005-02-04,46,59.62
2005-02-11,46,60.40
2005-02-18,46,61.07
2005-02-25,56,60.12
2005-03-04,50,61.85
2005-03-11,44,60.51
2005-03-18,50,61.55
2005-03-25,55,
2005-04-01,80,59.65
2005-04-08,60,60.75
2005-04-15,57,62.33
2005-04-22,43,63.29
2005-04-29,70,66.47
2005-05-06,48,66.81
2005-05-13,65,65.77
2005-05-20,100,68.03
2005-05-27,71,65.70
2005-06-03,67,67.00
2005-06-10,72,67.75
2005-06-17,38,69.90
2005-06-24,68,69.32
2005-07-01,68,70.99
2005-07-08,61,73.05
2005-07-15,68,72.70
2005-07-22,49,73.41
2005-07-29,53,76.15
2005-08-05,65,73.28
2005-08-12,76,70.79
2005-08-19,63,70.27
2005-08-26,67,70.03
2005-09-02,66,71.49
2005-09-09,42,72.26
2005-09-16,73,73.20
2005-09-23,50,71.60
2005-09-30,59,70.90
2005-10-07,66,67.58
2005-10-14,54,66.84
2005-10-21,78,67.00
2005-10-28,55,67.88
2005-11-04,70,67.00
2005-11-11,70,72.85
2005-11-18,44,73.95
2005-11-25,69,74.66
2005-12-02,67,75.66
2005-12-09,52,74.77
2005-12-16,36,75.68
2005-12-23,60,74.80
2005-12-30,75,74.13
2006-01-06,65,78.35
2006-01-13,52,76.91
2006-01-20,52,76.29
2006-01-27,52,78.21
2006-02-03,42,78.22
2006-02-10,46,78.36
2006-02-17,60,83.96
2006-02-24,80,85.43
2006-03-03,43,85.66
2006-03-10,55,89.83
2006-03-17,42,96.02
2006-03-24,41,92.33
2006-03-31,45,93.25
2006-04-07,48,88.41
2006-04-14,61,
2006-04-21,40,89.52
2006-04-28,32,88.27
2006-05-05,33,87.60
2006-05-12,39,87.02
2006-05-19,51,86.04
2006-05-26,45,86.79
2006-06-02,42,87.97
2006-06-09,43,87.98
2006-06-16,51,88.06
2006-06-23,50,87.53
2006-06-30,71,90.40
2006-07-07,52,92.00
2006-07-14,44,91.66
2006-07-21,28,93.01
2006-07-28,44,97.91
2006-08-04,43,100.50
2006-08-11,29,95.10
2006-08-18,32,97.61
2006-08-25,30,99.74
2006-09-01,47,100.90
2006-09-08,33,100.67
2006-09-15,34,104.25
2006-09-22,35,104.06
2006-09-29,29,103.34
2006-10-06,25,104.23
2006-10-13,25,106.15
2006-10-20,38,104.52
2006-10-27,28,104.36
2006-11-03,39,103.35
2006-11-10,27,105.83
2006-11-17,23,108.62
2006-11-24,35,117.95
2006-12-01,47,116.85
2006-12-08,28,117.24
2006-12-15,35,115.17
2006-12-22,42,111.87
2006-12-29,38,111.88
2007-01-05,43,109.72
2007-01-12,40,115.87
2007-01-19,31,119.93
2007-01-26,39,122.68
2007-02-02,24,126.88
2007-02-09,22,127.04
2007-02-16,27,125.88
2007-02-23,23,122.65
2007-03-02,35,117.03
2007-03-09,34,119.70
2007-03-16,37,116.67
2007-03-23,23,119.14
2007-03-30,34,117.40
2007-04-06,35,
2007-04-13,23,116.32
2007-04-20,25,116.35
2007-04-27,30,118.92
2007-05-04,33,115.64
2007-05-11,26,117.11
2007-05-18,32,107.30
2007-05-25,33,107.73
2007-06-01,25,116.70
2007-06-08,24,111.26
2007-06-15,18,109.44
2007-06-22,26,101.59
2007-06-29,26,102.13
2007-07-06,32,106.02
2007-07-13,36,106.20
2007-07-20,30,103.42
2007-07-27,33,92.82
2007-08-03,28,95.32
2007-08-10,24,101.26
2007-08-17,33,97.61
2007-08-24,22,98.06
2007-08-31,21,100.07
2007-09-07,19,96.76
2007-09-14,33,97.28
2007-09-21,23,103.81
2007-09-28,27,103.90
2007-10-05,22,113.60
2007-10-12,21,109.22
2007-10-19,14,100.04
2007-10-26,18,107.19
2007-11-02,21,103.08
2007-11-09,23,100.20
2007-11-16,18,96.19
2007-11-23,24,93.25
2007-11-30,16,98.42
2007-12-07,32,102.39
2007-12-14,19,92.72
2007-12-21,24,100.05
2007-12-28,17,91.28
2008-01-04,33,86.12
2008-01-11,22,89.30
2008-01-18,18,85.18
2008-01-25,20,89.66
2008-02-01,28,96.09
2008-02-08,15,87.23
2008-02-15,22,86.63
2008-02-22,23,88.06
2008-02-29,23,86.17
2008-03-07,26,88.20
2008-03-14,14,87.23
2008-03-21,23,
2008-03-28,21,92.12
2008-04-04,28,97.53
2008-04-11,39,94.61
2008-04-18,23,98.01
2008-04-25,28,103.28
2008-05-02,32,103.01
2008-05-09,26,97.76
2008-05-16,33,100.25
2008-05-23,18,96.11
2008-05-30,16,97.74
2008-06-06,16,96.05
2008-06-13,13,97.42
2008-06-20,21,95.70
2008-06-27,20,90.07
2008-07-04,15,
2008-07-11,24,90.94
2008-07-18,13,96.58
2008-07-25,20,94.87
2008-08-01,33,96.23
2008-08-08,22,102.37
2008-08-15,24,99.44
2008-08-22,15,101.61
2008-08-29,15,102.47
2008-09-05,25,101.05
2008-09-12,24,103.15
2008-09-19,21,95.29
2008-09-26,20,94.71
2008-10-03,26,81.19
2008-10-10,25,76.18
2008-10-17,27,68.56
2008-10-24,26,61.24
2008-10-31,27,70.88
2008-11-07,18,64.20
2008-11-14,21,52.40
2008-11-21,22,43.65
2008-11-28,30,53.40
2008-12-05,32,55.67
2008-12-12,33,56.00
2008-12-19,19,56.79
2008-12-26,20,53.83
2009-01-02,23,55.13
2009-01-09,19,52.31
2009-01-16,24,48.05
2009-01-23,19,43.38
2009-01-30,18,43.30
2009-02-06,21,46.93
2009-02-13,22,41.22
2009-02-20,18,38.88
2009-02-27,26,37.09
2009-03-06,16,31.73
2009-03-13,28,37.64
2009-03-20,24,34.90
2009-03-27,25,34.54
2009-04-03,30,41.69
2009-04-10,24,
2009-04-17,25,47.17
2009-04-24,16,49.84
2009-05-01,25,46.53
2009-05-08,15,52.42
2009-05-15,29,44.97
2009-05-22,15,45.38
2009-05-29,19,48.32
2009-06-05,19,50.32
2009-06-12,26,50.93
2009-06-19,20,47.32
2009-06-26,18,46.91
2009-07-03,22,
2009-07-10,24,43.62
2009-07-17,22,47.71
2009-07-24,24,53.23
2009-07-31,19,52.90
2009-08-07,17,62.22
2009-08-14,21,58.53
2009-08-21,17,59.40
2009-08-28,20,61.12
2009-09-04,20,58.15
2009-09-11,27,63.34
2009-09-18,27,70.55
2009-09-25,23,65.60
2009-10-02,14,61.60
2009-10-09,17,65.67
2009-10-16,16,63.14
2009-10-23,22,62.66
2009-10-30,14,60.77
2009-11-06,16,60.06
2009-11-13,19,65.71
2009-11-20,12,65.50
2009-11-27,24,63.79
2009-12-04,21,69.98
2009-12-11,26,67.80
2009-12-18,20,68.02
2009-12-25,15,
2010-01-01,16,
2010-01-08,12,67.85
2010-01-15,20,68.09
2010-01-22,15,64.28
2010-01-29,13,64.87
2010-02-05,20,64.53
2010-02-12,15,63.40
2010-02-19,20,66.57
2010-02-26,13,67.93
2010-03-05,15,71.14
2010-03-12,11,74.00
2010-03-19,22,75.89
2010-03-26,16,76.19
2010-04-02,12,
2010-04-09,14,78.35
2010-04-16,9,75.59
2010-04-23,17,80.11
2010-04-30,15,78.86
2010-05-07,14,76.09
2010-05-14,17,78.20
2010-05-21,12,75.50
2010-05-28,14,76.68
2010-06-04,13,71.81
2010-06-11,13,79.02
2010-06-18,15,80.09
2010-06-25,9,76.74
2010-07-02,8,69.70
2010-07-09,6,75.23
2010-07-16,14,74.71
2010-07-23,12,79.97
2010-07-30,13,81.90
2010-08-06,14,84.73
2010-08-13,10,81.02
2010-08-20,14,81.23
2010-08-27,15,81.72
2010-09-03,12,87.85
2010-09-10,10,85.20
2010-09-17,12,87.10
2010-09-24,12,85.78
2010-10-01,12,83.64
2010-10-08,9,84.86
2010-10-15,14,86.96
2010-10-22,15,90.50
2010-10-29,14,86.19
2010-11-05,11,90.15
2010-11-12,10,84.70
2010-11-19,11,84.12
2010-11-26,17,84.33
2010-12-03,12,86.19
2010-12-10,17,83.37
2010-12-17,13,83.12
2010-12-24,10,
2010-12-31,13,86.10
2011-01-07,11,84.93
2011-01-14,11,89.47
2011-01-21,12,90.29
2011-01-28,14,92.71
2011-02-04,10,93.34
2011-02-11,9,95.90
2011-02-18,14,94.99
2011-02-25,13,93.73
2011-03-04,15,92.73
2011-03-11,8,93.23
2011-03-18,13,91.52
2011-03-25,12,92.89
2011-04-01,11,96.54
2011-04-08,11,93.91
2011-04-15,10,97.14
2011-04-22,11,
2011-04-29,16,104.53
2011-05-06,11,103.33
2011-05-13,9,103.01
2011-05-20,6,104.51
2011-05-27,13,106.33
2011-06-03,8,104.47
2011-06-10,13,101.19
2011-06-17,11,103.93
2011-06-24,10,102.61
2011-07-01,12,107.83
2011-07-08,10,110.75
2011-07-15,13,109.46
2011-07-22,11,112.27
2011-07-29,10,107.36
2011-08-05,15,96.91
2011-08-12,11,100.17
2011-08-19,12,98.78
2011-08-26,16,100.60
2011-09-02,15,101.25
2011-09-09,12,100.26
2011-09-16,14,102.50
2011-09-23,13,92.42
2011-09-30,14,89.10
2011-10-07,11,85.47
2011-10-14,9,92.34
2011-10-21,10,92.98
2011-10-28,13,99.84
2011-11-04,13,98.81
2011-11-11,8,98.09
2011-11-18,12,95.13
2011-11-25,11,89.15
2011-12-02,12,93.73
2011-12-09,15,95.49
2011-12-16,13,95.96
2011-12-23,12,101.01
2011-12-30,13,99.60
2012-01-06,10,99.22
2012-01-13,12,97.49
2012-01-20,9,99.86
2012-01-27,8,104.24
2012-02-03,12,107.57
2012-02-10,11,103.78
2012-02-17,11,104.84
2012-02-24,11,102.62
2012-03-02,10,102.46
2012-03-09,10,102.31
2012-03-16,15,105.94
2012-03-23,11,104.01
2012-03-30,11,104.99
2012-04-06,7,
2012-04-13,8,100.30
2012-04-20,9,105.02
2012-04-27,11,107.80
2012-05-04,10,107.95
2012-05-11,7,108.31
2012-05-18,7,100.87
2012-05-25,12,103.85
2012-06-01,9,101.31
2012-06-08,8,105.20
2012-06-15,9,104.03
2012-06-22,7,103.31
2012-06-29,9,108.37
2012-07-06,10,110.18
2012-07-13,5,110.59
2012-07-20,6,109.93
2012-07-27,10,110.79
2012-08-03,11,113.00
2012-08-10,7,110.70
2012-08-17,8,111.76
2012-08-24,10,111.84
2012-08-31,11,112.13
2012-09-07,8,114.37
2012-09-14,8,116.07
2012-09-21,7,113.54
2012-09-28,8,110.61
2012-10-05,10,110.15
2012-10-12,7,108.98
2012-10-19,10,109.53
2012-10-26,14,106.53
2012-11-02,9,107.22
2012-11-09,6,103.10
2012-11-16,8,100.85
2012-11-23,7,103.06
2012-11-30,10,102.63
2012-12-07,8,105.40
2012-12-14,6,103.98
2012-12-21,11,105.70
2012-12-28,6,104.94
2013-01-04,9,107.47
2013-01-11,9,107.00
2013-01-18,11,107.83
2013-01-25,13,109.46
2013-02-01,10,105.10
2013-02-08,10,105.14
2013-02-15,12,107.21
2013-02-22,9,106.27
2013-03-01,8,103.52
2013-03-08,8,102.89
2013-03-15,8,105.25
2013-03-22,10,100.98
2013-03-29,10,
2013-04-05,8,106.25
2013-04-12,9,110.36
2013-04-19,8,109.80
2013-04-26,9,107.77
2013-05-03,8,108.58
2013-05-10,11,111.23
2013-05-17,10,112.43
2013-05-24,7,112.44
2013-05-31,9,106.58
2013-06-07,9,109.81
2013-06-14,10,110.09
2013-06-21,8,101.94
2013-06-28,6,105.47
2013-07-05,7,105.18
2013-07-12,10,110.36
2013-07-19,7,110.11
2013-07-26,4,109.75
2013-08-02,7,103.97
2013-08-09,10,105.09
2013-08-16,10,99.46
2013-08-23,10,103.29
2013-08-30,8,102.50
2013-09-06,7,104.81
2013-09-13,6,104.80
2013-09-20,9,109.36
2013-09-27,10,107.09
2013-10-04,10,106.48
2013-10-11,9,107.28
2013-10-18,10,108.82
2013-10-25,9,109.64
2013-11-01,14,104.42
2013-11-08,15,100.33
2013-11-15,11,103.03
2013-11-22,8,101.69
2013-11-29,11,99.49
2013-12-06,10,100.73
2013-12-13,13,98.46
2013-12-20,12,103.50
2013-12-27,10,100.40
2014-01-03,9,101.59
2014-01-10,7,104.44
2014-01-17,11,104.74
2014-01-24,9,104.89
2014-01-31,11,108.09
2014-02-07,9,109.18
2014-02-14,12,110.96
2014-02-21,11,110.91
2014-02-28,13,112.43
2014-03-07,9,110.94
2014-03-14,6,111.85
2014-03-21,7,113.95
2014-03-28,11,113.89
2014-04-04,11,116.31
2014-04-11,10,115.35
2014-04-18,10,
2014-04-25,10,117.37
2014-05-02,0,
