Date,Bemis Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,49.39
2004-02-13,0,49.69
2004-02-20,0,51.01
2004-02-27,0,51.08
2004-03-05,0,25.90
2004-03-12,0,25.31
2004-03-19,0,25.13
2004-03-26,0,25.35
2004-04-02,0,26.35
2004-04-09,0,
2004-04-16,0,26.20
2004-04-23,0,27.97
2004-04-30,0,27.01
2004-05-07,0,26.74
2004-05-14,0,26.27
2004-05-21,0,26.69
2004-05-28,0,27.55
2004-06-04,0,27.56
2004-06-11,0,
2004-06-18,0,27.78
2004-06-25,0,27.66
2004-07-02,0,27.62
2004-07-09,0,27.68
2004-07-16,0,28.08
2004-07-23,0,26.41
2004-07-30,0,26.48
2004-08-06,0,25.11
2004-08-13,0,25.37
2004-08-20,0,26.62
2004-08-27,0,26.59
2004-09-03,0,26.80
2004-09-10,0,26.68
2004-09-17,0,25.85
2004-09-24,0,25.69
2004-10-01,0,26.52
2004-10-08,0,26.81
2004-10-15,0,25.68
2004-10-22,0,25.33
2004-10-29,0,26.47
2004-11-05,0,27.37
2004-11-12,0,28.00
2004-11-19,0,27.26
2004-11-26,0,27.57
2004-12-03,0,28.36
2004-12-10,0,27.88
2004-12-17,0,28.33
2004-12-24,0,
2004-12-31,0,29.09
2005-01-07,0,28.91
2005-01-14,0,29.45
2005-01-21,0,28.80
2005-01-28,0,28.99
2005-02-04,0,29.50
2005-02-11,0,29.45
2005-02-18,0,29.69
2005-02-25,0,30.01
2005-03-04,0,31.11
2005-03-11,0,31.01
2005-03-18,0,31.07
2005-03-25,0,
2005-04-01,0,30.74
2005-04-08,0,30.96
2005-04-15,0,27.25
2005-04-22,0,27.18
2005-04-29,0,27.56
2005-05-06,0,27.80
2005-05-13,0,26.24
2005-05-20,0,27.75
2005-05-27,0,27.36
2005-06-03,0,27.14
2005-06-10,0,27.39
2005-06-17,0,27.91
2005-06-24,0,26.55
2005-07-01,0,26.73
2005-07-08,0,27.53
2005-07-15,0,27.12
2005-07-22,0,28.17
2005-07-29,0,27.00
2005-08-05,0,26.86
2005-08-12,0,26.71
2005-08-19,0,25.89
2005-08-26,0,25.78
2005-09-02,0,25.96
2005-09-09,0,25.95
2005-09-16,0,25.35
2005-09-23,0,24.57
2005-09-30,0,24.70
2005-10-07,0,23.90
2005-10-14,0,23.79
2005-10-21,0,23.59
2005-10-28,0,25.89
2005-11-04,0,26.25
2005-11-11,0,26.39
2005-11-18,0,26.87
2005-11-25,0,27.16
2005-12-02,0,28.16
2005-12-09,0,27.07
2005-12-16,0,26.96
2005-12-23,0,27.85
2005-12-30,0,27.87
2006-01-06,0,29.00
2006-01-13,0,28.92
2006-01-20,0,28.49
2006-01-27,0,30.58
2006-02-03,0,30.25
2006-02-10,0,30.41
2006-02-17,0,30.44
2006-02-24,0,30.13
2006-03-03,0,29.77
2006-03-10,0,30.59
2006-03-17,0,32.92
2006-03-24,0,32.11
2006-03-31,0,31.58
2006-04-07,0,31.81
2006-04-14,0,
2006-04-21,0,31.60
2006-04-28,0,31.46
2006-05-05,0,32.15
2006-05-12,0,30.86
2006-05-19,0,29.66
2006-05-26,0,30.36
2006-06-02,0,30.92
2006-06-09,0,29.80
2006-06-16,0,29.70
2006-06-23,0,29.78
2006-06-30,0,30.62
2006-07-07,0,29.86
2006-07-14,0,28.79
2006-07-21,0,28.88
2006-07-28,0,30.80
2006-08-04,0,30.43
2006-08-11,0,30.64
2006-08-18,0,31.65
2006-08-25,0,31.65
2006-09-01,0,32.51
2006-09-08,0,32.39
2006-09-15,0,32.37
2006-09-22,0,31.65
2006-09-29,0,32.86
2006-10-06,0,33.62
2006-10-13,0,33.72
2006-10-20,0,33.92
2006-10-27,0,33.60
2006-11-03,0,33.26
2006-11-10,0,33.82
2006-11-17,0,34.33
2006-11-24,0,34.00
2006-12-01,0,34.08
2006-12-08,0,34.59
2006-12-15,0,34.30
2006-12-22,0,33.95
2006-12-29,0,33.98
2007-01-05,0,33.96
2007-01-12,0,36.15
2007-01-19,0,36.23
2007-01-26,0,33.20
2007-02-02,0,34.34
2007-02-09,0,34.24
2007-02-16,0,34.40
2007-02-23,0,34.34
2007-03-02,0,32.89
2007-03-09,0,32.90
2007-03-16,0,32.79
2007-03-23,0,33.51
2007-03-30,0,33.39
2007-04-06,0,
2007-04-13,0,34.00
2007-04-20,0,34.50
2007-04-27,0,33.92
2007-05-04,0,33.56
2007-05-11,0,33.49
2007-05-18,0,33.63
2007-05-25,0,33.15
2007-06-01,0,33.78
2007-06-08,0,32.70
2007-06-15,0,33.31
2007-06-22,0,32.80
2007-06-29,0,33.18
2007-07-06,0,34.35
2007-07-13,0,34.01
2007-07-20,0,32.56
2007-07-27,0,30.75
2007-08-03,0,28.83
2007-08-10,0,30.29
2007-08-17,0,29.53
2007-08-24,0,29.95
2007-08-31,0,29.87
2007-09-07,0,29.24
2007-09-14,0,29.29
2007-09-21,0,29.86
2007-09-28,0,29.11
2007-10-05,0,29.09
2007-10-12,0,28.36
2007-10-19,0,28.04
2007-10-26,0,27.79
2007-11-02,0,28.21
2007-11-09,0,28.25
2007-11-16,0,27.53
2007-11-23,0,26.84
2007-11-30,0,27.13
2007-12-07,0,27.62
2007-12-14,0,26.75
2007-12-21,0,26.48
2007-12-28,0,27.36
2008-01-04,0,25.56
2008-01-11,0,24.73
2008-01-18,0,24.01
2008-01-25,0,25.20
2008-02-01,0,27.69
2008-02-08,0,26.54
2008-02-15,0,26.22
2008-02-22,0,26.08
2008-02-29,0,24.82
2008-03-07,0,23.74
2008-03-14,0,23.99
2008-03-21,0,
2008-03-28,0,25.09
2008-04-04,0,26.87
2008-04-11,0,25.68
2008-04-18,0,27.79
2008-04-25,0,26.80
2008-05-02,0,26.33
2008-05-09,0,26.82
2008-05-16,0,27.55
2008-05-23,0,25.90
2008-05-30,0,26.60
2008-06-06,0,25.48
2008-06-13,0,25.75
2008-06-20,0,23.70
2008-06-27,0,22.70
2008-07-04,0,
2008-07-11,0,23.00
2008-07-18,0,24.79
2008-07-25,0,25.73
2008-08-01,0,28.06
2008-08-08,0,29.04
2008-08-15,0,28.48
2008-08-22,0,27.58
2008-08-29,0,27.92
2008-09-05,0,27.83
2008-09-12,0,28.53
2008-09-19,0,28.51
2008-09-26,0,27.32
2008-10-03,0,24.84
2008-10-10,0,23.42
2008-10-17,0,22.65
2008-10-24,0,22.63
2008-10-31,0,24.84
2008-11-07,0,24.06
2008-11-14,0,24.18
2008-11-21,0,24.44
2008-11-28,0,27.02
2008-12-05,0,26.10
2008-12-12,0,25.04
2008-12-19,0,25.24
2008-12-26,0,24.25
2009-01-02,0,24.63
2009-01-09,0,23.61
2009-01-16,0,23.34
2009-01-23,0,23.12
2009-01-30,0,22.57
2009-02-06,0,23.01
2009-02-13,0,20.88
2009-02-20,0,19.14
2009-02-27,0,18.57
2009-03-06,0,17.23
2009-03-13,0,19.26
2009-03-20,0,20.09
2009-03-27,0,21.16
2009-04-03,0,21.81
2009-04-10,0,
2009-04-17,0,22.56
2009-04-24,0,24.18
2009-05-01,0,24.26
2009-05-08,0,25.79
2009-05-15,0,23.96
2009-05-22,0,23.82
2009-05-29,0,25.09
2009-06-05,0,25.59
2009-06-12,0,25.00
2009-06-19,0,24.12
2009-06-26,0,24.73
2009-07-03,0,
2009-07-10,100,24.66
2009-07-17,52,26.76
2009-07-24,67,26.39
2009-07-31,48,26.32
2009-08-07,48,26.91
2009-08-14,0,26.39
2009-08-21,0,26.92
2009-08-28,0,26.60
2009-09-04,0,26.01
2009-09-11,0,26.04
2009-09-18,0,27.42
2009-09-25,0,25.91
2009-10-02,0,25.12
2009-10-09,0,26.19
2009-10-16,0,26.53
2009-10-23,0,26.12
2009-10-30,49,25.83
2009-11-06,41,27.59
2009-11-13,0,28.43
2009-11-20,0,28.53
2009-11-27,0,28.76
2009-12-04,0,30.81
2009-12-11,0,30.49
2009-12-18,0,29.92
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,30.56
2010-01-15,0,29.88
2010-01-22,37,28.70
2010-01-29,37,28.06
2010-02-05,42,27.84
2010-02-12,48,27.99
2010-02-19,51,28.51
2010-02-26,55,29.27
2010-03-05,58,29.46
2010-03-12,36,29.50
2010-03-19,36,29.15
2010-03-26,0,29.24
2010-04-02,0,
2010-04-09,0,29.88
2010-04-16,0,30.68
2010-04-23,0,31.57
2010-04-30,48,30.41
2010-05-07,55,27.70
2010-05-14,0,28.39
2010-05-21,0,28.77
2010-05-28,0,28.68
2010-06-04,0,27.95
2010-06-11,0,28.64
2010-06-18,0,29.35
2010-06-25,0,28.34
2010-07-02,0,27.08
2010-07-09,0,27.93
2010-07-16,0,28.14
2010-07-23,0,30.54
2010-07-30,0,29.96
2010-08-06,0,29.57
2010-08-13,0,28.97
2010-08-20,0,29.44
2010-08-27,0,29.39
2010-09-03,0,30.72
2010-09-10,0,30.70
2010-09-17,0,31.07
2010-09-24,0,31.47
2010-10-01,32,31.96
2010-10-08,0,33.52
2010-10-15,0,33.80
2010-10-22,0,33.52
2010-10-29,0,31.76
2010-11-05,0,31.74
2010-11-12,0,30.31
2010-11-19,0,30.84
2010-11-26,0,31.13
2010-12-03,0,32.75
2010-12-10,0,32.67
2010-12-17,0,33.10
2010-12-24,0,
2010-12-31,0,32.66
2011-01-07,0,32.32
2011-01-14,0,32.94
2011-01-21,28,32.21
2011-01-28,27,32.37
2011-02-04,27,32.68
2011-02-11,28,33.11
2011-02-18,28,33.15
2011-02-25,29,32.65
2011-03-04,29,32.72
2011-03-11,30,32.21
2011-03-18,27,31.76
2011-03-25,29,32.25
2011-04-01,31,33.11
2011-04-08,33,32.41
2011-04-15,35,32.05
2011-04-22,37,
2011-04-29,28,31.34
2011-05-06,0,32.05
2011-05-13,0,32.57
2011-05-20,0,33.01
2011-05-27,0,32.95
2011-06-03,0,31.56
2011-06-10,29,32.61
2011-06-17,35,31.74
2011-06-24,30,32.11
2011-07-01,30,34.06
2011-07-08,0,33.93
2011-07-15,0,34.21
2011-07-22,0,33.95
2011-07-29,0,31.60
2011-08-05,0,30.40
2011-08-12,0,29.54
2011-08-19,0,28.60
2011-08-26,0,29.61
2011-09-02,36,29.94
2011-09-09,25,29.50
2011-09-16,26,31.25
2011-09-23,27,29.34
2011-09-30,28,29.31
2011-10-07,29,29.62
2011-10-14,24,30.97
2011-10-21,24,31.58
2011-10-28,24,28.50
2011-11-04,26,28.68
2011-11-11,29,28.86
2011-11-18,40,27.98
2011-11-25,37,27.62
2011-12-02,37,29.14
2011-12-09,37,29.71
2011-12-16,37,29.29
2011-12-23,30,29.94
2011-12-30,30,30.08
2012-01-06,30,30.39
2012-01-13,36,29.89
2012-01-20,41,29.99
2012-01-27,32,31.58
2012-02-03,32,31.71
2012-02-10,22,31.57
2012-02-17,30,31.97
2012-02-24,28,31.10
2012-03-02,28,31.46
2012-03-09,28,31.77
2012-03-16,26,31.76
2012-03-23,30,31.62
2012-03-30,26,32.29
2012-04-06,27,
2012-04-13,24,31.18
2012-04-20,25,32.10
2012-04-27,25,32.44
2012-05-04,42,31.24
2012-05-11,21,31.53
2012-05-18,32,29.91
2012-05-25,24,30.39
2012-06-01,21,30.11
2012-06-08,21,31.74
2012-06-15,21,32.16
2012-06-22,21,31.65
2012-06-29,21,31.34
2012-07-06,28,30.80
2012-07-13,34,30.15
2012-07-20,23,31.13
2012-07-27,24,30.90
2012-08-03,39,30.45
2012-08-10,28,30.28
2012-08-17,28,30.78
2012-08-24,28,30.40
2012-08-31,27,30.26
2012-09-07,27,30.67
2012-09-14,37,31.34
2012-09-21,31,31.77
2012-09-28,33,31.47
2012-10-05,35,31.97
2012-10-12,37,31.69
2012-10-19,39,32.42
2012-10-26,41,33.09
2012-11-02,29,33.46
2012-11-09,29,33.01
2012-11-16,23,32.36
2012-11-23,23,33.66
2012-11-30,21,33.60
2012-12-07,21,33.28
2012-12-14,21,32.61
2012-12-21,21,33.15
2012-12-28,0,33.01
2013-01-04,0,34.06
2013-01-11,0,34.64
2013-01-18,0,35.90
2013-01-25,0,35.76
2013-02-01,21,36.34
2013-02-08,21,36.56
2013-02-15,21,37.11
2013-02-22,17,37.21
2013-03-01,17,37.48
2013-03-08,18,38.41
2013-03-15,18,39.02
2013-03-22,19,39.06
2013-03-29,19,
2013-04-05,19,39.90
2013-04-12,19,40.11
2013-04-19,21,39.95
2013-04-26,33,38.71
2013-05-03,17,39.40
2013-05-10,17,39.73
2013-05-17,17,40.79
2013-05-24,22,40.14
2013-05-31,20,39.15
2013-06-07,17,39.61
2013-06-14,19,39.43
2013-06-21,22,38.60
2013-06-28,24,39.14
2013-07-05,18,39.71
2013-07-12,23,41.49
2013-07-19,29,41.35
2013-07-26,17,41.16
2013-08-02,17,42.23
2013-08-09,18,41.80
2013-08-16,19,40.74
2013-08-23,20,41.11
2013-08-30,20,39.79
2013-09-06,21,39.95
2013-09-13,21,39.41
2013-09-20,25,39.58
2013-09-27,30,39.38
2013-10-04,18,38.47
2013-10-11,25,38.73
2013-10-18,22,39.08
2013-10-25,22,40.00
2013-11-01,22,39.83
2013-11-08,22,39.07
2013-11-15,38,39.15
2013-11-22,22,39.54
2013-11-29,22,39.03
2013-12-06,22,39.47
2013-12-13,20,39.09
2013-12-20,18,39.78
2013-12-27,18,40.58
2014-01-03,18,40.41
2014-01-10,18,40.48
2014-01-17,20,39.91
2014-01-24,21,37.85
2014-01-31,15,38.51
2014-02-07,16,38.49
2014-02-14,22,39.06
2014-02-21,28,38.88
2014-02-28,33,39.28
2014-03-07,26,39.38
2014-03-14,25,38.45
2014-03-21,16,38.34
2014-03-28,22,38.34
2014-04-04,18,39.92
2014-04-11,19,39.58
2014-04-18,21,
2014-04-25,23,40.31
2014-05-02,0,
