Date,Boston Properties,Price
2004-01-09,77,
2004-01-16,68,
2004-01-23,64,
2004-01-30,61,
2004-02-06,100,51.50
2004-02-13,77,51.31
2004-02-20,54,51.38
2004-02-27,70,51.23
2004-03-05,58,52.25
2004-03-12,58,52.55
2004-03-19,58,54.15
2004-03-26,57,54.28
2004-04-02,57,54.80
2004-04-09,50,
2004-04-16,50,48.42
2004-04-23,50,46.60
2004-04-30,66,47.00
2004-05-07,60,44.60
2004-05-14,49,44.65
2004-05-21,79,46.17
2004-05-28,55,49.36
2004-06-04,55,49.12
2004-06-11,55,
2004-06-18,54,49.59
2004-06-25,50,50.40
2004-07-02,66,51.33
2004-07-09,69,51.05
2004-07-16,72,52.20
2004-07-23,66,51.58
2004-07-30,72,52.90
2004-08-06,82,53.75
2004-08-13,74,52.85
2004-08-20,64,55.05
2004-08-27,62,54.71
2004-09-03,70,55.68
2004-09-10,79,54.65
2004-09-17,48,55.20
2004-09-24,60,54.75
2004-10-01,55,56.25
2004-10-08,41,56.96
2004-10-15,41,58.35
2004-10-22,41,59.00
2004-10-29,43,59.72
2004-11-05,45,58.10
2004-11-12,84,61.35
2004-11-19,43,59.40
2004-11-26,43,60.06
2004-12-03,43,62.75
2004-12-10,43,62.94
2004-12-17,44,63.30
2004-12-24,47,
2004-12-31,53,64.67
2005-01-07,58,61.09
2005-01-14,62,59.88
2005-01-21,51,60.46
2005-01-28,56,57.99
2005-02-04,63,59.62
2005-02-11,72,60.40
2005-02-18,38,61.07
2005-02-25,48,60.12
2005-03-04,39,61.85
2005-03-11,47,60.51
2005-03-18,49,61.55
2005-03-25,51,
2005-04-01,67,59.65
2005-04-08,60,60.75
2005-04-15,49,62.33
2005-04-22,50,63.29
2005-04-29,58,66.47
2005-05-06,84,66.81
2005-05-13,60,65.77
2005-05-20,66,68.03
2005-05-27,59,65.70
2005-06-03,39,67.00
2005-06-10,54,67.75
2005-06-17,45,69.90
2005-06-24,36,69.32
2005-07-01,33,70.99
2005-07-08,40,73.05
2005-07-15,56,72.70
2005-07-22,71,73.41
2005-07-29,62,76.15
2005-08-05,75,73.28
2005-08-12,41,70.79
2005-08-19,35,70.27
2005-08-26,43,70.03
2005-09-02,45,71.49
2005-09-09,34,72.26
2005-09-16,34,73.20
2005-09-23,60,71.60
2005-09-30,27,70.90
2005-10-07,41,67.58
2005-10-14,44,66.84
2005-10-21,35,67.00
2005-10-28,34,67.88
2005-11-04,27,67.00
2005-11-11,31,72.85
2005-11-18,36,73.95
2005-11-25,38,74.66
2005-12-02,39,75.66
2005-12-09,53,74.77
2005-12-16,25,75.68
2005-12-23,31,74.80
2005-12-30,38,74.13
2006-01-06,34,78.35
2006-01-13,43,76.91
2006-01-20,34,76.29
2006-01-27,36,78.21
2006-02-03,39,78.22
2006-02-10,47,78.36
2006-02-17,33,83.96
2006-02-24,22,85.43
2006-03-03,41,85.66
2006-03-10,40,89.83
2006-03-17,53,96.02
2006-03-24,33,92.33
2006-03-31,50,93.25
2006-04-07,53,88.41
2006-04-14,61,
2006-04-21,39,89.52
2006-04-28,69,88.27
2006-05-05,24,87.60
2006-05-12,33,87.02
2006-05-19,29,86.04
2006-05-26,44,86.79
2006-06-02,38,87.97
2006-06-09,44,87.98
2006-06-16,60,88.06
2006-06-23,34,87.53
2006-06-30,31,90.40
2006-07-07,43,92.00
2006-07-14,55,91.66
2006-07-21,60,93.01
2006-07-28,44,97.91
2006-08-04,45,100.50
2006-08-11,47,95.10
2006-08-18,83,97.61
2006-08-25,35,99.74
2006-09-01,47,100.90
2006-09-08,34,100.67
2006-09-15,37,104.25
2006-09-22,34,104.06
2006-09-29,29,103.34
2006-10-06,36,104.23
2006-10-13,40,106.15
2006-10-20,45,104.52
2006-10-27,29,104.36
2006-11-03,45,103.35
2006-11-10,28,105.83
2006-11-17,33,108.62
2006-11-24,32,117.95
2006-12-01,39,116.85
2006-12-08,32,117.24
2006-12-15,29,115.17
2006-12-22,30,111.87
2006-12-29,29,111.88
2007-01-05,34,109.72
2007-01-12,44,115.87
2007-01-19,33,119.93
2007-01-26,34,122.68
2007-02-02,58,126.88
2007-02-09,40,127.04
2007-02-16,40,125.88
2007-02-23,28,122.65
2007-03-02,38,117.03
2007-03-09,31,119.70
2007-03-16,34,116.67
2007-03-23,49,119.14
2007-03-30,36,117.40
2007-04-06,32,
2007-04-13,54,116.32
2007-04-20,37,116.35
2007-04-27,33,118.92
2007-05-04,32,115.64
2007-05-11,38,117.11
2007-05-18,33,107.30
2007-05-25,37,107.73
2007-06-01,42,116.70
2007-06-08,32,111.26
2007-06-15,40,109.44
2007-06-22,23,101.59
2007-06-29,53,102.13
2007-07-06,30,106.02
2007-07-13,46,106.20
2007-07-20,32,103.42
2007-07-27,54,92.82
2007-08-03,41,95.32
2007-08-10,28,101.26
2007-08-17,46,97.61
2007-08-24,51,98.06
2007-08-31,33,100.07
2007-09-07,36,96.76
2007-09-14,47,97.28
2007-09-21,36,103.81
2007-09-28,30,103.90
2007-10-05,37,113.60
2007-10-12,22,109.22
2007-10-19,35,100.04
2007-10-26,35,107.19
2007-11-02,26,103.08
2007-11-09,32,100.20
2007-11-16,26,96.19
2007-11-23,37,93.25
2007-11-30,29,98.42
2007-12-07,31,102.39
