Date,CHK,Price
2004-01-09,17,
2004-01-16,18,
2004-01-23,17,
2004-01-30,13,
2004-02-06,19,12.16
2004-02-13,15,12.90
2004-02-20,21,12.47
2004-02-27,19,12.82
2004-03-05,19,13.48
2004-03-12,9,12.95
2004-03-19,9,12.86
2004-03-26,19,12.65
2004-04-02,15,13.42
2004-04-09,12,
2004-04-16,17,14.00
2004-04-23,23,14.09
2004-04-30,20,13.75
2004-05-07,14,13.59
2004-05-14,21,13.52
2004-05-21,20,13.27
2004-05-28,20,13.20
2004-06-04,22,13.13
2004-06-11,29,
2004-06-18,21,14.39
2004-06-25,27,14.90
2004-07-02,29,15.16
2004-07-09,29,15.48
2004-07-16,35,15.99
2004-07-23,26,15.26
2004-07-30,20,15.35
2004-08-06,19,13.93
2004-08-13,27,14.39
2004-08-20,23,14.36
2004-08-27,24,14.13
2004-09-03,16,14.47
2004-09-10,22,14.88
2004-09-17,22,15.12
2004-09-24,27,15.70
2004-10-01,23,16.08
2004-10-08,24,16.76
2004-10-15,26,15.84
2004-10-22,24,16.09
2004-10-29,20,16.08
2004-11-05,16,17.03
2004-11-12,14,17.19
2004-11-19,16,17.17
2004-11-26,17,18.13
2004-12-03,18,16.74
2004-12-10,16,15.90
2004-12-17,17,17.16
2004-12-24,23,
2004-12-31,16,16.50
2005-01-07,17,15.63
2005-01-14,15,16.58
2005-01-21,24,16.86
2005-01-28,17,17.36
2005-02-04,19,18.22
2005-02-11,20,18.81
2005-02-18,20,19.81
2005-02-25,17,21.57
2005-03-04,15,23.28
2005-03-11,23,21.96
2005-03-18,16,22.79
2005-03-25,13,
2005-04-01,17,22.49
2005-04-08,20,21.22
2005-04-15,16,19.35
2005-04-22,17,20.64
2005-04-29,17,19.24
2005-05-06,14,20.00
2005-05-13,17,18.40
2005-05-20,16,19.28
2005-05-27,20,20.29
2005-06-03,20,21.00
2005-06-10,15,21.50
2005-06-17,22,23.39
2005-06-24,21,23.04
2005-07-01,23,24.19
2005-07-08,19,25.14
2005-07-15,24,24.50
2005-07-22,26,25.53
2005-07-29,26,26.11
2005-08-05,27,28.47
2005-08-12,35,29.09
2005-08-19,36,27.05
2005-08-26,23,28.11
2005-09-02,26,31.78
2005-09-09,22,33.35
2005-09-16,27,33.86
2005-09-23,37,35.22
2005-09-30,25,38.25
2005-10-07,35,34.04
2005-10-14,32,32.60
2005-10-21,35,29.55
2005-10-28,26,31.43
2005-11-04,34,29.04
2005-11-11,30,27.43
2005-11-18,28,28.73
2005-11-25,27,29.40
2005-12-02,31,30.52
2005-12-09,35,31.15
2005-12-16,31,32.06
2005-12-23,35,32.16
2005-12-30,27,31.73
2006-01-06,30,32.25
2006-01-13,34,32.54
2006-01-20,31,33.53
2006-01-27,25,32.34
2006-02-03,28,33.61
2006-02-10,22,29.62
2006-02-17,27,29.73
2006-02-24,29,30.00
2006-03-03,24,31.51
2006-03-10,22,30.00
2006-03-17,23,31.50
2006-03-24,24,31.20
2006-03-31,23,31.41
2006-04-07,20,31.28
2006-04-14,20,
2006-04-21,24,33.25
2006-04-28,24,31.68
2006-05-05,26,32.85
2006-05-12,24,31.53
2006-05-19,23,29.41
2006-05-26,21,30.02
2006-06-02,15,30.67
2006-06-09,23,28.89
2006-06-16,23,30.01
2006-06-23,22,30.48
2006-06-30,24,30.25
2006-07-07,27,29.40
2006-07-14,26,29.47
2006-07-21,27,28.54
2006-07-28,26,32.20
2006-08-04,26,32.43
2006-08-11,29,31.95
2006-08-18,25,31.20
2006-08-25,25,32.32
2006-09-01,23,32.00
2006-09-08,16,30.24
2006-09-15,21,29.05
2006-09-22,20,28.84
2006-09-29,19,28.98
2006-10-06,17,28.96
2006-10-13,21,29.76
2006-10-20,19,30.60
2006-10-27,23,32.40
2006-11-03,20,32.15
2006-11-10,19,32.30
2006-11-17,19,32.51
2006-11-24,15,32.55
2006-12-01,17,34.09
2006-12-08,17,32.08
2006-12-15,18,31.15
2006-12-22,19,29.80
2006-12-29,20,29.05
2007-01-05,24,27.95
2007-01-12,25,28.05
2007-01-19,21,28.96
2007-01-26,23,29.00
2007-02-02,23,29.46
2007-02-09,21,29.63
2007-02-16,21,29.68
2007-02-23,24,30.47
2007-03-02,25,29.89
2007-03-09,31,30.13
2007-03-16,33,29.57
2007-03-23,31,30.76
2007-03-30,31,30.88
2007-04-06,30,
2007-04-13,30,33.69
2007-04-20,29,32.81
2007-04-27,22,33.67
2007-05-04,31,35.54
2007-05-11,25,34.30
2007-05-18,22,35.26
2007-05-25,21,34.89
2007-06-01,17,35.04
2007-06-08,21,35.58
2007-06-15,17,37.32
2007-06-22,20,36.22
2007-06-29,22,34.60
2007-07-06,20,35.25
2007-07-13,20,36.32
2007-07-20,23,36.49
2007-07-27,21,33.78
2007-08-03,23,35.17
2007-08-10,23,34.02
2007-08-17,21,33.55
2007-08-24,24,33.04
2007-08-31,23,32.26
2007-09-07,18,33.99
2007-09-14,16,34.95
2007-09-21,20,35.56
2007-09-28,17,35.26
2007-10-05,17,36.87
2007-10-12,17,37.49
2007-10-19,16,37.60
2007-10-26,18,38.81
2007-11-02,20,40.07
2007-11-09,20,40.22
2007-11-16,18,38.18
2007-11-23,17,38.13
2007-11-30,17,37.85
2007-12-07,14,38.37
2007-12-14,14,38.21
2007-12-21,16,39.09
2007-12-28,16,39.53
2008-01-04,14,39.32
2008-01-11,14,39.52
2008-01-18,17,37.23
2008-01-25,15,36.10
2008-02-01,18,37.71
2008-02-08,14,38.64
2008-02-15,19,43.05
2008-02-22,16,44.45
2008-02-29,15,45.22
2008-03-07,18,44.74
2008-03-14,22,47.90
2008-03-21,19,
2008-03-28,17,45.50
2008-04-04,17,46.42
2008-04-11,16,47.60
2008-04-18,18,50.39
2008-04-25,22,54.68
2008-05-02,25,52.67
2008-05-09,23,56.67
2008-05-16,25,58.78
2008-05-23,25,52.55
2008-05-30,21,54.77
2008-06-06,25,58.05
2008-06-13,24,59.26
2008-06-20,22,63.96
2008-06-27,26,64.09
2008-07-04,26,
2008-07-11,29,63.52
2008-07-18,34,54.33
2008-07-25,34,48.29
2008-08-01,36,49.22
2008-08-08,30,43.29
2008-08-15,27,45.53
2008-08-22,25,47.65
2008-08-29,24,48.40
2008-09-05,23,44.34
2008-09-12,24,42.26
2008-09-19,29,41.73
2008-09-26,22,37.94
