Date,CI,Price
2004-01-09,53,
2004-01-16,52,
2004-01-23,49,
2004-01-30,46,
2004-02-06,52,56.55
2004-02-13,50,53.05
2004-02-20,56,55.09
2004-02-27,51,55.43
2004-03-05,48,56.17
2004-03-12,50,55.15
2004-03-19,59,57.17
2004-03-26,61,57.43
2004-04-02,56,60.65
2004-04-09,52,
2004-04-16,54,65.22
2004-04-23,59,66.75
2004-04-30,51,64.51
2004-05-07,50,65.98
2004-05-14,53,66.95
2004-05-21,49,65.54
2004-05-28,54,67.80
2004-06-04,57,68.84
2004-06-11,53,
2004-06-18,55,69.15
2004-06-25,53,67.19
2004-07-02,50,68.81
2004-07-09,57,65.46
2004-07-16,49,65.15
2004-07-23,47,62.95
2004-07-30,48,62.01
2004-08-06,50,59.20
2004-08-13,47,62.87
2004-08-20,48,64.44
2004-08-27,52,66.30
2004-09-03,51,68.86
2004-09-10,56,67.98
2004-09-17,56,69.47
2004-09-24,56,67.28
2004-10-01,51,70.60
2004-10-08,52,69.93
2004-10-15,52,67.08
2004-10-22,51,58.85
2004-10-29,50,63.46
2004-11-05,49,65.75
2004-11-12,55,69.93
2004-11-19,50,68.12
2004-11-26,58,70.30
2004-12-03,52,74.85
2004-12-10,51,81.00
2004-12-17,55,79.10
2004-12-24,54,
2004-12-31,55,81.57
2005-01-07,50,78.82
2005-01-14,55,83.33
2005-01-21,53,80.17
2005-01-28,55,78.60
2005-02-04,55,83.18
2005-02-11,52,89.66
2005-02-18,53,89.97
2005-02-25,52,91.40
2005-03-04,60,90.17
2005-03-11,59,87.20
2005-03-18,57,86.12
2005-03-25,53,
2005-04-01,59,88.95
2005-04-08,61,90.34
2005-04-15,59,90.03
2005-04-22,57,88.00
2005-04-29,59,91.98
2005-05-06,56,97.47
2005-05-13,57,94.74
2005-05-20,58,97.40
2005-05-27,56,98.89
2005-06-03,52,98.58
2005-06-10,57,103.18
2005-06-17,55,106.73
2005-06-24,51,106.84
2005-07-01,53,106.78
2005-07-08,54,109.12
2005-07-15,51,109.95
2005-07-22,47,103.91
2005-07-29,49,106.75
2005-08-05,50,111.26
2005-08-12,47,113.42
2005-08-19,49,112.89
2005-08-26,55,112.80
2005-09-02,54,115.60
2005-09-09,54,115.19
2005-09-16,55,115.10
2005-09-23,53,114.49
2005-09-30,52,117.86
2005-10-07,56,115.77
2005-10-14,55,111.59
2005-10-21,53,114.35
2005-10-28,55,114.93
2005-11-04,56,111.59
2005-11-11,54,112.11
2005-11-18,55,113.90
2005-11-25,58,114.03
2005-12-02,56,115.29
2005-12-09,57,112.40
2005-12-16,57,111.35
2005-12-23,56,113.05
2005-12-30,53,111.70
2006-01-06,59,116.99
2006-01-13,57,114.39
2006-01-20,54,112.02
2006-01-27,57,118.05
2006-02-03,51,121.31
2006-02-10,56,123.63
2006-02-17,58,122.21
2006-02-24,56,124.57
2006-03-03,55,123.52
2006-03-10,55,127.51
2006-03-17,53,132.53
2006-03-24,58,131.14
2006-03-31,57,130.62
2006-04-07,57,127.08
2006-04-14,57,
2006-04-21,53,120.09
2006-04-28,57,107.00
2006-05-05,55,91.88
2006-05-12,59,93.50
2006-05-19,57,93.25
2006-05-26,58,92.68
2006-06-02,60,97.44
2006-06-09,55,94.70
2006-06-16,54,93.45
2006-06-23,58,94.15
2006-06-30,54,98.51
2006-07-07,50,99.60
2006-07-14,51,101.04
2006-07-21,54,102.22
2006-07-28,51,91.65
2006-08-04,54,105.04
2006-08-11,52,105.94
2006-08-18,56,111.70
2006-08-25,55,110.00
2006-09-01,55,113.42
2006-09-08,53,112.52
2006-09-15,57,115.26
2006-09-22,58,117.11
2006-09-29,56,116.32
2006-10-06,58,117.73
2006-10-13,61,117.86
2006-10-20,54,119.90
2006-10-27,56,118.20
2006-11-03,55,120.68
2006-11-10,55,119.15
2006-11-17,56,121.49
2006-11-24,58,124.69
2006-12-01,57,125.39
2006-12-08,54,128.01
2006-12-15,56,129.65
2006-12-22,55,130.35
2006-12-29,55,131.57
2007-01-05,55,128.39
2007-01-12,57,130.77
2007-01-19,55,129.94
2007-01-26,56,129.95
2007-02-02,57,133.95
2007-02-09,57,137.99
2007-02-16,57,143.92
2007-02-23,59,143.89
2007-03-02,57,141.01
2007-03-09,60,139.95
2007-03-16,60,142.33
2007-03-23,62,146.41
2007-03-30,60,142.66
2007-04-06,57,
2007-04-13,57,148.93
2007-04-20,58,152.27
2007-04-27,60,154.43
2007-05-04,57,160.90
2007-05-11,64,163.50
2007-05-18,61,166.67
2007-05-25,63,165.09
2007-06-01,64,168.50
2007-06-08,60,54.90
2007-06-15,58,54.46
2007-06-22,59,52.98
2007-06-29,61,52.22
2007-07-06,60,54.28
2007-07-13,59,53.89
2007-07-20,56,52.37
2007-07-27,56,50.19
2007-08-03,57,47.87
2007-08-10,57,47.40
2007-08-17,56,47.65
2007-08-24,58,50.66
2007-08-31,63,51.68
2007-09-07,63,51.90
2007-09-14,63,54.34
2007-09-21,64,52.87
2007-09-28,64,53.29
2007-10-05,66,52.77
2007-10-12,65,52.87
2007-10-19,66,51.45
2007-10-26,64,52.07
2007-11-02,66,49.93
2007-11-09,65,49.28
2007-11-16,67,49.41
2007-11-23,80,49.03
2007-11-30,77,53.61
2007-12-07,75,55.70
2007-12-14,66,53.72
2007-12-21,63,54.40
2007-12-28,64,54.60
2008-01-04,63,53.21
2008-01-11,68,55.05
2008-01-18,68,51.87
2008-01-25,67,48.57
2008-02-01,67,49.79
2008-02-08,67,47.58
2008-02-15,68,48.47
2008-02-22,67,47.37
2008-02-29,73,44.58
2008-03-07,66,42.89
2008-03-14,67,39.94
2008-03-21,68,
2008-03-28,67,41.11
2008-04-04,66,43.42
2008-04-11,70,41.85
2008-04-18,72,42.70
2008-04-25,69,43.49
2008-05-02,64,42.43
2008-05-09,67,41.28
2008-05-16,69,40.46
2008-05-23,70,40.59
2008-05-30,73,40.60
2008-06-06,72,41.55
2008-06-13,79,40.65
2008-06-20,70,36.19
2008-06-27,71,35.70
2008-07-04,70,
2008-07-11,65,33.81
2008-07-18,70,34.97
2008-07-25,69,37.10
2008-08-01,67,35.61
2008-08-08,66,42.18
2008-08-15,63,43.15
2008-08-22,67,42.26
2008-08-29,74,41.88
2008-09-05,69,39.82
2008-09-12,68,40.66
2008-09-19,71,36.85
2008-09-26,72,36.53
2008-10-03,75,33.40
2008-10-10,74,22.26
2008-10-17,76,25.22
2008-10-24,72,23.83
2008-10-31,80,16.30
2008-11-07,71,15.85
2008-11-14,74,12.95
2008-11-21,73,8.82
2008-11-28,70,12.11
2008-12-05,70,14.14
2008-12-12,73,15.54
2008-12-19,70,16.18
2008-12-26,68,15.88
2009-01-02,70,17.79
2009-01-09,75,16.71
2009-01-16,71,15.27
2009-01-23,74,15.52
2009-01-30,75,17.36
2009-02-06,76,21.73
2009-02-13,73,21.30
2009-02-20,75,18.67
2009-02-27,74,15.76
2009-03-06,77,13.44
2009-03-13,76,17.24
2009-03-20,78,17.26
2009-03-27,78,17.90
2009-04-03,76,18.34
2009-04-10,78,
2009-04-17,74,21.41
2009-04-24,79,19.58
2009-05-01,80,19.49
2009-05-08,83,23.68
2009-05-15,81,21.66
2009-05-22,79,19.93
2009-05-29,81,22.17
2009-06-05,80,22.84
2009-06-12,77,20.89
2009-06-19,79,25.24
2009-06-26,77,24.67
2009-07-03,72,
2009-07-10,77,23.98
2009-07-17,73,24.87
2009-07-24,73,26.20
2009-07-31,75,28.40
2009-08-07,73,27.65
2009-08-14,71,28.82
2009-08-21,74,29.87
2009-08-28,78,29.67
2009-09-04,81,29.90
2009-09-11,78,31.33
2009-09-18,82,31.84
2009-09-25,78,28.31
2009-10-02,78,27.82
2009-10-09,79,29.52
2009-10-16,82,28.37
2009-10-23,80,28.50
2009-10-30,78,27.84
2009-11-06,80,30.88
2009-11-13,79,30.59
2009-11-20,78,30.03
2009-11-27,85,32.64
2009-12-04,83,32.16
2009-12-11,81,35.56
2009-12-18,79,35.80
2009-12-25,76,
2010-01-01,80,
2010-01-08,83,37.97
2010-01-15,82,36.84
2010-01-22,82,36.72
2010-01-29,83,33.77
2010-02-05,84,33.36
2010-02-12,84,32.76
2010-02-19,85,32.80
2010-02-26,81,34.26
2010-03-05,82,34.77
2010-03-12,83,34.54
2010-03-19,83,37.08
2010-03-26,79,35.90
2010-04-02,83,
2010-04-09,83,36.63
2010-04-16,81,34.49
2010-04-23,83,33.99
2010-04-30,83,32.06
2010-05-07,89,31.39
2010-05-14,92,33.43
2010-05-21,87,32.65
2010-05-28,88,33.47
2010-06-04,93,34.07
2010-06-11,86,34.49
2010-06-18,85,35.21
2010-06-25,86,33.29
2010-07-02,81,29.77
2010-07-09,77,31.29
2010-07-16,77,30.34
2010-07-23,80,31.01
2010-07-30,79,30.76
2010-08-06,77,34.39
2010-08-13,73,33.38
2010-08-20,77,32.41
2010-08-27,82,32.52
2010-09-03,81,33.76
2010-09-10,88,34.64
2010-09-17,84,34.47
2010-09-24,85,36.01
2010-10-01,86,36.03
2010-10-08,85,35.42
2010-10-15,81,35.87
2010-10-22,86,36.17
2010-10-29,85,35.16
2010-11-05,87,37.36
2010-11-12,90,37.36
2010-11-19,87,37.45
2010-11-26,90,36.21
2010-12-03,90,37.98
2010-12-10,93,37.65
2010-12-17,91,36.70
2010-12-24,91,
2010-12-31,89,36.66
2011-01-07,91,39.41
2011-01-14,89,40.03
2011-01-21,93,40.97
2011-01-28,92,41.26
2011-02-04,90,42.83
2011-02-11,91,42.92
2011-02-18,92,43.13
2011-02-25,89,41.99
2011-03-04,88,43.82
2011-03-11,87,43.57
2011-03-18,85,41.61
2011-03-25,85,42.60
2011-04-01,89,44.56
2011-04-08,83,43.13
2011-04-15,87,44.48
2011-04-22,84,
2011-04-29,80,46.83
2011-05-06,84,46.88
2011-05-13,88,48.69
2011-05-20,86,49.14
2011-05-27,87,49.47
2011-06-03,83,49.61
2011-06-10,84,49.09
2011-06-17,84,48.89
2011-06-24,82,48.42
2011-07-01,81,52.20
2011-07-08,80,51.85
2011-07-15,83,51.66
2011-07-22,83,52.62
2011-07-29,84,49.77
2011-08-05,80,45.19
2011-08-12,81,43.79
2011-08-19,76,41.65
2011-08-26,80,44.86
2011-09-02,83,44.84
2011-09-09,88,42.88
2011-09-16,89,46.40
2011-09-23,90,42.26
2011-09-30,88,41.94
2011-10-07,86,41.98
2011-10-14,82,44.70
2011-10-21,87,44.70
2011-10-28,87,46.63
2011-11-04,88,42.99
2011-11-11,90,43.77
2011-11-18,91,42.09
2011-11-25,92,40.92
2011-12-02,96,43.07
2011-12-09,95,42.61
2011-12-16,94,42.38
2011-12-23,87,43.13
2011-12-30,89,42.00
2012-01-06,93,43.61
2012-01-13,97,45.61
2012-01-20,95,46.14
2012-01-27,100,45.18
2012-02-03,95,43.55
2012-02-10,91,43.54
2012-02-17,91,44.93
2012-02-24,93,45.09
2012-03-02,92,44.20
2012-03-09,91,45.18
2012-03-16,90,46.82
2012-03-23,88,45.84
2012-03-30,87,49.25
2012-04-06,84,
2012-04-13,87,48.31
2012-04-20,89,48.02
2012-04-27,85,46.87
2012-05-04,85,45.26
2012-05-11,86,45.11
2012-05-18,85,42.91
2012-05-25,86,44.50
2012-06-01,88,42.58
2012-06-08,85,44.87
2012-06-15,82,45.29
2012-06-22,82,45.15
2012-06-29,79,44.00
2012-07-06,79,42.54
2012-07-13,79,43.63
2012-07-20,79,41.68
2012-07-27,77,41.39
2012-08-03,76,42.08
2012-08-10,77,43.82
2012-08-17,74,44.30
2012-08-24,81,44.50
2012-08-31,84,45.77
2012-09-07,87,46.13
2012-09-14,87,47.80
2012-09-21,86,47.10
2012-09-28,88,47.17
2012-10-05,86,48.85
2012-10-12,85,49.71
2012-10-19,81,49.66
2012-10-26,83,49.70
2012-11-02,85,53.09
2012-11-09,92,51.65
2012-11-16,90,50.47
2012-11-23,93,52.76
2012-11-30,90,52.27
2012-12-07,85,52.90
2012-12-14,83,53.02
2012-12-21,84,53.79
2012-12-28,76,52.85
2013-01-04,82,54.75
2013-01-11,84,55.60
2013-01-18,85,56.33
2013-01-25,86,58.48
2013-02-01,83,58.88
2013-02-08,82,61.93
2013-02-15,82,61.08
2013-02-22,85,58.71
2013-03-01,87,58.26
2013-03-08,88,59.66
2013-03-15,90,62.63
2013-03-22,88,61.75
2013-03-29,90,
2013-04-05,95,64.54
2013-04-12,88,66.72
2013-04-19,84,65.15
2013-04-26,84,65.81
2013-05-03,80,67.13
2013-05-10,82,68.82
2013-05-17,81,67.90
2013-05-24,81,67.23
2013-05-31,83,67.90
2013-06-07,81,68.45
2013-06-14,81,68.16
2013-06-21,77,71.04
2013-06-28,78,72.49
2013-07-05,78,73.94
2013-07-12,80,76.03
2013-07-19,79,77.84
2013-07-26,77,77.57
2013-08-02,76,77.30
2013-08-09,77,78.44
2013-08-16,74,77.36
2013-08-23,79,79.33
2013-08-30,83,78.69
2013-09-06,81,80.83
2013-09-13,81,83.65
2013-09-20,81,78.59
2013-09-27,83,77.65
2013-10-04,81,79.23
2013-10-11,82,79.60
2013-10-18,82,74.95
2013-10-25,85,73.90
2013-11-01,90,78.38
2013-11-08,92,80.68
2013-11-15,96,83.64
2013-11-22,97,86.62
2013-11-29,95,87.45
2013-12-06,88,86.50
2013-12-13,87,83.25
2013-12-20,88,85.25
2013-12-27,85,86.53
2014-01-03,85,86.40
2014-01-10,87,89.21
2014-01-17,90,89.46
2014-01-24,87,86.70
2014-01-31,87,86.31
2014-02-07,86,77.47
2014-02-14,85,77.71
2014-02-21,85,77.34
2014-02-28,84,79.59
2014-03-07,83,79.05
2014-03-14,82,76.55
2014-03-21,85,82.04
2014-03-28,87,79.41
2014-04-04,84,81.80
2014-04-11,85,77.11
2014-04-18,82,
2014-04-25,81,78.95
2014-05-02,86,
