Date,CLX,Price
2004-01-09,46,
2004-01-16,60,
2004-01-23,69,
2004-01-30,89,
2004-02-06,82,49.71
2004-02-13,55,48.37
2004-02-20,91,48.44
2004-02-27,61,49.06
2004-03-05,78,49.20
2004-03-12,94,48.40
2004-03-19,56,48.52
2004-03-26,61,48.60
2004-04-02,65,50.27
2004-04-09,70,
2004-04-16,70,52.70
2004-04-23,70,52.01
2004-04-30,54,51.78
2004-05-07,50,52.10
2004-05-14,39,50.70
2004-05-21,59,50.58
2004-05-28,72,52.36
2004-06-04,58,52.03
2004-06-11,50,
2004-06-18,75,53.55
2004-06-25,67,53.50
2004-07-02,59,53.05
2004-07-09,59,53.15
2004-07-16,72,51.88
2004-07-23,67,49.78
2004-07-30,55,49.77
2004-08-06,55,50.14
2004-08-13,69,51.42
2004-08-20,63,52.99
2004-08-27,57,52.73
2004-09-03,84,53.53
2004-09-10,71,53.33
2004-09-17,61,54.68
2004-09-24,60,53.18
2004-10-01,48,54.33
2004-10-08,54,55.30
2004-10-15,68,55.02
2004-10-22,60,55.91
2004-10-29,61,54.60
2004-11-05,38,55.50
2004-11-12,44,55.75
2004-11-19,49,56.45
2004-11-26,61,54.80
2004-12-03,36,57.21
2004-12-10,65,57.40
2004-12-17,37,58.65
2004-12-24,53,
2004-12-31,44,58.93
2005-01-07,57,58.46
2005-01-14,46,58.55
2005-01-21,56,59.20
2005-01-28,54,58.42
2005-02-04,61,58.60
2005-02-11,58,59.82
2005-02-18,42,59.59
2005-02-25,61,60.19
2005-03-04,44,60.68
2005-03-11,45,60.76
2005-03-18,42,61.71
2005-03-25,51,
2005-04-01,40,62.86
2005-04-08,63,63.90
2005-04-15,50,63.78
2005-04-22,64,63.00
2005-04-29,45,63.30
2005-05-06,63,57.59
2005-05-13,25,57.46
2005-05-20,70,59.47
2005-05-27,35,58.49
2005-06-03,41,58.22
2005-06-10,44,57.10
2005-06-17,47,57.02
2005-06-24,51,55.55
2005-07-01,51,55.74
2005-07-08,53,55.60
2005-07-15,33,56.42
2005-07-22,30,55.02
2005-07-29,52,55.85
2005-08-05,63,56.28
2005-08-12,47,57.24
2005-08-19,42,57.40
2005-08-26,48,56.91
2005-09-02,56,57.38
2005-09-09,28,56.97
2005-09-16,45,57.90
2005-09-23,46,54.92
2005-09-30,56,55.54
2005-10-07,44,53.71
2005-10-14,40,54.37
2005-10-21,48,53.66
2005-10-28,39,53.90
2005-11-04,32,54.11
2005-11-11,39,54.60
2005-11-18,32,54.74
2005-11-25,58,54.27
2005-12-02,41,54.98
2005-12-09,28,54.35
2005-12-16,42,55.76
2005-12-23,37,56.99
2005-12-30,59,56.89
2006-01-06,44,58.72
2006-01-13,53,58.69
2006-01-20,38,58.00
2006-01-27,38,58.92
2006-02-03,32,61.75
2006-02-10,42,60.88
2006-02-17,42,62.20
2006-02-24,46,61.56
2006-03-03,39,60.91
2006-03-10,42,61.81
2006-03-17,50,62.32
2006-03-24,45,61.86
2006-03-31,35,59.85
2006-04-07,37,58.85
2006-04-14,35,
2006-04-21,44,62.13
2006-04-28,35,64.18
2006-05-05,43,61.88
2006-05-12,43,60.76
2006-05-19,33,60.45
2006-05-26,36,62.70
2006-06-02,25,63.08
2006-06-09,45,61.61
2006-06-16,41,61.22
2006-06-23,29,60.69
2006-06-30,46,60.97
2006-07-07,29,60.87
2006-07-14,35,59.14
2006-07-21,37,58.82
2006-07-28,52,60.26
2006-08-04,26,59.11
2006-08-11,30,58.35
2006-08-18,35,60.57
2006-08-25,37,59.74
2006-09-01,45,60.04
2006-09-08,41,59.14
2006-09-15,35,62.54
2006-09-22,42,63.50
2006-09-29,28,63.00
2006-10-06,41,64.44
2006-10-13,37,64.99
2006-10-20,37,65.44
2006-10-27,41,64.28
2006-11-03,24,63.43
2006-11-10,43,64.11
2006-11-17,25,65.41
2006-11-24,43,64.50
2006-12-01,29,63.76
2006-12-08,39,64.04
2006-12-15,32,63.72
2006-12-22,30,64.14
2006-12-29,39,64.15
2007-01-05,49,63.89
2007-01-12,32,64.35
2007-01-19,34,64.42
2007-01-26,41,64.95
2007-02-02,40,67.34
2007-02-09,39,65.01
2007-02-16,44,66.16
2007-02-23,38,65.11
2007-03-02,31,62.90
2007-03-09,47,62.94
2007-03-16,36,62.23
2007-03-23,52,64.24
2007-03-30,60,63.69
2007-04-06,26,
2007-04-13,17,64.42
2007-04-20,47,66.45
2007-04-27,36,66.52
2007-05-04,43,67.68
2007-05-11,45,66.44
2007-05-18,48,67.07
2007-05-25,42,66.57
2007-06-01,51,66.94
2007-06-08,56,65.12
2007-06-15,52,64.39
2007-06-22,53,62.34
2007-06-29,60,62.10
2007-07-06,45,62.37
2007-07-13,54,62.95
2007-07-20,48,63.90
2007-07-27,60,62.01
2007-08-03,50,57.17
2007-08-10,43,59.59
2007-08-17,48,59.23
2007-08-24,41,61.34
2007-08-31,58,59.80
2007-09-07,43,59.38
2007-09-14,64,60.50
2007-09-21,63,61.09
2007-09-28,50,60.99
2007-10-05,58,61.41
2007-10-12,49,62.67
2007-10-19,54,60.95
2007-10-26,44,61.87
2007-11-02,52,63.06
2007-11-09,62,64.30
2007-11-16,59,66.23
2007-11-23,63,65.17
2007-11-30,61,64.88
2007-12-07,54,65.22
2007-12-14,63,65.74
2007-12-21,53,65.85
2007-12-28,57,65.57
2008-01-04,44,63.44
2008-01-11,48,61.57
2008-01-18,71,60.75
2008-01-25,62,59.59
2008-02-01,55,63.09
2008-02-08,68,57.06
2008-02-15,59,56.89
2008-02-22,58,57.84
2008-02-29,62,58.19
2008-03-07,58,56.83
2008-03-14,50,56.09
2008-03-21,48,
2008-03-28,55,56.22
2008-04-04,68,56.90
2008-04-11,56,55.04
2008-04-18,54,55.17
2008-04-25,60,54.94
2008-05-02,63,56.94
2008-05-09,59,55.70
2008-05-16,73,59.20
2008-05-23,56,56.53
2008-05-30,62,57.13
2008-06-06,69,53.91
2008-06-13,61,53.28
2008-06-20,64,53.42
2008-06-27,72,51.82
