Date,CNP,Price
2004-01-09,17,
2004-01-16,21,
2004-01-23,19,
2004-01-30,18,
2004-02-06,26,10.11
2004-02-13,20,10.32
2004-02-20,16,10.30
2004-02-27,19,10.46
2004-03-05,25,11.42
2004-03-12,18,10.86
2004-03-19,20,10.87
2004-03-26,21,11.13
2004-04-02,19,11.88
2004-04-09,15,
2004-04-16,12,11.14
2004-04-23,19,11.32
2004-04-30,15,10.79
2004-05-07,19,10.59
2004-05-14,20,10.60
2004-05-21,18,10.46
2004-05-28,19,10.84
2004-06-04,15,10.63
2004-06-11,18,
2004-06-18,19,11.20
2004-06-25,25,11.46
2004-07-02,24,11.41
2004-07-09,16,11.64
2004-07-16,17,11.95
2004-07-23,16,11.35
2004-07-30,16,11.61
2004-08-06,17,11.17
2004-08-13,13,10.94
2004-08-20,14,11.16
2004-08-27,18,10.64
2004-09-03,21,10.75
2004-09-10,17,10.53
2004-09-17,21,10.67
2004-09-24,14,10.02
2004-10-01,16,10.70
2004-10-08,18,10.95
2004-10-15,19,10.68
2004-10-22,16,10.41
2004-10-29,18,10.51
2004-11-05,14,10.75
2004-11-12,100,11.26
2004-11-19,21,11.17
2004-11-26,21,11.34
2004-12-03,17,11.28
2004-12-10,15,10.90
2004-12-17,19,11.20
2004-12-24,13,
2004-12-31,19,11.30
2005-01-07,16,10.70
2005-01-14,20,10.90
2005-01-21,25,10.99
2005-01-28,26,11.10
2005-02-04,35,11.91
2005-02-11,18,11.99
2005-02-18,26,12.00
2005-02-25,18,12.11
2005-03-04,23,12.47
2005-03-11,24,12.35
2005-03-18,20,12.27
2005-03-25,21,
2005-04-01,19,11.94
2005-04-08,23,11.95
2005-04-15,19,11.76
2005-04-22,23,11.85
2005-04-29,21,11.84
2005-05-06,14,11.98
2005-05-13,22,11.77
2005-05-20,24,12.07
2005-05-27,20,12.10
2005-06-03,19,12.38
2005-06-10,20,12.49
2005-06-17,17,12.65
2005-06-24,20,12.75
2005-07-01,19,13.41
2005-07-08,23,13.49
2005-07-15,33,13.74
2005-07-22,22,13.58
2005-07-29,19,13.74
2005-08-05,21,13.81
2005-08-12,18,13.40
2005-08-19,18,13.44
2005-08-26,18,13.83
2005-09-02,20,14.45
2005-09-09,20,14.64
2005-09-16,22,15.13
2005-09-23,23,14.33
2005-09-30,21,14.87
2005-10-07,19,13.89
2005-10-14,20,13.57
2005-10-21,18,12.65
2005-10-28,19,13.12
2005-11-04,16,13.00
2005-11-11,15,12.93
2005-11-18,19,13.19
2005-11-25,20,13.31
2005-12-02,18,13.28
2005-12-09,22,13.00
2005-12-16,18,13.30
2005-12-23,16,13.05
2005-12-30,16,12.85
2006-01-06,19,13.10
2006-01-13,22,13.00
2006-01-20,25,13.20
2006-01-27,21,12.97
2006-02-03,26,12.60
2006-02-10,25,12.65
2006-02-17,19,13.06
2006-02-24,22,13.04
2006-03-03,22,12.85
2006-03-10,23,12.74
2006-03-17,21,12.51
2006-03-24,18,12.15
2006-03-31,19,11.93
2006-04-07,18,11.86
2006-04-14,15,
2006-04-21,14,12.09
2006-04-28,21,12.02
2006-05-05,19,12.36
2006-05-12,23,12.02
2006-05-19,19,12.08
2006-05-26,19,12.04
2006-06-02,19,12.42
2006-06-09,24,12.30
2006-06-16,23,12.38
2006-06-23,23,12.20
2006-06-30,25,12.50
2006-07-07,25,12.72
2006-07-14,27,12.74
2006-07-21,18,13.36
2006-07-28,20,13.64
2006-08-04,17,13.84
