Date,CNX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,23.32
2004-02-13,0,23.85
2004-02-20,0,22.91
2004-02-27,0,25.23
2004-03-05,0,26.10
2004-03-12,0,25.43
2004-03-19,0,25.04
2004-03-26,0,25.02
2004-04-02,0,27.87
2004-04-09,0,
2004-04-16,0,27.95
2004-04-23,47,29.96
2004-04-30,56,28.63
2004-05-07,0,27.80
2004-05-14,0,28.06
2004-05-21,0,28.24
2004-05-28,0,30.85
2004-06-04,0,30.68
2004-06-11,0,
2004-06-18,0,33.41
2004-06-25,0,36.50
2004-07-02,0,35.72
2004-07-09,0,37.87
2004-07-16,0,38.00
2004-07-23,0,35.71
2004-07-30,57,35.84
2004-08-06,0,31.79
2004-08-13,0,32.12
2004-08-20,0,33.79
2004-08-27,0,32.01
2004-09-03,0,33.45
2004-09-10,0,34.14
2004-09-17,44,34.25
2004-09-24,44,35.95
2004-10-01,0,34.76
2004-10-08,0,35.25
2004-10-15,0,33.88
2004-10-22,0,35.80
2004-10-29,0,35.40
2004-11-05,0,37.20
2004-11-12,0,37.40
2004-11-19,0,39.81
2004-11-26,0,42.93
2004-12-03,0,41.24
2004-12-10,43,38.85
2004-12-17,36,41.25
2004-12-24,36,
2004-12-31,36,41.05
2005-01-07,36,38.30
2005-01-14,34,40.30
2005-01-21,34,40.01
2005-01-28,36,41.72
2005-02-04,39,43.68
2005-02-11,39,43.96
2005-02-18,39,43.20
2005-02-25,34,45.75
2005-03-04,36,46.50
2005-03-11,37,45.51
2005-03-18,39,48.04
2005-03-25,41,
2005-04-01,43,47.99
2005-04-08,46,47.25
2005-04-15,34,41.97
2005-04-22,39,44.90
2005-04-29,45,43.24
2005-05-06,35,47.77
2005-05-13,35,43.10
2005-05-20,32,45.72
2005-05-27,29,47.80
2005-06-03,29,50.59
2005-06-10,29,52.59
2005-06-17,31,54.15
2005-06-24,32,52.28
2005-07-01,34,55.73
2005-07-08,43,59.31
2005-07-15,52,59.31
2005-07-22,48,66.19
2005-07-29,45,67.36
2005-08-05,33,68.17
2005-08-12,33,69.13
2005-08-19,36,64.39
2005-08-26,40,63.92
2005-09-02,42,68.13
2005-09-09,44,74.06
2005-09-16,44,75.74
2005-09-23,35,72.37
2005-09-30,25,76.27
2005-10-07,44,72.21
2005-10-14,33,71.44
2005-10-21,35,65.85
2005-10-28,30,62.10
2005-11-04,42,60.00
2005-11-11,28,57.55
2005-11-18,28,58.50
2005-11-25,39,63.22
2005-12-02,50,65.33
2005-12-09,30,63.04
2005-12-16,31,65.06
2005-12-23,31,66.85
2005-12-30,29,65.18
2006-01-06,29,69.02
2006-01-13,40,72.81
2006-01-20,34,71.84
2006-01-27,34,72.14
2006-02-03,51,69.06
2006-02-10,37,64.38
2006-02-17,37,63.13
2006-02-24,44,65.57
2006-03-03,39,66.83
2006-03-10,49,63.35
2006-03-17,32,65.37
2006-03-24,25,71.50
2006-03-31,25,74.16
2006-04-07,35,79.00
2006-04-14,34,
2006-04-21,37,85.01
2006-04-28,41,85.16
2006-05-05,44,91.15
2006-05-12,43,91.95
2006-05-19,30,83.11
2006-05-26,39,87.80
2006-06-02,49,45.30
2006-06-09,35,39.26
2006-06-16,30,38.94
2006-06-23,35,42.81
2006-06-30,43,46.72
2006-07-07,43,45.24
2006-07-14,43,43.57
2006-07-21,40,37.91
2006-07-28,61,38.24
2006-08-04,29,40.05
2006-08-11,25,37.94
2006-08-18,25,39.26
2006-08-25,49,38.96
2006-09-01,32,37.07
2006-09-08,39,33.20
2006-09-15,33,30.72
2006-09-22,27,29.88
2006-09-29,18,31.73
2006-10-06,37,31.24
2006-10-13,33,33.49
2006-10-20,34,35.07
2006-10-27,31,37.58
2006-11-03,29,37.10
2006-11-10,34,35.31
2006-11-17,46,34.15
2006-11-24,33,34.86
2006-12-01,34,36.82
2006-12-08,27,37.67
2006-12-15,38,35.15
2006-12-22,21,32.98
2006-12-29,19,32.13
2007-01-05,23,29.19
2007-01-12,51,32.15
2007-01-19,33,33.07
2007-01-26,33,34.15
2007-02-02,47,35.46
2007-02-09,36,34.92
2007-02-16,34,35.03
2007-02-23,25,37.67
2007-03-02,35,34.98
2007-03-09,39,35.96
2007-03-16,52,36.07
2007-03-23,45,39.21
2007-03-30,44,39.13
2007-04-06,36,
2007-04-13,42,42.99
2007-04-20,24,41.56
2007-04-27,36,42.11
2007-05-04,28,42.37
2007-05-11,32,45.57
2007-05-18,37,46.01
2007-05-25,37,48.00
2007-06-01,31,48.97
2007-06-08,36,46.00
2007-06-15,36,47.95
2007-06-22,38,47.63
2007-06-29,39,46.11
2007-07-06,40,48.00
2007-07-13,43,50.05
2007-07-20,31,46.30
2007-07-27,38,40.98
2007-08-03,36,38.18
2007-08-10,45,40.57
2007-08-17,49,38.54
2007-08-24,31,41.17
2007-08-31,47,39.88
2007-09-07,30,40.99
2007-09-14,44,44.35
2007-09-21,42,45.26
2007-09-28,34,46.60
2007-10-05,37,46.08
2007-10-12,48,50.36
2007-10-19,56,48.85
2007-10-26,47,57.32
2007-11-02,56,55.29
2007-11-09,52,55.96
2007-11-16,38,50.95
2007-11-23,59,54.95
2007-11-30,79,59.28
2007-12-07,75,63.61
2007-12-14,65,66.02
2007-12-21,66,71.40
2007-12-28,56,71.76
2008-01-04,66,65.48
2008-01-11,79,65.27
2008-01-18,50,59.80
2008-01-25,79,73.01
2008-02-01,58,75.94
2008-02-08,54,77.54
2008-02-15,68,75.08
2008-02-22,69,76.45
2008-02-29,45,75.98
2008-03-07,49,74.05
2008-03-14,43,68.61
2008-03-21,40,
2008-03-28,41,69.50
2008-04-04,65,76.11
2008-04-11,65,75.63
2008-04-18,41,86.25
2008-04-25,39,80.80
2008-05-02,68,84.29
2008-05-09,65,91.17
2008-05-16,43,100.01
2008-05-23,62,95.89
2008-05-30,41,97.56
2008-06-06,45,103.35
2008-06-13,48,106.10
2008-06-20,56,110.17
2008-06-27,57,111.95
2008-07-04,54,
2008-07-11,67,100.30
2008-07-18,73,81.89
2008-07-25,100,82.50
2008-08-01,63,67.85
2008-08-08,67,62.93
2008-08-15,69,61.40
2008-08-22,57,69.49
2008-08-29,47,67.71
2008-09-05,55,59.14
2008-09-12,80,58.66
2008-09-19,50,61.02
2008-09-26,61,49.24
2008-10-03,58,36.73
2008-10-10,57,31.73
2008-10-17,70,34.22
2008-10-24,70,25.60
2008-10-31,61,31.39
2008-11-07,53,27.74
2008-11-14,69,25.52
2008-11-21,52,20.80
2008-11-28,51,28.97
2008-12-05,56,24.19
2008-12-12,90,29.94
2008-12-19,54,29.38
2008-12-26,45,27.48
2009-01-02,49,32.15
2009-01-09,64,31.71
2009-01-16,53,26.48
2009-01-23,62,25.82
2009-01-30,44,27.26
2009-02-06,40,33.11
2009-02-13,45,31.53
2009-02-20,40,27.23
2009-02-27,80,27.25
2009-03-06,48,24.88
2009-03-13,43,26.05
2009-03-20,58,28.75
2009-03-27,56,28.25
2009-04-03,52,28.27
2009-04-10,52,
2009-04-17,45,26.50
2009-04-24,52,30.46
2009-05-01,47,33.62
2009-05-08,54,39.93
2009-05-15,42,34.39
2009-05-22,63,37.58
2009-05-29,48,41.16
2009-06-05,41,40.44
2009-06-12,56,41.81
2009-06-19,47,36.83
2009-06-26,60,34.86
2009-07-03,55,
2009-07-10,63,29.80
2009-07-17,53,33.66
2009-07-24,63,34.71
2009-07-31,64,35.53
2009-08-07,55,38.13
2009-08-14,40,40.24
2009-08-21,63,40.45
2009-08-28,45,38.83
2009-09-04,49,38.73
2009-09-11,43,41.36
2009-09-18,58,46.68
2009-09-25,57,44.29
2009-10-02,40,43.04
2009-10-09,43,49.15
2009-10-16,41,49.65
2009-10-23,39,47.42
2009-10-30,40,42.81
2009-11-06,49,45.46
2009-11-13,41,46.84
2009-11-20,49,46.00
2009-11-27,42,45.89
2009-12-04,37,43.76
2009-12-11,59,44.09
2009-12-18,67,47.48
2009-12-25,55,
2010-01-01,61,
2010-01-08,43,56.21
2010-01-15,41,52.90
2010-01-22,45,49.16
2010-01-29,41,46.61
2010-02-05,50,46.05
2010-02-12,58,49.36
2010-02-19,55,49.91
2010-02-26,54,50.36
2010-03-05,43,55.05
2010-03-12,50,54.33
2010-03-19,65,45.55
2010-03-26,64,42.50
2010-04-02,65,
2010-04-09,40,45.91
2010-04-16,51,42.67
2010-04-23,42,45.00
2010-04-30,45,44.68
2010-05-07,49,38.34
2010-05-14,35,40.21
2010-05-21,46,35.48
2010-05-28,39,36.48
2010-06-04,41,35.14
2010-06-11,47,38.88
2010-06-18,37,39.11
2010-06-25,46,37.37
2010-07-02,61,33.43
2010-07-09,60,37.09
2010-07-16,46,35.09
2010-07-23,67,39.02
2010-07-30,37,37.48
2010-08-06,41,38.91
2010-08-13,42,36.32
2010-08-20,40,34.11
2010-08-27,43,32.78
2010-09-03,39,34.22
2010-09-10,41,34.44
2010-09-17,36,34.81
2010-09-24,40,36.40
2010-10-01,31,38.31
2010-10-08,39,39.41
2010-10-15,34,40.20
2010-10-22,42,39.03
2010-10-29,42,36.76
2010-11-05,39,39.30
2010-11-12,39,42.50
2010-11-19,40,42.57
2010-11-26,39,41.91
2010-12-03,43,45.42
2010-12-10,35,43.99
2010-12-17,41,42.91
2010-12-24,30,
2010-12-31,42,48.74
2011-01-07,48,50.90
2011-01-14,49,51.74
2011-01-21,41,50.23
2011-01-28,39,47.93
2011-02-04,44,49.33
2011-02-11,40,47.00
2011-02-18,38,45.89
2011-02-25,37,49.81
2011-03-04,60,52.48
2011-03-11,51,48.61
2011-03-18,37,53.93
2011-03-25,34,55.48
2011-04-01,32,53.13
2011-04-08,37,52.52
2011-04-15,38,50.84
2011-04-22,31,
2011-04-29,34,54.09
2011-05-06,37,49.13
2011-05-13,33,47.27
2011-05-20,31,49.00
2011-05-27,30,50.75
2011-06-03,33,50.25
2011-06-10,29,48.83
2011-06-17,24,45.86
2011-06-24,33,46.87
2011-07-01,24,48.34
2011-07-08,31,50.25
2011-07-15,29,52.34
2011-07-22,33,54.82
2011-07-29,35,53.60
2011-08-05,32,41.59
2011-08-12,35,40.58
2011-08-19,45,41.71
2011-08-26,32,43.41
2011-09-02,31,44.78
2011-09-09,29,43.12
2011-09-16,30,43.08
2011-09-23,28,34.09
2011-09-30,28,33.93
2011-10-07,28,36.02
2011-10-14,27,41.42
2011-10-21,26,41.46
2011-10-28,29,46.75
2011-11-04,25,44.84
2011-11-11,23,42.89
2011-11-18,27,38.27
2011-11-25,32,35.29
2011-12-02,28,40.72
2011-12-09,28,39.88
2011-12-16,26,36.32
2011-12-23,27,38.05
2011-12-30,27,36.70
2012-01-06,32,38.57
2012-01-13,26,34.33
2012-01-20,32,33.02
2012-01-27,34,36.46
2012-02-03,28,37.67
2012-02-10,32,36.03
2012-02-17,29,37.26
2012-02-24,31,36.33
2012-03-02,30,33.93
2012-03-09,27,33.37
2012-03-16,27,34.05
2012-03-23,32,33.76
2012-03-30,29,34.10
2012-04-06,27,
2012-04-13,23,33.70
2012-04-20,29,33.72
2012-04-27,28,32.68
2012-05-04,25,33.38
2012-05-11,31,34.26
2012-05-18,30,29.36
2012-05-25,26,29.59
2012-06-01,21,28.15
2012-06-08,28,28.25
2012-06-15,27,28.04
2012-06-22,26,28.26
2012-06-29,26,30.24
2012-07-06,30,31.06
2012-07-13,29,31.66
2012-07-20,30,30.90
2012-07-27,29,29.41
2012-08-03,30,29.13
2012-08-10,24,32.87
2012-08-17,25,31.98
2012-08-24,24,32.88
2012-08-31,32,30.20
2012-09-07,29,31.21
2012-09-14,31,32.82
2012-09-21,28,31.14
2012-09-28,29,30.05
2012-10-05,27,31.35
2012-10-12,25,35.14
2012-10-19,26,35.21
2012-10-26,28,35.19
2012-11-02,20,35.20
2012-11-09,32,32.95
2012-11-16,25,31.75
2012-11-23,33,32.69
2012-11-30,29,31.35
2012-12-07,28,33.04
2012-12-14,30,33.70
2012-12-21,31,33.15
2012-12-28,31,31.76
2013-01-04,31,32.43
2013-01-11,25,30.19
2013-01-18,29,31.88
2013-01-25,32,32.08
2013-02-01,31,31.43
2013-02-08,31,31.73
2013-02-15,36,34.08
2013-02-22,34,32.51
2013-03-01,38,30.64
2013-03-08,42,32.12
2013-03-15,40,33.91
2013-03-22,34,33.66
2013-03-29,33,
2013-04-05,38,32.99
2013-04-12,31,33.57
2013-04-19,34,32.28
2013-04-26,36,32.52
2013-05-03,40,35.58
2013-05-10,38,34.85
2013-05-17,34,33.97
2013-05-24,36,35.46
2013-05-31,41,34.68
2013-06-07,42,33.63
2013-06-14,38,31.95
2013-06-21,44,29.79
2013-06-28,43,27.10
2013-07-05,38,26.51
2013-07-12,44,27.67
2013-07-19,47,29.01
2013-07-26,40,31.35
2013-08-02,41,31.02
2013-08-09,39,32.06
2013-08-16,35,30.75
2013-08-23,44,33.23
2013-08-30,44,31.23
2013-09-06,38,33.45
2013-09-13,35,33.80
2013-09-20,39,34.89
2013-09-27,37,33.50
2013-10-04,36,36.33
2013-10-11,38,38.17
2013-10-18,40,38.00
2013-10-25,39,38.14
2013-11-01,39,36.64
2013-11-08,37,36.41
2013-11-15,41,35.98
2013-11-22,36,35.31
2013-11-29,33,35.58
2013-12-06,37,36.59
2013-12-13,39,37.18
2013-12-20,35,37.84
2013-12-27,37,38.39
2014-01-03,36,37.81
2014-01-10,33,36.63
2014-01-17,40,38.21
2014-01-24,37,37.47
2014-01-31,38,37.35
2014-02-07,42,36.50
2014-02-14,34,38.43
2014-02-21,41,39.69
2014-02-28,43,40.10
2014-03-07,46,39.93
2014-03-14,44,38.59
2014-03-21,45,40.70
2014-03-28,45,39.75
2014-04-04,47,40.30
2014-04-11,44,40.11
2014-04-18,35,
2014-04-25,49,42.90
2014-05-02,32,
