Date,COG,Price
2004-01-09,76,
2004-01-16,84,
2004-01-23,80,
2004-01-30,85,
2004-02-06,75,30.08
2004-02-13,68,32.00
2004-02-20,63,29.87
2004-02-27,66,30.37
2004-03-05,64,31.52
2004-03-12,56,30.45
2004-03-19,63,30.65
2004-03-26,63,28.93
2004-04-02,59,30.78
2004-04-09,65,
2004-04-16,47,34.82
2004-04-23,58,35.26
2004-04-30,78,35.70
2004-05-07,61,36.23
2004-05-14,83,36.25
2004-05-21,76,35.83
2004-05-28,66,36.80
2004-06-04,68,37.82
2004-06-11,67,
2004-06-18,78,40.35
2004-06-25,85,41.75
2004-07-02,93,42.31
2004-07-09,65,41.77
2004-07-16,76,42.51
2004-07-23,80,40.73
2004-07-30,59,43.97
2004-08-06,84,40.06
2004-08-13,65,40.43
2004-08-20,71,39.93
2004-08-27,72,39.74
2004-09-03,66,41.61
2004-09-10,64,42.25
2004-09-17,64,43.55
2004-09-24,77,45.07
2004-10-01,60,45.23
2004-10-08,65,46.39
2004-10-15,69,42.95
2004-10-22,71,43.49
2004-10-29,54,42.31
2004-11-05,56,43.30
2004-11-12,41,43.90
2004-11-19,52,43.87
2004-11-26,51,47.81
2004-12-03,67,46.10
2004-12-10,53,43.50
2004-12-17,55,45.60
2004-12-24,45,
2004-12-31,50,44.25
2005-01-07,55,41.67
2005-01-14,48,43.21
2005-01-21,60,44.54
2005-01-28,50,46.05
2005-02-04,51,50.05
2005-02-11,57,52.23
2005-02-18,43,53.05
2005-02-25,58,55.78
2005-03-04,64,57.06
2005-03-11,56,53.66
2005-03-18,58,54.70
2005-03-25,54,
2005-04-01,55,37.58
2005-04-08,66,36.38
2005-04-15,61,32.22
2005-04-22,63,33.27
2005-04-29,65,29.44
2005-05-06,68,30.44
2005-05-13,82,28.29
2005-05-20,64,29.83
2005-05-27,62,31.40
2005-06-03,63,33.82
2005-06-10,63,34.70
2005-06-17,79,36.10
2005-06-24,83,35.02
2005-07-01,99,36.60
2005-07-08,72,38.13
2005-07-15,75,37.04
2005-07-22,74,39.05
2005-07-29,70,40.52
2005-08-05,82,42.25
2005-08-12,76,43.48
2005-08-19,70,40.73
2005-08-26,57,40.88
2005-09-02,68,42.77
2005-09-09,60,45.80
2005-09-16,69,46.08
2005-09-23,62,46.16
2005-09-30,61,50.51
2005-10-07,62,45.40
2005-10-14,66,46.23
2005-10-21,67,43.40
2005-10-28,68,46.41
2005-11-04,64,44.99
2005-11-11,47,41.21
2005-11-18,62,42.19
2005-11-25,56,43.89
2005-12-02,63,44.31
2005-12-09,57,45.07
2005-12-16,60,46.54
2005-12-23,59,47.18
2005-12-30,59,45.10
2006-01-06,56,48.00
2006-01-13,57,49.92
2006-01-20,60,51.88
2006-01-27,53,49.84
2006-02-03,59,48.58
2006-02-10,52,44.40
2006-02-17,64,46.50
2006-02-24,48,47.62
2006-03-03,51,49.66
2006-03-10,52,44.47
2006-03-17,57,47.50
2006-03-24,49,47.92
2006-03-31,57,47.93
2006-04-07,58,49.27
2006-04-14,65,
2006-04-21,62,52.97
2006-04-28,59,49.26
2006-05-05,61,52.72
2006-05-12,60,49.98
2006-05-19,62,45.95
2006-05-26,57,44.25
2006-06-02,56,45.21
2006-06-09,55,40.04
2006-06-16,63,42.31
2006-06-23,66,44.00
2006-06-30,59,49.00
2006-07-07,88,47.12
2006-07-14,63,46.99
2006-07-21,60,44.15
2006-07-28,69,51.45
2006-08-04,57,54.39
2006-08-11,67,54.27
2006-08-18,63,53.60
2006-08-25,66,54.87
2006-09-01,63,52.18
2006-09-08,61,47.88
2006-09-15,52,45.06
2006-09-22,63,45.00
2006-09-29,68,47.93
2006-10-06,59,46.13
2006-10-13,44,49.69
2006-10-20,54,51.02
2006-10-27,43,52.88
2006-11-03,51,54.07
2006-11-10,45,54.07
2006-11-17,73,58.90
2006-11-24,71,59.88
2006-12-01,62,62.86
2006-12-08,64,64.07
2006-12-15,61,64.96
2006-12-22,61,61.93
2006-12-29,71,60.65
2007-01-05,82,57.18
2007-01-12,65,58.87
2007-01-19,75,59.85
2007-01-26,68,62.34
2007-02-02,65,64.85
2007-02-09,68,65.86
2007-02-16,65,67.17
2007-02-23,68,70.57
2007-03-02,63,66.25
2007-03-09,63,67.04
2007-03-16,64,66.55
2007-03-23,57,69.66
2007-03-30,67,67.32
2007-04-06,64,
2007-04-13,60,35.59
2007-04-20,58,35.48
2007-04-27,62,36.88
2007-05-04,62,37.60
2007-05-11,61,37.14
2007-05-18,60,38.43
2007-05-25,65,38.89
2007-06-01,73,38.55
2007-06-08,69,37.75
2007-06-15,71,41.84
2007-06-22,73,40.15
2007-06-29,67,36.88
2007-07-06,62,37.48
2007-07-13,60,37.83
2007-07-20,73,37.14
2007-07-27,78,33.64
2007-08-03,66,33.20
2007-08-10,72,31.59
2007-08-17,70,32.98
2007-08-24,66,33.65
2007-08-31,67,33.34
2007-09-07,100,33.17
2007-09-14,74,35.69
2007-09-21,62,36.54
2007-09-28,64,35.16
2007-10-05,58,37.23
2007-10-12,53,37.22
2007-10-19,56,37.50
2007-10-26,65,37.78
2007-11-02,53,39.54
2007-11-09,56,36.84
2007-11-16,60,35.27
2007-11-23,57,35.09
2007-11-30,58,34.42
2007-12-07,58,36.80
2007-12-14,51,37.26
2007-12-21,49,39.45
2007-12-28,46,40.90
2008-01-04,46,41.40
2008-01-11,51,41.94
2008-01-18,52,39.12
2008-01-25,55,37.75
2008-02-01,53,39.20
2008-02-08,41,41.02
2008-02-15,55,46.13
2008-02-22,54,48.85
2008-02-29,55,49.75
2008-03-07,57,49.43
2008-03-14,54,53.41
2008-03-21,67,
2008-03-28,56,50.65
2008-04-04,62,54.84
2008-04-11,62,57.61
2008-04-18,70,61.26
2008-04-25,63,58.04
2008-05-02,61,57.82
2008-05-09,56,61.31
2008-05-16,63,62.77
2008-05-23,62,60.16
2008-05-30,61,60.25
2008-06-06,65,68.03
2008-06-13,64,66.42
2008-06-20,61,65.40
2008-06-27,66,65.19
2008-07-04,64,
2008-07-11,64,60.19
2008-07-18,71,51.61
2008-07-25,65,45.30
2008-08-01,72,44.86
2008-08-08,68,40.69
2008-08-15,67,42.64
2008-08-22,59,42.66
2008-08-29,60,44.44
2008-09-05,58,39.20
2008-09-12,55,38.59
2008-09-19,63,41.20
2008-09-26,59,38.88
2008-10-03,61,28.99
2008-10-10,65,21.31
2008-10-17,59,26.11
2008-10-24,62,25.44
2008-10-31,57,28.07
2008-11-07,66,28.91
2008-11-14,70,26.54
2008-11-21,68,24.33
2008-11-28,54,29.97
2008-12-05,48,22.29
2008-12-12,59,26.78
2008-12-19,43,25.90
2008-12-26,47,23.93
2009-01-02,48,27.48
2009-01-09,51,26.42
2009-01-16,51,25.05
2009-01-23,51,26.65
2009-01-30,53,27.49
2009-02-06,49,29.65
2009-02-13,49,25.98
2009-02-20,52,21.44
2009-02-27,50,20.37
2009-03-06,56,20.64
2009-03-13,50,22.57
2009-03-20,55,25.14
2009-03-27,53,25.20
2009-04-03,51,27.22
2009-04-10,51,
2009-04-17,50,29.13
2009-04-24,51,28.39
2009-05-01,49,32.01
2009-05-08,55,34.57
2009-05-15,55,30.82
2009-05-22,55,29.86
2009-05-29,52,35.13
2009-06-05,58,35.59
2009-06-12,58,35.59
2009-06-19,54,31.82
2009-06-26,57,30.66
2009-07-03,55,
2009-07-10,58,29.48
2009-07-17,52,33.87
2009-07-24,63,36.23
2009-07-31,56,35.13
2009-08-07,64,35.45
2009-08-14,54,35.10
2009-08-21,59,37.65
2009-08-28,53,36.23
2009-09-04,57,34.95
2009-09-11,86,37.25
2009-09-18,62,37.74
2009-09-25,49,33.69
2009-10-02,55,34.23
2009-10-09,53,36.78
2009-10-16,49,39.57
2009-10-23,43,38.90
2009-10-30,40,38.47
2009-11-06,41,40.07
2009-11-13,42,39.86
2009-11-20,42,38.22
2009-11-27,39,38.18
2009-12-04,39,38.04
2009-12-11,37,38.34
2009-12-18,37,43.47
2009-12-25,36,
2010-01-01,35,
2010-01-08,35,45.46
2010-01-15,40,42.99
2010-01-22,39,41.95
2010-01-29,38,38.27
2010-02-05,37,38.45
2010-02-12,40,39.50
2010-02-19,41,41.32
2010-02-26,40,40.14
2010-03-05,46,41.37
2010-03-12,42,41.86
2010-03-19,41,38.14
2010-03-26,43,36.40
2010-04-02,44,
2010-04-09,42,39.96
2010-04-16,44,38.95
2010-04-23,42,39.90
2010-04-30,45,36.13
2010-05-07,41,31.88
2010-05-14,43,33.83
2010-05-21,51,31.36
2010-05-28,47,34.69
2010-06-04,47,34.97
2010-06-11,52,37.01
2010-06-18,52,36.43
2010-06-25,55,32.93
2010-07-02,56,30.93
2010-07-09,56,33.49
2010-07-16,56,31.87
2010-07-23,59,31.84
2010-07-30,59,30.47
2010-08-06,58,31.85
2010-08-13,56,30.69
2010-08-20,50,29.28
2010-08-27,54,28.69
2010-09-03,52,29.28
2010-09-10,78,29.12
2010-09-17,57,26.99
2010-09-24,46,28.69
2010-10-01,47,30.56
2010-10-08,48,32.04
2010-10-15,47,30.52
2010-10-22,55,30.88
2010-10-29,45,28.98
2010-11-05,44,32.21
2010-11-12,42,34.37
2010-11-19,49,35.83
2010-11-26,39,35.01
2010-12-03,40,37.69
2010-12-10,38,35.36
2010-12-17,45,36.63
2010-12-24,39,
2010-12-31,36,37.85
2011-01-07,42,37.49
2011-01-14,44,38.58
2011-01-21,40,39.09
2011-01-28,42,39.77
2011-02-04,41,41.38
2011-02-11,40,40.41
2011-02-18,43,40.87
2011-02-25,44,45.79
2011-03-04,44,46.30
2011-03-11,45,44.02
2011-03-18,44,48.47
2011-03-25,47,51.41
2011-04-01,46,54.03
2011-04-08,57,53.13
2011-04-15,50,53.50
2011-04-22,50,
2011-04-29,50,56.28
2011-05-06,52,52.29
2011-05-13,50,52.94
2011-05-20,52,54.66
2011-05-27,48,58.12
2011-06-03,53,56.56
2011-06-10,52,57.83
2011-06-17,51,60.34
2011-06-24,56,61.45
2011-07-01,56,67.21
2011-07-08,53,66.48
2011-07-15,59,68.43
2011-07-22,61,71.93
2011-07-29,60,74.08
2011-08-05,61,66.87
2011-08-12,55,72.22
2011-08-19,57,66.59
2011-08-26,58,71.95
2011-09-02,54,74.24
2011-09-09,58,70.19
2011-09-16,78,70.56
2011-09-23,90,61.11
2011-09-30,87,61.91
2011-10-07,72,63.62
2011-10-14,62,68.32
2011-10-21,58,70.29
2011-10-28,48,80.20
