Date,CPB,Price
2004-01-09,29,
2004-01-16,42,
2004-01-23,20,
2004-01-30,31,
2004-02-06,27,27.32
2004-02-13,27,27.65
2004-02-20,38,28.20
2004-02-27,36,27.96
2004-03-05,36,28.13
2004-03-12,36,27.55
2004-03-19,37,26.99
2004-03-26,35,27.05
2004-04-02,22,26.80
2004-04-09,35,
2004-04-16,32,26.84
2004-04-23,31,27.53
2004-04-30,44,27.63
2004-05-07,26,27.14
2004-05-14,39,27.00
2004-05-21,40,26.40
2004-05-28,29,25.51
2004-06-04,27,25.88
2004-06-11,28,
2004-06-18,34,25.90
2004-06-25,28,26.77
2004-07-02,41,26.67
2004-07-09,22,26.15
2004-07-16,34,25.70
2004-07-23,42,25.82
2004-07-30,32,25.59
2004-08-06,29,25.46
2004-08-13,24,25.35
2004-08-20,28,25.99
2004-08-27,25,26.33
2004-09-03,34,26.37
2004-09-10,32,26.20
2004-09-17,45,26.94
2004-09-24,38,26.36
2004-10-01,37,26.59
2004-10-08,44,26.14
2004-10-15,25,26.08
2004-10-22,39,25.77
2004-10-29,42,26.84
2004-11-05,32,27.17
2004-11-12,26,27.16
2004-11-19,26,27.36
2004-11-26,25,28.51
2004-12-03,41,29.32
2004-12-10,30,29.88
2004-12-17,31,30.15
2004-12-24,28,
2004-12-31,21,29.89
2005-01-07,30,29.41
2005-01-14,31,29.02
2005-01-21,28,29.03
2005-01-28,26,29.09
2005-02-04,40,29.20
2005-02-11,32,28.30
2005-02-18,34,28.55
2005-02-25,32,27.65
2005-03-04,34,28.40
2005-03-11,32,27.86
2005-03-18,27,28.40
2005-03-25,24,
2005-04-01,20,28.47
2005-04-08,40,28.81
2005-04-15,33,28.99
2005-04-22,28,28.77
2005-04-29,40,29.74
2005-05-06,38,29.90
2005-05-13,30,29.81
2005-05-20,54,30.34
2005-05-27,33,31.05
2005-06-03,40,31.33
2005-06-10,48,30.71
2005-06-17,57,31.33
2005-06-24,100,31.02
2005-07-01,63,30.82
2005-07-08,37,30.51
2005-07-15,45,30.81
2005-07-22,38,30.71
2005-07-29,34,30.85
2005-08-05,35,30.41
2005-08-12,33,30.50
2005-08-19,33,30.26
2005-08-26,44,29.28
2005-09-02,35,30.02
2005-09-09,42,31.09
2005-09-16,44,29.99
2005-09-23,49,29.14
2005-09-30,42,29.75
2005-10-07,40,28.97
2005-10-14,38,28.72
2005-10-21,42,28.76
2005-10-28,38,29.09
2005-11-04,44,29.11
2005-11-11,45,29.46
2005-11-18,47,29.70
2005-11-25,31,31.06
2005-12-02,41,30.45
2005-12-09,37,29.86
2005-12-16,35,30.31
2005-12-23,29,30.35
2005-12-30,29,29.77
2006-01-06,24,30.30
2006-01-13,37,30.43
2006-01-20,37,30.40
2006-01-27,42,30.00
2006-02-03,38,29.71
2006-02-10,39,29.26
2006-02-17,37,30.65
2006-02-24,38,31.15
2006-03-03,28,30.99
2006-03-10,39,32.00
2006-03-17,52,32.30
2006-03-24,42,32.58
2006-03-31,36,32.40
2006-04-07,39,31.73
2006-04-14,24,
2006-04-21,34,32.30
2006-04-28,41,32.14
2006-05-05,34,32.83
2006-05-12,37,32.60
2006-05-19,38,32.65
2006-05-26,35,35.10
2006-06-02,45,35.95
2006-06-09,32,35.21
2006-06-16,38,35.23
2006-06-23,36,36.12
2006-06-30,26,37.11
2006-07-07,28,36.98
2006-07-14,30,36.34
2006-07-21,44,35.95
2006-07-28,28,36.77
2006-08-04,39,36.71
2006-08-11,28,37.98
2006-08-18,28,37.95
2006-08-25,42,37.31
2006-09-01,34,37.82
2006-09-08,34,37.18
2006-09-15,45,37.30
2006-09-22,48,36.19
2006-09-29,37,36.50
2006-10-06,42,36.39
2006-10-13,38,35.92
2006-10-20,40,36.72
2006-10-27,50,36.49
2006-11-03,35,37.06
2006-11-10,44,37.39
2006-11-17,45,37.55
2006-11-24,38,37.50
2006-12-01,39,38.00
2006-12-08,39,38.87
2006-12-15,37,39.70
2006-12-22,31,39.48
2006-12-29,25,38.89
2007-01-05,27,37.96
2007-01-12,39,37.78
2007-01-19,32,37.83
2007-01-26,53,38.18
2007-02-02,34,38.96
2007-02-09,45,39.03
2007-02-16,38,42.29
2007-02-23,37,41.88
2007-03-02,40,39.82
2007-03-09,39,40.09
2007-03-16,36,38.94
2007-03-23,40,39.98
2007-03-30,39,38.95
2007-04-06,35,
2007-04-13,32,39.12
2007-04-20,42,39.70
2007-04-27,44,39.20
2007-05-04,34,39.47
2007-05-11,43,38.67
2007-05-18,42,39.50
2007-05-25,38,39.23
2007-06-01,38,39.79
2007-06-08,37,38.77
2007-06-15,32,39.38
2007-06-22,35,38.58
2007-06-29,34,38.81
2007-07-06,35,38.05
2007-07-13,39,39.26
2007-07-20,37,38.58
2007-07-27,28,37.49
2007-08-03,39,36.53
2007-08-10,31,35.98
2007-08-17,42,36.42
2007-08-24,36,38.32
2007-08-31,36,37.75
2007-09-07,35,35.54
2007-09-14,42,35.68
2007-09-21,44,35.40
2007-09-28,41,37.00
2007-10-05,38,36.40
2007-10-12,41,36.35
2007-10-19,39,35.62
2007-10-26,38,36.47
2007-11-02,39,36.85
2007-11-09,43,35.61
2007-11-16,37,35.26
2007-11-23,43,35.06
2007-11-30,46,36.72
2007-12-07,40,36.99
2007-12-14,37,36.39
2007-12-21,34,36.35
2007-12-28,32,35.90
2008-01-04,37,34.65
2008-01-11,43,33.75
2008-01-18,41,31.81
2008-01-25,44,31.21
2008-02-01,40,32.42
2008-02-08,43,31.07
2008-02-15,42,33.44
2008-02-22,43,32.67
2008-02-29,39,32.29
2008-03-07,37,31.58
2008-03-14,40,31.69
2008-03-21,39,
2008-03-28,43,33.77
2008-04-04,39,34.17
2008-04-11,37,33.41
