Date,CTL,Price
2004-01-09,47,
2004-01-16,100,
2004-01-23,60,
2004-01-30,61,
2004-02-06,64,27.53
2004-02-13,91,27.39
2004-02-20,67,29.35
2004-02-27,57,28.57
2004-03-05,67,29.41
2004-03-12,66,28.72
2004-03-19,66,28.37
2004-03-26,72,27.26
2004-04-02,61,27.17
2004-04-09,46,
2004-04-16,44,27.20
2004-04-23,53,27.02
2004-04-30,67,28.88
2004-05-07,39,29.70
2004-05-14,47,30.11
2004-05-21,49,29.65
2004-05-28,70,29.89
2004-06-04,69,30.00
2004-06-11,51,
2004-06-18,63,29.79
2004-06-25,50,29.90
2004-07-02,77,30.22
2004-07-09,75,30.39
2004-07-16,60,31.12
2004-07-23,52,29.99
2004-07-30,70,30.99
2004-08-06,68,29.91
2004-08-13,37,30.84
2004-08-20,73,31.15
2004-08-27,77,31.59
2004-09-03,59,33.05
2004-09-10,52,33.01
2004-09-17,54,34.05
2004-09-24,58,33.64
2004-10-01,77,34.79
2004-10-08,60,34.81
2004-10-15,58,33.82
2004-10-22,52,33.29
2004-10-29,64,32.09
2004-11-05,57,33.20
2004-11-12,53,33.93
2004-11-19,61,32.83
2004-11-26,60,33.18
2004-12-03,54,34.09
2004-12-10,72,34.07
2004-12-17,60,34.44
2004-12-24,64,
2004-12-31,39,35.47
2005-01-07,48,34.34
2005-01-14,70,33.41
2005-01-21,59,32.79
2005-01-28,61,32.52
2005-02-04,60,33.73
2005-02-11,51,33.52
2005-02-18,67,33.35
2005-02-25,52,33.66
2005-03-04,61,34.45
2005-03-11,53,34.41
2005-03-18,55,33.38
2005-03-25,61,
2005-04-01,61,32.84
2005-04-08,61,32.87
2005-04-15,77,31.44
2005-04-22,67,30.97
2005-04-29,49,30.69
2005-05-06,52,30.48
2005-05-13,48,30.32
2005-05-20,57,32.00
2005-05-27,48,32.35
2005-06-03,53,32.59
2005-06-10,67,33.86
2005-06-17,60,34.84
2005-06-24,61,34.03
2005-07-01,54,34.76
2005-07-08,66,33.62
2005-07-15,60,34.29
2005-07-22,65,33.53
2005-07-29,54,34.37
2005-08-05,68,36.22
2005-08-12,53,35.88
2005-08-19,54,35.46
2005-08-26,59,35.30
2005-09-02,65,35.55
2005-09-09,45,35.66
2005-09-16,61,34.89
2005-09-23,51,33.56
2005-09-30,64,34.98
2005-10-07,63,33.59
2005-10-14,52,32.50
2005-10-21,58,32.13
2005-10-28,55,32.04
2005-11-04,66,33.18
2005-11-11,52,32.35
2005-11-18,65,33.12
2005-11-25,44,33.13
2005-12-02,48,33.28
2005-12-09,50,33.05
2005-12-16,72,33.76
2005-12-23,62,33.45
2005-12-30,45,33.16
2006-01-06,67,33.50
2006-01-13,56,33.14
2006-01-20,53,33.67
2006-01-27,57,33.75
2006-02-03,60,34.03
2006-02-10,45,34.82
2006-02-17,58,35.41
2006-02-24,52,36.42
