Date,C,Price
2004-01-09,87,
2004-01-16,85,
2004-01-23,86,
2004-01-30,87,
2004-02-06,86,49.31
2004-02-13,88,49.49
2004-02-20,88,48.89
2004-02-27,88,50.26
2004-03-05,90,50.00
2004-03-12,88,49.31
2004-03-19,88,50.34
2004-03-26,84,50.06
2004-04-02,87,51.80
2004-04-09,87,
2004-04-16,84,50.10
2004-04-23,87,49.18
2004-04-30,85,48.09
2004-05-07,84,46.72
2004-05-14,86,45.65
2004-05-21,84,45.34
2004-05-28,87,46.43
2004-06-04,85,46.55
2004-06-11,84,
2004-06-18,82,47.50
2004-06-25,84,46.80
2004-07-02,83,45.76
2004-07-09,84,45.03
2004-07-16,79,43.62
2004-07-23,79,44.31
2004-07-30,81,44.09
2004-08-06,78,43.19
2004-08-13,76,44.01
2004-08-20,77,45.95
2004-08-27,78,46.72
2004-09-03,82,46.84
2004-09-10,83,47.24
2004-09-17,82,46.95
2004-09-24,81,44.15
2004-10-01,83,44.87
2004-10-08,82,44.56
2004-10-15,86,43.94
2004-10-22,82,42.56
2004-10-29,82,44.37
2004-11-05,80,46.13
2004-11-12,82,47.07
2004-11-19,82,45.15
2004-11-26,83,45.42
2004-12-03,83,45.65
2004-12-10,81,45.91
2004-12-17,79,46.62
2004-12-24,75,
2004-12-31,72,48.18
2005-01-07,74,48.65
2005-01-14,79,47.51
2005-01-21,77,47.93
2005-01-28,78,48.38
2005-02-04,78,49.78
2005-02-11,77,49.40
2005-02-18,81,48.57
2005-02-25,78,48.28
2005-03-04,82,48.40
2005-03-11,81,47.79
2005-03-18,79,46.85
2005-03-25,78,
2005-04-01,79,44.62
2005-04-08,80,45.40
2005-04-15,80,45.75
2005-04-22,80,46.32
2005-04-29,76,46.96
2005-05-06,77,46.59
2005-05-13,80,45.91
2005-05-20,78,47.80
2005-05-27,78,47.28
2005-06-03,77,47.56
2005-06-10,78,47.64
2005-06-17,79,47.46
2005-06-24,77,46.95
2005-07-01,74,46.16
2005-07-08,75,46.51
2005-07-15,76,46.42
2005-07-22,72,44.42
2005-07-29,72,43.50
2005-08-05,74,43.63
2005-08-12,71,43.62
2005-08-19,72,44.16
2005-08-26,74,43.10
2005-09-02,72,43.88
2005-09-09,74,44.61
2005-09-16,73,45.45
2005-09-23,76,45.24
2005-09-30,75,45.52
2005-10-07,78,45.41
2005-10-14,76,45.04
2005-10-21,77,44.31
2005-10-28,78,45.90
2005-11-04,75,45.60
2005-11-11,78,48.00
2005-11-18,78,48.41
2005-11-25,78,49.52
2005-12-02,76,48.77
2005-12-09,77,48.91
2005-12-16,76,49.37
2005-12-23,72,49.24
2005-12-30,69,48.53
2006-01-06,70,48.62
2006-01-13,76,48.92
2006-01-20,74,45.69
2006-01-27,74,46.87
2006-02-03,73,45.06
2006-02-10,76,45.96
2006-02-17,72,46.24
2006-02-24,74,46.85
2006-03-03,76,45.92
2006-03-10,75,46.99
2006-03-17,73,47.41
2006-03-24,74,47.81
2006-03-31,73,47.23
2006-04-07,74,47.66
2006-04-14,74,
2006-04-21,73,48.01
2006-04-28,75,49.95
2006-05-05,70,50.37
2006-05-12,77,48.99
2006-05-19,72,48.80
2006-05-26,71,49.57
2006-06-02,73,50.14
2006-06-09,70,49.77
2006-06-16,70,48.36
2006-06-23,70,47.74
2006-06-30,68,48.25
2006-07-07,69,49.08
2006-07-14,69,47.58
2006-07-21,71,46.93
2006-07-28,68,48.33
2006-08-04,68,48.50
2006-08-11,67,47.64
2006-08-18,69,48.60
2006-08-25,67,48.64
2006-09-01,70,49.37
2006-09-08,70,48.72
2006-09-15,71,49.19
2006-09-22,72,49.50
2006-09-29,73,49.67
2006-10-06,73,51.05
2006-10-13,75,50.38
2006-10-20,75,49.91
2006-10-27,73,50.36
2006-11-03,73,49.59
2006-11-10,76,50.63
2006-11-17,74,50.80
2006-11-24,74,50.31
2006-12-01,74,49.38
2006-12-08,75,51.85
2006-12-15,70,54.07
2006-12-22,71,54.55
2006-12-29,66,55.70
2007-01-05,66,54.77
2007-01-12,71,54.38
2007-01-19,73,54.50
2007-01-26,72,54.67
2007-02-02,72,54.66
2007-02-09,71,53.40
2007-02-16,71,54.10
2007-02-23,70,53.77
2007-03-02,69,49.97
2007-03-09,73,50.33
2007-03-16,73,49.53
2007-03-23,73,51.72
2007-03-30,73,51.34
2007-04-06,72,
2007-04-13,71,51.60
2007-04-20,74,53.42
2007-04-27,71,53.37
2007-05-04,70,54.09
2007-05-11,72,53.11
2007-05-18,74,55.00
2007-05-25,73,55.12
2007-06-01,72,54.51
2007-06-08,74,53.33
2007-06-15,71,53.98
2007-06-22,71,52.41
2007-06-29,72,51.29
2007-07-06,71,51.70
2007-07-13,71,52.52
2007-07-20,70,50.73
2007-07-27,67,46.97
2007-08-03,67,45.72
2007-08-10,68,47.00
2007-08-17,67,48.81
2007-08-24,67,48.50
2007-08-31,71,46.88
2007-09-07,68,45.48
2007-09-14,72,46.64
2007-09-21,71,47.51
2007-09-28,74,46.67
2007-10-05,73,48.30
2007-10-12,75,47.87
2007-10-19,73,42.36
2007-10-26,73,42.63
2007-11-02,76,37.73
2007-11-09,76,33.10
2007-11-16,75,34.00
2007-11-23,85,31.70
2007-11-30,87,33.30
2007-12-07,100,34.31
2007-12-14,78,30.70
2007-12-21,72,30.24
2007-12-28,69,29.29
2008-01-04,68,28.24
2008-01-11,75,28.56
2008-01-18,71,24.45
2008-01-25,73,26.64
2008-02-01,73,29.69
2008-02-08,72,26.03
2008-02-15,73,25.48
2008-02-22,72,25.12
2008-02-29,75,23.71
2008-03-07,74,20.91
2008-03-14,73,19.78
2008-03-21,75,
2008-03-28,74,20.83
2008-04-04,72,24.08
2008-04-11,74,23.36
2008-04-18,72,25.11
2008-04-25,73,26.60
2008-05-02,70,26.39
2008-05-09,71,23.63
2008-05-16,72,23.12
2008-05-23,71,21.12
2008-05-30,71,21.89
2008-06-06,70,20.06
2008-06-13,71,20.48
2008-06-20,70,19.30
2008-06-27,71,17.25
2008-07-04,68,
2008-07-11,68,16.19
2008-07-18,76,19.35
2008-07-25,73,18.85
2008-08-01,71,18.87
2008-08-08,71,19.39
2008-08-15,71,18.55
2008-08-22,71,18.14
2008-08-29,72,18.99
2008-09-05,73,19.07
2008-09-12,73,17.96
2008-09-19,74,20.65
2008-09-26,73,20.15
2008-10-03,74,18.35
2008-10-10,72,14.11
2008-10-17,73,14.88
2008-10-24,73,12.14
2008-10-31,73,13.65
2008-11-07,74,11.82
2008-11-14,74,9.52
2008-11-21,78,3.77
2008-11-28,74,8.29
2008-12-05,74,7.71
2008-12-12,76,7.70
2008-12-19,72,7.02
2008-12-26,67,6.73
2009-01-02,66,7.14
2009-01-09,71,6.75
2009-01-16,74,3.50
2009-01-23,73,3.47
2009-01-30,71,3.55
2009-02-06,76,3.91
2009-02-13,72,3.49
2009-02-20,72,1.95
2009-02-27,76,1.50
2009-03-06,74,1.03
2009-03-13,76,1.78
2009-03-20,76,2.62
2009-03-27,76,2.62
2009-04-03,76,2.85
2009-04-10,74,
2009-04-17,76,3.65
2009-04-24,74,3.19
2009-05-01,74,2.97
2009-05-08,74,4.02
2009-05-15,75,3.48
2009-05-22,73,3.67
2009-05-29,72,3.72
2009-06-05,73,3.46
2009-06-12,73,3.47
2009-06-19,74,3.17
2009-06-26,68,3.03
2009-07-03,68,
2009-07-10,70,2.59
2009-07-17,71,3.02
2009-07-24,71,2.73
2009-07-31,70,3.17
2009-08-07,70,3.85
2009-08-14,70,4.04
2009-08-21,72,4.70
2009-08-28,72,5.23
2009-09-04,70,4.85
2009-09-11,72,4.61
2009-09-18,73,4.26
2009-09-25,72,4.38
2009-10-02,70,4.52
2009-10-09,76,4.63
2009-10-16,75,4.59
2009-10-23,75,4.46
2009-10-30,73,4.09
2009-11-06,77,4.06
2009-11-13,77,4.05
2009-11-20,77,4.20
2009-11-27,74,4.06
2009-12-04,76,4.06
2009-12-11,74,3.95
2009-12-18,73,3.40
2009-12-25,69,
2010-01-01,67,
2010-01-08,74,3.59
2010-01-15,76,3.42
2010-01-22,77,3.25
2010-01-29,75,3.32
2010-02-05,72,3.22
2010-02-12,69,3.18
2010-02-19,71,3.42
2010-02-26,72,3.40
2010-03-05,74,3.50
2010-03-12,74,3.97
2010-03-19,74,3.90
2010-03-26,74,4.31
2010-04-02,74,
2010-04-09,74,4.55
2010-04-16,74,4.56
2010-04-23,74,4.86
2010-04-30,74,4.37
2010-05-07,72,4.00
2010-05-14,73,3.98
2010-05-21,73,3.75
2010-05-28,74,3.96
2010-06-04,74,3.79
2010-06-11,73,3.88
2010-06-18,73,4.01
2010-06-25,72,3.94
2010-07-02,69,3.79
2010-07-09,72,4.04
2010-07-16,70,3.90
2010-07-23,69,4.02
2010-07-30,70,4.10
2010-08-06,71,4.06
2010-08-13,68,3.88
2010-08-20,72,3.75
2010-08-27,72,3.76
2010-09-03,71,3.91
2010-09-10,75,3.91
2010-09-17,76,3.95
2010-09-24,77,3.90
2010-10-01,76,4.09
2010-10-08,78,4.19
2010-10-15,77,3.95
2010-10-22,80,4.11
2010-10-29,79,4.17
2010-11-05,77,4.49
2010-11-12,81,4.29
2010-11-19,79,4.27
2010-11-26,78,4.11
2010-12-03,79,4.45
2010-12-10,79,4.77
2010-12-17,80,4.70
2010-12-24,74,
2010-12-31,72,4.73
2011-01-07,79,4.94
2011-01-14,79,5.13
2011-01-21,82,4.89
2011-01-28,81,4.72
2011-02-04,77,4.82
2011-02-11,80,4.88
2011-02-18,79,4.91
2011-02-25,78,4.70
2011-03-04,80,4.54
2011-03-11,79,4.57
2011-03-18,74,4.50
2011-03-25,77,4.46
2011-04-01,78,4.45
2011-04-08,78,4.56
2011-04-15,78,4.42
2011-04-22,74,
2011-04-29,74,4.59
2011-05-06,74,4.52
2011-05-13,81,41.53
2011-05-20,77,41.02
2011-05-27,79,40.97
2011-06-03,78,39.85
2011-06-10,77,37.92
2011-06-17,77,38.30
2011-06-24,78,39.59
2011-07-01,76,42.88
2011-07-08,75,42.03
