Date,Cabot Oil & Gas,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,30.08
2004-02-13,0,32.00
2004-02-20,0,29.87
2004-02-27,0,30.37
2004-03-05,0,31.52
2004-03-12,0,30.45
2004-03-19,0,30.65
2004-03-26,0,28.93
2004-04-02,0,30.78
2004-04-09,0,
2004-04-16,0,34.82
2004-04-23,0,35.26
2004-04-30,0,35.70
2004-05-07,0,36.23
2004-05-14,0,36.25
2004-05-21,0,35.83
2004-05-28,0,36.80
2004-06-04,0,37.82
2004-06-11,0,
2004-06-18,0,40.35
2004-06-25,0,41.75
2004-07-02,0,42.31
2004-07-09,0,41.77
2004-07-16,0,42.51
2004-07-23,0,40.73
2004-07-30,0,43.97
2004-08-06,0,40.06
2004-08-13,0,40.43
2004-08-20,0,39.93
2004-08-27,0,39.74
2004-09-03,0,41.61
2004-09-10,0,42.25
2004-09-17,0,43.55
2004-09-24,0,45.07
2004-10-01,0,45.23
2004-10-08,0,46.39
2004-10-15,0,42.95
2004-10-22,0,43.49
2004-10-29,0,42.31
2004-11-05,0,43.30
2004-11-12,0,43.90
2004-11-19,0,43.87
2004-11-26,0,47.81
2004-12-03,0,46.10
2004-12-10,0,43.50
2004-12-17,0,45.60
2004-12-24,0,
2004-12-31,0,44.25
2005-01-07,0,41.67
2005-01-14,0,43.21
2005-01-21,0,44.54
2005-01-28,0,46.05
2005-02-04,0,50.05
2005-02-11,0,52.23
2005-02-18,0,53.05
2005-02-25,0,55.78
2005-03-04,0,57.06
2005-03-11,0,53.66
2005-03-18,0,54.70
2005-03-25,0,
2005-04-01,0,37.58
2005-04-08,0,36.38
2005-04-15,0,32.22
2005-04-22,0,33.27
2005-04-29,0,29.44
2005-05-06,0,30.44
2005-05-13,0,28.29
2005-05-20,0,29.83
2005-05-27,0,31.40
2005-06-03,0,33.82
2005-06-10,0,34.70
2005-06-17,0,36.10
2005-06-24,0,35.02
2005-07-01,0,36.60
2005-07-08,0,38.13
2005-07-15,0,37.04
2005-07-22,0,39.05
2005-07-29,0,40.52
2005-08-05,0,42.25
2005-08-12,0,43.48
2005-08-19,0,40.73
2005-08-26,0,40.88
2005-09-02,0,42.77
2005-09-09,0,45.80
2005-09-16,0,46.08
2005-09-23,0,46.16
2005-09-30,0,50.51
2005-10-07,0,45.40
2005-10-14,0,46.23
2005-10-21,0,43.40
2005-10-28,0,46.41
2005-11-04,0,44.99
2005-11-11,0,41.21
2005-11-18,0,42.19
2005-11-25,0,43.89
2005-12-02,0,44.31
2005-12-09,0,45.07
2005-12-16,0,46.54
2005-12-23,0,47.18
2005-12-30,0,45.10
2006-01-06,0,48.00
2006-01-13,0,49.92
2006-01-20,0,51.88
2006-01-27,0,49.84
2006-02-03,0,48.58
2006-02-10,0,44.40
2006-02-17,0,46.50
2006-02-24,0,47.62
2006-03-03,0,49.66
2006-03-10,0,44.47
2006-03-17,0,47.50
2006-03-24,0,47.92
2006-03-31,0,47.93
2006-04-07,0,49.27
2006-04-14,0,
2006-04-21,0,52.97
2006-04-28,0,49.26
2006-05-05,0,52.72
2006-05-12,0,49.98
2006-05-19,0,45.95
2006-05-26,0,44.25
2006-06-02,0,45.21
2006-06-09,74,40.04
2006-06-16,75,42.31
2006-06-23,75,44.00
2006-06-30,0,49.00
2006-07-07,0,47.12
2006-07-14,0,46.99
2006-07-21,0,44.15
2006-07-28,0,51.45
2006-08-04,0,54.39
2006-08-11,0,54.27
2006-08-18,0,53.60
2006-08-25,0,54.87
2006-09-01,0,52.18
2006-09-08,0,47.88
2006-09-15,0,45.06
2006-09-22,0,45.00
2006-09-29,0,47.93
2006-10-06,0,46.13
2006-10-13,0,49.69
2006-10-20,0,51.02
2006-10-27,0,52.88
2006-11-03,0,54.07
2006-11-10,0,54.07
2006-11-17,0,58.90
2006-11-24,0,59.88
2006-12-01,0,62.86
2006-12-08,0,64.07
2006-12-15,0,64.96
2006-12-22,0,61.93
2006-12-29,0,60.65
2007-01-05,0,57.18
2007-01-12,0,58.87
2007-01-19,0,59.85
2007-01-26,0,62.34
2007-02-02,0,64.85
2007-02-09,0,65.86
2007-02-16,0,67.17
2007-02-23,0,70.57
2007-03-02,0,66.25
2007-03-09,0,67.04
2007-03-16,0,66.55
2007-03-23,0,69.66
2007-03-30,0,67.32
2007-04-06,0,
2007-04-13,0,35.59
2007-04-20,0,35.48
2007-04-27,0,36.88
2007-05-04,0,37.60
2007-05-11,41,37.14
2007-05-18,41,38.43
2007-05-25,42,38.89
2007-06-01,43,38.55
2007-06-08,44,37.75
2007-06-15,44,41.84
2007-06-22,66,40.15
2007-06-29,41,36.88
2007-07-06,45,37.48
2007-07-13,49,37.83
2007-07-20,53,37.14
2007-07-27,57,33.64
2007-08-03,47,33.20
2007-08-10,47,31.59
2007-08-17,47,32.98
2007-08-24,47,33.65
2007-08-31,47,33.34
2007-09-07,38,33.17
2007-09-14,48,35.69
2007-09-21,43,36.54
2007-09-28,43,35.16
2007-10-05,43,37.23
2007-10-12,47,37.22
2007-10-19,51,37.50
2007-10-26,54,37.78
2007-11-02,39,39.54
2007-11-09,33,36.84
2007-11-16,33,35.27
2007-11-23,0,35.09
2007-11-30,0,34.42
2007-12-07,0,36.80
2007-12-14,0,37.26
2007-12-21,0,39.45
2007-12-28,0,40.90
2008-01-04,0,41.40
2008-01-11,0,41.94
2008-01-18,34,39.12
2008-01-25,37,37.75
2008-02-01,40,39.20
2008-02-08,43,41.02
2008-02-15,46,46.13
2008-02-22,36,48.85
2008-02-29,36,49.75
2008-03-07,39,49.43
2008-03-14,41,53.41
2008-03-21,35,
2008-03-28,39,50.65
2008-04-04,44,54.84
2008-04-11,38,57.61
2008-04-18,61,61.26
2008-04-25,39,58.04
2008-05-02,45,57.82
2008-05-09,39,61.31
2008-05-16,52,62.77
2008-05-23,86,60.16
2008-05-30,55,60.25
2008-06-06,100,68.03
2008-06-13,53,66.42
2008-06-20,53,65.40
2008-06-27,42,65.19
2008-07-04,49,
2008-07-11,36,60.19
2008-07-18,39,51.61
2008-07-25,45,45.30
2008-08-01,54,44.86
2008-08-08,48,40.69
2008-08-15,58,42.64
2008-08-22,44,42.66
2008-08-29,45,44.44
2008-09-05,33,39.20
2008-09-12,35,38.59
2008-09-19,32,41.20
2008-09-26,48,38.88
2008-10-03,34,28.99
2008-10-10,46,21.31
2008-10-17,51,26.11
2008-10-24,38,25.44
2008-10-31,38,28.07
2008-11-07,47,28.91
2008-11-14,34,26.54
2008-11-21,29,24.33
2008-11-28,33,29.97
2008-12-05,37,22.29
2008-12-12,40,26.78
2008-12-19,32,25.90
2008-12-26,35,23.93
2009-01-02,38,27.48
2009-01-09,41,26.42
2009-01-16,30,25.05
2009-01-23,30,26.65
2009-01-30,27,27.49
2009-02-06,27,29.65
2009-02-13,27,25.98
2009-02-20,36,21.44
2009-02-27,29,20.37
2009-03-06,29,20.64
2009-03-13,31,22.57
2009-03-20,49,25.14
2009-03-27,39,25.20
2009-04-03,44,27.22
2009-04-10,43,
2009-04-17,43,29.13
2009-04-24,31,28.39
2009-05-01,45,32.01
2009-05-08,63,34.57
2009-05-15,52,30.82
2009-05-22,56,29.86
2009-05-29,41,35.13
2009-06-05,57,35.59
2009-06-12,54,35.59
2009-06-19,40,31.82
2009-06-26,42,30.66
2009-07-03,37,
2009-07-10,44,29.48
2009-07-17,55,33.87
2009-07-24,37,36.23
2009-07-31,48,35.13
2009-08-07,42,35.45
2009-08-14,41,35.10
2009-08-21,41,37.65
2009-08-28,40,36.23
2009-09-04,38,34.95
2009-09-11,36,37.25
2009-09-18,47,37.74
2009-09-25,30,33.69
2009-10-02,48,34.23
2009-10-09,25,36.78
2009-10-16,46,39.57
2009-10-23,24,38.90
2009-10-30,58,38.47
2009-11-06,50,40.07
2009-11-13,37,39.86
2009-11-20,35,38.22
2009-11-27,19,38.18
2009-12-04,35,38.04
2009-12-11,29,38.34
2009-12-18,20,43.47
2009-12-25,25,
2010-01-01,30,
2010-01-08,34,45.46
2010-01-15,50,42.99
2010-01-22,38,41.95
2010-01-29,29,38.27
2010-02-05,24,38.45
2010-02-12,25,39.50
2010-02-19,40,41.32
2010-02-26,56,40.14
2010-03-05,25,41.37
2010-03-12,30,41.86
2010-03-19,22,38.14
2010-03-26,48,36.40
2010-04-02,34,
2010-04-09,26,39.96
2010-04-16,41,38.95
2010-04-23,60,39.90
2010-04-30,51,36.13
2010-05-07,66,31.88
2010-05-14,53,33.83
2010-05-21,44,31.36
2010-05-28,31,34.69
2010-06-04,44,34.97
2010-06-11,50,37.01
2010-06-18,42,36.43
2010-06-25,57,32.93
2010-07-02,43,30.93
2010-07-09,42,33.49
2010-07-16,46,31.87
2010-07-23,41,31.84
2010-07-30,57,30.47
2010-08-06,21,31.85
2010-08-13,37,30.69
2010-08-20,43,29.28
2010-08-27,42,28.69
2010-09-03,48,29.28
2010-09-10,53,29.12
2010-09-17,36,26.99
2010-09-24,46,28.69
2010-10-01,36,30.56
2010-10-08,38,32.04
2010-10-15,23,30.52
2010-10-22,34,30.88
2010-10-29,31,28.98
2010-11-05,31,32.21
2010-11-12,22,34.37
2010-11-19,50,35.83
2010-11-26,17,35.01
2010-12-03,30,37.69
2010-12-10,33,35.36
2010-12-17,37,36.63
2010-12-24,24,
2010-12-31,22,37.85
2011-01-07,22,37.49
2011-01-14,25,38.58
2011-01-21,38,39.09
2011-01-28,26,39.77
2011-02-04,21,41.38
2011-02-11,27,40.41
2011-02-18,26,40.87
2011-02-25,42,45.79
2011-03-04,36,46.30
2011-03-11,34,44.02
2011-03-18,35,48.47
2011-03-25,33,51.41
2011-04-01,33,54.03
2011-04-08,29,53.13
2011-04-15,40,53.50
2011-04-22,44,
2011-04-29,34,56.28
2011-05-06,31,52.29
2011-05-13,52,52.94
2011-05-20,36,54.66
2011-05-27,39,58.12
2011-06-03,50,56.56
2011-06-10,42,57.83
2011-06-17,54,60.34
2011-06-24,34,61.45
2011-07-01,44,67.21
2011-07-08,57,66.48
2011-07-15,50,68.43
2011-07-22,47,71.93
2011-07-29,54,74.08
2011-08-05,54,66.87
2011-08-12,52,72.22
2011-08-19,39,66.59
2011-08-26,51,71.95
2011-09-02,30,74.24
2011-09-09,29,70.19
2011-09-16,47,70.56
2011-09-23,33,61.11
2011-09-30,28,61.91
2011-10-07,35,63.62
2011-10-14,41,68.32
2011-10-21,35,70.29
2011-10-28,31,80.20
2011-11-04,27,83.64
2011-11-11,36,88.06
2011-11-18,19,82.14
2011-11-25,20,76.69
2011-12-02,28,86.41
2011-12-09,33,81.18
2011-12-16,20,74.17
2011-12-23,25,77.99
2011-12-30,28,75.90
2012-01-06,48,80.65
2012-01-13,41,67.13
2012-01-20,46,61.12
2012-01-27,40,32.88
2012-02-03,37,32.45
2012-02-10,38,33.57
2012-02-17,31,36.64
2012-02-24,41,35.69
2012-03-02,35,34.46
2012-03-09,30,34.91
2012-03-16,29,33.42
2012-03-23,37,32.52
2012-03-30,44,31.17
2012-04-06,34,
2012-04-13,55,30.60
2012-04-20,43,30.14
2012-04-27,37,33.79
2012-05-04,35,34.37
2012-05-11,39,35.51
2012-05-18,43,34.27
2012-05-25,36,34.77
2012-06-01,36,31.15
2012-06-08,42,32.99
2012-06-15,54,36.20
2012-06-22,45,36.40
2012-06-29,56,39.40
2012-07-06,34,39.51
2012-07-13,38,40.59
2012-07-20,26,40.20
2012-07-27,44,42.03
2012-08-03,46,41.18
2012-08-10,29,42.88
2012-08-17,37,42.99
2012-08-24,34,41.86
2012-08-31,38,41.41
2012-09-07,29,42.17
2012-09-14,39,45.86
2012-09-21,35,45.05
2012-09-28,42,44.90
2012-10-05,37,44.28
2012-10-12,27,43.86
2012-10-19,23,44.48
2012-10-26,30,47.46
2012-11-02,36,47.55
2012-11-09,30,47.55
2012-11-16,27,47.97
2012-11-23,20,49.88
2012-11-30,24,47.10
2012-12-07,24,48.84
2012-12-14,15,46.79
2012-12-21,18,50.83
2012-12-28,13,48.83
2013-01-04,31,50.11
2013-01-11,26,48.10
2013-01-18,26,51.38
2013-01-25,22,52.85
2013-02-01,18,53.18
2013-02-08,20,54.90
2013-02-15,29,54.31
2013-02-22,32,59.81
2013-03-01,43,63.40
2013-03-08,32,64.60
2013-03-15,30,67.06
2013-03-22,26,67.68
2013-03-29,32,
2013-04-05,38,67.96
2013-04-12,40,67.70
2013-04-19,38,64.60
2013-04-26,47,67.33
2013-05-03,52,67.31
2013-05-10,48,66.84
2013-05-17,32,70.28
2013-05-24,47,70.96
2013-05-31,39,70.36
2013-06-07,38,72.31
2013-06-14,35,69.54
2013-06-21,37,68.00
2013-06-28,31,71.02
2013-07-05,44,71.45
2013-07-12,47,70.83
2013-07-19,49,73.67
2013-07-26,60,77.16
2013-08-02,56,77.18
2013-08-09,51,76.00
2013-08-16,49,37.13
2013-08-23,48,38.85
2013-08-30,49,39.13
2013-09-06,38,38.74
2013-09-13,31,37.52
2013-09-20,33,37.71
2013-09-27,35,37.11
2013-10-04,41,36.32
2013-10-11,36,36.75
2013-10-18,41,36.12
2013-10-25,34,36.98
2013-11-01,38,35.04
2013-11-08,41,33.60
2013-11-15,32,33.33
2013-11-22,22,35.14
2013-11-29,19,34.45
2013-12-06,22,35.20
2013-12-13,33,36.12
2013-12-20,43,38.43
2013-12-27,19,38.73
2014-01-03,18,37.95
2014-01-10,29,37.50
2014-01-17,26,37.48
2014-01-24,36,39.55
2014-01-31,32,39.98
2014-02-07,17,39.32
2014-02-14,31,38.86
2014-02-21,47,36.07
2014-02-28,35,35.00
2014-03-07,28,35.11
2014-03-14,28,33.96
2014-03-21,31,32.96
2014-03-28,35,33.84
2014-04-04,29,34.57
2014-04-11,46,32.41
2014-04-18,55,
2014-04-25,54,38.18
2014-05-02,0,
