Date,CenterPoint Energy,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,4,
2004-01-30,4,
2004-02-06,4,10.11
2004-02-13,3,10.32
2004-02-20,4,10.30
2004-02-27,4,10.46
2004-03-05,5,11.42
2004-03-12,4,10.86
2004-03-19,4,10.87
2004-03-26,3,11.13
2004-04-02,3,11.88
2004-04-09,3,
2004-04-16,3,11.14
2004-04-23,3,11.32
2004-04-30,3,10.79
2004-05-07,3,10.59
2004-05-14,3,10.60
2004-05-21,3,10.46
2004-05-28,3,10.84
2004-06-04,4,10.63
2004-06-11,5,
2004-06-18,5,11.20
2004-06-25,4,11.46
2004-07-02,3,11.41
2004-07-09,3,11.64
2004-07-16,3,11.95
2004-07-23,3,11.35
2004-07-30,6,11.61
2004-08-06,5,11.17
2004-08-13,5,10.94
2004-08-20,5,11.16
2004-08-27,4,10.64
2004-09-03,4,10.75
2004-09-10,4,10.53
2004-09-17,4,10.67
2004-09-24,3,10.02
2004-10-01,3,10.70
2004-10-08,3,10.95
2004-10-15,3,10.68
2004-10-22,3,10.41
2004-10-29,3,10.51
2004-11-05,5,10.75
2004-11-12,3,11.26
2004-11-19,4,11.17
2004-11-26,4,11.34
2004-12-03,4,11.28
2004-12-10,5,10.90
2004-12-17,4,11.20
2004-12-24,3,
2004-12-31,3,11.30
2005-01-07,3,10.70
2005-01-14,4,10.90
2005-01-21,4,10.99
2005-01-28,4,11.10
2005-02-04,5,11.91
2005-02-11,3,11.99
2005-02-18,4,12.00
2005-02-25,4,12.11
2005-03-04,4,12.47
2005-03-11,3,12.35
2005-03-18,3,12.27
2005-03-25,5,
2005-04-01,3,11.94
2005-04-08,3,11.95
2005-04-15,3,11.76
2005-04-22,5,11.85
2005-04-29,3,11.84
2005-05-06,3,11.98
2005-05-13,3,11.77
2005-05-20,3,12.07
2005-05-27,4,12.10
2005-06-03,4,12.38
2005-06-10,2,12.49
2005-06-17,5,12.65
2005-06-24,5,12.75
2005-07-01,2,13.41
2005-07-08,3,13.49
2005-07-15,7,13.74
2005-07-22,6,13.58
2005-07-29,6,13.74
2005-08-05,4,13.81
2005-08-12,3,13.40
2005-08-19,5,13.44
2005-08-26,4,13.83
2005-09-02,4,14.45
2005-09-09,4,14.64
2005-09-16,3,15.13
2005-09-23,8,14.33
2005-09-30,11,14.87
2005-10-07,5,13.89
2005-10-14,3,13.57
2005-10-21,5,12.65
2005-10-28,5,13.12
2005-11-04,3,13.00
2005-11-11,5,12.93
2005-11-18,5,13.19
2005-11-25,3,13.31
2005-12-02,4,13.28
2005-12-09,4,13.00
2005-12-16,4,13.30
2005-12-23,4,13.05
2005-12-30,5,12.85
2006-01-06,4,13.10
2006-01-13,4,13.00
2006-01-20,6,13.20
2006-01-27,6,12.97
2006-02-03,5,12.60
2006-02-10,5,12.65
2006-02-17,5,13.06
2006-02-24,4,13.04
2006-03-03,5,12.85
2006-03-10,4,12.74
2006-03-17,5,12.51
2006-03-24,4,12.15
2006-03-31,3,11.93
2006-04-07,4,11.86
2006-04-14,4,
2006-04-21,6,12.09
2006-04-28,6,12.02
2006-05-05,5,12.36
2006-05-12,3,12.02
2006-05-19,4,12.08
2006-05-26,4,12.04
2006-06-02,5,12.42
2006-06-09,4,12.30
2006-06-16,4,12.38
2006-06-23,4,12.20
2006-06-30,5,12.50
2006-07-07,4,12.72
2006-07-14,3,12.74
2006-07-21,6,13.36
2006-07-28,5,13.64
2006-08-04,6,13.84
2006-08-11,4,13.87
2006-08-18,5,14.24
2006-08-25,4,14.46
2006-09-01,5,14.55
2006-09-08,4,14.10
2006-09-15,4,14.14
2006-09-22,5,13.86
2006-09-29,4,14.32
2006-10-06,4,14.39
2006-10-13,5,14.73
2006-10-20,5,15.26
2006-10-27,4,15.41
2006-11-03,4,15.61
2006-11-10,4,16.08
2006-11-17,4,16.00
2006-11-24,4,16.10
2006-12-01,4,16.26
2006-12-08,5,16.18
2006-12-15,4,16.54
2006-12-22,3,16.49
2006-12-29,3,16.58
2007-01-05,5,16.79
2007-01-12,5,16.84
2007-01-19,4,16.72
2007-01-26,5,17.49
2007-02-02,5,17.50
2007-02-09,4,17.95
2007-02-16,6,18.16
2007-02-23,4,18.23
2007-03-02,5,17.50
2007-03-09,4,17.63
2007-03-16,5,17.46
2007-03-23,4,18.20
2007-03-30,4,17.94
2007-04-06,6,
2007-04-13,4,18.27
2007-04-20,3,18.86
2007-04-27,5,19.06
2007-05-04,5,19.57
2007-05-11,4,19.87
2007-05-18,5,19.56
2007-05-25,4,18.71
2007-06-01,5,18.71
2007-06-08,5,17.56
2007-06-15,4,18.06
2007-06-22,5,16.90
2007-06-29,4,17.40
2007-07-06,4,17.78
2007-07-13,5,17.88
2007-07-20,6,17.23
2007-07-27,5,16.46
2007-08-03,6,16.01
2007-08-10,5,16.17
2007-08-17,5,15.97
2007-08-24,5,17.04
2007-08-31,5,16.22
2007-09-07,4,16.00
2007-09-14,5,16.14
2007-09-21,4,16.57
2007-09-28,4,16.03
2007-10-05,5,16.87
2007-10-12,4,16.92
2007-10-19,4,15.97
2007-10-26,5,16.43
2007-11-02,5,17.11
2007-11-09,5,18.22
2007-11-16,5,17.66
2007-11-23,4,17.49
2007-11-30,6,17.85
2007-12-07,6,18.16
2007-12-14,4,18.33
2007-12-21,4,17.38
2007-12-28,4,17.47
2008-01-04,5,16.52
2008-01-11,5,16.82
2008-01-18,5,15.88
2008-01-25,5,15.33
2008-02-01,5,16.15
2008-02-08,5,15.58
2008-02-15,5,15.30
2008-02-22,5,15.34
2008-02-29,5,14.68
2008-03-07,4,14.20
2008-03-14,4,13.91
2008-03-21,5,
2008-03-28,5,14.05
2008-04-04,5,14.94
2008-04-11,6,15.09
2008-04-18,5,15.69
2008-04-25,5,15.57
2008-05-02,5,15.72
2008-05-09,6,15.23
2008-05-16,5,15.85
2008-05-23,5,16.33
2008-05-30,4,16.94
2008-06-06,5,16.64
2008-06-13,5,16.56
2008-06-20,6,16.15
2008-06-27,5,15.54
2008-07-04,5,
2008-07-11,5,15.94
2008-07-18,5,15.34
2008-07-25,4,15.19
2008-08-01,5,15.32
2008-08-08,5,16.25
2008-08-15,5,15.84
2008-08-22,4,16.08
2008-08-29,6,15.88
2008-09-05,6,15.75
2008-09-12,11,15.45
2008-09-19,100,14.83
2008-09-26,49,14.81
2008-10-03,9,13.60
2008-10-10,6,9.08
2008-10-17,5,10.20
2008-10-24,6,10.51
2008-10-31,6,11.52
2008-11-07,6,12.16
2008-11-14,5,11.85
2008-11-21,5,11.99
2008-11-28,4,12.93
2008-12-05,7,12.80
2008-12-12,6,12.72
2008-12-19,6,12.42
2008-12-26,4,12.10
2009-01-02,6,12.85
2009-01-09,8,12.85
2009-01-16,6,12.74
2009-01-23,6,12.98
2009-01-30,6,13.38
2009-02-06,6,14.39
2009-02-13,7,13.13
2009-02-20,7,11.83
2009-02-27,6,10.32
2009-03-06,7,8.88
2009-03-13,6,10.14
2009-03-20,6,10.47
2009-03-27,5,10.17
2009-04-03,5,10.56
2009-04-10,6,
2009-04-17,6,10.52
2009-04-24,5,10.31
2009-05-01,7,11.01
2009-05-08,5,10.93
2009-05-15,5,10.05
2009-05-22,5,9.85
2009-05-29,4,10.12
2009-06-05,5,9.99
2009-06-12,5,10.66
2009-06-19,6,10.75
2009-06-26,6,11.06
2009-07-03,6,
2009-07-10,7,10.92
2009-07-17,8,11.19
2009-07-24,6,11.87
2009-07-31,6,12.05
2009-08-07,7,12.34
2009-08-14,8,12.48
2009-08-21,6,12.80
2009-08-28,5,12.57
2009-09-04,6,12.07
2009-09-11,6,12.45
2009-09-18,7,12.49
2009-09-25,7,12.25
2009-10-02,7,12.22
2009-10-09,8,12.67
2009-10-16,7,12.94
2009-10-23,6,12.85
2009-10-30,5,12.60
2009-11-06,6,12.74
2009-11-13,6,12.63
2009-11-20,5,12.77
2009-11-27,5,12.96
2009-12-04,7,13.77
2009-12-11,6,14.45
2009-12-18,7,14.55
2009-12-25,5,
2010-01-01,8,
2010-01-08,8,14.24
2010-01-15,7,14.61
2010-01-22,7,14.20
2010-01-29,7,13.95
2010-02-05,7,13.92
2010-02-12,7,13.65
2010-02-19,8,14.53
2010-02-26,6,13.38
2010-03-05,9,14.01
2010-03-12,7,14.24
2010-03-19,7,14.43
2010-03-26,7,14.19
2010-04-02,8,
2010-04-09,8,14.50
2010-04-16,7,14.32
2010-04-23,7,14.57
2010-04-30,7,14.36
2010-05-07,7,13.75
2010-05-14,7,14.15
2010-05-21,7,13.33
2010-05-28,8,13.62
2010-06-04,7,13.20
2010-06-11,7,13.27
2010-06-18,7,14.01
2010-06-25,7,13.52
2010-07-02,6,13.03
2010-07-09,6,14.05
2010-07-16,7,13.93
2010-07-23,7,14.25
2010-07-30,8,14.23
2010-08-06,8,14.84
2010-08-13,8,14.50
2010-08-20,7,14.55
2010-08-27,8,14.96
2010-09-03,8,15.26
2010-09-10,6,15.20
2010-09-17,7,15.03
2010-09-24,7,15.65
2010-10-01,7,15.90
2010-10-08,7,16.09
2010-10-15,6,16.13
2010-10-22,7,16.42
2010-10-29,7,16.56
2010-11-05,8,16.68
2010-11-12,7,16.11
2010-11-19,7,15.82
2010-11-26,6,15.79
2010-12-03,8,15.90
2010-12-10,7,15.84
2010-12-17,9,15.87
2010-12-24,6,
2010-12-31,8,15.72
2011-01-07,8,15.68
2011-01-14,8,15.70
2011-01-21,8,15.90
2011-01-28,8,16.03
2011-02-04,12,16.14
2011-02-11,9,16.19
2011-02-18,8,15.90
2011-02-25,7,15.68
2011-03-04,8,15.88
2011-03-11,7,16.10
2011-03-18,8,16.67
2011-03-25,7,17.13
2011-04-01,8,17.75
2011-04-08,8,17.50
2011-04-15,8,17.88
2011-04-22,8,
2011-04-29,8,18.60
2011-05-06,8,18.72
2011-05-13,7,18.73
2011-05-20,7,18.96
2011-05-27,7,19.08
2011-06-03,9,19.09
2011-06-10,9,18.86
2011-06-17,8,18.74
2011-06-24,8,18.95
2011-07-01,9,19.79
2011-07-08,8,19.75
2011-07-15,9,19.39
2011-07-22,9,20.26
2011-07-29,8,19.58
2011-08-05,10,18.54
2011-08-12,9,18.70
2011-08-19,8,18.73
2011-08-26,9,19.55
2011-09-02,9,19.45
2011-09-09,9,19.52
2011-09-16,9,19.93
2011-09-23,9,18.97
2011-09-30,9,19.62
2011-10-07,9,19.93
2011-10-14,8,20.35
2011-10-21,8,21.23
2011-10-28,9,21.29
2011-11-04,9,20.31
2011-11-11,8,19.80
2011-11-18,9,19.36
2011-11-25,6,18.59
2011-12-02,10,19.63
2011-12-09,9,19.83
2011-12-16,7,19.22
2011-12-23,7,20.22
2011-12-30,9,20.09
2012-01-06,9,19.54
2012-01-13,9,19.09
2012-01-20,9,18.81
2012-01-27,10,18.23
2012-02-03,10,18.88
2012-02-10,9,18.91
2012-02-17,9,18.98
2012-02-24,8,18.80
2012-03-02,10,19.53
2012-03-09,9,19.26
2012-03-16,8,19.07
2012-03-23,8,19.31
2012-03-30,8,19.72
2012-04-06,8,
2012-04-13,8,19.17
2012-04-20,7,19.53
2012-04-27,7,20.05
2012-05-04,8,20.05
2012-05-11,8,20.24
2012-05-18,9,19.62
2012-05-25,9,20.18
2012-06-01,8,19.97
2012-06-08,9,20.40
2012-06-15,11,20.62
2012-06-22,8,20.34
2012-06-29,9,20.67
2012-07-06,8,20.57
2012-07-13,8,20.99
2012-07-20,7,21.15
2012-07-27,7,21.19
2012-08-03,9,21.16
2012-08-10,8,21.08
2012-08-17,8,20.24
2012-08-24,8,20.32
2012-08-31,7,20.39
2012-09-07,8,20.95
2012-09-14,7,21.02
2012-09-21,7,21.12
2012-09-28,5,21.30
2012-10-05,5,21.41
2012-10-12,4,21.13
2012-10-19,5,21.41
2012-10-26,5,21.47
2012-11-02,5,21.54
2012-11-09,4,20.15
2012-11-16,7,19.58
2012-11-23,5,19.26
2012-11-30,8,19.73
2012-12-07,8,19.84
2012-12-14,8,19.67
2012-12-21,8,19.46
2012-12-28,10,19.00
2013-01-04,10,19.82
2013-01-11,8,20.04
2013-01-18,8,20.02
2013-01-25,7,20.33
2013-02-01,8,20.56
2013-02-08,6,20.91
2013-02-15,5,20.41
2013-02-22,4,20.90
2013-03-01,5,21.53
2013-03-08,5,21.82
2013-03-15,5,23.41
2013-03-22,5,23.43
2013-03-29,5,
2013-04-05,7,23.87
2013-04-12,7,24.02
2013-04-19,7,24.14
2013-04-26,7,24.26
2013-05-03,9,24.34
2013-05-10,9,24.21
2013-05-17,7,24.30
2013-05-24,6,23.56
2013-05-31,7,23.18
2013-06-07,8,23.39
2013-06-14,8,23.71
2013-06-21,8,22.76
2013-06-28,8,23.49
2013-07-05,8,23.34
2013-07-12,9,24.40
2013-07-19,9,24.64
2013-07-26,7,24.82
2013-08-02,8,25.11
2013-08-09,7,24.25
2013-08-16,8,23.18
2013-08-23,6,23.17
2013-08-30,6,22.93
2013-09-06,7,22.81
2013-09-13,7,22.89
2013-09-20,8,23.92
2013-09-27,7,23.93
2013-10-04,8,24.13
2013-10-11,8,24.46
2013-10-18,8,24.60
2013-10-25,7,24.87
2013-11-01,9,24.41
2013-11-08,8,24.82
2013-11-15,9,25.07
2013-11-22,7,24.98
2013-11-29,6,23.43
2013-12-06,9,23.36
2013-12-13,8,22.68
2013-12-20,8,23.25
2013-12-27,6,23.12
2014-01-03,9,22.81
2014-01-10,9,23.38
2014-01-17,8,23.42
2014-01-24,8,23.15
2014-01-31,8,23.40
2014-02-07,9,23.33
2014-02-14,9,24.05
2014-02-21,8,24.48
2014-02-28,9,23.65
2014-03-07,10,23.19
2014-03-14,8,23.90
2014-03-21,8,23.72
2014-03-28,7,23.54
2014-04-04,9,23.80
2014-04-11,8,24.00
2014-04-18,9,
2014-04-25,8,24.86
2014-05-02,6,
