Date,Cintas Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,46.60
2004-02-13,0,43.80
2004-02-20,0,42.78
2004-02-27,0,42.71
2004-03-05,0,42.92
2004-03-12,0,41.55
2004-03-19,0,41.48
2004-03-26,0,42.69
2004-04-02,0,46.23
2004-04-09,0,
2004-04-16,0,46.14
2004-04-23,0,47.74
2004-04-30,0,45.11
2004-05-07,0,44.08
2004-05-14,0,43.27
2004-05-21,0,43.99
2004-05-28,0,45.33
2004-06-04,0,44.77
2004-06-11,0,
2004-06-18,0,45.32
2004-06-25,0,47.86
2004-07-02,0,46.85
2004-07-09,0,45.40
2004-07-16,0,43.97
2004-07-23,0,42.26
2004-07-30,0,41.96
2004-08-06,0,40.41
2004-08-13,0,39.75
2004-08-20,0,40.77
2004-08-27,0,41.55
2004-09-03,0,42.58
2004-09-10,0,42.61
2004-09-17,0,44.03
2004-09-24,0,42.63
2004-10-01,0,43.90
2004-10-08,0,42.14
2004-10-15,0,41.57
2004-10-22,0,41.80
2004-10-29,0,43.14
2004-11-05,0,44.08
2004-11-12,0,45.34
2004-11-19,0,44.77
2004-11-26,0,44.96
2004-12-03,0,45.87
2004-12-10,0,45.50
2004-12-17,0,44.74
2004-12-24,0,
2004-12-31,0,43.86
2005-01-07,0,43.77
2005-01-14,0,43.33
2005-01-21,0,42.83
2005-01-28,0,43.35
2005-02-04,0,44.81
2005-02-11,0,44.93
2005-02-18,0,43.99
2005-02-25,0,43.83
2005-03-04,0,43.92
2005-03-11,0,42.95
2005-03-18,0,41.55
2005-03-25,0,
2005-04-01,0,41.17
2005-04-08,0,40.87
2005-04-15,0,39.83
2005-04-22,0,38.21
2005-04-29,0,38.59
2005-05-06,0,39.50
2005-05-13,0,39.87
2005-05-20,0,41.07
2005-05-27,0,40.95
2005-06-03,0,40.13
2005-06-10,0,39.73
2005-06-17,0,39.95
2005-06-24,0,37.56
2005-07-01,0,38.54
2005-07-08,0,39.36
2005-07-15,0,44.00
2005-07-22,0,45.32
2005-07-29,0,44.33
2005-08-05,0,43.52
2005-08-12,0,43.11
2005-08-19,0,41.94
2005-08-26,0,41.37
2005-09-02,0,40.25
2005-09-09,0,40.52
2005-09-16,0,39.72
2005-09-23,0,39.11
2005-09-30,0,41.05
2005-10-07,0,39.50
2005-10-14,0,39.22
2005-10-21,0,39.45
2005-10-28,0,40.44
2005-11-04,0,42.40
2005-11-11,0,43.31
2005-11-18,0,44.04
2005-11-25,0,44.60
2005-12-02,0,45.26
2005-12-09,0,42.60
2005-12-16,0,42.69
2005-12-23,0,41.29
2005-12-30,0,41.13
2006-01-06,0,41.30
2006-01-13,0,41.08
2006-01-20,0,40.07
2006-01-27,0,42.73
2006-02-03,0,40.59
2006-02-10,0,40.52
2006-02-17,0,40.63
2006-02-24,0,41.16
2006-03-03,0,41.21
2006-03-10,0,42.17
2006-03-17,0,42.17
2006-03-24,0,42.77
2006-03-31,0,42.62
2006-04-07,0,42.00
2006-04-14,0,
2006-04-21,0,41.85
2006-04-28,0,41.98
2006-05-05,0,42.01
2006-05-12,0,41.53
2006-05-19,0,41.21
2006-05-26,0,41.30
2006-06-02,0,42.17
2006-06-09,0,41.22
2006-06-16,0,40.59
2006-06-23,0,39.71
2006-06-30,0,39.76
2006-07-07,0,38.18
2006-07-14,0,36.68
2006-07-21,0,35.26
2006-07-28,0,35.92
2006-08-04,0,35.30
2006-08-11,0,35.51
2006-08-18,0,36.87
2006-08-25,0,36.14
2006-09-01,0,38.03
2006-09-08,0,37.53
2006-09-15,0,38.20
2006-09-22,0,39.94
2006-09-29,0,40.83
2006-10-06,0,41.44
2006-10-13,0,41.59
2006-10-20,0,41.30
2006-10-27,0,41.15
2006-11-03,0,40.87
2006-11-10,0,42.44
2006-11-17,0,43.47
2006-11-24,0,42.41
2006-12-01,0,42.26
2006-12-08,0,42.66
2006-12-15,0,42.73
2006-12-22,0,39.83
2006-12-29,0,39.71
2007-01-05,0,40.29
2007-01-12,0,40.68
2007-01-19,0,40.80
2007-01-26,0,40.97
2007-02-02,0,41.21
2007-02-09,0,41.74
2007-02-16,0,42.39
2007-02-23,0,42.30
2007-03-02,0,39.35
2007-03-09,99,40.02
2007-03-16,0,39.67
2007-03-23,0,37.32
2007-03-30,0,36.10
2007-04-06,0,
2007-04-13,0,37.10
2007-04-20,0,37.77
2007-04-27,0,37.75
2007-05-04,0,38.12
2007-05-11,0,38.03
2007-05-18,0,37.32
2007-05-25,0,37.16
2007-06-01,0,38.48
2007-06-08,0,38.91
2007-06-15,0,40.36
2007-06-22,0,39.51
2007-06-29,0,39.43
2007-07-06,0,40.25
2007-07-13,0,40.90
2007-07-20,0,38.52
2007-07-27,0,36.90
2007-08-03,0,36.03
2007-08-10,90,37.61
2007-08-17,90,35.37
2007-08-24,91,35.74
2007-08-31,92,36.65
2007-09-07,93,35.65
2007-09-14,94,36.37
2007-09-21,92,37.15
2007-09-28,92,37.10
2007-10-05,78,37.35
2007-10-12,85,37.06
2007-10-19,77,36.18
2007-10-26,77,36.53
2007-11-02,77,35.63
2007-11-09,80,33.51
2007-11-16,60,32.98
2007-11-23,73,32.71
2007-11-30,87,31.99
2007-12-07,0,34.75
2007-12-14,0,33.59
2007-12-21,0,34.47
2007-12-28,0,34.18
2008-01-04,0,31.61
2008-01-11,70,31.50
2008-01-18,72,31.63
2008-01-25,73,30.95
2008-02-01,91,33.35
2008-02-08,69,30.43
2008-02-15,79,29.78
2008-02-22,90,29.80
2008-02-29,100,28.78
2008-03-07,59,28.25
2008-03-14,58,28.10
2008-03-21,62,
2008-03-28,0,27.85
2008-04-04,0,29.98
2008-04-11,0,27.92
2008-04-18,0,29.59
2008-04-25,0,29.65
2008-05-02,72,31.01
2008-05-09,0,29.86
2008-05-16,0,30.29
2008-05-23,0,28.58
2008-05-30,0,29.52
2008-06-06,0,28.12
2008-06-13,0,28.44
2008-06-20,0,26.38
2008-06-27,0,26.12
2008-07-04,0,
2008-07-11,0,25.73
2008-07-18,0,27.85
2008-07-25,0,28.56
2008-08-01,0,28.75
2008-08-08,0,30.57
2008-08-15,0,31.19
2008-08-22,0,31.06
2008-08-29,0,30.80
2008-09-05,0,30.56
2008-09-12,52,32.84
2008-09-19,74,30.09
2008-09-26,89,29.06
2008-10-03,51,27.15
2008-10-10,51,21.73
2008-10-17,0,21.48
2008-10-24,0,20.24
2008-10-31,0,23.70
2008-11-07,0,22.34
2008-11-14,0,21.01
2008-11-21,0,21.21
2008-11-28,0,24.02
2008-12-05,47,24.87
2008-12-12,0,24.88
2008-12-19,0,22.38
2008-12-26,0,21.82
2009-01-02,0,23.87
2009-01-09,0,23.31
2009-01-16,0,24.04
2009-01-23,0,23.13
2009-01-30,0,22.75
2009-02-06,0,23.84
2009-02-13,0,22.93
2009-02-20,0,21.70
2009-02-27,49,20.29
2009-03-06,44,18.46
2009-03-13,43,20.95
2009-03-20,44,22.94
2009-03-27,44,25.07
2009-04-03,44,25.59
2009-04-10,45,
2009-04-17,45,26.52
2009-04-24,0,26.83
2009-05-01,0,25.75
2009-05-08,0,26.03
2009-05-15,0,24.94
2009-05-22,0,24.56
2009-05-29,0,23.29
2009-06-05,0,22.83
2009-06-12,0,22.94
2009-06-19,66,22.43
2009-06-26,43,22.92
2009-07-03,43,
2009-07-10,43,21.61
2009-07-17,43,22.61
2009-07-24,50,24.45
2009-07-31,56,25.18
2009-08-07,57,26.80
2009-08-14,65,26.88
2009-08-21,45,27.70
2009-08-28,45,27.81
2009-09-04,46,27.72
2009-09-11,48,28.38
2009-09-18,70,29.77
2009-09-25,49,30.06
2009-10-02,49,29.05
2009-10-09,42,29.53
2009-10-16,76,29.25
2009-10-23,56,28.11
2009-10-30,52,27.69
2009-11-06,51,28.77
2009-11-13,58,28.82
2009-11-20,65,27.96
2009-11-27,68,28.33
2009-12-04,72,29.41
2009-12-11,55,29.33
2009-12-18,59,29.54
2009-12-25,43,
2010-01-01,43,
2010-01-08,64,26.91
2010-01-15,72,26.24
2010-01-22,47,25.25
2010-01-29,60,25.11
2010-02-05,40,24.83
2010-02-12,53,24.60
2010-02-19,34,24.49
2010-02-26,36,24.79
2010-03-05,36,25.53
2010-03-12,49,26.67
2010-03-19,36,28.13
2010-03-26,36,27.92
2010-04-02,56,
2010-04-09,41,27.74
2010-04-16,56,27.91
2010-04-23,43,28.73
2010-04-30,37,27.26
2010-05-07,63,25.54
2010-05-14,40,26.47
2010-05-21,40,25.93
2010-05-28,47,26.00
2010-06-04,34,25.01
2010-06-11,34,25.30
2010-06-18,36,26.10
2010-06-25,38,24.92
2010-07-02,40,23.66
2010-07-09,43,24.98
2010-07-16,45,25.20
2010-07-23,36,26.01
2010-07-30,36,26.46
2010-08-06,36,26.85
2010-08-13,36,25.84
2010-08-20,37,26.19
2010-08-27,37,25.61
2010-09-03,30,27.16
2010-09-10,30,27.44
2010-09-17,29,27.71
2010-09-24,29,27.72
2010-10-01,29,27.48
2010-10-08,34,27.55
2010-10-15,40,27.36
2010-10-22,34,28.08
2010-10-29,31,27.47
2010-11-05,31,28.20
2010-11-12,28,27.22
2010-11-19,30,27.64
2010-11-26,30,27.19
2010-12-03,27,28.49
2010-12-10,27,28.28
2010-12-17,27,29.19
2010-12-24,33,
2010-12-31,37,27.96
2011-01-07,33,27.92
2011-01-14,33,29.00
2011-01-21,33,28.89
2011-01-28,28,27.90
2011-02-04,34,28.90
2011-02-11,35,29.29
2011-02-18,25,29.19
2011-02-25,27,28.10
2011-03-04,32,28.00
2011-03-11,37,27.91
2011-03-18,27,27.80
2011-03-25,27,29.55
2011-04-01,25,30.47
2011-04-08,27,30.19
2011-04-15,30,30.34
2011-04-22,26,
2011-04-29,26,31.05
2011-05-06,29,30.70
2011-05-13,32,32.11
2011-05-20,34,32.06
2011-05-27,27,32.41
2011-06-03,24,31.58
2011-06-10,24,31.31
2011-06-17,27,32.03
2011-06-24,25,31.75
2011-07-01,25,33.97
2011-07-08,25,33.56
2011-07-15,28,31.06
2011-07-22,32,34.37
2011-07-29,40,32.55
2011-08-05,0,29.58
2011-08-12,0,29.83
2011-08-19,0,28.44
2011-08-26,0,30.58
2011-09-02,0,30.83
2011-09-09,25,30.16
2011-09-16,38,31.49
2011-09-23,25,28.39
2011-09-30,25,28.14
2011-10-07,28,28.20
2011-10-14,32,29.56
2011-10-21,31,29.45
2011-10-28,24,30.33
2011-11-04,21,29.63
2011-11-11,21,29.37
2011-11-18,21,29.69
2011-11-25,21,27.63
2011-12-02,21,30.35
2011-12-09,0,30.43
2011-12-16,0,30.52
2011-12-23,0,34.88
2011-12-30,0,34.81
2012-01-06,0,37.31
2012-01-13,24,37.37
2012-01-20,26,37.93
2012-01-27,22,37.47
2012-02-03,29,37.90
2012-02-10,22,37.68
2012-02-17,22,38.60
2012-02-24,23,38.80
2012-03-02,22,38.31
2012-03-09,26,39.30
2012-03-16,31,40.21
2012-03-23,21,39.38
2012-03-30,21,39.12
2012-04-06,20,
2012-04-13,23,38.48
2012-04-20,25,39.25
2012-04-27,25,39.42
2012-05-04,28,39.19
2012-05-11,30,38.71
2012-05-18,25,36.50
2012-05-25,25,37.31
2012-06-01,25,35.76
2012-06-08,25,36.38
2012-06-15,25,37.23
2012-06-22,30,36.80
2012-06-29,36,38.61
2012-07-06,23,39.06
2012-07-13,23,39.87
2012-07-20,23,37.66
2012-07-27,19,39.29
2012-08-03,19,40.65
2012-08-10,21,40.93
2012-08-17,22,41.41
2012-08-24,32,40.86
2012-08-31,23,40.42
2012-09-07,21,41.41
2012-09-14,30,41.72
2012-09-21,24,40.65
2012-09-28,27,41.43
2012-10-05,18,42.20
2012-10-12,25,41.86
2012-10-19,21,41.88
2012-10-26,21,41.47
2012-11-02,21,41.80
2012-11-09,21,40.65
2012-11-16,23,39.67
2012-11-23,25,40.86
2012-11-30,27,41.44
2012-12-07,22,42.00
2012-12-14,17,41.58
2012-12-21,17,41.64
2012-12-28,22,40.34
2013-01-04,27,42.59
2013-01-11,26,42.58
2013-01-18,22,42.41
2013-01-25,19,42.51
2013-02-01,24,42.45
2013-02-08,28,42.87
2013-02-15,30,44.66
2013-02-22,26,44.23
2013-03-01,19,43.80
2013-03-08,20,44.35
2013-03-15,20,44.72
2013-03-22,27,43.39
2013-03-29,27,
2013-04-05,27,43.86
2013-04-12,22,45.88
2013-04-19,22,44.80
2013-04-26,22,44.64
2013-05-03,23,45.25
2013-05-10,28,45.11
2013-05-17,26,45.89
2013-05-24,15,44.98
2013-05-31,17,45.65
2013-06-07,18,45.80
2013-06-14,20,45.57
2013-06-21,20,45.13
2013-06-28,20,45.54
2013-07-05,23,46.45
2013-07-12,27,48.00
2013-07-19,21,47.57
2013-07-26,24,47.29
2013-08-02,27,48.02
2013-08-09,30,49.08
2013-08-16,24,48.75
2013-08-23,23,48.72
2013-08-30,17,47.76
2013-09-06,20,48.61
2013-09-13,19,49.70
2013-09-20,26,51.26
2013-09-27,15,51.22
2013-10-04,26,50.55
2013-10-11,16,51.75
2013-10-18,18,53.15
2013-10-25,33,53.91
2013-11-01,26,53.99
2013-11-08,23,53.46
2013-11-15,27,54.38
2013-11-22,20,55.21
2013-11-29,14,55.50
2013-12-06,16,54.83
2013-12-13,17,55.41
2013-12-20,18,59.30
2013-12-27,17,59.50
2014-01-03,17,59.35
2014-01-10,17,59.27
2014-01-17,22,59.13
2014-01-24,16,57.16
2014-01-31,26,57.07
2014-02-07,18,58.13
2014-02-14,27,59.18
2014-02-21,30,61.66
2014-02-28,15,60.66
2014-03-07,22,61.37
2014-03-14,21,59.39
2014-03-21,21,59.71
2014-03-28,15,58.99
2014-04-04,17,58.24
2014-04-11,34,56.48
2014-04-18,23,
2014-04-25,21,57.55
2014-05-02,0,
