Date,Citrix Systems,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,19.59
2004-02-13,0,19.47
2004-02-20,0,20.41
2004-02-27,0,21.25
2004-03-05,0,20.03
2004-03-12,0,19.60
2004-03-19,0,20.78
2004-03-26,0,22.21
2004-04-02,0,23.00
2004-04-09,0,
2004-04-16,0,21.64
2004-04-23,0,21.50
2004-04-30,0,19.05
2004-05-07,0,20.06
2004-05-14,0,20.28
2004-05-21,0,20.04
2004-05-28,0,20.97
2004-06-04,0,20.16
2004-06-11,0,
2004-06-18,0,19.31
2004-06-25,0,19.87
2004-07-02,0,18.88
2004-07-09,0,17.59
2004-07-16,0,16.62
2004-07-23,0,16.70
2004-07-30,0,17.62
2004-08-06,0,15.09
2004-08-13,0,15.56
2004-08-20,0,16.74
2004-08-27,0,16.20
2004-09-03,0,16.03
2004-09-10,0,17.28
2004-09-17,0,18.20
2004-09-24,0,17.10
2004-10-01,0,19.07
2004-10-08,0,20.22
2004-10-15,0,20.95
2004-10-22,0,23.11
2004-10-29,0,24.01
2004-11-05,0,23.56
2004-11-12,0,23.90
2004-11-19,0,24.57
2004-11-26,0,23.24
2004-12-03,0,24.60
2004-12-10,0,25.04
2004-12-17,0,25.46
2004-12-24,0,
2004-12-31,0,24.46
2005-01-07,0,23.03
2005-01-14,0,22.54
2005-01-21,0,21.92
2005-01-28,0,21.60
2005-02-04,0,22.03
2005-02-11,0,21.46
2005-02-18,0,21.54
2005-02-25,0,22.01
2005-03-04,0,22.98
2005-03-11,0,23.40
2005-03-18,0,23.22
2005-03-25,0,
2005-04-01,0,23.20
2005-04-08,0,23.69
2005-04-15,0,22.21
2005-04-22,0,22.33
2005-04-29,0,22.50
2005-05-06,0,22.65
2005-05-13,0,23.44
2005-05-20,0,24.49
2005-05-27,0,25.15
2005-06-03,0,22.08
2005-06-10,0,21.46
2005-06-17,0,22.15
2005-06-24,0,22.26
2005-07-01,0,21.40
2005-07-08,0,22.39
2005-07-15,0,22.56
2005-07-22,0,22.20
2005-07-29,0,23.83
2005-08-05,0,23.04
2005-08-12,0,23.46
2005-08-19,0,23.54
2005-08-26,0,23.87
2005-09-02,0,24.11
2005-09-09,0,24.97
2005-09-16,0,25.12
2005-09-23,0,23.66
2005-09-30,0,25.14
2005-10-07,0,24.22
2005-10-14,0,24.29
2005-10-21,0,26.38
2005-10-28,0,26.70
2005-11-04,0,27.40
2005-11-11,0,27.38
2005-11-18,0,27.85
2005-11-25,0,27.68
2005-12-02,0,27.55
2005-12-09,0,27.45
2005-12-16,0,27.00
2005-12-23,0,29.24
2005-12-30,0,28.73
2006-01-06,0,30.13
2006-01-13,0,30.56
2006-01-20,0,31.69
2006-01-27,0,31.47
2006-02-03,0,30.63
2006-02-10,0,30.57
2006-02-17,0,31.40
2006-02-24,0,30.95
2006-03-03,0,32.78
2006-03-10,0,32.35
2006-03-17,0,35.92
2006-03-24,0,35.63
2006-03-31,0,37.90
2006-04-07,0,37.59
2006-04-14,0,
2006-04-21,82,40.59
2006-04-28,79,39.92
2006-05-05,77,43.61
2006-05-12,77,41.00
2006-05-19,77,39.95
2006-05-26,78,38.59
2006-06-02,79,37.52
2006-06-09,79,35.67
2006-06-16,80,36.89
2006-06-23,0,37.48
2006-06-30,0,40.10
2006-07-07,0,37.76
2006-07-14,0,34.70
2006-07-21,0,31.00
2006-07-28,0,31.61
2006-08-04,0,30.33
2006-08-11,0,28.47
2006-08-18,78,32.08
2006-08-25,0,30.62
2006-09-01,0,30.44
2006-09-08,0,31.91
2006-09-15,0,34.29
2006-09-22,0,35.62
2006-09-29,0,36.21
2006-10-06,0,34.77
2006-10-13,0,34.89
2006-10-20,0,28.42
2006-10-27,0,29.25
2006-11-03,0,29.02
2006-11-10,68,29.17
2006-11-17,0,30.44
2006-11-24,0,30.68
2006-12-01,0,29.00
2006-12-08,0,28.62
2006-12-15,0,29.20
2006-12-22,0,26.99
2006-12-29,0,27.05
2007-01-05,0,27.85
2007-01-12,0,30.44
2007-01-19,0,28.80
2007-01-26,56,31.10
2007-02-02,71,31.90
2007-02-09,76,31.45
2007-02-16,66,31.43
2007-02-23,56,33.06
2007-03-02,57,31.26
2007-03-09,64,32.00
2007-03-16,71,31.18
2007-03-23,78,32.48
2007-03-30,85,32.03
2007-04-06,52,
2007-04-13,52,33.66
2007-04-20,52,34.24
2007-04-27,77,33.24
2007-05-04,62,31.90
2007-05-11,62,31.65
2007-05-18,62,30.72
2007-05-25,53,32.87
2007-06-01,56,33.79
2007-06-08,59,33.62
2007-06-15,62,34.29
2007-06-22,52,33.45
2007-06-29,52,33.67
2007-07-06,49,33.98
2007-07-13,72,34.42
2007-07-20,59,37.40
2007-07-27,62,35.91
2007-08-03,64,35.74
2007-08-10,65,33.77
2007-08-17,67,32.69
2007-08-24,69,36.10
2007-08-31,100,36.35
2007-09-07,62,35.37
2007-09-14,47,37.92
2007-09-21,51,38.82
2007-09-28,63,40.32
2007-10-05,50,40.39
2007-10-12,66,42.10
2007-10-19,81,39.65
2007-10-26,56,42.06
2007-11-02,61,43.11
2007-11-09,70,41.79
2007-11-16,57,37.82
2007-11-23,55,36.69
2007-11-30,55,36.98
2007-12-07,64,38.70
2007-12-14,57,38.15
2007-12-21,65,37.85
2007-12-28,49,37.90
2008-01-04,49,37.38
2008-01-11,55,34.59
2008-01-18,62,33.69
2008-01-25,80,33.61
2008-02-01,69,34.71
2008-02-08,55,34.50
2008-02-15,36,35.87
2008-02-22,39,34.57
2008-02-29,42,32.93
2008-03-07,38,32.73
2008-03-14,34,30.80
2008-03-21,40,
2008-03-28,46,30.56
2008-04-04,48,31.75
2008-04-11,44,31.89
2008-04-18,44,32.27
2008-04-25,39,32.23
2008-05-02,39,33.85
2008-05-09,45,33.92
2008-05-16,44,35.77
2008-05-23,40,33.72
2008-05-30,40,34.23
2008-06-06,40,34.68
2008-06-13,51,33.20
2008-06-20,45,30.92
2008-06-27,45,29.80
2008-07-04,42,
2008-07-11,42,27.96
2008-07-18,53,27.82
2008-07-25,35,25.69
2008-08-01,51,27.03
2008-08-08,66,30.68
2008-08-15,41,31.41
2008-08-22,41,31.00
2008-08-29,33,30.27
2008-09-05,41,28.65
2008-09-12,62,29.01
2008-09-19,34,28.49
2008-09-26,34,28.02
2008-10-03,34,21.00
2008-10-10,36,20.20
2008-10-17,40,21.28
2008-10-24,44,21.63
2008-10-31,46,25.77
2008-11-07,48,24.12
2008-11-14,46,22.95
2008-11-21,35,22.89
2008-11-28,35,26.66
2008-12-05,31,25.12
2008-12-12,52,23.03
2008-12-19,53,22.80
2008-12-26,54,22.88
2009-01-02,55,24.36
2009-01-09,55,22.56
2009-01-16,35,23.23
2009-01-23,35,22.99
2009-01-30,65,21.04
2009-02-06,40,23.86
2009-02-13,26,23.28
2009-02-20,32,22.18
2009-02-27,53,20.58
2009-03-06,36,21.76
2009-03-13,33,23.09
2009-03-20,36,22.50
2009-03-27,33,22.71
2009-04-03,39,24.35
2009-04-10,49,
2009-04-17,37,26.66
2009-04-24,49,25.84
2009-05-01,54,27.51
2009-05-08,43,27.45
2009-05-15,37,27.62
2009-05-22,50,29.73
2009-05-29,25,31.41
2009-06-05,42,31.97
2009-06-12,44,34.10
2009-06-19,37,32.43
2009-06-26,30,31.94
2009-07-03,30,
2009-07-10,51,32.20
2009-07-17,38,34.99
2009-07-24,61,35.53
2009-07-31,56,35.60
2009-08-07,44,36.32
2009-08-14,48,35.60
2009-08-21,43,35.38
2009-08-28,49,35.91
2009-09-04,40,36.02
2009-09-11,44,36.13
2009-09-18,48,37.22
2009-09-25,42,37.40
2009-10-02,56,37.95
2009-10-09,57,41.75
2009-10-16,77,41.96
2009-10-23,39,39.34
2009-10-30,54,36.76
2009-11-06,48,38.88
2009-11-13,53,39.41
2009-11-20,49,37.84
2009-11-27,29,37.88
2009-12-04,61,39.47
2009-12-11,34,38.28
2009-12-18,50,39.44
2009-12-25,53,
2010-01-01,45,
2010-01-08,67,43.82
2010-01-15,58,43.22
2010-01-22,64,41.40
2010-01-29,51,41.55
2010-02-05,63,41.79
2010-02-12,54,43.16
2010-02-19,53,44.74
2010-02-26,62,43.01
2010-03-05,47,44.61
2010-03-12,43,48.08
2010-03-19,39,48.34
2010-03-26,56,48.09
2010-04-02,27,
2010-04-09,41,48.25
2010-04-16,29,48.47
2010-04-23,50,48.45
2010-04-30,59,47.03
2010-05-07,51,43.62
2010-05-14,56,46.51
2010-05-21,30,44.67
2010-05-28,28,43.61
2010-06-04,43,43.30
2010-06-11,40,43.97
2010-06-18,47,46.09
2010-06-25,36,45.12
2010-07-02,46,42.11
2010-07-09,44,44.62
2010-07-16,49,45.36
2010-07-23,42,47.85
2010-07-30,40,55.02
2010-08-06,44,58.32
2010-08-13,32,56.76
2010-08-20,27,59.21
2010-08-27,34,58.68
2010-09-03,41,61.94
2010-09-10,29,63.69
2010-09-17,26,68.21
2010-09-24,40,70.55
2010-10-01,29,67.94
2010-10-08,27,59.66
2010-10-15,37,59.19
2010-10-22,53,60.80
2010-10-29,23,64.13
2010-11-05,20,65.31
2010-11-12,36,64.79
2010-11-19,26,65.93
2010-11-26,19,68.74
2010-12-03,27,70.26
2010-12-10,50,70.88
2010-12-17,26,69.21
2010-12-24,23,
2010-12-31,24,68.41
2011-01-07,34,68.42
2011-01-14,32,68.05
2011-01-21,32,65.23
2011-01-28,44,63.76
2011-02-04,36,66.40
2011-02-11,30,69.81
2011-02-18,25,72.63
2011-02-25,27,70.93
2011-03-04,29,71.88
2011-03-11,48,71.74
2011-03-18,25,66.64
2011-03-25,20,70.14
2011-04-01,42,75.26
2011-04-08,33,73.42
2011-04-15,38,74.46
2011-04-22,45,
2011-04-29,40,84.34
2011-05-06,35,81.76
2011-05-13,26,83.73
2011-05-20,60,84.28
2011-05-27,22,87.16
2011-06-03,33,83.56
2011-06-10,34,80.01
2011-06-17,32,74.19
2011-06-24,29,76.24
2011-07-01,32,80.78
2011-07-08,32,82.98
2011-07-15,33,76.47
2011-07-22,44,75.27
2011-07-29,41,72.04
2011-08-05,42,64.41
2011-08-12,27,60.75
2011-08-19,30,50.31
2011-08-26,25,55.21
2011-09-02,47,57.35
2011-09-09,49,53.58
2011-09-16,29,58.24
2011-09-23,47,53.12
2011-09-30,38,54.53
2011-10-07,38,54.94
2011-10-14,43,63.02
2011-10-21,36,64.44
2011-10-28,36,73.37
2011-11-04,34,74.23
2011-11-11,22,73.99
2011-11-18,24,70.54
2011-11-25,26,64.47
2011-12-02,34,70.78
2011-12-09,30,71.26
2011-12-16,36,64.08
2011-12-23,27,62.04
2011-12-30,22,60.72
2012-01-06,19,62.02
2012-01-13,21,64.85
2012-01-20,33,68.12
2012-01-27,26,65.14
2012-02-03,46,68.78
2012-02-10,25,71.46
2012-02-17,27,74.77
2012-02-24,33,75.16
2012-03-02,29,75.43
2012-03-09,58,76.27
2012-03-16,26,78.20
2012-03-23,31,77.68
2012-03-30,38,78.91
2012-04-06,34,
2012-04-13,33,75.12
2012-04-20,35,77.78
2012-04-27,28,85.78
2012-05-04,37,82.85
2012-05-11,26,79.46
2012-05-18,40,74.82
2012-05-25,28,75.43
2012-06-01,30,70.79
2012-06-08,36,77.12
2012-06-15,34,80.12
2012-06-22,39,80.14
2012-06-29,47,83.94
2012-07-06,28,77.45
2012-07-13,38,76.63
2012-07-20,45,80.75
2012-07-27,35,77.81
2012-08-03,44,72.44
2012-08-10,37,76.26
2012-08-17,49,78.08
2012-08-24,32,77.00
2012-08-31,32,77.69
2012-09-07,35,80.59
2012-09-14,27,81.74
2012-09-21,39,81.19
2012-09-28,35,76.53
2012-10-05,36,71.57
2012-10-12,26,67.70
2012-10-19,22,64.16
2012-10-26,23,62.82
2012-11-02,21,62.77
2012-11-09,34,60.17
2012-11-16,30,59.21
2012-11-23,22,61.77
2012-11-30,29,61.16
2012-12-07,30,62.03
2012-12-14,27,65.02
2012-12-21,28,66.15
2012-12-28,16,64.30
2013-01-04,19,66.55
2013-01-11,23,71.47
2013-01-18,28,67.65
2013-01-25,29,71.55
2013-02-01,29,74.03
2013-02-08,28,72.91
2013-02-15,23,72.62
2013-02-22,26,72.91
2013-03-01,22,71.36
2013-03-08,27,74.43
2013-03-15,23,73.79
2013-03-22,25,71.01
2013-03-29,24,
2013-04-05,22,68.90
2013-04-12,22,70.39
2013-04-19,16,67.17
2013-04-26,26,61.80
2013-05-03,24,63.49
2013-05-10,22,66.56
2013-05-17,31,66.84
2013-05-24,32,63.43
2013-05-31,25,64.38
2013-06-07,20,63.61
2013-06-14,23,61.23
2013-06-21,31,59.99
2013-06-28,37,60.36
2013-07-05,23,63.36
2013-07-12,29,67.41
2013-07-19,31,65.07
2013-07-26,23,67.78
2013-08-02,32,73.12
2013-08-09,30,72.96
2013-08-16,22,71.60
2013-08-23,29,72.71
2013-08-30,29,70.77
2013-09-06,25,71.38
2013-09-13,18,73.79
2013-09-20,24,76.08
2013-09-27,28,70.80
2013-10-04,18,70.48
2013-10-11,42,59.08
2013-10-18,25,57.26
2013-10-25,30,57.98
2013-11-01,27,56.82
2013-11-08,23,59.79
2013-11-15,22,56.90
2013-11-22,27,59.00
2013-11-29,17,59.32
2013-12-06,21,60.03
2013-12-13,25,57.99
2013-12-20,27,61.73
2013-12-27,27,61.67
2014-01-03,28,62.48
2014-01-10,28,60.13
2014-01-17,28,60.44
2014-01-24,30,58.90
2014-01-31,24,54.07
2014-02-07,31,55.28
2014-02-14,17,57.14
2014-02-21,22,59.80
2014-02-28,33,60.05
2014-03-07,35,60.99
2014-03-14,24,59.80
2014-03-21,25,62.02
2014-03-28,22,57.47
2014-04-04,21,56.53
2014-04-11,27,54.56
2014-04-18,30,
2014-04-25,25,59.42
2014-05-02,0,
