Date,Coca-Cola Enterprises,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,23.27
2004-02-13,0,23.65
2004-02-20,0,23.40
2004-02-27,0,23.31
2004-03-05,0,24.01
2004-03-12,0,23.25
2004-03-19,0,23.63
2004-03-26,0,23.35
2004-04-02,0,24.31
2004-04-09,0,
2004-04-16,0,24.47
2004-04-23,0,24.84
2004-04-30,0,27.00
2004-05-07,0,26.69
2004-05-14,0,27.02
2004-05-21,0,27.15
2004-05-28,0,27.55
2004-06-04,0,27.86
2004-06-11,0,
2004-06-18,0,28.10
2004-06-25,0,28.58
2004-07-02,0,28.47
2004-07-09,0,28.17
2004-07-16,0,27.26
2004-07-23,0,25.15
2004-07-30,0,20.40
2004-08-06,0,19.75
2004-08-13,0,20.19
2004-08-20,0,20.08
2004-08-27,0,20.51
2004-09-03,0,20.48
2004-09-10,0,19.30
2004-09-17,0,18.95
2004-09-24,0,19.23
2004-10-01,0,19.36
2004-10-08,0,19.42
2004-10-15,0,19.00
2004-10-22,0,18.93
2004-10-29,0,20.91
2004-11-05,0,21.94
2004-11-12,0,21.20
2004-11-19,0,20.71
2004-11-26,0,20.73
2004-12-03,0,21.29
2004-12-10,0,20.90
2004-12-17,0,20.88
2004-12-24,0,
2004-12-31,0,20.85
2005-01-07,0,20.71
2005-01-14,0,20.54
2005-01-21,0,21.45
2005-01-28,0,21.70
2005-02-04,0,23.05
2005-02-11,0,23.11
2005-02-18,0,21.83
2005-02-25,0,21.30
2005-03-04,0,21.86
2005-03-11,0,20.83
2005-03-18,0,20.99
2005-03-25,0,
2005-04-01,0,20.49
2005-04-08,0,20.32
2005-04-15,0,20.16
2005-04-22,0,19.58
2005-04-29,0,20.30
2005-05-06,0,20.80
2005-05-13,0,21.02
2005-05-20,0,21.59
2005-05-27,0,22.05
2005-06-03,0,21.82
2005-06-10,0,22.27
2005-06-17,0,22.39
2005-06-24,0,22.38
2005-07-01,0,22.06
2005-07-08,100,22.08
2005-07-15,98,22.00
2005-07-22,98,22.74
2005-07-29,98,23.50
2005-08-05,0,23.18
2005-08-12,0,23.10
2005-08-19,0,22.65
2005-08-26,0,22.00
2005-09-02,0,21.96
2005-09-09,0,19.65
2005-09-16,0,19.52
2005-09-23,0,19.14
2005-09-30,0,19.50
2005-10-07,0,19.68
2005-10-14,0,19.15
2005-10-21,0,19.51
2005-10-28,80,18.91
2005-11-04,0,18.71
2005-11-11,0,18.98
2005-11-18,0,19.04
2005-11-25,0,19.53
2005-12-02,0,19.77
2005-12-09,0,20.19
2005-12-16,0,19.90
2005-12-23,0,19.53
2005-12-30,0,19.17
2006-01-06,0,19.49
2006-01-13,0,19.47
2006-01-20,0,19.10
2006-01-27,0,19.36
2006-02-03,0,19.23
2006-02-10,0,19.79
2006-02-17,73,19.60
2006-02-24,0,19.58
2006-03-03,0,19.53
2006-03-10,0,20.22
2006-03-17,0,20.76
2006-03-24,0,20.73
2006-03-31,0,20.34
2006-04-07,0,20.60
2006-04-14,0,
2006-04-21,0,20.54
2006-04-28,63,19.53
2006-05-05,0,19.73
2006-05-12,0,19.56
2006-05-19,0,19.55
2006-05-26,0,19.69
2006-06-02,0,19.84
2006-06-09,76,19.36
2006-06-16,0,19.15
2006-06-23,0,19.47
2006-06-30,0,20.37
2006-07-07,0,20.39
2006-07-14,0,20.26
2006-07-21,0,21.21
2006-07-28,0,21.55
2006-08-04,0,21.48
2006-08-11,0,21.09
2006-08-18,0,21.38
2006-08-25,0,21.89
2006-09-01,0,22.28
2006-09-08,0,21.46
2006-09-15,0,20.74
2006-09-22,0,20.53
2006-09-29,0,20.83
2006-10-06,0,20.65
2006-10-13,0,20.92
2006-10-20,0,20.87
2006-10-27,0,20.50
2006-11-03,0,20.24
2006-11-10,0,20.09
2006-11-17,0,20.23
2006-11-24,0,20.72
2006-12-01,0,20.52
2006-12-08,0,20.52
2006-12-15,0,20.25
2006-12-22,0,20.20
2006-12-29,0,20.42
2007-01-05,0,20.40
2007-01-12,50,21.02
2007-01-19,54,20.78
2007-01-26,57,20.71
2007-02-02,60,20.61
2007-02-09,63,20.30
2007-02-16,66,20.71
2007-02-23,42,20.43
2007-03-02,42,20.06
2007-03-09,42,20.25
2007-03-16,43,20.23
2007-03-23,47,20.43
2007-03-30,51,20.25
2007-04-06,56,
2007-04-13,60,20.77
2007-04-20,50,21.51
2007-04-27,50,21.98
2007-05-04,38,22.36
2007-05-11,38,21.92
2007-05-18,38,22.92
2007-05-25,44,22.97
2007-06-01,49,23.25
2007-06-08,54,22.72
2007-06-15,39,23.05
2007-06-22,39,23.13
2007-06-29,39,24.00
2007-07-06,39,24.01
2007-07-13,39,24.35
2007-07-20,39,23.55
2007-07-27,50,22.75
2007-08-03,42,22.65
2007-08-10,40,23.68
2007-08-17,40,24.01
2007-08-24,40,24.25
2007-08-31,38,23.82
2007-09-07,38,24.03
2007-09-14,38,24.20
2007-09-21,34,24.25
2007-09-28,34,24.22
2007-10-05,34,24.23
2007-10-12,35,24.29
2007-10-19,36,23.97
2007-10-26,35,25.30
2007-11-02,46,25.78
2007-11-09,50,25.14
2007-11-16,40,25.41
2007-11-23,44,24.81
2007-11-30,48,25.97
2007-12-07,41,25.43
2007-12-14,43,26.50
2007-12-21,33,26.39
2007-12-28,33,26.32
2008-01-04,33,25.71
2008-01-11,33,26.65
2008-01-18,38,24.41
2008-01-25,35,23.60
2008-02-01,52,23.75
2008-02-08,52,23.28
2008-02-15,52,24.47
2008-02-22,33,24.21
2008-02-29,33,24.43
2008-03-07,33,24.17
2008-03-14,33,23.87
2008-03-21,36,
2008-03-28,48,24.15
2008-04-04,44,24.34
2008-04-11,44,23.31
2008-04-18,44,23.92
2008-04-25,33,22.79
2008-05-02,31,22.65
2008-05-09,31,21.49
2008-05-16,35,21.59
2008-05-23,30,21.15
2008-05-30,30,20.14
2008-06-06,32,19.49
2008-06-13,31,19.33
2008-06-20,31,18.35
2008-06-27,31,17.12
2008-07-04,38,
2008-07-11,34,16.36
2008-07-18,48,16.67
2008-07-25,31,16.90
2008-08-01,31,16.99
2008-08-08,31,17.61
2008-08-15,32,17.79
2008-08-22,30,17.25
2008-08-29,32,17.07
2008-09-05,32,16.95
2008-09-12,32,18.08
2008-09-19,36,17.71
2008-09-26,39,17.34
2008-10-03,42,15.91
2008-10-10,36,10.00
2008-10-17,36,11.18
2008-10-24,33,8.88
2008-10-31,27,10.05
2008-11-07,31,9.89
2008-11-14,25,9.17
2008-11-21,30,8.13
2008-11-28,31,9.18
2008-12-05,32,10.18
2008-12-12,36,10.43
2008-12-19,40,11.78
2008-12-26,31,11.85
2009-01-02,31,12.36
2009-01-09,31,12.20
2009-01-16,31,11.66
2009-01-23,33,11.58
2009-01-30,35,11.23
2009-02-06,32,12.62
2009-02-13,32,13.40
2009-02-20,32,12.30
2009-02-27,36,11.48
2009-03-06,25,10.00
2009-03-13,41,11.25
2009-03-20,27,11.83
2009-03-27,28,13.23
2009-04-03,25,14.09
2009-04-10,28,
2009-04-17,36,14.89
2009-04-24,25,15.42
2009-05-01,31,17.00
2009-05-08,23,17.40
2009-05-15,28,16.73
2009-05-22,34,16.65
2009-05-29,30,16.66
2009-06-05,26,17.43
2009-06-12,22,17.18
2009-06-19,29,17.53
2009-06-26,31,16.80
2009-07-03,22,
2009-07-10,22,16.49
2009-07-17,27,17.35
2009-07-24,25,18.12
2009-07-31,25,18.79
2009-08-07,25,19.42
2009-08-14,20,19.70
2009-08-21,38,20.41
2009-08-28,23,20.65
2009-09-04,26,20.32
2009-09-11,24,20.45
2009-09-18,20,21.15
2009-09-25,25,20.90
2009-10-02,29,20.58
2009-10-09,31,20.94
2009-10-16,27,20.94
2009-10-23,23,19.98
2009-10-30,30,19.07
2009-11-06,26,19.72
2009-11-13,26,20.23
2009-11-20,26,20.42
2009-11-27,21,19.93
2009-12-04,22,19.91
2009-12-11,21,19.76
2009-12-18,21,20.43
2009-12-25,21,
2010-01-01,21,
2010-01-08,21,21.18
2010-01-15,21,21.25
2010-01-22,21,20.95
2010-01-29,21,20.19
2010-02-05,21,20.10
2010-02-12,19,19.28
2010-02-19,23,19.74
2010-02-26,64,25.55
2010-03-05,33,25.86
2010-03-12,23,27.01
2010-03-19,19,26.96
2010-03-26,25,27.60
2010-04-02,23,
2010-04-09,25,28.26
2010-04-16,25,28.37
2010-04-23,19,28.25
2010-04-30,21,27.73
2010-05-07,19,25.84
2010-05-14,16,26.57
2010-05-21,18,25.36
2010-05-28,19,26.10
2010-06-04,20,25.47
2010-06-11,21,26.27
2010-06-18,24,27.04
2010-06-25,16,25.88
2010-07-02,18,26.03
2010-07-09,20,27.68
2010-07-16,21,27.69
2010-07-23,20,28.51
2010-07-30,17,28.70
2010-08-06,23,29.17
2010-08-13,23,28.71
2010-08-20,23,29.02
2010-08-27,16,28.67
2010-09-03,17,29.37
2010-09-10,23,30.17
2010-09-17,17,30.19
2010-09-24,22,30.20
2010-10-01,29,31.80
2010-10-08,33,22.55
2010-10-15,26,24.10
2010-10-22,16,24.63
2010-10-29,21,24.01
2010-11-05,24,24.61
2010-11-12,18,24.94
2010-11-19,15,25.51
2010-11-26,15,24.67
2010-12-03,15,25.49
2010-12-10,23,25.93
2010-12-17,14,25.25
2010-12-24,14,
2010-12-31,14,25.03
2011-01-07,14,23.88
2011-01-14,18,25.49
2011-01-21,12,25.00
2011-01-28,13,25.03
2011-02-04,14,25.81
2011-02-11,15,26.24
2011-02-18,15,27.15
2011-02-25,20,26.57
2011-03-04,15,25.83
2011-03-11,15,26.34
2011-03-18,15,25.81
2011-03-25,15,26.50
2011-04-01,15,27.57
2011-04-08,16,27.49
2011-04-15,16,28.17
2011-04-22,16,
2011-04-29,16,28.41
2011-05-06,12,27.61
2011-05-13,13,28.96
2011-05-20,15,29.47
2011-05-27,16,28.61
2011-06-03,18,28.40
2011-06-10,14,27.99
2011-06-17,14,28.61
2011-06-24,13,28.34
2011-07-01,12,29.81
2011-07-08,17,28.99
2011-07-15,0,28.17
2011-07-22,0,29.82
2011-07-29,0,28.11
2011-08-05,0,26.18
2011-08-12,0,26.78
2011-08-19,0,25.98
2011-08-26,0,26.38
2011-09-02,0,26.90
2011-09-09,0,25.34
2011-09-16,0,27.32
2011-09-23,14,24.80
2011-09-30,13,24.88
2011-10-07,11,24.11
2011-10-14,11,26.02
2011-10-21,11,25.57
2011-10-28,11,26.56
2011-11-04,11,26.16
2011-11-11,13,26.74
2011-11-18,11,25.97
2011-11-25,11,24.22
2011-12-02,12,25.82
2011-12-09,13,26.14
2011-12-16,9,25.78
2011-12-23,9,26.05
2011-12-30,9,25.78
2012-01-06,9,25.46
2012-01-13,9,25.59
2012-01-20,12,26.59
2012-01-27,10,26.99
2012-02-03,10,27.49
2012-02-10,10,27.43
2012-02-17,11,29.00
2012-02-24,11,28.71
2012-03-02,12,28.33
2012-03-09,13,27.51
2012-03-16,11,27.81
2012-03-23,0,28.30
2012-03-30,0,28.60
2012-04-06,0,
2012-04-13,0,27.78
2012-04-20,0,28.96
2012-04-27,0,29.74
2012-05-04,0,29.18
2012-05-11,0,29.38
2012-05-18,0,27.17
2012-05-25,12,27.57
2012-06-01,9,26.35
2012-06-08,9,26.94
2012-06-15,9,26.85
2012-06-22,9,26.95
2012-06-29,9,28.04
2012-07-06,10,28.14
2012-07-13,12,27.32
2012-07-20,13,26.84
2012-07-27,14,29.70
2012-08-03,10,29.34
2012-08-10,10,29.43
2012-08-17,9,29.67
2012-08-24,9,29.58
2012-08-31,9,29.53
2012-09-07,9,30.72
2012-09-14,10,31.17
2012-09-21,10,31.32
2012-09-28,11,31.27
2012-10-05,11,31.96
2012-10-12,11,31.49
2012-10-19,11,31.20
2012-10-26,11,30.97
2012-11-02,11,31.29
2012-11-09,11,30.33
2012-11-16,9,29.64
2012-11-23,9,30.56
2012-11-30,9,31.18
2012-12-07,0,32.00
2012-12-14,0,30.97
2012-12-21,0,31.67
2012-12-28,0,31.29
2013-01-04,0,32.87
2013-01-11,0,33.49
2013-01-18,0,34.28
2013-01-25,0,34.48
2013-02-01,0,35.37
2013-02-08,0,35.39
2013-02-15,0,36.26
2013-02-22,0,35.95
2013-03-01,0,35.57
2013-03-08,0,36.27
2013-03-15,0,36.16
2013-03-22,9,37.18
2013-03-29,0,
2013-04-05,0,36.00
2013-04-12,0,37.27
2013-04-19,0,37.00
2013-04-26,0,36.00
2013-05-03,7,37.22
2013-05-10,8,37.26
2013-05-17,8,38.21
2013-05-24,9,37.95
2013-05-31,9,37.16
2013-06-07,7,37.04
2013-06-14,7,36.14
2013-06-21,7,34.49
2013-06-28,8,35.16
2013-07-05,8,34.97
2013-07-12,8,36.89
2013-07-19,9,37.17
2013-07-26,9,37.85
2013-08-02,7,38.12
2013-08-09,0,38.18
2013-08-16,0,37.59
2013-08-23,0,37.59
2013-08-30,0,37.40
2013-09-06,0,38.81
2013-09-13,0,39.71
2013-09-20,0,40.83
2013-09-27,7,40.57
2013-10-04,7,40.20
2013-10-11,7,40.88
2013-10-18,7,42.19
2013-10-25,7,41.18
2013-11-01,7,41.77
2013-11-08,7,41.32
2013-11-15,0,42.06
2013-11-22,0,41.57
2013-11-29,0,41.94
2013-12-06,0,42.59
2013-12-13,0,40.66
2013-12-20,0,43.14
2013-12-27,0,43.63
2014-01-03,0,43.67
2014-01-10,0,44.40
2014-01-17,0,44.28
2014-01-24,0,43.53
2014-01-31,6,43.29
2014-02-07,6,44.40
2014-02-14,6,46.15
2014-02-21,9,47.34
2014-02-28,8,47.08
2014-03-07,8,47.42
2014-03-14,8,46.50
2014-03-21,9,47.37
2014-03-28,10,46.85
2014-04-04,6,46.88
2014-04-11,6,45.24
2014-04-18,0,
2014-04-25,0,45.75
2014-05-02,0,
