Date,Constellation Brands,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,34.83
2004-02-13,0,35.57
2004-02-20,0,34.45
2004-02-27,0,31.70
2004-03-05,0,31.60
2004-03-12,0,33.38
2004-03-19,0,32.49
2004-03-26,0,31.90
2004-04-02,0,33.36
2004-04-09,0,
2004-04-16,0,32.79
2004-04-23,0,33.30
2004-04-30,0,33.13
2004-05-07,0,33.43
2004-05-14,0,34.58
2004-05-21,0,34.98
2004-05-28,0,36.00
2004-06-04,0,37.17
2004-06-11,0,
2004-06-18,0,37.25
2004-06-25,0,37.10
2004-07-02,0,36.68
2004-07-09,0,37.25
2004-07-16,0,39.38
2004-07-23,0,36.93
2004-07-30,0,37.88
2004-08-06,0,36.92
2004-08-13,0,36.50
2004-08-20,0,37.19
2004-08-27,0,36.95
2004-09-03,0,38.25
2004-09-10,0,37.57
2004-09-17,0,36.25
2004-09-24,0,37.20
2004-10-01,0,39.03
2004-10-08,0,38.70
2004-10-15,0,38.07
2004-10-22,77,38.90
2004-10-29,47,39.23
2004-11-05,47,43.25
2004-11-12,38,43.56
2004-11-19,38,42.04
2004-11-26,38,44.67
2004-12-03,38,46.11
2004-12-10,38,46.06
2004-12-17,0,47.82
2004-12-24,0,
2004-12-31,0,46.51
2005-01-07,0,49.13
2005-01-14,0,49.46
2005-01-21,0,49.31
2005-01-28,0,50.55
2005-02-04,0,55.00
2005-02-11,0,55.37
2005-02-18,0,53.51
2005-02-25,0,54.44
2005-03-04,0,54.50
2005-03-11,0,52.13
2005-03-18,0,51.70
2005-03-25,0,
2005-04-01,0,53.18
2005-04-08,0,57.95
2005-04-15,29,55.55
2005-04-22,64,55.95
2005-04-29,100,52.71
2005-05-06,42,55.82
2005-05-13,42,52.90
2005-05-20,64,26.58
2005-05-27,31,26.02
2005-06-03,31,28.03
2005-06-10,31,28.02
2005-06-17,31,28.11
2005-06-24,42,28.30
2005-07-01,53,29.90
2005-07-08,34,30.23
2005-07-15,34,28.66
2005-07-22,34,28.27
2005-07-29,29,27.40
2005-08-05,29,26.94
2005-08-12,0,27.44
2005-08-19,0,26.57
2005-08-26,0,27.76
2005-09-02,0,27.90
2005-09-09,0,28.48
2005-09-16,0,28.74
2005-09-23,0,26.45
2005-09-30,34,26.00
2005-10-07,27,23.43
2005-10-14,26,22.51
2005-10-21,26,22.38
2005-10-28,27,22.70
2005-11-04,28,23.32
2005-11-11,28,23.61
2005-11-18,29,23.48
2005-11-25,29,23.04
2005-12-02,29,24.48
2005-12-09,29,24.82
2005-12-16,27,25.02
2005-12-23,25,25.85
2005-12-30,25,26.23
2006-01-06,25,26.15
2006-01-13,25,26.15
2006-01-20,22,25.83
2006-01-27,22,26.22
2006-02-03,22,26.32
2006-02-10,22,26.31
2006-02-17,25,25.34
2006-02-24,22,26.16
2006-03-03,29,26.56
2006-03-10,28,27.32
2006-03-17,28,26.27
2006-03-24,22,25.56
2006-03-31,20,25.05
2006-04-07,43,23.99
2006-04-14,28,
2006-04-21,20,24.00
2006-04-28,20,24.70
2006-05-05,21,24.90
2006-05-12,22,24.24
2006-05-19,23,24.69
2006-05-26,18,24.39
2006-06-02,22,24.98
2006-06-09,26,24.83
2006-06-16,23,24.89
2006-06-23,19,25.94
2006-06-30,20,25.00
2006-07-07,29,25.07
2006-07-14,26,24.54
2006-07-21,32,24.81
2006-07-28,20,24.45
2006-08-04,20,25.03
2006-08-11,23,25.35
2006-08-18,18,25.41
2006-08-25,17,26.26
2006-09-01,19,27.31
2006-09-08,20,27.74
2006-09-15,21,27.81
2006-09-22,21,27.59
2006-09-29,22,28.78
2006-10-06,17,27.97
2006-10-13,22,27.47
2006-10-20,20,27.65
2006-10-27,15,27.60
2006-11-03,14,27.70
2006-11-10,14,27.79
2006-11-17,14,27.89
2006-11-24,21,27.63
2006-12-01,24,28.16
2006-12-08,16,28.18
2006-12-15,20,28.29
2006-12-22,25,28.40
2006-12-29,21,29.02
2007-01-05,21,24.41
2007-01-12,25,24.88
2007-01-19,24,24.95
2007-01-26,17,25.13
2007-02-02,13,24.67
2007-02-09,23,24.13
2007-02-16,20,24.01
2007-02-23,17,23.95
2007-03-02,18,19.49
2007-03-09,27,19.19
2007-03-16,24,19.27
2007-03-23,14,20.35
2007-03-30,20,21.18
2007-04-06,22,
2007-04-13,23,21.82
2007-04-20,24,22.49
2007-04-27,13,22.78
2007-05-04,21,22.48
2007-05-11,19,23.64
2007-05-18,18,24.39
2007-05-25,18,24.20
2007-06-01,20,24.27
2007-06-08,15,23.39
2007-06-15,11,24.01
2007-06-22,12,24.15
2007-06-29,29,24.28
2007-07-06,13,24.32
2007-07-13,12,23.44
2007-07-20,13,22.97
2007-07-27,19,21.93
2007-08-03,19,22.05
2007-08-10,25,24.25
2007-08-17,16,23.39
2007-08-24,11,24.36
2007-08-31,11,24.18
2007-09-07,11,23.94
2007-09-14,12,23.70
2007-09-21,12,24.05
2007-09-28,17,24.21
2007-10-05,17,25.00
2007-10-12,19,25.77
2007-10-19,13,24.74
2007-10-26,13,25.19
2007-11-02,16,24.40
2007-11-09,19,22.99
2007-11-16,29,23.27
2007-11-23,19,23.51
2007-11-30,16,23.55
2007-12-07,17,23.92
2007-12-14,11,24.40
2007-12-21,11,24.37
2007-12-28,12,24.16
2008-01-04,12,22.78
2008-01-11,19,21.69
2008-01-18,11,20.25
2008-01-25,17,20.50
2008-02-01,11,21.75
2008-02-08,14,20.23
2008-02-15,10,20.58
2008-02-22,10,20.05
2008-02-29,19,19.21
2008-03-07,19,18.31
2008-03-14,12,18.27
2008-03-21,13,
2008-03-28,17,17.66
2008-04-04,20,19.89
2008-04-11,16,18.13
2008-04-18,11,18.31
2008-04-25,21,18.18
2008-05-02,19,18.52
2008-05-09,16,18.09
2008-05-16,18,20.92
2008-05-23,20,21.30
2008-05-30,12,21.32
2008-06-06,16,20.56
2008-06-13,24,19.95
2008-06-20,15,19.80
2008-06-27,11,19.66
2008-07-04,23,
2008-07-11,15,20.81
2008-07-18,21,21.81
2008-07-25,23,21.97
2008-08-01,11,21.35
2008-08-08,16,22.56
2008-08-15,19,22.06
2008-08-22,19,21.51
2008-08-29,12,21.11
2008-09-05,13,21.42
2008-09-12,13,22.73
2008-09-19,12,22.21
2008-09-26,9,22.11
2008-10-03,21,19.44
2008-10-10,16,15.40
2008-10-17,19,14.29
2008-10-24,19,12.72
2008-10-31,14,12.54
2008-11-07,13,12.65
2008-11-14,13,11.49
2008-11-21,15,12.12
2008-11-28,10,12.76
2008-12-05,16,13.54
2008-12-12,12,14.53
2008-12-19,10,15.56
2008-12-26,10,15.49
2009-01-02,10,16.45
2009-01-09,20,14.89
2009-01-16,21,15.21
2009-01-23,9,13.95
2009-01-30,16,14.52
2009-02-06,9,15.70
2009-02-13,10,15.01
2009-02-20,12,13.84
2009-02-27,13,13.05
2009-03-06,10,12.46
2009-03-13,7,13.05
2009-03-20,9,12.69
2009-03-27,9,12.05
2009-04-03,16,12.20
2009-04-10,15,
2009-04-17,13,11.66
2009-04-24,10,11.05
2009-05-01,12,11.61
2009-05-08,11,12.50
2009-05-15,11,11.90
2009-05-22,12,11.26
2009-05-29,8,11.56
2009-06-05,12,12.21
2009-06-12,11,13.43
2009-06-19,13,12.98
2009-06-26,15,12.28
2009-07-03,19,
2009-07-10,15,12.45
2009-07-17,14,12.60
2009-07-24,18,13.38
2009-07-31,20,13.66
2009-08-07,10,14.05
2009-08-14,13,14.56
2009-08-21,18,14.82
2009-08-28,12,15.11
2009-09-04,15,15.25
2009-09-11,12,14.93
2009-09-18,12,15.55
2009-09-25,9,15.30
2009-10-02,15,15.77
2009-10-09,15,16.42
2009-10-16,8,16.45
2009-10-23,10,16.25
2009-10-30,13,15.82
2009-11-06,9,16.07
2009-11-13,13,16.92
2009-11-20,11,17.09
2009-11-27,7,16.99
2009-12-04,9,16.74
2009-12-11,8,15.98
2009-12-18,13,15.35
2009-12-25,7,
2010-01-01,7,
2010-01-08,15,15.66
2010-01-15,11,16.41
2010-01-22,10,16.61
2010-01-29,12,16.08
2010-02-05,12,15.33
2010-02-12,10,15.36
2010-02-19,9,15.60
2010-02-26,13,15.04
2010-03-05,13,15.81
2010-03-12,13,16.11
2010-03-19,9,16.00
2010-03-26,10,16.01
2010-04-02,15,
2010-04-09,15,16.43
2010-04-16,10,17.02
2010-04-23,11,18.34
2010-04-30,14,18.27
2010-05-07,13,16.71
2010-05-14,12,17.80
2010-05-21,14,16.30
2010-05-28,8,16.66
2010-06-04,9,15.86
2010-06-11,13,16.86
2010-06-18,13,16.30
2010-06-25,9,16.01
2010-07-02,14,15.39
2010-07-09,6,16.07
2010-07-16,13,16.34
2010-07-23,10,17.06
2010-07-30,9,17.06
2010-08-06,9,17.25
2010-08-13,8,16.70
2010-08-20,6,16.66
2010-08-27,6,16.84
2010-09-03,6,17.41
2010-09-10,8,17.08
2010-09-17,7,17.96
2010-09-24,9,18.11
2010-10-01,6,17.77
2010-10-08,9,18.71
2010-10-15,8,19.02
2010-10-22,10,19.29
2010-10-29,5,19.73
2010-11-05,8,20.07
2010-11-12,8,19.85
2010-11-19,6,20.74
2010-11-26,5,20.73
2010-12-03,7,21.80
2010-12-10,8,21.46
2010-12-17,6,22.15
2010-12-24,9,
2010-12-31,9,22.15
2011-01-07,12,19.49
2011-01-14,9,19.32
2011-01-21,7,19.00
2011-01-28,8,19.14
2011-02-04,8,19.76
2011-02-11,8,20.12
2011-02-18,4,20.95
2011-02-25,8,20.34
2011-03-04,9,19.87
2011-03-11,9,19.36
2011-03-18,4,18.37
2011-03-25,6,19.42
2011-04-01,7,20.50
2011-04-08,10,21.53
2011-04-15,7,22.03
2011-04-22,12,
2011-04-29,10,22.39
2011-05-06,10,22.34
2011-05-13,5,22.71
2011-05-20,9,21.85
2011-05-27,7,21.68
2011-06-03,11,20.88
2011-06-10,6,21.00
2011-06-17,8,21.13
2011-06-24,7,20.82
2011-07-01,8,21.81
2011-07-08,6,21.38
2011-07-15,6,20.75
2011-07-22,9,21.46
2011-07-29,11,20.39
2011-08-05,6,18.34
2011-08-12,6,18.87
2011-08-19,6,18.96
2011-08-26,7,19.06
2011-09-02,6,19.14
2011-09-09,5,18.37
2011-09-16,7,19.14
2011-09-23,8,17.62
2011-09-30,5,18.00
2011-10-07,8,20.37
2011-10-14,8,20.30
2011-10-21,6,20.15
2011-10-28,7,20.57
2011-11-04,7,19.94
2011-11-11,7,20.47
2011-11-18,6,19.35
2011-11-25,6,17.98
2011-12-02,6,19.07
2011-12-09,7,19.79
2011-12-16,4,19.53
2011-12-23,6,20.75
2011-12-30,4,20.67
2012-01-06,9,19.66
2012-01-13,8,20.70
2012-01-20,5,21.03
2012-01-27,6,20.92
2012-02-03,5,21.87
2012-02-10,10,21.45
2012-02-17,7,22.22
2012-02-24,6,21.57
2012-03-02,6,22.23
2012-03-09,6,22.34
2012-03-16,7,22.77
2012-03-23,6,23.53
2012-03-30,6,23.59
2012-04-06,14,
2012-04-13,7,21.59
2012-04-20,12,21.24
2012-04-27,8,21.77
2012-05-04,7,20.81
2012-05-11,7,19.95
2012-05-18,8,18.79
2012-05-25,8,19.34
2012-06-01,7,18.76
2012-06-08,8,19.15
2012-06-15,9,19.66
2012-06-22,9,19.37
2012-06-29,23,27.06
2012-07-06,15,28.46
2012-07-13,14,29.29
2012-07-20,9,28.44
2012-07-27,6,29.02
2012-08-03,10,29.92
2012-08-10,8,29.94
2012-08-17,10,32.50
2012-08-24,13,32.72
2012-08-31,9,32.94
2012-09-07,9,33.65
2012-09-14,10,32.19
2012-09-21,10,33.26
2012-09-28,10,32.35
2012-10-05,14,36.20
2012-10-12,10,35.00
2012-10-19,9,35.65
2012-10-26,10,35.55
2012-11-02,11,35.81
2012-11-09,9,35.42
2012-11-16,9,34.14
2012-11-23,7,35.11
2012-11-30,11,35.88
2012-12-07,7,36.00
2012-12-14,7,35.30
2012-12-21,6,35.20
2012-12-28,4,34.37
2013-01-04,8,36.75
2013-01-11,11,35.63
2013-01-18,10,38.74
2013-01-25,7,38.50
2013-02-01,18,32.68
2013-02-08,13,31.85
2013-02-15,21,43.39
2013-02-22,12,43.96
2013-03-01,10,43.84
2013-03-08,10,43.99
2013-03-15,12,45.75
2013-03-22,12,46.59
2013-03-29,9,
2013-04-05,10,47.84
2013-04-12,13,49.19
2013-04-19,15,48.52
2013-04-26,15,47.79
2013-05-03,10,50.21
2013-05-10,11,49.35
2013-05-17,10,52.21
2013-05-24,12,53.00
2013-05-31,14,53.01
2013-06-07,13,53.34
2013-06-14,10,52.02
2013-06-21,9,50.49
2013-06-28,12,52.12
2013-07-05,10,50.59
2013-07-12,11,52.31
2013-07-19,11,52.02
2013-07-26,11,50.60
2013-08-02,10,53.42
2013-08-09,10,54.26
2013-08-16,8,53.94
2013-08-23,10,55.86
2013-08-30,10,54.25
2013-09-06,8,57.68
2013-09-13,10,58.70
2013-09-20,11,57.24
2013-09-27,10,56.98
2013-10-04,15,61.97
2013-10-11,9,62.99
2013-10-18,11,64.33
2013-10-25,11,63.91
2013-11-01,14,65.60
2013-11-08,9,66.76
2013-11-15,11,69.14
2013-11-22,13,70.36
2013-11-29,10,70.41
2013-12-06,12,70.65
2013-12-13,12,69.32
2013-12-20,11,69.70
2013-12-27,6,70.07
2014-01-03,7,69.39
2014-01-10,17,80.05
2014-01-17,12,79.54
2014-01-24,13,75.80
2014-01-31,10,76.67
2014-02-07,13,77.50
2014-02-14,13,79.37
2014-02-21,13,80.35
2014-02-28,13,81.03
2014-03-07,14,83.91
2014-03-14,14,82.50
2014-03-21,10,83.06
2014-03-28,10,83.21
2014-04-04,11,84.33
2014-04-11,15,78.03
2014-04-18,14,
2014-04-25,13,79.04
2014-05-02,10,
