Date,DE,Price
2004-01-09,62,
2004-01-16,67,
2004-01-23,70,
2004-01-30,69,
2004-02-06,67,62.01
2004-02-13,71,64.01
2004-02-20,72,65.32
2004-02-27,68,64.23
2004-03-05,73,65.82
2004-03-12,75,64.61
2004-03-19,72,66.19
2004-03-26,75,68.23
2004-04-02,74,70.18
2004-04-09,65,
2004-04-16,76,73.31
2004-04-23,75,71.20
2004-04-30,78,68.04
2004-05-07,78,66.87
2004-05-14,78,66.86
2004-05-21,76,62.90
2004-05-28,79,65.70
2004-06-04,79,67.16
2004-06-11,75,
2004-06-18,72,69.17
2004-06-25,71,69.76
2004-07-02,69,66.70
2004-07-09,71,65.10
2004-07-16,68,65.90
2004-07-23,70,61.87
2004-07-30,65,62.81
2004-08-06,68,57.60
2004-08-13,68,59.38
2004-08-20,70,61.54
2004-08-27,73,62.67
2004-09-03,78,63.30
2004-09-10,79,63.45
2004-09-17,75,65.01
2004-09-24,78,62.70
2004-10-01,80,64.89
2004-10-08,78,63.01
2004-10-15,76,60.08
2004-10-22,77,58.80
2004-10-29,77,59.78
2004-11-05,73,65.08
2004-11-12,80,68.92
2004-11-19,78,69.26
2004-11-26,82,73.14
2004-12-03,74,70.98
2004-12-10,68,70.56
2004-12-17,68,73.02
2004-12-24,67,
2004-12-31,63,74.40
2005-01-07,62,70.50
2005-01-14,69,70.84
2005-01-21,70,68.00
2005-01-28,71,67.97
2005-02-04,70,69.35
2005-02-11,70,69.33
2005-02-18,75,66.57
2005-02-25,72,70.59
2005-03-04,76,72.35
2005-03-11,76,69.39
2005-03-18,74,68.37
2005-03-25,67,
2005-04-01,77,66.24
2005-04-08,80,67.01
2005-04-15,81,62.47
2005-04-22,79,64.57
2005-04-29,79,62.54
2005-05-06,78,62.69
2005-05-13,77,59.69
2005-05-20,79,64.44
2005-05-27,78,66.32
2005-06-03,81,64.57
2005-06-10,79,66.81
2005-06-17,78,67.93
2005-06-24,77,65.94
2005-07-01,75,66.10
2005-07-08,74,68.76
2005-07-15,73,69.75
2005-07-22,70,71.35
2005-07-29,68,73.53
2005-08-05,68,71.59
2005-08-12,70,72.60
2005-08-19,72,64.95
2005-08-26,76,63.83
2005-09-02,79,65.05
2005-09-09,80,64.55
2005-09-16,76,62.55
2005-09-23,81,60.55
2005-09-30,80,61.20
2005-10-07,81,61.11
2005-10-14,79,59.35
2005-10-21,80,57.16
2005-10-28,80,59.64
2005-11-04,78,61.95
2005-11-11,79,63.88
2005-11-18,79,63.10
2005-11-25,82,67.68
2005-12-02,77,68.87
2005-12-09,71,69.11
2005-12-16,69,70.02
2005-12-23,69,70.58
2005-12-30,66,68.11
2006-01-06,65,68.43
2006-01-13,70,69.60
2006-01-20,72,68.86
2006-01-27,72,72.40
2006-02-03,74,74.51
2006-02-10,75,73.62
2006-02-17,76,76.19
2006-02-24,76,77.64
2006-03-03,72,78.37
2006-03-10,78,74.97
2006-03-17,80,78.40
2006-03-24,79,78.25
2006-03-31,80,79.05
2006-04-07,79,79.63
2006-04-14,70,
2006-04-21,78,87.56
2006-04-28,81,87.78
2006-05-05,80,90.36
2006-05-12,82,89.63
2006-05-19,80,84.16
2006-05-26,83,87.08
2006-06-02,84,87.75
2006-06-09,81,79.82
2006-06-16,78,80.81
2006-06-23,78,79.94
2006-06-30,73,83.49
2006-07-07,72,80.53
2006-07-14,69,73.98
2006-07-21,71,70.08
2006-07-28,67,73.92
2006-08-04,66,73.12
2006-08-11,70,69.07
2006-08-18,70,72.73
2006-08-25,72,73.89
2006-09-01,75,79.09
2006-09-08,75,81.30
2006-09-15,78,80.87
2006-09-22,76,77.63
2006-09-29,80,83.91
2006-10-06,79,85.29
2006-10-13,76,88.90
2006-10-20,78,84.63
2006-10-27,78,87.00
2006-11-03,74,85.65
2006-11-10,77,87.11
2006-11-17,77,90.36
2006-11-24,81,97.02
2006-12-01,73,94.48
2006-12-08,69,97.07
2006-12-15,72,95.58
2006-12-22,70,94.21
2006-12-29,66,95.07
2007-01-05,65,90.89
2007-01-12,67,99.33
2007-01-19,70,98.70
2007-01-26,74,98.29
2007-02-02,71,104.33
2007-02-09,73,102.79
2007-02-16,74,113.93
2007-02-23,73,113.33
2007-03-02,72,105.17
2007-03-09,75,113.00
2007-03-16,77,110.04
2007-03-23,76,112.18
2007-03-30,78,108.64
2007-04-06,67,
2007-04-13,74,108.80
2007-04-20,78,111.56
2007-04-27,78,112.23
2007-05-04,78,113.84
2007-05-11,81,120.00
2007-05-18,84,116.51
2007-05-25,85,114.44
2007-06-01,85,119.76
2007-06-08,82,116.03
2007-06-15,81,121.75
2007-06-22,75,123.35
2007-06-29,79,120.74
2007-07-06,78,123.71
2007-07-13,76,131.08
2007-07-20,77,129.07
2007-07-27,76,118.94
2007-08-03,73,117.46
2007-08-10,74,117.30
2007-08-17,75,124.61
2007-08-24,79,130.26
2007-08-31,80,136.06
2007-09-07,80,135.86
2007-09-14,81,137.93
2007-09-21,82,147.28
2007-09-28,83,148.42
2007-10-05,81,147.27
2007-10-12,80,154.22
2007-10-19,81,145.14
2007-10-26,83,145.44
2007-11-02,78,152.73
2007-11-09,83,153.03
2007-11-16,84,145.06
2007-11-23,92,156.64
2007-11-30,89,171.80
2007-12-07,85,88.11
2007-12-14,76,87.16
2007-12-21,74,89.83
2007-12-28,72,92.28
2008-01-04,69,89.98
2008-01-11,75,89.26
2008-01-18,76,76.40
2008-01-25,77,82.88
2008-02-01,79,88.91
2008-02-08,75,82.46
2008-02-15,82,85.00
2008-02-22,80,87.17
2008-02-29,82,85.21
2008-03-07,81,83.22
2008-03-14,83,82.88
2008-03-21,76,
2008-03-28,81,79.94
2008-04-04,84,85.74
2008-04-11,84,86.31
2008-04-18,87,92.68
2008-04-25,82,90.00
2008-05-02,81,85.24
2008-05-09,85,86.31
2008-05-16,85,83.53
2008-05-23,85,80.42
2008-05-30,89,81.34
2008-06-06,82,81.31
