Date,DFS,Price
2004-01-09,43,
2004-01-16,36,
2004-01-23,38,
2004-01-30,41,
2004-02-06,31,
2004-02-13,38,
2004-02-20,36,
2004-02-27,32,
2004-03-05,37,
2004-03-12,35,
2004-03-19,36,
2004-03-26,35,
2004-04-02,32,
2004-04-09,41,
2004-04-16,43,
2004-04-23,38,
2004-04-30,40,
2004-05-07,37,
2004-05-14,38,
2004-05-21,33,
2004-05-28,36,
2004-06-04,44,
2004-06-11,45,
2004-06-18,38,
2004-06-25,41,
2004-07-02,34,
2004-07-09,45,
2004-07-16,43,
2004-07-23,43,
2004-07-30,42,
2004-08-06,44,
2004-08-13,37,
2004-08-20,39,
2004-08-27,44,
2004-09-03,43,
2004-09-10,40,
2004-09-17,43,
2004-09-24,41,
2004-10-01,37,
2004-10-08,45,
2004-10-15,42,
2004-10-22,39,
2004-10-29,43,
2004-11-05,38,
2004-11-12,37,
2004-11-19,38,
2004-11-26,35,
2004-12-03,39,
2004-12-10,35,
2004-12-17,38,
2004-12-24,38,
2004-12-31,85,
2005-01-07,62,
2005-01-14,45,
2005-01-21,47,
2005-01-28,42,
2005-02-04,36,
2005-02-11,39,
2005-02-18,41,
2005-02-25,37,
2005-03-04,37,
2005-03-11,38,
2005-03-18,41,
2005-03-25,40,
2005-04-01,41,
2005-04-08,34,
2005-04-15,42,
2005-04-22,38,
2005-04-29,40,
2005-05-06,39,
2005-05-13,40,
2005-05-20,44,
2005-05-27,46,
2005-06-03,45,
2005-06-10,47,
2005-06-17,42,
2005-06-24,36,
2005-07-01,35,
2005-07-08,40,
2005-07-15,40,
2005-07-22,47,
2005-07-29,47,
2005-08-05,44,
2005-08-12,51,
2005-08-19,49,
2005-08-26,54,
2005-09-02,46,
2005-09-09,44,
2005-09-16,43,
2005-09-23,42,
2005-09-30,39,
2005-10-07,45,
2005-10-14,45,
2005-10-21,44,
2005-10-28,45,
2005-11-04,44,
2005-11-11,48,
2005-11-18,43,
2005-11-25,40,
2005-12-02,44,
2005-12-09,39,
2005-12-16,32,
2005-12-23,37,
2005-12-30,100,
2006-01-06,63,
2006-01-13,51,
2006-01-20,47,
2006-01-27,40,
2006-02-03,39,
2006-02-10,41,
2006-02-17,39,
2006-02-24,38,
2006-03-03,43,
2006-03-10,40,
2006-03-17,39,
2006-03-24,46,
2006-03-31,46,
2006-04-07,40,
2006-04-14,52,
2006-04-21,55,
2006-04-28,47,
2006-05-05,45,
2006-05-12,41,
2006-05-19,44,
2006-05-26,51,
2006-06-02,50,
2006-06-09,41,
2006-06-16,47,
2006-06-23,39,
2006-06-30,42,
2006-07-07,45,
2006-07-14,48,
2006-07-21,45,
2006-07-28,46,
2006-08-04,45,
2006-08-11,49,
2006-08-18,54,
2006-08-25,58,
2006-09-01,52,
2006-09-08,42,
2006-09-15,44,
2006-09-22,44,
2006-09-29,47,
2006-10-06,46,
2006-10-13,47,
2006-10-20,44,
2006-10-27,47,
2006-11-03,44,
2006-11-10,44,
2006-11-17,41,
2006-11-24,43,
2006-12-01,43,
2006-12-08,37,
2006-12-15,33,
2006-12-22,38,
2006-12-29,99,
2007-01-05,77,
2007-01-12,49,
2007-01-19,45,
2007-01-26,48,
2007-02-02,46,
2007-02-09,48,
2007-02-16,44,
2007-02-23,46,
2007-03-02,43,
2007-03-09,43,
2007-03-16,39,
2007-03-23,41,
2007-03-30,45,
2007-04-06,47,
2007-04-13,48,
2007-04-20,40,
2007-04-27,40,
2007-05-04,44,
2007-05-11,46,
2007-05-18,42,
2007-05-25,44,
2007-06-01,49,
2007-06-08,38,
2007-06-15,50,29.08
2007-06-22,45,31.70
2007-06-29,43,28.50
2007-07-06,45,25.64
2007-07-13,52,27.16
2007-07-20,51,26.30
2007-07-27,50,23.33
2007-08-03,46,21.99
2007-08-10,45,20.86
2007-08-17,49,23.18
2007-08-24,51,23.99
2007-08-31,46,23.14
2007-09-07,40,21.11
2007-09-14,43,21.27
2007-09-21,39,22.40
2007-09-28,42,20.80
2007-10-05,44,22.73
2007-10-12,41,22.13
2007-10-19,44,19.80
2007-10-26,45,18.93
2007-11-02,47,18.18
2007-11-09,44,17.82
2007-11-16,43,17.76
2007-11-23,50,16.68
2007-11-30,46,17.37
2007-12-07,41,16.76
