Date,DNB,Price
2004-01-09,11,
2004-01-16,15,
2004-01-23,17,
2004-01-30,15,
2004-02-06,10,53.27
2004-02-13,16,54.66
2004-02-20,15,53.77
2004-02-27,14,53.22
2004-03-05,20,56.21
2004-03-12,15,54.90
2004-03-19,13,54.55
2004-03-26,12,53.74
2004-04-02,14,54.89
2004-04-09,10,
2004-04-16,15,54.16
2004-04-23,16,53.58
2004-04-30,13,52.25
2004-05-07,12,52.70
2004-05-14,12,52.28
2004-05-21,14,52.64
2004-05-28,12,55.33
2004-06-04,11,54.12
2004-06-11,12,
2004-06-18,14,53.34
2004-06-25,18,53.23
2004-07-02,29,53.66
2004-07-09,29,51.94
2004-07-16,13,51.82
2004-07-23,15,54.43
2004-07-30,13,56.14
2004-08-06,13,53.15
2004-08-13,17,53.22
2004-08-20,16,55.35
2004-08-27,13,54.85
2004-09-03,16,56.63
2004-09-10,14,58.29
2004-09-17,17,58.25
2004-09-24,13,58.22
2004-10-01,19,58.98
2004-10-08,13,58.86
2004-10-15,10,58.88
2004-10-22,17,56.58
2004-10-29,14,56.56
2004-11-05,14,57.37
2004-11-12,17,58.95
2004-11-19,16,59.06
2004-11-26,18,59.95
2004-12-03,14,59.36
2004-12-10,13,59.66
2004-12-17,18,58.91
2004-12-24,17,
2004-12-31,13,59.65
2005-01-07,17,56.31
2005-01-14,18,55.04
2005-01-21,17,56.06
2005-01-28,18,56.80
2005-02-04,17,59.13
2005-02-11,21,59.32
2005-02-18,16,60.63
2005-02-25,17,60.95
2005-03-04,18,62.00
2005-03-11,18,62.00
2005-03-18,18,60.94
2005-03-25,18,
2005-04-01,16,63.56
2005-04-08,18,63.98
2005-04-15,17,61.53
2005-04-22,17,61.70
2005-04-29,16,62.44
2005-05-06,16,61.11
2005-05-13,17,60.50
2005-05-20,17,61.83
2005-05-27,20,62.30
2005-06-03,19,62.58
2005-06-10,18,61.92
2005-06-17,21,61.65
2005-06-24,19,59.59
2005-07-01,27,61.95
2005-07-08,52,62.36
2005-07-15,22,62.49
2005-07-22,18,62.30
2005-07-29,16,63.33
2005-08-05,19,64.30
