Date,DOV,Price
2004-01-09,87,
2004-01-16,66,
2004-01-23,44,
2004-01-30,52,
2004-02-06,45,40.31
2004-02-13,52,40.72
2004-02-20,51,40.33
2004-02-27,85,39.19
2004-03-05,89,41.39
2004-03-12,40,39.15
2004-03-19,40,38.50
2004-03-26,51,37.53
2004-04-02,62,40.33
2004-04-09,65,
2004-04-16,41,40.33
2004-04-23,74,41.90
2004-04-30,54,40.03
2004-05-07,70,37.95
2004-05-14,57,36.99
2004-05-21,69,36.49
2004-05-28,66,38.96
2004-06-04,76,39.50
2004-06-11,45,
2004-06-18,55,41.26
2004-06-25,52,41.63
2004-07-02,59,40.92
2004-07-09,72,41.03
2004-07-16,78,38.68
2004-07-23,43,38.97
2004-07-30,71,39.68
2004-08-06,81,37.78
2004-08-13,78,36.82
2004-08-20,56,38.68
2004-08-27,47,38.77
2004-09-03,59,38.85
2004-09-10,63,38.66
2004-09-17,70,39.04
2004-09-24,55,37.74
2004-10-01,34,39.65
2004-10-08,69,37.99
2004-10-15,71,36.87
2004-10-22,72,36.91
2004-10-29,52,39.27
2004-11-05,59,40.86
2004-11-12,51,41.68
2004-11-19,48,40.70
2004-11-26,58,40.73
2004-12-03,72,41.52
2004-12-10,65,41.43
2004-12-17,46,41.54
2004-12-24,57,
2004-12-31,47,41.94
2005-01-07,35,39.23
2005-01-14,69,40.12
2005-01-21,60,38.55
2005-01-28,76,37.18
2005-02-04,60,37.82
2005-02-11,71,38.89
2005-02-18,77,38.01
2005-02-25,58,38.77
2005-03-04,41,39.62
2005-03-11,74,39.54
2005-03-18,57,39.01
2005-03-25,59,
2005-04-01,47,37.26
2005-04-08,58,37.71
2005-04-15,41,35.68
2005-04-22,51,35.11
2005-04-29,49,36.36
2005-05-06,65,37.29
2005-05-13,60,36.45
2005-05-20,37,37.18
2005-05-27,49,37.82
2005-06-03,63,38.02
2005-06-10,62,37.08
2005-06-17,73,36.76
2005-06-24,58,36.06
2005-07-01,70,36.87
2005-07-08,81,36.79
