Date,DUK,Price
2004-01-09,35,
2004-01-16,26,
2004-01-23,37,
2004-01-30,43,
2004-02-06,29,21.89
2004-02-13,35,21.31
2004-02-20,27,21.52
2004-02-27,36,21.96
2004-03-05,45,21.92
2004-03-12,19,21.69
2004-03-19,19,22.03
2004-03-26,33,22.00
2004-04-02,48,22.28
2004-04-09,36,
2004-04-16,64,20.89
2004-04-23,53,21.46
2004-04-30,50,21.06
2004-05-07,43,19.80
2004-05-14,43,19.39
2004-05-21,40,19.37
2004-05-28,51,19.94
2004-06-04,38,19.58
2004-06-11,41,
2004-06-18,42,19.88
2004-06-25,32,20.36
2004-07-02,50,20.18
2004-07-09,26,20.55
2004-07-16,45,21.11
2004-07-23,36,20.56
2004-07-30,42,21.50
2004-08-06,35,22.15
2004-08-13,34,22.03
2004-08-20,42,21.89
2004-08-27,42,21.98
2004-09-03,41,21.99
2004-09-10,40,22.00
2004-09-17,51,22.18
2004-09-24,47,22.38
2004-10-01,51,23.11
2004-10-08,44,23.61
2004-10-15,46,23.74
2004-10-22,56,23.63
2004-10-29,39,24.53
2004-11-05,41,25.16
2004-11-12,36,25.54
2004-11-19,39,25.09
2004-11-26,34,26.05
2004-12-03,53,24.82
2004-12-10,43,24.70
2004-12-17,48,25.77
2004-12-24,59,
2004-12-31,43,25.33
2005-01-07,40,24.67
2005-01-14,42,25.13
2005-01-21,44,25.05
2005-01-28,44,26.14
2005-02-04,50,27.70
2005-02-11,35,26.79
2005-02-18,65,26.63
2005-02-25,51,27.41
2005-03-04,45,27.69
2005-03-11,50,27.47
2005-03-18,51,27.46
2005-03-25,44,
2005-04-01,46,28.32
2005-04-08,64,28.35
2005-04-15,54,27.89
2005-04-22,63,28.95
2005-04-29,49,29.19
2005-05-06,37,29.36
2005-05-13,52,27.57
2005-05-20,42,27.95
2005-05-27,51,27.65
2005-06-03,40,27.89
2005-06-10,68,28.15
2005-06-17,53,29.00
2005-06-24,59,29.19
2005-07-01,47,29.99
2005-07-08,58,29.90
2005-07-15,54,29.95
2005-07-22,60,29.75
2005-07-29,52,29.54
2005-08-05,55,29.08
2005-08-12,53,28.15
2005-08-19,42,28.49
2005-08-26,39,28.84
2005-09-02,59,29.00
2005-09-09,53,28.99
2005-09-16,70,29.36
2005-09-23,43,28.14
2005-09-30,39,29.17
2005-10-07,49,27.60
2005-10-14,67,25.97
2005-10-21,49,25.32
2005-10-28,49,26.40
2005-11-04,46,26.56
2005-11-11,70,25.87
2005-11-18,55,26.95
2005-11-25,54,27.25
2005-12-02,45,27.04
2005-12-09,59,26.58
2005-12-16,61,27.28
2005-12-23,58,27.83
2005-12-30,57,27.45
2006-01-06,58,27.79
2006-01-13,52,28.32
2006-01-20,44,28.40
2006-01-27,55,28.63
2006-02-03,41,28.06
2006-02-10,51,28.26
2006-02-17,43,28.60
2006-02-24,51,28.57
2006-03-03,52,28.34
2006-03-10,62,28.11
2006-03-17,48,29.44
2006-03-24,45,29.10
2006-03-31,51,29.15
2006-04-07,58,28.71
2006-04-14,60,
2006-04-21,47,29.13
2006-04-28,48,29.12
2006-05-05,45,29.19
2006-05-12,51,27.92
2006-05-19,44,27.54
2006-05-26,40,28.00
2006-06-02,46,28.80
2006-06-09,57,28.93
2006-06-16,36,29.09
2006-06-23,45,28.48
2006-06-30,53,29.37
2006-07-07,51,29.24
2006-07-14,55,29.43
2006-07-21,45,30.03
2006-07-28,47,30.48
2006-08-04,50,30.43
2006-08-11,37,29.68
2006-08-18,62,30.01
2006-08-25,65,29.45
2006-09-01,59,30.14
2006-09-08,50,30.25
2006-09-15,50,30.37
2006-09-22,57,30.07
2006-09-29,44,30.20
2006-10-06,53,30.75
2006-10-13,46,30.65
2006-10-20,50,31.89
2006-10-27,46,31.78
2006-11-03,47,31.09
2006-11-10,47,31.53
2006-11-17,42,31.70
2006-11-24,45,31.33
2006-12-01,47,31.69
2006-12-08,54,32.70
2006-12-15,54,33.51
2006-12-22,61,33.02
2006-12-29,50,33.21
2007-01-05,58,18.74
2007-01-12,52,18.56
2007-01-19,48,18.74
2007-01-26,48,19.08
2007-02-02,53,19.99
2007-02-09,53,20.16
2007-02-16,63,19.96
2007-02-23,53,19.91
2007-03-02,48,19.49
2007-03-09,56,19.25
2007-03-16,43,19.56
2007-03-23,41,20.29
2007-03-30,46,20.29
2007-04-06,46,
2007-04-13,38,20.37
2007-04-20,53,20.93
2007-04-27,48,20.70
2007-05-04,53,20.63
2007-05-11,52,20.28
2007-05-18,48,20.40
2007-05-25,48,19.19
2007-06-01,53,19.41
2007-06-08,44,18.38
2007-06-15,55,18.98
2007-06-22,59,18.24
2007-06-29,50,18.30
2007-07-06,55,18.12
2007-07-13,45,18.30
2007-07-20,62,17.96
2007-07-27,46,17.21
2007-08-03,60,17.11
2007-08-10,48,19.51
2007-08-17,60,18.36
2007-08-24,51,18.54
2007-08-31,45,18.34
2007-09-07,46,18.78
2007-09-14,49,18.66
2007-09-21,54,18.76
2007-09-28,49,18.69
2007-10-05,46,19.43
2007-10-12,51,19.08
2007-10-19,57,18.41
2007-10-26,49,18.80
2007-11-02,52,19.03
2007-11-09,56,19.45
2007-11-16,83,19.44
2007-11-23,66,19.91
2007-11-30,58,19.79
2007-12-07,71,20.56
2007-12-14,59,20.46
2007-12-21,53,20.49
2007-12-28,46,20.32
2008-01-04,61,19.80
2008-01-11,44,20.18
2008-01-18,55,19.16
2008-01-25,65,17.95
2008-02-01,58,18.89
2008-02-08,58,18.39
2008-02-15,60,18.08
2008-02-22,61,18.22
2008-02-29,44,17.54
2008-03-07,54,17.14
2008-03-14,52,17.50
2008-03-21,49,
2008-03-28,55,17.71
2008-04-04,47,18.12
2008-04-11,53,18.18
2008-04-18,52,18.39
2008-04-25,47,18.47
2008-05-02,45,18.99
2008-05-09,50,18.46
2008-05-16,52,18.54
2008-05-23,44,18.21
2008-05-30,50,18.48
2008-06-06,53,17.69
2008-06-13,55,18.15
2008-06-20,46,17.67
2008-06-27,48,17.07
2008-07-04,45,
2008-07-11,50,17.40
2008-07-18,57,17.38
2008-07-25,52,17.19
2008-08-01,46,17.17
2008-08-08,49,18.18
2008-08-15,51,17.78
2008-08-22,63,17.83
2008-08-29,51,17.44
2008-09-05,54,17.31
2008-09-12,57,18.30
2008-09-19,49,17.97
2008-09-26,56,18.03
2008-10-03,46,17.36
2008-10-10,50,14.43
2008-10-17,58,15.15
2008-10-24,58,15.63
2008-10-31,52,16.38
2008-11-07,60,16.25
2008-11-14,60,15.64
2008-11-21,51,15.04
2008-11-28,61,15.56
2008-12-05,52,14.94
2008-12-12,61,14.62
2008-12-19,43,14.68
2008-12-26,61,14.55
2009-01-02,57,15.40
2009-01-09,54,15.27
2009-01-16,51,15.02
2009-01-23,59,14.90
2009-01-30,54,15.15
2009-02-06,53,15.68
2009-02-13,58,14.74
2009-02-20,55,14.16
2009-02-27,54,13.47
2009-03-06,54,12.15
2009-03-13,56,12.86
2009-03-20,55,14.22
2009-03-27,55,14.29
2009-04-03,56,14.19
2009-04-10,54,
2009-04-17,46,13.74
2009-04-24,48,13.75
2009-05-01,45,14.11
2009-05-08,49,14.18
2009-05-15,49,13.48
2009-05-22,50,13.69
2009-05-29,51,14.15
2009-06-05,52,14.13
2009-06-12,52,14.67
2009-06-19,53,14.41
2009-06-26,53,14.41
2009-07-03,46,
2009-07-10,59,14.32
2009-07-17,58,14.73
2009-07-24,58,15.39
2009-07-31,57,15.48
2009-08-07,62,15.67
2009-08-14,65,15.38
2009-08-21,67,15.61
2009-08-28,60,15.61
2009-09-04,66,15.52
2009-09-11,54,15.43
2009-09-18,64,15.96
2009-09-25,58,15.83
2009-10-02,50,15.38
2009-10-09,52,15.60
2009-10-16,60,15.79
2009-10-23,56,16.10
2009-10-30,56,15.82
2009-11-06,60,16.05
2009-11-13,62,16.04
2009-11-20,62,16.22
2009-11-27,69,16.69
2009-12-04,64,17.14
2009-12-11,79,17.81
2009-12-18,83,17.39
2009-12-25,92,
2010-01-01,92,
2010-01-08,89,16.84
2010-01-15,85,16.90
2010-01-22,76,16.55
2010-01-29,81,16.53
2010-02-05,82,16.32
2010-02-12,76,16.15
2010-02-19,75,16.61
2010-02-26,76,16.35
2010-03-05,68,16.46
2010-03-12,72,16.33
2010-03-19,68,16.58
2010-03-26,65,16.42
2010-04-02,61,
2010-04-09,64,16.33
2010-04-16,61,16.01
2010-04-23,60,16.25
2010-04-30,59,16.78
2010-05-07,53,16.55
2010-05-14,51,16.78
2010-05-21,51,16.00
2010-05-28,52,15.96
2010-06-04,53,15.61
2010-06-11,50,16.17
2010-06-18,45,16.64
2010-06-25,45,16.17
2010-07-02,44,16.06
2010-07-09,48,16.79
2010-07-16,53,16.87
2010-07-23,58,16.94
2010-07-30,68,17.10
2010-08-06,72,17.42
2010-08-13,66,17.01
2010-08-20,72,17.06
2010-08-27,74,17.36
2010-09-03,72,17.35
2010-09-10,67,17.53
2010-09-17,58,17.51
2010-09-24,68,17.99
2010-10-01,63,17.83
2010-10-08,55,17.64
2010-10-15,57,17.59
2010-10-22,58,17.78
2010-10-29,48,18.21
2010-11-05,47,18.49
2010-11-12,52,17.79
2010-11-19,55,17.61
2010-11-26,49,17.52
2010-12-03,49,17.79
2010-12-10,45,17.53
2010-12-17,47,17.74
2010-12-24,48,
2010-12-31,57,17.81
2011-01-07,45,17.79
2011-01-14,55,17.92
2011-01-21,47,18.16
2011-01-28,47,17.96
2011-02-04,48,18.01
2011-02-11,47,17.84
2011-02-18,48,17.94
2011-02-25,46,17.87
2011-03-04,46,17.98
2011-03-11,49,18.43
2011-03-18,40,17.63
2011-03-25,52,17.82
2011-04-01,49,18.42
2011-04-08,48,18.41
2011-04-15,47,18.37
2011-04-22,47,
2011-04-29,49,18.65
2011-05-06,49,18.72
2011-05-13,47,19.22
2011-05-20,53,19.01
2011-05-27,52,18.62
2011-06-03,53,18.45
2011-06-10,52,18.28
2011-06-17,55,18.74
2011-06-24,50,18.51
2011-07-01,50,19.07
2011-07-08,51,19.09
2011-07-15,59,18.85
2011-07-22,53,18.95
2011-07-29,45,18.60
2011-08-05,49,18.12
2011-08-12,53,17.82
2011-08-19,46,18.24
2011-08-26,50,18.56
2011-09-02,45,18.78
2011-09-09,49,18.55
2011-09-16,48,19.57
2011-09-23,50,19.79
2011-09-30,48,19.99
2011-10-07,46,19.79
2011-10-14,52,19.92
2011-10-21,55,20.55
2011-10-28,51,20.46
2011-11-04,50,20.64
2011-11-11,53,21.00
2011-11-18,56,20.17
2011-11-25,53,19.79
2011-12-02,52,20.62
2011-12-09,48,20.86
2011-12-16,55,21.01
2011-12-23,52,21.89
2011-12-30,55,22.00
2012-01-06,54,21.51
2012-01-13,49,21.31
2012-01-20,50,21.30
2012-01-27,51,21.18
2012-02-03,55,21.40
2012-02-10,53,21.48
2012-02-17,50,20.90
2012-02-24,53,21.10
2012-03-02,52,21.04
2012-03-09,47,21.15
2012-03-16,46,21.07
2012-03-23,44,20.79
2012-03-30,44,21.01
2012-04-06,45,
2012-04-13,47,20.41
2012-04-20,49,21.01
2012-04-27,46,21.43
2012-05-04,47,21.56
2012-05-11,42,21.72
2012-05-18,44,21.46
2012-05-25,43,21.96
2012-06-01,46,22.35
2012-06-08,50,23.15
2012-06-15,48,23.26
2012-06-22,46,22.88
2012-06-29,48,23.06
2012-07-06,61,66.23
2012-07-13,51,66.74
2012-07-20,55,66.22
2012-07-27,53,67.46
2012-08-03,54,68.60
2012-08-10,54,67.85
2012-08-17,48,66.49
2012-08-24,51,65.47
2012-08-31,49,64.78
2012-09-07,75,64.72
2012-09-14,100,64.19
2012-09-21,70,64.08
2012-09-28,63,64.79
2012-10-05,59,64.98
2012-10-12,56,64.16
2012-10-19,50,65.51
2012-10-26,50,65.11
2012-11-02,49,64.94
2012-11-09,53,61.96
2012-11-16,54,60.90
2012-11-23,56,60.45
2012-11-30,51,63.82
2012-12-07,54,64.32
2012-12-14,54,63.81
2012-12-21,49,64.51
2012-12-28,52,63.01
2013-01-04,67,65.06
2013-01-11,49,65.69
2013-01-18,48,66.81
2013-01-25,49,67.92
2013-02-01,52,68.84
2013-02-08,47,69.00
2013-02-15,46,68.06
2013-02-22,43,69.46
2013-03-01,50,69.25
2013-03-08,43,69.64
2013-03-15,47,69.95
2013-03-22,48,70.61
2013-03-29,51,
2013-04-05,52,72.05
2013-04-12,49,72.97
2013-04-19,49,74.34
2013-04-26,48,74.86
2013-05-03,46,74.47
2013-05-10,47,72.18
2013-05-17,47,71.62
2013-05-24,48,68.88
2013-05-31,48,66.93
2013-06-07,51,67.69
2013-06-14,51,67.64
2013-06-21,51,65.58
2013-06-28,47,67.50
2013-07-05,46,67.27
2013-07-12,48,70.15
2013-07-19,58,70.88
2013-07-26,53,70.79
2013-08-02,51,71.75
2013-08-09,51,70.77
2013-08-16,48,67.05
2013-08-23,48,66.35
2013-08-30,52,65.60
2013-09-06,66,65.45
2013-09-13,64,65.55
2013-09-20,55,67.36
2013-09-27,47,66.90
2013-10-04,48,66.43
2013-10-11,52,68.85
2013-10-18,51,70.08
2013-10-25,46,72.37
2013-11-01,51,72.51
2013-11-08,54,72.43
2013-11-15,61,71.80
2013-11-22,55,71.13
2013-11-29,58,69.96
2013-12-06,54,70.19
2013-12-13,80,68.19
2013-12-20,58,69.50
2013-12-27,57,68.95
2014-01-03,59,67.92
2014-01-10,56,68.59
2014-01-17,51,67.57
2014-01-24,53,68.26
2014-01-31,52,70.62
2014-02-07,52,69.99
2014-02-14,51,71.45
2014-02-21,53,71.49
2014-02-28,58,70.88
2014-03-07,54,70.06
2014-03-14,54,70.70
2014-03-21,59,69.08
2014-03-28,58,70.44
2014-04-04,65,70.49
2014-04-11,70,71.84
2014-04-18,67,
2014-04-25,66,74.00
2014-05-02,68,
