Date,DVA,Price
2004-01-09,34,
2004-01-16,43,
2004-01-23,35,
2004-01-30,32,
2004-02-06,31,40.60
2004-02-13,27,44.89
2004-02-20,39,44.95
2004-02-27,22,45.51
2004-03-05,34,46.24
2004-03-12,19,44.30
2004-03-19,19,45.00
2004-03-26,25,47.40
2004-04-02,25,47.99
2004-04-09,22,
2004-04-16,33,48.60
2004-04-23,22,49.95
2004-04-30,31,51.10
2004-05-07,37,49.56
2004-05-14,22,47.08
2004-05-21,35,45.80
2004-05-28,28,46.42
2004-06-04,35,47.26
2004-06-11,27,
2004-06-18,37,29.19
2004-06-25,32,30.07
2004-07-02,35,30.24
2004-07-09,23,30.34
2004-07-16,16,32.05
2004-07-23,38,30.54
2004-07-30,39,30.37
2004-08-06,21,27.56
2004-08-13,21,28.42
2004-08-20,33,29.04
2004-08-27,31,29.85
2004-09-03,31,30.06
2004-09-10,36,29.81
2004-09-17,28,31.05
2004-09-24,33,31.38
2004-10-01,30,31.39
2004-10-08,40,31.44
2004-10-15,42,31.25
2004-10-22,28,31.90
2004-10-29,28,29.62
2004-11-05,31,32.20
2004-11-12,35,33.33
2004-11-19,30,32.77
2004-11-26,35,32.76
2004-12-03,26,33.50
2004-12-10,28,38.30
2004-12-17,30,37.91
2004-12-24,23,
2004-12-31,20,39.53
2005-01-07,27,39.87
2005-01-14,29,42.00
2005-01-21,34,40.99
2005-01-28,28,41.40
2005-02-04,34,41.35
2005-02-11,29,43.55
2005-02-18,27,42.17
2005-02-25,29,42.39
2005-03-04,37,44.05
2005-03-11,42,41.02
2005-03-18,53,41.96
2005-03-25,32,
2005-04-01,34,42.00
2005-04-08,36,43.26
2005-04-15,35,41.59
2005-04-22,41,40.63
2005-04-29,28,40.30
2005-05-06,42,41.50
2005-05-13,33,41.66
2005-05-20,31,43.50
2005-05-27,27,46.09
2005-06-03,28,46.25
2005-06-10,29,45.65
2005-06-17,31,46.11
2005-06-24,36,44.41
2005-07-01,36,45.54
2005-07-08,39,46.43
2005-07-15,30,44.86
2005-07-22,34,43.60
2005-07-29,20,47.24
2005-08-05,25,46.43
2005-08-12,30,47.18
2005-08-19,29,46.85
2005-08-26,32,44.55
2005-09-02,38,46.35
2005-09-09,35,47.42
2005-09-16,36,46.00
2005-09-23,34,47.32
2005-09-30,32,46.07
2005-10-07,33,49.53
2005-10-14,32,48.35
2005-10-21,31,48.30
2005-10-28,33,47.99
2005-11-04,30,51.62
2005-11-11,37,52.09
2005-11-18,34,52.20
2005-11-25,33,52.72
2005-12-02,33,53.39
2005-12-09,42,52.54
2005-12-16,29,51.46
2005-12-23,27,50.91
2005-12-30,34,50.64
2006-01-06,38,55.39
2006-01-13,40,54.24
2006-01-20,33,54.86
2006-01-27,32,54.90
2006-02-03,34,53.69
2006-02-10,36,55.27
2006-02-17,29,58.76
2006-02-24,37,59.12
2006-03-03,41,58.52
2006-03-10,32,58.15
2006-03-17,45,60.02
2006-03-24,36,59.08
2006-03-31,33,60.21
2006-04-07,32,56.16
2006-04-14,43,
2006-04-21,36,57.62
2006-04-28,35,56.26
2006-05-05,34,53.33
2006-05-12,39,52.20
2006-05-19,41,51.65
2006-05-26,37,51.29
2006-06-02,40,52.70
2006-06-09,34,49.01
2006-06-16,39,48.89
2006-06-23,45,48.80
2006-06-30,43,49.70
2006-07-07,35,49.35
2006-07-14,38,48.82
2006-07-21,33,51.00
2006-07-28,29,50.17
2006-08-04,31,55.89
2006-08-11,33,56.05
2006-08-18,33,55.60
2006-08-25,36,57.66
2006-09-01,35,57.84
2006-09-08,35,56.32
2006-09-15,39,57.15
2006-09-22,32,56.98
2006-09-29,37,57.87
2006-10-06,33,58.49
2006-10-13,35,56.39
2006-10-20,39,57.21
2006-10-27,30,56.46
2006-11-03,40,54.15
2006-11-10,32,52.55
2006-11-17,42,53.24
2006-11-24,40,53.20
2006-12-01,38,54.15
2006-12-08,35,55.94
2006-12-15,33,54.72
2006-12-22,33,56.35
2006-12-29,37,56.88
2007-01-05,38,54.85
2007-01-12,39,53.85
2007-01-19,35,53.74
2007-01-26,42,51.80
2007-02-02,40,54.01
2007-02-09,37,55.04
2007-02-16,36,58.09
2007-02-23,38,56.79
2007-03-02,44,53.21
2007-03-09,39,53.00
2007-03-16,39,52.76
2007-03-23,39,53.30
2007-03-30,37,53.32
2007-04-06,36,
2007-04-13,37,57.48
2007-04-20,40,54.96
2007-04-27,39,54.47
2007-05-04,40,55.25
2007-05-11,37,53.90
2007-05-18,39,53.01
2007-05-25,38,54.20
2007-06-01,40,55.95
2007-06-08,45,54.42
2007-06-15,42,54.44
2007-06-22,38,53.73
2007-06-29,33,53.88
2007-07-06,43,55.75
2007-07-13,40,55.19
2007-07-20,42,53.90
2007-07-27,40,53.08
2007-08-03,32,55.95
2007-08-10,32,56.33
2007-08-17,32,54.23
2007-08-24,38,56.06
2007-08-31,46,57.52
2007-09-07,40,58.46
2007-09-14,39,62.06
2007-09-21,42,61.61
2007-09-28,37,63.18
2007-10-05,41,64.26
2007-10-12,38,64.02
2007-10-19,43,65.81
2007-10-26,50,64.17
2007-11-02,38,59.50
2007-11-09,40,59.85
2007-11-16,51,59.54
2007-11-23,54,58.31
2007-11-30,52,61.96
2007-12-07,49,61.11
2007-12-14,49,55.63
2007-12-21,53,56.79
2007-12-28,43,56.01
2008-01-04,50,54.93
2008-01-11,49,59.08
2008-01-18,47,55.52
2008-01-25,46,52.17
2008-02-01,52,54.27
2008-02-08,52,52.60
2008-02-15,46,50.99
2008-02-22,46,51.01
2008-02-29,52,49.63
2008-03-07,45,46.03
2008-03-14,52,43.87
2008-03-21,51,
2008-03-28,41,47.98
2008-04-04,51,48.10
2008-04-11,46,49.65
2008-04-18,51,50.93
2008-04-25,45,49.90
2008-05-02,50,52.23
2008-05-09,46,51.87
2008-05-16,48,51.83
2008-05-23,47,51.39
2008-05-30,48,51.88
2008-06-06,48,50.42
2008-06-13,56,50.47
2008-06-20,48,51.75
2008-06-27,51,53.86
2008-07-04,62,
