Date,Delphi Automotive,Price
2004-01-09,0,
2004-01-16,34,
2004-01-23,35,
2004-01-30,40,
2004-02-06,46,
2004-02-13,77,
2004-02-20,59,
2004-02-27,56,
2004-03-05,38,
2004-03-12,38,
2004-03-19,38,
2004-03-26,49,
2004-04-02,59,
2004-04-09,57,
2004-04-16,71,
2004-04-23,45,
2004-04-30,46,
2004-05-07,49,
2004-05-14,62,
2004-05-21,45,
2004-05-28,49,
2004-06-04,53,
2004-06-11,57,
2004-06-18,50,
2004-06-25,58,
2004-07-02,34,
2004-07-09,56,
2004-07-16,40,
2004-07-23,40,
2004-07-30,51,
2004-08-06,62,
2004-08-13,42,
2004-08-20,42,
2004-08-27,48,
2004-09-03,54,
2004-09-10,47,
2004-09-17,47,
2004-09-24,28,
2004-10-01,41,
2004-10-08,55,
2004-10-15,40,
2004-10-22,40,
2004-10-29,29,
2004-11-05,40,
2004-11-12,33,
2004-11-19,33,
2004-11-26,34,
2004-12-03,35,
2004-12-10,45,
2004-12-17,41,
2004-12-24,34,
2004-12-31,38,
2005-01-07,43,
2005-01-14,33,
2005-01-21,53,
2005-01-28,21,
2005-02-04,36,
2005-02-11,24,
2005-02-18,32,
2005-02-25,27,
2005-03-04,53,
2005-03-11,63,
2005-03-18,53,
2005-03-25,29,
2005-04-01,19,
2005-04-08,33,
2005-04-15,42,
2005-04-22,38,
2005-04-29,35,
2005-05-06,33,
2005-05-13,40,
2005-05-20,25,
2005-05-27,24,
2005-06-03,26,
2005-06-10,56,
2005-06-17,31,
2005-06-24,32,
2005-07-01,28,
2005-07-08,50,
2005-07-15,44,
2005-07-22,33,
2005-07-29,39,
2005-08-05,36,
2005-08-12,35,
2005-08-19,43,
2005-08-26,31,
2005-09-02,29,
2005-09-09,43,
2005-09-16,39,
2005-09-23,40,
2005-09-30,26,
2005-10-07,52,
2005-10-14,100,
2005-10-21,39,
2005-10-28,31,
2005-11-04,23,
2005-11-11,26,
2005-11-18,28,
2005-11-25,27,
2005-12-02,27,
2005-12-09,21,
2005-12-16,29,
2005-12-23,25,
2005-12-30,27,
2006-01-06,38,
2006-01-13,19,
2006-01-20,32,
2006-01-27,26,
2006-02-03,28,
2006-02-10,34,
2006-02-17,17,
2006-02-24,22,
2006-03-03,26,
2006-03-10,23,
2006-03-17,17,
2006-03-24,30,
2006-03-31,43,
2006-04-07,35,
2006-04-14,23,
2006-04-21,24,
2006-04-28,23,
2006-05-05,18,
2006-05-12,23,
2006-05-19,25,
2006-05-26,24,
2006-06-02,23,
2006-06-09,16,
2006-06-16,18,
2006-06-23,15,
2006-06-30,24,
2006-07-07,17,
2006-07-14,27,
2006-07-21,21,
2006-07-28,20,
2006-08-04,25,
2006-08-11,22,
2006-08-18,20,
2006-08-25,24,
2006-09-01,13,
2006-09-08,17,
2006-09-15,23,
2006-09-22,22,
2006-09-29,23,
2006-10-06,29,
2006-10-13,17,
2006-10-20,26,
2006-10-27,27,
2006-11-03,17,
2006-11-10,18,
2006-11-17,19,
2006-11-24,18,
2006-12-01,27,
2006-12-08,17,
2006-12-15,18,
2006-12-22,20,
2006-12-29,19,
2007-01-05,17,
2007-01-12,20,
2007-01-19,18,
2007-01-26,15,
2007-02-02,18,
2007-02-09,18,
2007-02-16,17,
2007-02-23,27,
2007-03-02,29,
2007-03-09,20,
2007-03-16,13,
