Date,Delta Air Lines,Price
2004-01-09,30,
2004-01-16,31,
2004-01-23,37,
2004-01-30,22,
2004-02-06,33,
2004-02-13,27,
2004-02-20,30,
2004-02-27,20,
2004-03-05,32,
2004-03-12,23,
2004-03-19,30,
2004-03-26,30,
2004-04-02,30,
2004-04-09,27,
2004-04-16,23,
2004-04-23,32,
2004-04-30,29,
2004-05-07,34,
2004-05-14,35,
2004-05-21,22,
2004-05-28,27,
2004-06-04,36,
2004-06-11,40,
2004-06-18,36,
2004-06-25,37,
2004-07-02,30,
2004-07-09,31,
2004-07-16,37,
2004-07-23,32,
2004-07-30,35,
2004-08-06,33,
2004-08-13,35,
2004-08-20,44,
2004-08-27,34,
2004-09-03,37,
2004-09-10,48,
2004-09-17,24,
2004-09-24,26,
2004-10-01,32,
2004-10-08,30,
2004-10-15,30,
2004-10-22,29,
2004-10-29,36,
2004-11-05,28,
2004-11-12,36,
2004-11-19,25,
2004-11-26,20,
2004-12-03,23,
2004-12-10,29,
2004-12-17,28,
2004-12-24,28,
2004-12-31,33,
2005-01-07,100,
2005-01-14,44,
2005-01-21,38,
2005-01-28,37,
2005-02-04,32,
2005-02-11,29,
2005-02-18,29,
2005-02-25,24,
2005-03-04,40,
2005-03-11,34,
2005-03-18,28,
2005-03-25,35,
2005-04-01,35,
2005-04-08,27,
2005-04-15,27,
2005-04-22,28,
2005-04-29,25,
2005-05-06,29,
2005-05-13,29,
2005-05-20,33,
2005-05-27,32,
2005-06-03,23,
2005-06-10,26,
2005-06-17,28,
2005-06-24,30,
2005-07-01,27,
2005-07-08,24,
2005-07-15,33,
2005-07-22,28,
2005-07-29,32,
2005-08-05,41,
2005-08-12,40,
2005-08-19,34,
2005-08-26,37,
2005-09-02,31,
2005-09-09,27,
2005-09-16,48,
2005-09-23,35,
2005-09-30,21,
2005-10-07,32,
2005-10-14,29,
2005-10-21,24,
2005-10-28,28,
2005-11-04,32,
2005-11-11,26,
2005-11-18,34,
2005-11-25,20,
2005-12-02,29,
2005-12-09,24,
2005-12-16,21,
2005-12-23,24,
2005-12-30,21,
2006-01-06,37,
2006-01-13,29,
2006-01-20,27,
2006-01-27,29,
2006-02-03,26,
2006-02-10,28,
2006-02-17,26,
2006-02-24,35,
2006-03-03,30,
2006-03-10,29,
2006-03-17,27,
2006-03-24,27,
2006-03-31,25,
2006-04-07,38,
2006-04-14,32,
2006-04-21,27,
2006-04-28,26,
2006-05-05,30,
2006-05-12,25,
2006-05-19,26,
2006-05-26,23,
2006-06-02,22,
2006-06-09,25,
2006-06-16,28,
2006-06-23,27,
2006-06-30,28,
2006-07-07,31,
2006-07-14,31,
2006-07-21,34,
2006-07-28,40,
2006-08-04,36,
2006-08-11,32,
2006-08-18,37,
2006-08-25,34,
2006-09-01,31,
2006-09-08,26,
2006-09-15,24,
2006-09-22,30,
2006-09-29,29,
2006-10-06,29,
2006-10-13,25,
2006-10-20,28,
2006-10-27,25,
2006-11-03,25,
2006-11-10,23,
2006-11-17,27,
2006-11-24,23,
