Date,Discover Financial Services,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,
2004-08-27,0,
2004-09-03,0,
2004-09-10,0,
2004-09-17,0,
2004-09-24,0,
2004-10-01,0,
2004-10-08,0,
2004-10-15,0,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,0,
2004-12-03,0,
2004-12-10,0,
2004-12-17,0,
2004-12-24,0,
2004-12-31,0,
2005-01-07,0,
2005-01-14,0,
2005-01-21,0,
2005-01-28,0,
2005-02-04,0,
2005-02-11,0,
2005-02-18,0,
2005-02-25,0,
2005-03-04,0,
2005-03-11,0,
2005-03-18,0,
2005-03-25,0,
2005-04-01,0,
2005-04-08,0,
2005-04-15,0,
2005-04-22,0,
2005-04-29,0,
2005-05-06,0,
2005-05-13,0,
2005-05-20,0,
2005-05-27,0,
2005-06-03,0,
2005-06-10,0,
2005-06-17,0,
2005-06-24,0,
2005-07-01,0,
2005-07-08,0,
2005-07-15,0,
2005-07-22,0,
2005-07-29,0,
2005-08-05,0,
2005-08-12,0,
2005-08-19,0,
2005-08-26,0,
2005-09-02,0,
2005-09-09,0,
2005-09-16,0,
2005-09-23,0,
2005-09-30,0,
2005-10-07,0,
2005-10-14,0,
2005-10-21,0,
2005-10-28,0,
2005-11-04,0,
2005-11-11,0,
2005-11-18,0,
2005-11-25,0,
2005-12-02,0,
2005-12-09,0,
2005-12-16,0,
2005-12-23,0,
2005-12-30,0,
2006-01-06,0,
2006-01-13,0,
2006-01-20,0,
2006-01-27,0,
2006-02-03,0,
2006-02-10,0,
2006-02-17,0,
2006-02-24,48,
2006-03-03,49,
2006-03-10,50,
2006-03-17,51,
2006-03-24,52,
2006-03-31,54,
2006-04-07,0,
2006-04-14,0,
2006-04-21,0,
2006-04-28,0,
2006-05-05,0,
2006-05-12,0,
2006-05-19,0,
2006-05-26,49,
2006-06-02,49,
2006-06-09,49,
2006-06-16,0,
2006-06-23,0,
2006-06-30,0,
2006-07-07,0,
2006-07-14,0,
2006-07-21,0,
2006-07-28,0,
2006-08-04,0,
2006-08-11,0,
2006-08-18,0,
2006-08-25,0,
2006-09-01,0,
2006-09-08,0,
2006-09-15,0,
2006-09-22,0,
2006-09-29,0,
2006-10-06,0,
2006-10-13,0,
2006-10-20,0,
2006-10-27,0,
2006-11-03,0,
2006-11-10,0,
2006-11-17,0,
2006-11-24,0,
2006-12-01,0,
2006-12-08,0,
2006-12-15,0,
2006-12-22,37,
2006-12-29,0,
2007-01-05,0,
2007-01-12,0,
2007-01-19,0,
2007-01-26,0,
2007-02-02,0,
2007-02-09,0,
2007-02-16,0,
2007-02-23,0,
2007-03-02,0,
2007-03-09,0,
2007-03-16,0,
2007-03-23,0,
2007-03-30,0,
2007-04-06,0,
2007-04-13,0,
2007-04-20,0,
2007-04-27,0,
2007-05-04,0,
2007-05-11,0,
2007-05-18,0,
2007-05-25,30,
2007-06-01,34,
2007-06-08,38,
2007-06-15,43,29.08
2007-06-22,30,31.70
2007-06-29,35,28.50
2007-07-06,100,25.64
2007-07-13,65,27.16
2007-07-20,64,26.30
2007-07-27,35,23.33
2007-08-03,43,21.99
2007-08-10,52,20.86
2007-08-17,38,23.18
2007-08-24,36,23.99
2007-08-31,36,23.14
2007-09-07,27,21.11
2007-09-14,27,21.27
2007-09-21,34,22.40
2007-09-28,33,20.80
2007-10-05,26,22.73
2007-10-12,26,22.13
2007-10-19,35,19.80
2007-10-26,22,18.93
2007-11-02,44,18.18
2007-11-09,29,17.82
2007-11-16,34,17.76
2007-11-23,33,16.68
2007-11-30,36,17.37
2007-12-07,39,16.76
2007-12-14,30,15.64
2007-12-21,30,15.50
2007-12-28,36,14.94
2008-01-04,37,13.94
2008-01-11,39,13.73
2008-01-18,33,12.63
2008-01-25,27,15.56
2008-02-01,35,17.96
2008-02-08,44,15.63
2008-02-15,31,14.23
2008-02-22,30,15.10
2008-02-29,39,15.09
2008-03-07,45,14.15
2008-03-14,25,15.47
2008-03-21,27,
2008-03-28,32,15.98
2008-04-04,45,17.14
2008-04-11,54,17.55
2008-04-18,25,18.48
2008-04-25,22,18.85
2008-05-02,24,18.70
2008-05-09,24,17.52
2008-05-16,36,18.41
2008-05-23,19,16.84
2008-05-30,19,17.15
2008-06-06,26,15.70
2008-06-13,29,15.65
2008-06-20,32,14.41
2008-06-27,35,13.57
2008-07-04,24,
2008-07-11,35,14.02
2008-07-18,34,16.33
2008-07-25,34,14.05
2008-08-01,31,14.99
2008-08-08,38,14.97
2008-08-15,36,15.61
2008-08-22,25,15.60
2008-08-29,39,16.45
2008-09-05,22,16.42
2008-09-12,23,17.63
2008-09-19,46,16.00
2008-09-26,24,13.92
2008-10-03,37,11.07
2008-10-10,29,9.57
2008-10-17,22,10.74
2008-10-24,43,10.14
2008-10-31,34,12.25
2008-11-07,17,11.83
2008-11-14,36,9.47
2008-11-21,24,7.65
2008-11-28,29,10.23
2008-12-05,33,10.88
2008-12-12,31,8.97
2008-12-19,41,9.33
2008-12-26,31,8.37
2009-01-02,31,9.51
2009-01-09,32,8.71
2009-01-16,34,7.60
2009-01-23,17,7.50
2009-01-30,33,7.15
2009-02-06,38,7.68
2009-02-13,22,7.01
2009-02-20,27,5.74
2009-02-27,35,5.73
2009-03-06,19,4.95
2009-03-13,29,6.23
2009-03-20,30,5.51
2009-03-27,20,6.80
2009-04-03,33,6.75
2009-04-10,39,
2009-04-17,30,8.55
2009-04-24,20,9.09
2009-05-01,19,8.12
2009-05-08,40,10.66
2009-05-15,23,8.59
2009-05-22,26,8.36
2009-05-29,20,9.56
2009-06-05,20,9.41
2009-06-12,18,9.30
2009-06-19,18,9.32
2009-06-26,23,9.90
2009-07-03,20,
2009-07-10,39,9.61
2009-07-17,23,10.92
2009-07-24,38,12.06
2009-07-31,29,11.88
2009-08-07,32,12.76
2009-08-14,24,12.48
2009-08-21,24,13.51
2009-08-28,28,14.23
2009-09-04,27,13.55
2009-09-11,24,14.71
2009-09-18,34,16.06
2009-09-25,30,15.36
2009-10-02,27,15.33
2009-10-09,37,16.20
2009-10-16,27,15.08
2009-10-23,29,15.03
2009-10-30,16,14.14
2009-11-06,20,14.53
2009-11-13,27,15.40
2009-11-20,18,15.35
2009-11-27,24,15.13
2009-12-04,29,15.18
2009-12-11,22,16.13
2009-12-18,21,14.95
2009-12-25,20,
2010-01-01,20,
2010-01-08,30,15.03
2010-01-15,25,14.76
2010-01-22,31,13.46
2010-01-29,20,13.68
2010-02-05,26,13.01
2010-02-12,25,13.03
2010-02-19,19,13.67
2010-02-26,21,13.65
2010-03-05,19,14.17
2010-03-12,26,14.97
2010-03-19,21,15.24
2010-03-26,25,15.39
2010-04-02,30,
2010-04-09,29,15.50
2010-04-16,26,15.36
2010-04-23,19,16.26
2010-04-30,21,15.46
2010-05-07,29,14.08
2010-05-14,24,14.24
2010-05-21,29,13.53
2010-05-28,16,13.45
2010-06-04,21,12.86
2010-06-11,20,13.66
2010-06-18,26,14.00
2010-06-25,21,14.52
2010-07-02,35,13.84
2010-07-09,15,14.85
2010-07-16,25,14.50
2010-07-23,24,15.06
2010-07-30,19,15.27
2010-08-06,32,15.31
2010-08-13,30,14.68
2010-08-20,21,14.27
2010-08-27,23,14.77
2010-09-03,24,15.86
2010-09-10,17,15.90
2010-09-17,35,15.57
2010-09-24,34,16.77
2010-10-01,23,16.58
2010-10-08,26,16.95
2010-10-15,19,17.10
2010-10-22,24,17.41
2010-10-29,24,17.65
2010-11-05,19,18.91
2010-11-12,25,18.60
2010-11-19,25,18.40
2010-11-26,12,18.42
2010-12-03,19,18.84
2010-12-10,21,19.27
2010-12-17,21,18.02
2010-12-24,10,
2010-12-31,23,18.53
2011-01-07,24,18.90
2011-01-14,15,20.38
2011-01-21,22,20.47
2011-01-28,26,20.46
2011-02-04,23,20.61
2011-02-11,17,21.72
2011-02-18,22,21.86
2011-02-25,16,21.82
2011-03-04,26,21.61
2011-03-11,17,21.83
2011-03-18,12,22.00
2011-03-25,21,24.00
2011-04-01,22,24.15
2011-04-08,26,23.85
2011-04-15,20,24.28
2011-04-22,16,
2011-04-29,24,24.84
2011-05-06,21,24.29
2011-05-13,17,24.24
2011-05-20,16,24.92
2011-05-27,24,23.77
2011-06-03,16,23.20
2011-06-10,22,22.52
2011-06-17,21,23.09
2011-06-24,20,24.79
2011-07-01,21,26.55
2011-07-08,12,27.12
2011-07-15,24,25.43
2011-07-22,15,25.97
2011-07-29,23,25.61
2011-08-05,21,22.83
2011-08-12,17,23.33
2011-08-19,14,22.91
2011-08-26,19,24.79
2011-09-02,21,24.22
2011-09-09,21,23.92
2011-09-16,20,26.47
2011-09-23,22,25.35
2011-09-30,21,22.94
2011-10-07,22,23.41
2011-10-14,18,24.13
2011-10-21,18,23.15
2011-10-28,13,24.48
2011-11-04,21,24.50
2011-11-11,17,24.77
2011-11-18,23,23.03
2011-11-25,16,22.96
2011-12-02,16,24.21
2011-12-09,11,24.74
2011-12-16,20,24.23
2011-12-23,13,24.49
2011-12-30,17,24.00
2012-01-06,14,24.30
2012-01-13,22,26.51
2012-01-20,16,27.39
2012-01-27,13,27.14
2012-02-03,22,28.22
2012-02-10,18,28.18
2012-02-17,14,29.54
2012-02-24,14,30.19
2012-03-02,21,30.53
2012-03-09,23,30.61
2012-03-16,19,32.05
2012-03-23,21,33.83
2012-03-30,17,33.34
2012-04-06,21,
2012-04-13,25,32.89
2012-04-20,23,32.93
2012-04-27,15,34.09
2012-05-04,21,33.52
2012-05-11,23,34.12
2012-05-18,24,31.52
2012-05-25,24,32.73
2012-06-01,20,30.72
2012-06-08,17,32.82
2012-06-15,25,32.99
2012-06-22,21,33.61
2012-06-29,20,34.58
2012-07-06,16,35.31
2012-07-13,21,34.96
2012-07-20,18,34.91
2012-07-27,18,36.41
2012-08-03,23,36.49
2012-08-10,16,36.84
2012-08-17,26,37.77
2012-08-24,26,38.60
2012-08-31,23,38.73
2012-09-07,20,38.47
2012-09-14,19,39.31
2012-09-21,24,38.62
2012-09-28,24,39.73
2012-10-05,26,40.39
2012-10-12,21,38.79
2012-10-19,27,39.62
2012-10-26,14,40.25
2012-11-02,22,40.98
2012-11-09,22,41.08
2012-11-16,24,39.46
2012-11-23,16,41.46
2012-11-30,19,41.61
2012-12-07,16,41.15
2012-12-14,19,39.54
2012-12-21,19,38.50
2012-12-28,12,37.99
2013-01-04,16,40.04
2013-01-11,27,40.39
2013-01-18,20,38.55
2013-01-25,15,39.09
2013-02-01,20,38.80
2013-02-08,19,39.88
2013-02-15,20,39.15
2013-02-22,22,38.89
2013-03-01,21,39.08
2013-03-08,29,41.37
2013-03-15,23,44.14
2013-03-22,23,45.00
2013-03-29,23,
2013-04-05,23,43.07
2013-04-12,21,43.31
2013-04-19,15,43.34
2013-04-26,19,43.92
2013-05-03,19,45.93
2013-05-10,21,45.59
2013-05-17,18,47.70
2013-05-24,22,47.68
2013-05-31,15,47.41
2013-06-07,24,48.66
2013-06-14,18,47.34
2013-06-21,18,46.39
2013-06-28,20,47.64
2013-07-05,15,49.99
2013-07-12,25,50.89
2013-07-19,26,50.62
2013-07-26,26,49.45
2013-08-02,22,51.13
2013-08-09,20,50.18
2013-08-16,20,49.78
2013-08-23,14,49.54
2013-08-30,17,47.25
2013-09-06,17,48.59
2013-09-13,22,50.98
2013-09-20,12,52.12
2013-09-27,16,51.29
2013-10-04,21,50.57
2013-10-11,24,51.78
2013-10-18,21,53.95
2013-10-25,23,51.00
2013-11-01,19,52.00
2013-11-08,30,52.26
2013-11-15,21,52.39
2013-11-22,26,52.40
2013-11-29,15,53.30
2013-12-06,23,52.77
2013-12-13,23,53.02
2013-12-20,18,54.00
2013-12-27,15,54.50
2014-01-03,15,55.07
2014-01-10,19,55.41
2014-01-17,22,53.41
2014-01-24,20,53.88
2014-01-31,19,53.65
2014-02-07,22,55.25
2014-02-14,21,56.92
2014-02-21,25,56.71
2014-02-28,27,57.38
2014-03-07,21,59.28
2014-03-14,20,57.17
2014-03-21,20,57.76
2014-03-28,19,57.51
2014-04-04,19,58.39
2014-04-11,15,55.15
2014-04-18,18,
2014-04-25,19,55.53
2014-05-02,16,
