Date,Dollar General,Price
2004-01-09,7,
2004-01-16,9,
2004-01-23,8,
2004-01-30,11,
2004-02-06,8,
2004-02-13,10,
2004-02-20,12,
2004-02-27,12,
2004-03-05,8,
2004-03-12,8,
2004-03-19,8,
2004-03-26,8,
2004-04-02,7,
2004-04-09,10,
2004-04-16,7,
2004-04-23,7,
2004-04-30,10,
2004-05-07,11,
2004-05-14,10,
2004-05-21,11,
2004-05-28,12,
2004-06-04,11,
2004-06-11,7,
2004-06-18,8,
2004-06-25,11,
2004-07-02,8,
2004-07-09,11,
2004-07-16,9,
2004-07-23,10,
2004-07-30,11,
2004-08-06,9,
2004-08-13,15,
2004-08-20,8,
2004-08-27,7,
2004-09-03,9,
2004-09-10,6,
2004-09-17,9,
2004-09-24,9,
2004-10-01,11,
2004-10-08,9,
2004-10-15,13,
2004-10-22,10,
2004-10-29,7,
2004-11-05,10,
2004-11-12,12,
2004-11-19,10,
2004-11-26,9,
2004-12-03,14,
2004-12-10,15,
2004-12-17,15,
2004-12-24,11,
2004-12-31,10,
2005-01-07,12,
2005-01-14,9,
2005-01-21,11,
2005-01-28,10,
2005-02-04,11,
2005-02-11,9,
2005-02-18,11,
2005-02-25,8,
2005-03-04,9,
2005-03-11,10,
2005-03-18,8,
2005-03-25,10,
2005-04-01,8,
2005-04-08,12,
2005-04-15,9,
2005-04-22,11,
2005-04-29,9,
2005-05-06,10,
2005-05-13,10,
2005-05-20,11,
2005-05-27,12,
2005-06-03,10,
2005-06-10,11,
2005-06-17,11,
2005-06-24,14,
2005-07-01,15,
2005-07-08,8,
2005-07-15,10,
2005-07-22,12,
2005-07-29,12,
2005-08-05,13,
2005-08-12,11,
2005-08-19,9,
2005-08-26,14,
2005-09-02,10,
2005-09-09,14,
2005-09-16,12,
2005-09-23,15,
2005-09-30,12,
2005-10-07,9,
2005-10-14,12,
2005-10-21,13,
2005-10-28,11,
2005-11-04,13,
2005-11-11,9,
2005-11-18,12,
2005-11-25,12,
2005-12-02,17,
2005-12-09,16,
2005-12-16,13,
2005-12-23,15,
2005-12-30,9,
2006-01-06,9,
2006-01-13,11,
2006-01-20,10,
2006-01-27,10,
2006-02-03,10,
2006-02-10,9,
2006-02-17,10,
2006-02-24,9,
2006-03-03,9,
2006-03-10,10,
2006-03-17,9,
2006-03-24,9,
2006-03-31,13,
2006-04-07,15,
2006-04-14,13,
2006-04-21,11,
2006-04-28,11,
2006-05-05,11,
2006-05-12,11,
2006-05-19,9,
2006-05-26,11,
2006-06-02,11,
2006-06-09,11,
2006-06-16,13,
2006-06-23,12,
2006-06-30,12,
2006-07-07,14,
2006-07-14,12,
2006-07-21,14,
2006-07-28,13,
2006-08-04,15,
2006-08-11,15,
2006-08-18,13,
2006-08-25,14,
2006-09-01,11,
2006-09-08,10,
2006-09-15,11,
2006-09-22,11,
2006-09-29,14,
2006-10-06,11,
2006-10-13,11,
2006-10-20,10,
2006-10-27,12,
2006-11-03,11,
2006-11-10,13,
2006-11-17,11,
2006-11-24,11,
2006-12-01,21,
2006-12-08,21,
2006-12-15,19,
2006-12-22,17,
2006-12-29,17,
2007-01-05,18,
2007-01-12,12,
2007-01-19,13,
2007-01-26,12,
2007-02-02,13,
2007-02-09,15,
2007-02-16,14,
2007-02-23,11,
2007-03-02,13,
2007-03-09,12,
2007-03-16,28,
2007-03-23,12,
2007-03-30,16,
2007-04-06,22,
2007-04-13,14,
2007-04-20,10,
2007-04-27,11,
2007-05-04,13,
2007-05-11,13,
2007-05-18,12,
2007-05-25,12,
2007-06-01,12,
2007-06-08,16,
2007-06-15,14,
2007-06-22,16,
2007-06-29,16,
2007-07-06,19,
2007-07-13,19,
2007-07-20,17,
2007-07-27,16,
2007-08-03,19,
2007-08-10,17,
2007-08-17,21,
2007-08-24,15,
2007-08-31,16,
2007-09-07,17,
2007-09-14,15,
2007-09-21,15,
2007-09-28,13,
2007-10-05,17,
2007-10-12,15,
2007-10-19,14,
2007-10-26,14,
2007-11-02,15,
2007-11-09,14,
2007-11-16,16,
2007-11-23,19,
2007-11-30,26,
2007-12-07,25,
2007-12-14,20,
2007-12-21,20,
2007-12-28,15,
2008-01-04,12,
2008-01-11,13,
2008-01-18,16,
2008-01-25,13,
2008-02-01,13,
2008-02-08,14,
2008-02-15,16,
2008-02-22,10,
2008-02-29,12,
2008-03-07,12,
2008-03-14,12,
2008-03-21,14,
2008-03-28,12,
2008-04-04,18,
2008-04-11,15,
2008-04-18,13,
2008-04-25,12,
2008-05-02,13,
2008-05-09,16,
2008-05-16,15,
2008-05-23,14,
2008-05-30,15,
2008-06-06,18,
2008-06-13,17,
2008-06-20,14,
2008-06-27,15,
2008-07-04,13,
2008-07-11,15,
2008-07-18,15,
2008-07-25,16,
2008-08-01,18,
2008-08-08,20,
2008-08-15,18,
2008-08-22,15,
2008-08-29,16,
2008-09-05,15,
2008-09-12,15,
2008-09-19,13,
2008-09-26,12,
2008-10-03,16,
2008-10-10,16,
2008-10-17,16,
2008-10-24,15,
2008-10-31,19,
2008-11-07,18,
2008-11-14,17,
2008-11-21,19,
2008-11-28,24,
2008-12-05,24,
2008-12-12,28,
2008-12-19,23,
2008-12-26,18,
2009-01-02,16,
2009-01-09,18,
2009-01-16,18,
2009-01-23,16,
2009-01-30,17,
2009-02-06,21,
2009-02-13,15,
2009-02-20,16,
2009-02-27,17,
2009-03-06,17,
2009-03-13,16,
2009-03-20,15,
2009-03-27,18,
2009-04-03,17,
2009-04-10,19,
2009-04-17,17,
2009-04-24,17,
2009-05-01,16,
2009-05-08,19,
2009-05-15,17,
2009-05-22,17,
2009-05-29,16,
2009-06-05,19,
2009-06-12,20,
2009-06-19,21,
2009-06-26,18,
2009-07-03,21,
2009-07-10,20,
2009-07-17,22,
2009-07-24,23,
2009-07-31,24,
2009-08-07,23,
2009-08-14,22,
2009-08-21,27,
2009-08-28,23,
2009-09-04,23,
2009-09-11,21,
2009-09-18,22,
2009-09-25,21,
2009-10-02,22,
2009-10-09,23,
2009-10-16,20,
