Date,Dollar Tree,Price
2004-01-09,7,
2004-01-16,9,
2004-01-23,6,
2004-01-30,9,
2004-02-06,9,32.80
2004-02-13,8,32.80
2004-02-20,9,32.80
2004-02-27,5,30.90
2004-03-05,7,31.37
2004-03-12,7,29.63
2004-03-19,7,29.06
2004-03-26,11,29.45
2004-04-02,11,30.84
2004-04-09,11,
2004-04-16,11,29.61
2004-04-23,9,29.33
2004-04-30,5,26.98
2004-05-07,10,25.24
2004-05-14,10,25.09
2004-05-21,13,25.41
2004-05-28,7,27.90
2004-06-04,8,28.49
2004-06-11,10,
2004-06-18,10,28.03
2004-06-25,12,28.94
2004-07-02,10,26.60
2004-07-09,11,27.21
2004-07-16,10,26.22
2004-07-23,7,26.30
2004-07-30,10,26.91
2004-08-06,14,23.76
2004-08-13,12,22.46
2004-08-20,13,24.56
2004-08-27,10,24.01
2004-09-03,8,25.05
2004-09-10,7,25.46
2004-09-17,9,27.25
2004-09-24,11,26.68
2004-10-01,6,27.29
2004-10-08,11,25.36
2004-10-15,9,24.63
2004-10-22,12,26.86
2004-10-29,11,28.90
2004-11-05,10,29.24
2004-11-12,10,29.64
2004-11-19,11,28.67
2004-11-26,13,28.67
2004-12-03,21,28.30
2004-12-10,22,28.17
2004-12-17,20,28.43
2004-12-24,16,
2004-12-31,9,28.77
2005-01-07,11,27.85
2005-01-14,8,28.11
2005-01-21,9,27.66
2005-01-28,9,26.74
2005-02-04,11,27.47
2005-02-11,11,27.69
2005-02-18,11,25.63
2005-02-25,9,26.85
2005-03-04,10,28.22
2005-03-11,7,27.71
2005-03-18,10,27.59
2005-03-25,13,
2005-04-01,11,28.33
2005-04-08,7,25.16
2005-04-15,10,24.22
2005-04-22,8,24.40
2005-04-29,12,24.48
2005-05-06,10,23.39
2005-05-13,12,23.95
2005-05-20,10,25.20
2005-05-27,11,24.60
2005-06-03,11,24.57
2005-06-10,11,24.70
2005-06-17,11,23.81
2005-06-24,13,23.50
2005-07-01,11,24.13
2005-07-08,11,24.88
2005-07-15,11,24.62
2005-07-22,12,24.46
2005-07-29,13,24.99
2005-08-05,9,24.85
2005-08-12,11,24.32
2005-08-19,13,23.25
2005-08-26,12,23.27
2005-09-02,10,22.32
2005-09-09,11,22.74
2005-09-16,11,23.81
2005-09-23,13,21.94
2005-09-30,11,21.65
2005-10-07,11,21.73
2005-10-14,15,21.31
2005-10-21,11,21.87
2005-10-28,13,20.75
2005-11-04,13,23.35
2005-11-11,11,24.47
2005-11-18,14,23.33
2005-11-25,13,23.37
2005-12-02,17,23.43
2005-12-09,20,23.51
2005-12-16,21,23.58
2005-12-23,21,24.05
2005-12-30,12,23.94
2006-01-06,11,24.24
2006-01-13,10,24.85
2006-01-20,10,24.31
2006-01-27,10,25.03
2006-02-03,11,27.20
2006-02-10,11,27.11
2006-02-17,10,28.57
2006-02-24,11,27.45
2006-03-03,10,27.34
2006-03-10,9,26.47
2006-03-17,9,27.37
2006-03-24,10,27.59
2006-03-31,13,27.67
2006-04-07,11,27.67
2006-04-14,15,
2006-04-21,13,25.95
2006-04-28,10,26.07
2006-05-05,10,26.55
2006-05-12,11,26.81
2006-05-19,12,26.45
2006-05-26,12,26.20
2006-06-02,14,25.95
2006-06-09,14,25.36
2006-06-16,16,26.02
2006-06-23,14,25.90
2006-06-30,15,26.50
2006-07-07,11,26.39
2006-07-14,14,25.74
2006-07-21,14,25.10
2006-07-28,14,26.41
2006-08-04,15,29.01
2006-08-11,17,28.51
2006-08-18,16,29.38
2006-08-25,14,28.17
2006-09-01,13,28.99
2006-09-08,14,29.00
2006-09-15,12,30.60
2006-09-22,14,30.24
2006-09-29,13,30.96
2006-10-06,14,30.88
2006-10-13,16,31.53
2006-10-20,17,31.04
2006-10-27,18,30.77
2006-11-03,15,30.47
2006-11-10,14,31.41
2006-11-17,18,31.53
2006-11-24,16,30.95
2006-12-01,23,29.63
2006-12-08,23,30.19
2006-12-15,27,30.31
2006-12-22,23,30.06
2006-12-29,12,30.10
2007-01-05,14,32.03
2007-01-12,12,32.10
2007-01-19,14,31.60
2007-01-26,13,30.85
2007-02-02,14,31.74
2007-02-09,13,33.31
2007-02-16,13,34.17
2007-02-23,13,34.05
2007-03-02,12,34.26
2007-03-09,11,35.66
2007-03-16,14,35.58
2007-03-23,14,38.21
2007-03-30,16,38.24
2007-04-06,15,
2007-04-13,15,38.63
2007-04-20,14,39.53
2007-04-27,14,40.26
2007-05-04,15,39.84
2007-05-11,15,41.75
2007-05-18,15,41.35
2007-05-25,15,41.55
2007-06-01,17,42.41
2007-06-08,18,43.62
2007-06-15,17,43.35
2007-06-22,16,42.02
2007-06-29,14,43.55
2007-07-06,14,44.21
2007-07-13,17,43.59
2007-07-20,16,41.28
2007-07-27,17,38.86
2007-08-03,17,38.50
2007-08-10,18,39.08
2007-08-17,17,37.20
2007-08-24,17,39.25
2007-08-31,17,43.45
2007-09-07,18,41.32
2007-09-14,17,41.91
2007-09-21,16,41.61
2007-09-28,16,40.54
2007-10-05,18,41.37
2007-10-12,18,41.26
2007-10-19,20,37.46
2007-10-26,19,37.99
2007-11-02,18,36.50
2007-11-09,16,28.64
2007-11-16,19,26.63
2007-11-23,21,26.80
2007-11-30,28,28.66
2007-12-07,29,29.24
2007-12-14,25,26.60
2007-12-21,29,26.46
2007-12-28,18,26.13
2008-01-04,16,23.13
2008-01-11,15,22.25
2008-01-18,15,23.50
2008-01-25,16,25.80
2008-02-01,17,27.79
2008-02-08,17,25.35
2008-02-15,17,25.17
2008-02-22,14,25.52
2008-02-29,14,26.83
2008-03-07,16,26.66
2008-03-14,18,26.73
2008-03-21,18,
2008-03-28,16,27.00
2008-04-04,17,29.30
2008-04-11,17,28.45
2008-04-18,18,30.54
2008-04-25,18,31.49
2008-05-02,21,30.93
2008-05-09,19,34.54
2008-05-16,18,34.98
2008-05-23,19,33.07
2008-05-30,19,36.90
2008-06-06,20,36.14
2008-06-13,20,36.94
2008-06-20,19,35.25
2008-06-27,20,32.51
2008-07-04,20,
