Date,EMC,Price
2004-01-09,71,
2004-01-16,72,
2004-01-23,80,
2004-01-30,69,
2004-02-06,84,14.26
2004-02-13,83,13.87
2004-02-20,82,13.98
2004-02-27,84,14.32
2004-03-05,76,14.09
2004-03-12,65,13.19
2004-03-19,79,12.77
2004-03-26,63,13.41
2004-04-02,81,13.11
2004-04-09,81,
2004-04-16,75,12.55
2004-04-23,72,12.43
2004-04-30,80,11.16
2004-05-07,73,11.27
2004-05-14,84,10.46
2004-05-21,79,10.18
2004-05-28,88,11.24
2004-06-04,78,11.40
2004-06-11,83,
2004-06-18,74,11.33
2004-06-25,83,11.53
2004-07-02,73,10.82
2004-07-09,71,10.35
2004-07-16,68,10.25
2004-07-23,82,10.67
2004-07-30,79,10.97
2004-08-06,80,10.34
2004-08-13,79,9.37
2004-08-20,75,10.50
2004-08-27,77,10.75
2004-09-03,78,10.58
2004-09-10,82,11.15
2004-09-17,81,10.80
2004-09-24,81,11.17
2004-10-01,76,12.02
2004-10-08,71,12.15
2004-10-15,78,11.99
2004-10-22,78,12.50
2004-10-29,72,12.87
2004-11-05,67,13.06
2004-11-12,68,13.24
2004-11-19,72,13.48
2004-11-26,69,13.29
2004-12-03,76,14.39
2004-12-10,69,14.20
2004-12-17,70,14.21
2004-12-24,63,
2004-12-31,60,14.87
2005-01-07,70,13.85
2005-01-14,73,13.75
2005-01-21,73,13.09
2005-01-28,73,12.97
2005-02-04,82,13.15
2005-02-11,70,13.13
2005-02-18,73,12.69
2005-02-25,74,12.84
2005-03-04,82,12.77
2005-03-11,72,12.57
2005-03-18,67,12.43
2005-03-25,68,
2005-04-01,62,12.36
2005-04-08,77,12.54
2005-04-15,70,11.54
2005-04-22,76,13.30
2005-04-29,74,13.12
2005-05-06,69,12.96
2005-05-13,76,13.86
2005-05-20,76,14.09
2005-05-27,71,14.16
2005-06-03,77,14.29
2005-06-10,75,14.54
2005-06-17,76,14.43
2005-06-24,81,13.87
2005-07-01,83,14.17
2005-07-08,83,14.70
2005-07-15,80,14.67
2005-07-22,79,14.49
2005-07-29,75,13.69
2005-08-05,76,13.68
2005-08-12,74,13.33
2005-08-19,70,13.17
2005-08-26,69,13.00
2005-09-02,76,13.07
2005-09-09,76,12.97
2005-09-16,81,12.61
2005-09-23,74,12.65
2005-09-30,69,12.94
2005-10-07,73,13.21
2005-10-14,71,12.98
2005-10-21,76,13.73
2005-10-28,78,13.82
2005-11-04,71,14.15
2005-11-11,75,13.67
2005-11-18,71,13.98
2005-11-25,61,14.09
2005-12-02,73,14.04
2005-12-09,75,14.14
2005-12-16,77,13.71
2005-12-23,63,13.89
2005-12-30,55,13.62
2006-01-06,63,13.73
2006-01-13,74,13.61
2006-01-20,67,13.24
2006-01-27,82,13.63
2006-02-03,73,13.31
2006-02-10,76,13.30
2006-02-17,79,13.48
2006-02-24,74,13.93
2006-03-03,79,14.50
2006-03-10,74,14.16
2006-03-17,79,14.10
2006-03-24,73,13.70
2006-03-31,81,13.63
2006-04-07,73,13.57
2006-04-14,79,
